# This file was automatically generated by ViPErLEED v. 0.1a.
# It contains the pattern file generated from:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Pt(111)-(1x1).tlm
#
# Structure: Ir(111)-(2x2)FeTe
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 1.9174 AA; alpha = 120.00 deg
#        Basis: a = [1.9174 0.0000]; b = [-0.9587  1.6605]
# Surface lattice: Hexagonal (p3m1); a = 3.8348 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [3.8348 0.0000]; b = [-1.9174  3.3210]
#            Superlattice: [[2 0] [0 2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

( h  | k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(-5/2| 1/2),-2.50000, 0.50000, -8.19232, -2.83790,   17,        1,
(-2  |-1/2),-2.00000,-0.50000, -6.55386, -5.67581,   17,        1,
( 2  | 1/2), 2.00000, 0.50000,  6.55386,  5.67581,   18,        1,
( 5/2|-1/2), 2.50000,-0.50000,  8.19232,  2.83790,   18,        1,
(-2  | 5/2),-2.00000, 2.50000, -6.55386,  5.67581,   18,        1,
(-5/2| 2  ),-2.50000, 2.00000, -8.19232,  2.83790,   18,        1,
( 1/2|-5/2), 0.50000,-2.50000,  1.63846, -8.51371,   18,        1,
(-1/2|-2  ),-0.50000,-2.00000, -1.63846, -8.51371,   18,        1,
( 0  | 5/2), 0.00000, 2.50000,  0.00000,  9.45968,   19,        1,
( 5/2|-5/2), 2.50000,-2.50000,  8.19232, -4.72984,   19,        1,
(-5/2| 0  ),-2.50000, 0.00000, -8.19232, -4.72984,   19,        1,
( 5/2| 0  ), 2.50000, 0.00000,  8.19232,  4.72984,   20,        1,
(-5/2| 5/2),-2.50000, 2.50000, -8.19232,  4.72984,   20,        1,
( 0  |-5/2), 0.00000,-2.50000,  0.00000, -9.45968,   20,        1,
( 3/2| 3/2), 1.50000, 1.50000,  4.91539,  8.51371,   21,        1,
( 3  |-3/2), 3.00000,-1.50000,  9.83079, -0.00000,   21,        1,
(-3/2| 3  ),-1.50000, 3.00000, -4.91539,  8.51371,   21,        1,
( 3/2|-3  ), 1.50000,-3.00000,  4.91539, -8.51371,   21,        1,
(-3  | 3/2),-3.00000, 1.50000, -9.83079,  0.00000,   21,        1,
(-3/2|-3/2),-1.50000,-1.50000, -4.91539, -8.51371,   21,        1,
( 2  | 1  ), 2.00000, 1.00000,  6.55386,  7.56775,   22,        1,
( 3  |-1  ), 3.00000,-1.00000,  9.83079,  1.89194,   22,        1,
(-2  | 3  ),-2.00000, 3.00000, -6.55386,  7.56775,   22,        1,
(-3  | 2  ),-3.00000, 2.00000, -9.83079,  1.89194,   22,        1,
( 1  |-3  ), 1.00000,-3.00000,  3.27693, -9.45968,   22,        1,
(-1  |-2  ),-1.00000,-2.00000, -3.27693, -9.45968,   22,        1,
( 1  | 2  ), 1.00000, 2.00000,  3.27693,  9.45968,   23,        1,
(-1  | 3  ),-1.00000, 3.00000, -3.27693,  9.45968,   23,        1,
( 3  |-2  ), 3.00000,-2.00000,  9.83079, -1.89194,   23,        1,
( 2  |-3  ), 2.00000,-3.00000,  6.55386, -7.56775,   23,        1,
(-3  | 1  ),-3.00000, 1.00000, -9.83079, -1.89194,   23,        1,
(-2  |-1  ),-2.00000,-1.00000, -6.55386, -7.56775,   23,        1,
( 5/2| 1/2), 2.50000, 0.50000,  8.19232,  6.62178,   24,        1,
( 3  |-1/2), 3.00000,-0.50000,  9.83079,  3.78387,   24,        1,
(-5/2| 3  ),-2.50000, 3.00000, -8.19232,  6.62178,   24,        1,
(-3  | 5/2),-3.00000, 2.50000, -9.83079,  3.78387,   24,        1,
( 1/2|-3  ), 0.50000,-3.00000,  1.63846,-10.40565,   24,        1,
(-1/2|-5/2),-0.50000,-2.50000, -1.63846,-10.40565,   24,        1,
( 1/2| 5/2), 0.50000, 2.50000,  1.63846, 10.40565,   25,        1,
(-1/2| 3  ),-0.50000, 3.00000, -1.63846, 10.40565,   25,        1,
( 3  |-5/2), 3.00000,-2.50000,  9.83079, -3.78387,   25,        1,
( 5/2|-3  ), 2.50000,-3.00000,  8.19232, -6.62178,   25,        1,
(-3  | 1/2),-3.00000, 0.50000, -9.83079, -3.78387,   25,        1,
(-5/2|-1/2),-2.50000,-0.50000, -8.19232, -6.62178,   25,        1,
