# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Ir(100)-(2x1)O.tlm
#
# Structure: Ir(001)-(2x2)Te
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Square (pmg[1 0]); a = 5.4232 AA
#        Basis: a = [5.4232 0.0000]; b = [0.0000 5.4232]
# Surface lattice: Square (p4m); a = 2.7116 AA
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.4232 0.0000]; b = [0.0000 5.4232]
#            Superlattice: [[2 0] [0 2]]
# Domain 2 - Basis: a = [0.0000 5.4232]; b = [5.4232 0.0000]
#            Superlattice: [[0 2] [2 0]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

( h  | k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( 1  |-7/2), 1.00000,-3.50000,  2.31715, -8.11003,   28,      1+2,
(-7/2| 1  ),-3.50000, 1.00000, -8.11003,  2.31715,   28,      1+2,
(-1  |-7/2),-1.00000,-3.50000, -2.31715, -8.11003,   28,      1+2,
(-7/2|-1  ),-3.50000,-1.00000, -8.11003, -2.31715,   28,      1+2,
( 7/2| 3/2), 3.50000, 1.50000,  8.11003,  3.47573,   29,      1+2,
( 3/2| 7/2), 1.50000, 3.50000,  3.47573,  8.11003,   29,      1+2,
( 7/2|-3/2), 3.50000,-1.50000,  8.11003, -3.47573,   29,      1+2,
(-3/2| 7/2),-1.50000, 3.50000, -3.47573,  8.11003,   29,      1+2,
( 3/2|-7/2), 1.50000,-3.50000,  3.47573, -8.11003,   29,      1+2,
(-7/2| 3/2),-3.50000, 1.50000, -8.11003,  3.47573,   29,      1+2,
(-3/2|-7/2),-1.50000,-3.50000, -3.47573, -8.11003,   29,      1+2,
(-7/2|-3/2),-3.50000,-1.50000, -8.11003, -3.47573,   29,      1+2,
( 3  | 5/2), 3.00000, 2.50000,  6.95145,  5.79288,   30,      1+2,
( 5/2| 3  ), 2.50000, 3.00000,  5.79288,  6.95145,   30,      1+2,
( 3  |-5/2), 3.00000,-2.50000,  6.95145, -5.79288,   30,      1+2,
(-5/2| 3  ),-2.50000, 3.00000, -5.79288,  6.95145,   30,      1+2,
( 5/2|-3  ), 2.50000,-3.00000,  5.79288, -6.95145,   30,      1+2,
(-3  | 5/2),-3.00000, 2.50000, -6.95145,  5.79288,   30,      1+2,
(-5/2|-3  ),-2.50000,-3.00000, -5.79288, -6.95145,   30,      1+2,
(-3  |-5/2),-3.00000,-2.50000, -6.95145, -5.79288,   30,      1+2,
( 4  | 0  ), 4.00000, 0.00000,  9.26860, -0.00000,   31,      1+2,
( 0  | 4  ), 0.00000, 4.00000,  0.00000,  9.26860,   31,      1+2,
( 0  |-4  ), 0.00000,-4.00000,  0.00000, -9.26860,   31,      1+2,
(-4  | 0  ),-4.00000, 0.00000, -9.26860,  0.00000,   31,      1+2,
( 4  | 1/2), 4.00000, 0.50000,  9.26860,  1.15858,   32,      1+2,
( 1/2| 4  ), 0.50000, 4.00000,  1.15858,  9.26860,   32,      1+2,
( 4  |-1/2), 4.00000,-0.50000,  9.26860, -1.15858,   32,      1+2,
(-1/2| 4  ),-0.50000, 4.00000, -1.15858,  9.26860,   32,      1+2,
( 1/2|-4  ), 0.50000,-4.00000,  1.15858, -9.26860,   32,      1+2,
(-4  | 1/2),-4.00000, 0.50000, -9.26860,  1.15858,   32,      1+2,
(-1/2|-4  ),-0.50000,-4.00000, -1.15858, -9.26860,   32,      1+2,
(-4  |-1/2),-4.00000,-0.50000, -9.26860, -1.15858,   32,      1+2,
( 7/2| 2  ), 3.50000, 2.00000,  8.11003,  4.63430,   33,      1+2,
( 2  | 7/2), 2.00000, 3.50000,  4.63430,  8.11003,   33,      1+2,
( 7/2|-2  ), 3.50000,-2.00000,  8.11003, -4.63430,   33,      1+2,
(-2  | 7/2),-2.00000, 3.50000, -4.63430,  8.11003,   33,      1+2,
( 2  |-7/2), 2.00000,-3.50000,  4.63430, -8.11003,   33,      1+2,
(-7/2| 2  ),-3.50000, 2.00000, -8.11003,  4.63430,   33,      1+2,
(-2  |-7/2),-2.00000,-3.50000, -4.63430, -8.11003,   33,      1+2,
(-7/2|-2  ),-3.50000,-2.00000, -8.11003, -4.63430,   33,      1+2,
( 4  | 1  ), 4.00000, 1.00000,  9.26860,  2.31715,   34,      1+2,
( 1  | 4  ), 1.00000, 4.00000,  2.31715,  9.26860,   34,      1+2,
( 4  |-1  ), 4.00000,-1.00000,  9.26860, -2.31715,   34,      1+2,
(-1  | 4  ),-1.00000, 4.00000, -2.31715,  9.26860,   34,      1+2,
( 1  |-4  ), 1.00000,-4.00000,  2.31715, -9.26860,   34,      1+2,
(-4  | 1  ),-4.00000, 1.00000, -9.26860,  2.31715,   34,      1+2,
(-1  |-4  ),-1.00000,-4.00000, -2.31715, -9.26860,   34,      1+2,
(-4  |-1  ),-4.00000,-1.00000, -9.26860, -2.31715,   34,      1+2,
( 3  | 3  ), 3.00000, 3.00000,  6.95145,  6.95145,   35,      1+2,
( 3  |-3  ), 3.00000,-3.00000,  6.95145, -6.95145,   35,      1+2,
(-3  | 3  ),-3.00000, 3.00000, -6.95145,  6.95145,   35,      1+2,
(-3  |-3  ),-3.00000,-3.00000, -6.95145, -6.95145,   35,      1+2,
( 4  | 3/2), 4.00000, 1.50000,  9.26860,  3.47573,   36,      1+2,
( 3/2| 4  ), 1.50000, 4.00000,  3.47573,  9.26860,   36,      1+2,
( 4  |-3/2), 4.00000,-1.50000,  9.26860, -3.47573,   36,      1+2,
(-3/2| 4  ),-1.50000, 4.00000, -3.47573,  9.26860,   36,      1+2,
( 3/2|-4  ), 1.50000,-4.00000,  3.47573, -9.26860,   36,      1+2,
(-4  | 3/2),-4.00000, 1.50000, -9.26860,  3.47573,   36,      1+2,
(-3/2|-4  ),-1.50000,-4.00000, -3.47573, -9.26860,   36,      1+2,
(-4  |-3/2),-4.00000,-1.50000, -9.26860, -3.47573,   36,      1+2,
( 7/2| 5/2), 3.50000, 2.50000,  8.11003,  5.79288,   37,      1+2,
( 5/2| 7/2), 2.50000, 3.50000,  5.79288,  8.11003,   37,      1+2,
( 7/2|-5/2), 3.50000,-2.50000,  8.11003, -5.79288,   37,      1+2,
(-5/2| 7/2),-2.50000, 3.50000, -5.79288,  8.11003,   37,      1+2,
( 5/2|-7/2), 2.50000,-3.50000,  5.79288, -8.11003,   37,      1+2,
(-7/2| 5/2),-3.50000, 2.50000, -8.11003,  5.79288,   37,      1+2,
(-5/2|-7/2),-2.50000,-3.50000, -5.79288, -8.11003,   37,      1+2,
(-7/2|-5/2),-3.50000,-2.50000, -8.11003, -5.79288,   37,      1+2,
( 4  | 2  ), 4.00000, 2.00000,  9.26860,  4.63430,   38,      1+2,
( 2  | 4  ), 2.00000, 4.00000,  4.63430,  9.26860,   38,      1+2,
( 4  |-2  ), 4.00000,-2.00000,  9.26860, -4.63430,   38,      1+2,
(-2  | 4  ),-2.00000, 4.00000, -4.63430,  9.26860,   38,      1+2,
( 2  |-4  ), 2.00000,-4.00000,  4.63430, -9.26860,   38,      1+2,
(-4  | 2  ),-4.00000, 2.00000, -9.26860,  4.63430,   38,      1+2,
(-2  |-4  ),-2.00000,-4.00000, -4.63430, -9.26860,   38,      1+2,
(-4  |-2  ),-4.00000,-2.00000, -9.26860, -4.63430,   38,      1+2,
( 9/2| 0  ), 4.50000, 0.00000, 10.42718, -0.00000,  -39,    (1)+2,
( 0  | 9/2), 0.00000, 4.50000,  0.00000, 10.42718,  -39,    (1)+2,
( 0  |-9/2), 0.00000,-4.50000,  0.00000,-10.42718,  -39,    (1)+2,
(-9/2| 0  ),-4.50000, 0.00000,-10.42718,  0.00000,  -39,    (1)+2,
( 9/2| 1/2), 4.50000, 0.50000, 10.42718,  1.15858,   40,      1+2,
( 1/2| 9/2), 0.50000, 4.50000,  1.15858, 10.42718,   40,      1+2,
( 9/2|-1/2), 4.50000,-0.50000, 10.42718, -1.15858,   40,      1+2,
(-1/2| 9/2),-0.50000, 4.50000, -1.15858, 10.42718,   40,      1+2,
( 1/2|-9/2), 0.50000,-4.50000,  1.15858,-10.42718,   40,      1+2,
(-9/2| 1/2),-4.50000, 0.50000,-10.42718,  1.15858,   40,      1+2,
(-1/2|-9/2),-0.50000,-4.50000, -1.15858,-10.42718,   40,      1+2,
(-9/2|-1/2),-4.50000,-0.50000,-10.42718, -1.15858,   40,      1+2,
( 7/2| 3  ), 3.50000, 3.00000,  8.11003,  6.95145,   41,      1+2,
( 3  | 7/2), 3.00000, 3.50000,  6.95145,  8.11003,   41,      1+2,
( 7/2|-3  ), 3.50000,-3.00000,  8.11003, -6.95145,   41,      1+2,
(-3  | 7/2),-3.00000, 3.50000, -6.95145,  8.11003,   41,      1+2,
( 3  |-7/2), 3.00000,-3.50000,  6.95145, -8.11003,   41,      1+2,
(-7/2| 3  ),-3.50000, 3.00000, -8.11003,  6.95145,   41,      1+2,
(-3  |-7/2),-3.00000,-3.50000, -6.95145, -8.11003,   41,      1+2,
(-7/2|-3  ),-3.50000,-3.00000, -8.11003, -6.95145,   41,      1+2,
( 9/2| 1  ), 4.50000, 1.00000, 10.42718,  2.31715,   42,      1+2,
( 1  | 9/2), 1.00000, 4.50000,  2.31715, 10.42718,   42,      1+2,
( 9/2|-1  ), 4.50000,-1.00000, 10.42718, -2.31715,   42,      1+2,
(-1  | 9/2),-1.00000, 4.50000, -2.31715, 10.42718,   42,      1+2,
( 1  |-9/2), 1.00000,-4.50000,  2.31715,-10.42718,   42,      1+2,
(-9/2| 1  ),-4.50000, 1.00000,-10.42718,  2.31715,   42,      1+2,
(-1  |-9/2),-1.00000,-4.50000, -2.31715,-10.42718,   42,      1+2,
(-9/2|-1  ),-4.50000,-1.00000,-10.42718, -2.31715,   42,      1+2,
( 4  | 5/2), 4.00000, 2.50000,  9.26860,  5.79288,   43,      1+2,
