# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Ir(100)-(2x1)O.tlm
#
# Structure: Ir(001)-(2x2)Te
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Square (pmg[1 0]); a = 5.4232 AA
#        Basis: a = [5.4232 0.0000]; b = [0.0000 5.4232]
# Surface lattice: Square (p4m); a = 2.7116 AA
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.4232 0.0000]; b = [0.0000 5.4232]
#            Superlattice: [[2 0] [0 2]]
# Domain 2 - Basis: a = [0.0000 5.4232]; b = [5.4232 0.0000]
#            Superlattice: [[0 2] [2 0]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

( h  | k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(-1  | 1/2),-1.00000, 0.50000, -2.31715,  1.15858,    4,      1+2,
(-1/2|-1  ),-0.50000,-1.00000, -1.15858, -2.31715,    4,      1+2,
(-1  |-1/2),-1.00000,-0.50000, -2.31715, -1.15858,    4,      1+2,
( 1  | 1  ), 1.00000, 1.00000,  2.31715,  2.31715,    5,      1+2,
( 1  |-1  ), 1.00000,-1.00000,  2.31715, -2.31715,    5,      1+2,
(-1  | 1  ),-1.00000, 1.00000, -2.31715,  2.31715,    5,      1+2,
(-1  |-1  ),-1.00000,-1.00000, -2.31715, -2.31715,    5,      1+2,
( 3/2| 0  ), 1.50000, 0.00000,  3.47573, -0.00000,   -6,    (1)+2,
( 0  | 3/2), 0.00000, 1.50000,  0.00000,  3.47573,   -6,    (1)+2,
( 0  |-3/2), 0.00000,-1.50000,  0.00000, -3.47573,   -6,    (1)+2,
(-3/2| 0  ),-1.50000, 0.00000, -3.47573,  0.00000,   -6,    (1)+2,
( 3/2| 1/2), 1.50000, 0.50000,  3.47573,  1.15858,    7,      1+2,
( 1/2| 3/2), 0.50000, 1.50000,  1.15858,  3.47573,    7,      1+2,
( 3/2|-1/2), 1.50000,-0.50000,  3.47573, -1.15858,    7,      1+2,
(-1/2| 3/2),-0.50000, 1.50000, -1.15858,  3.47573,    7,      1+2,
( 1/2|-3/2), 0.50000,-1.50000,  1.15858, -3.47573,    7,      1+2,
(-3/2| 1/2),-1.50000, 0.50000, -3.47573,  1.15858,    7,      1+2,
(-1/2|-3/2),-0.50000,-1.50000, -1.15858, -3.47573,    7,      1+2,
(-3/2|-1/2),-1.50000,-0.50000, -3.47573, -1.15858,    7,      1+2,
( 3/2| 1  ), 1.50000, 1.00000,  3.47573,  2.31715,    8,      1+2,
( 1  | 3/2), 1.00000, 1.50000,  2.31715,  3.47573,    8,      1+2,
( 3/2|-1  ), 1.50000,-1.00000,  3.47573, -2.31715,    8,      1+2,
(-1  | 3/2),-1.00000, 1.50000, -2.31715,  3.47573,    8,      1+2,
( 1  |-3/2), 1.00000,-1.50000,  2.31715, -3.47573,    8,      1+2,
(-3/2| 1  ),-1.50000, 1.00000, -3.47573,  2.31715,    8,      1+2,
(-1  |-3/2),-1.00000,-1.50000, -2.31715, -3.47573,    8,      1+2,
(-3/2|-1  ),-1.50000,-1.00000, -3.47573, -2.31715,    8,      1+2,
( 2  | 0  ), 2.00000, 0.00000,  4.63430, -0.00000,    9,      1+2,
( 0  | 2  ), 0.00000, 2.00000,  0.00000,  4.63430,    9,      1+2,
( 0  |-2  ), 0.00000,-2.00000,  0.00000, -4.63430,    9,      1+2,
(-2  | 0  ),-2.00000, 0.00000, -4.63430,  0.00000,    9,      1+2,
( 2  | 1/2), 2.00000, 0.50000,  4.63430,  1.15858,   10,      1+2,
( 1/2| 2  ), 0.50000, 2.00000,  1.15858,  4.63430,   10,      1+2,
( 2  |-1/2), 2.00000,-0.50000,  4.63430, -1.15858,   10,      1+2,
(-1/2| 2  ),-0.50000, 2.00000, -1.15858,  4.63430,   10,      1+2,
( 1/2|-2  ), 0.50000,-2.00000,  1.15858, -4.63430,   10,      1+2,
(-2  | 1/2),-2.00000, 0.50000, -4.63430,  1.15858,   10,      1+2,
(-1/2|-2  ),-0.50000,-2.00000, -1.15858, -4.63430,   10,      1+2,
(-2  |-1/2),-2.00000,-0.50000, -4.63430, -1.15858,   10,      1+2,
( 3/2| 3/2), 1.50000, 1.50000,  3.47573,  3.47573,   11,      1+2,
( 3/2|-3/2), 1.50000,-1.50000,  3.47573, -3.47573,   11,      1+2,
(-3/2| 3/2),-1.50000, 1.50000, -3.47573,  3.47573,   11,      1+2,
(-3/2|-3/2),-1.50000,-1.50000, -3.47573, -3.47573,   11,      1+2,
( 2  | 1  ), 2.00000, 1.00000,  4.63430,  2.31715,   12,      1+2,
( 1  | 2  ), 1.00000, 2.00000,  2.31715,  4.63430,   12,      1+2,
( 2  |-1  ), 2.00000,-1.00000,  4.63430, -2.31715,   12,      1+2,
(-1  | 2  ),-1.00000, 2.00000, -2.31715,  4.63430,   12,      1+2,
( 1  |-2  ), 1.00000,-2.00000,  2.31715, -4.63430,   12,      1+2,
(-2  | 1  ),-2.00000, 1.00000, -4.63430,  2.31715,   12,      1+2,
(-1  |-2  ),-1.00000,-2.00000, -2.31715, -4.63430,   12,      1+2,
(-2  |-1  ),-2.00000,-1.00000, -4.63430, -2.31715,   12,      1+2,
( 2  | 3/2), 2.00000, 1.50000,  4.63430,  3.47573,   13,      1+2,
( 3/2| 2  ), 1.50000, 2.00000,  3.47573,  4.63430,   13,      1+2,
( 2  |-3/2), 2.00000,-1.50000,  4.63430, -3.47573,   13,      1+2,
(-3/2| 2  ),-1.50000, 2.00000, -3.47573,  4.63430,   13,      1+2,
( 3/2|-2  ), 1.50000,-2.00000,  3.47573, -4.63430,   13,      1+2,
(-2  | 3/2),-2.00000, 1.50000, -4.63430,  3.47573,   13,      1+2,
(-3/2|-2  ),-1.50000,-2.00000, -3.47573, -4.63430,   13,      1+2,
(-2  |-3/2),-2.00000,-1.50000, -4.63430, -3.47573,   13,      1+2,
( 5/2| 0  ), 2.50000, 0.00000,  5.79288, -0.00000,  -14,    (1)+2,
( 0  | 5/2), 0.00000, 2.50000,  0.00000,  5.79288,  -14,    (1)+2,
( 0  |-5/2), 0.00000,-2.50000,  0.00000, -5.79288,  -14,    (1)+2,
(-5/2| 0  ),-2.50000, 0.00000, -5.79288,  0.00000,  -14,    (1)+2,
( 5/2| 1/2), 2.50000, 0.50000,  5.79288,  1.15858,   15,      1+2,
( 1/2| 5/2), 0.50000, 2.50000,  1.15858,  5.79288,   15,      1+2,
( 5/2|-1/2), 2.50000,-0.50000,  5.79288, -1.15858,   15,      1+2,
(-1/2| 5/2),-0.50000, 2.50000, -1.15858,  5.79288,   15,      1+2,
( 1/2|-5/2), 0.50000,-2.50000,  1.15858, -5.79288,   15,      1+2,
(-5/2| 1/2),-2.50000, 0.50000, -5.79288,  1.15858,   15,      1+2,
(-1/2|-5/2),-0.50000,-2.50000, -1.15858, -5.79288,   15,      1+2,
(-5/2|-1/2),-2.50000,-0.50000, -5.79288, -1.15858,   15,      1+2,
( 5/2| 1  ), 2.50000, 1.00000,  5.79288,  2.31715,   16,      1+2,
( 1  | 5/2), 1.00000, 2.50000,  2.31715,  5.79288,   16,      1+2,
( 5/2|-1  ), 2.50000,-1.00000,  5.79288, -2.31715,   16,      1+2,
(-1  | 5/2),-1.00000, 2.50000, -2.31715,  5.79288,   16,      1+2,
( 1  |-5/2), 1.00000,-2.50000,  2.31715, -5.79288,   16,      1+2,
(-5/2| 1  ),-2.50000, 1.00000, -5.79288,  2.31715,   16,      1+2,
(-1  |-5/2),-1.00000,-2.50000, -2.31715, -5.79288,   16,      1+2,
(-5/2|-1  ),-2.50000,-1.00000, -5.79288, -2.31715,   16,      1+2,
( 2  | 2  ), 2.00000, 2.00000,  4.63430,  4.63430,   17,      1+2,
( 2  |-2  ), 2.00000,-2.00000,  4.63430, -4.63430,   17,      1+2,
(-2  | 2  ),-2.00000, 2.00000, -4.63430,  4.63430,   17,      1+2,
(-2  |-2  ),-2.00000,-2.00000, -4.63430, -4.63430,   17,      1+2,
( 5/2| 3/2), 2.50000, 1.50000,  5.79288,  3.47573,   18,      1+2,
( 3/2| 5/2), 1.50000, 2.50000,  3.47573,  5.79288,   18,      1+2,
( 5/2|-3/2), 2.50000,-1.50000,  5.79288, -3.47573,   18,      1+2,
(-3/2| 5/2),-1.50000, 2.50000, -3.47573,  5.79288,   18,      1+2,
( 3/2|-5/2), 1.50000,-2.50000,  3.47573, -5.79288,   18,      1+2,
(-5/2| 3/2),-2.50000, 1.50000, -5.79288,  3.47573,   18,      1+2,
(-3/2|-5/2),-1.50000,-2.50000, -3.47573, -5.79288,   18,      1+2,
(-5/2|-3/2),-2.50000,-1.50000, -5.79288, -3.47573,   18,      1+2,
( 3  | 0  ), 3.00000, 0.00000,  6.95145, -0.00000,   19,      1+2,
( 0  | 3  ), 0.00000, 3.00000,  0.00000,  6.95145,   19,      1+2,
( 0  |-3  ), 0.00000,-3.00000,  0.00000, -6.95145,   19,      1+2,
(-3  | 0  ),-3.00000, 0.00000, -6.95145,  0.00000,   19,      1+2,
( 3  | 1/2), 3.00000, 0.50000,  6.95145,  1.15858,   20,      1+2,
( 1/2| 3  ), 0.50000, 3.00000,  1.15858,  6.95145,   20,      1+2,
( 3  |-1/2), 3.00000,-0.50000,  6.95145, -1.15858,   20,      1+2,
(-1/2| 3  ),-0.50000, 3.00000, -1.15858,  6.95145,   20,      1+2,
( 1/2|-3  ), 0.50000,-3.00000,  1.15858, -6.95145,   20,      1+2,
(-3  | 1/2),-3.00000, 0.50000, -6.95145,  1.15858,   20,      1+2,
(-1/2|-3  ),-0.50000,-3.00000, -1.15858, -6.95145,   20,      1+2,
(-3  |-1/2),-3.00000,-0.50000, -6.95145, -1.15858,   20,      1+2,
( 3  | 1  ), 3.00000, 1.00000,  6.95145,  2.31715,   21,      1+2,
( 1  | 3  ), 1.00000, 3.00000,  2.31715,  6.95145,   21,      1+2,
( 3  |-1  ), 3.00000,-1.00000,  6.95145, -2.31715,   21,      1+2,
(-1  | 3  ),-1.00000, 3.00000, -2.31715,  6.95145,   21,      1+2,
( 1  |-3  ), 1.00000,-3.00000,  2.31715, -6.95145,   21,      1+2,
(-3  | 1  ),-3.00000, 1.00000, -6.95145,  2.31715,   21,      1+2,
(-1  |-3  ),-1.00000,-3.00000, -2.31715, -6.95145,   21,      1+2,
(-3  |-1  ),-3.00000,-1.00000, -6.95145, -2.31715,   21,      1+2,
( 5/2| 2  ), 2.50000, 2.00000,  5.79288,  4.63430,   22,      1+2,
( 2  | 5/2), 2.00000, 2.50000,  4.63430,  5.79288,   22,      1+2,
( 5/2|-2  ), 2.50000,-2.00000,  5.79288, -4.63430,   22,      1+2,
(-2  | 5/2),-2.00000, 2.50000, -4.63430,  5.79288,   22,      1+2,
( 2  |-5/2), 2.00000,-2.50000,  4.63430, -5.79288,   22,      1+2,
(-5/2| 2  ),-2.50000, 2.00000, -5.79288,  4.63430,   22,      1+2,
(-2  |-5/2),-2.00000,-2.50000, -4.63430, -5.79288,   22,      1+2,
(-5/2|-2  ),-2.50000,-2.00000, -5.79288, -4.63430,   22,      1+2,
( 3  | 3/2), 3.00000, 1.50000,  6.95145,  3.47573,   23,      1+2,
( 3/2| 3  ), 1.50000, 3.00000,  3.47573,  6.95145,   23,      1+2,
( 3  |-3/2), 3.00000,-1.50000,  6.95145, -3.47573,   23,      1+2,
(-3/2| 3  ),-1.50000, 3.00000, -3.47573,  6.95145,   23,      1+2,
( 3/2|-3  ), 1.50000,-3.00000,  3.47573, -6.95145,   23,      1+2,
(-3  | 3/2),-3.00000, 1.50000, -6.95145,  3.47573,   23,      1+2,
(-3/2|-3  ),-1.50000,-3.00000, -3.47573, -6.95145,   23,      1+2,
(-3  |-3/2),-3.00000,-1.50000, -6.95145, -3.47573,   23,      1+2,
( 7/2| 0  ), 3.50000, 0.00000,  8.11003, -0.00000,  -24,    (1)+2,
( 0  | 7/2), 0.00000, 3.50000,  0.00000,  8.11003,  -24,    (1)+2,
( 0  |-7/2), 0.00000,-3.50000,  0.00000, -8.11003,  -24,    (1)+2,
(-7/2| 0  ),-3.50000, 0.00000, -8.11003,  0.00000,  -24,    (1)+2,
( 7/2| 1/2), 3.50000, 0.50000,  8.11003,  1.15858,   25,      1+2,
( 1/2| 7/2), 0.50000, 3.50000,  1.15858,  8.11003,   25,      1+2,
( 7/2|-1/2), 3.50000,-0.50000,  8.11003, -1.15858,   25,      1+2,
(-1/2| 7/2),-0.50000, 3.50000, -1.15858,  8.11003,   25,      1+2,
( 1/2|-7/2), 0.50000,-3.50000,  1.15858, -8.11003,   25,      1+2,
(-7/2| 1/2),-3.50000, 0.50000, -8.11003,  1.15858,   25,      1+2,
(-1/2|-7/2),-0.50000,-3.50000, -1.15858, -8.11003,   25,      1+2,
(-7/2|-1/2),-3.50000,-0.50000, -8.11003, -1.15858,   25,      1+2,
( 5/2| 5/2), 2.50000, 2.50000,  5.79288,  5.79288,   26,      1+2,
( 5/2|-5/2), 2.50000,-2.50000,  5.79288, -5.79288,   26,      1+2,
(-5/2| 5/2),-2.50000, 2.50000, -5.79288,  5.79288,   26,      1+2,
(-5/2|-5/2),-2.50000,-2.50000, -5.79288, -5.79288,   26,      1+2,
( 3  | 2  ), 3.00000, 2.00000,  6.95145,  4.63430,   27,      1+2,
( 2  | 3  ), 2.00000, 3.00000,  4.63430,  6.95145,   27,      1+2,
( 3  |-2  ), 3.00000,-2.00000,  6.95145, -4.63430,   27,      1+2,
(-2  | 3  ),-2.00000, 3.00000, -4.63430,  6.95145,   27,      1+2,
( 2  |-3  ), 2.00000,-3.00000,  4.63430, -6.95145,   27,      1+2,
(-3  | 2  ),-3.00000, 2.00000, -6.95145,  4.63430,   27,      1+2,
(-2  |-3  ),-2.00000,-3.00000, -4.63430, -6.95145,   27,      1+2,
(-3  |-2  ),-3.00000,-2.00000, -6.95145, -4.63430,   27,      1+2,
( 7/2| 1  ), 3.50000, 1.00000,  8.11003,  2.31715,   28,      1+2,
( 1  | 7/2), 1.00000, 3.50000,  2.31715,  8.11003,   28,      1+2,
( 7/2|-1  ), 3.50000,-1.00000,  8.11003, -2.31715,   28,      1+2,
(-1  | 7/2),-1.00000, 3.50000, -2.31715,  8.11003,   28,      1+2,
