# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/TaS2(0001)-(rt13xrt13)R13.9.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - dom2
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [3.3540 0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 2 symmetry-equivalent ones
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -4/13|  1/13),-0.30769, 0.07692, -0.57641, -0.16640,    1,        2,
(  1/13|  3/13), 0.07692, 0.23077,  0.14410,  0.58239,    1,        2,
(  3/13| -4/13), 0.23077,-0.30769,  0.43231, -0.41599,    1,        2,
( -1/13| -3/13),-0.07692,-0.23077, -0.14410, -0.58239,    2,        2,
( -3/13|  4/13),-0.23077, 0.30769, -0.43231,  0.41599,    2,        2,
(  4/13| -1/13), 0.30769,-0.07692,  0.57641,  0.16640,    2,        2,
( -7/13|  5/13),-0.53846, 0.38462, -1.00872,  0.24959,    3,        2,
(  2/13| -7/13), 0.15385,-0.53846,  0.28821, -0.99838,    3,        2,
(  5/13|  2/13), 0.38462, 0.15385,  0.72052,  0.74878,    3,        2,
( -2/13|  7/13),-0.15385, 0.53846, -0.28821,  0.99838,    4,        2,
( -5/13| -2/13),-0.38462,-0.15385, -0.72052, -0.74878,    4,        2,
(  7/13| -5/13), 0.53846,-0.38462,  1.00872, -0.24959,    4,        2,
( -8/13|  2/13),-0.61538, 0.15385, -1.15283, -0.33279,    5,        2,
(  2/13|  6/13), 0.15385, 0.46154,  0.28821,  1.16477,    5,        2,
(  6/13| -8/13), 0.46154,-0.61538,  0.86462, -0.83198,    5,        2,
( -2/13| -6/13),-0.15385,-0.46154, -0.28821, -1.16477,    6,        2,
( -6/13|  8/13),-0.46154, 0.61538, -0.86462,  0.83198,    6,        2,
(  8/13| -2/13), 0.61538,-0.15385,  1.15283,  0.33279,    6,        2,
(-11/13|  6/13),-0.84615, 0.46154, -1.58513,  0.08320,    7,        2,
(  5/13|-11/13), 0.38462,-0.84615,  0.72052, -1.41437,    7,        2,
(  6/13|  5/13), 0.46154, 0.38462,  0.86462,  1.33117,    7,        2,
( -5/13| 11/13),-0.38462, 0.84615, -0.72052,  1.41437,    8,        2,
( -6/13| -5/13),-0.46154,-0.38462, -0.86462, -1.33117,    8,        2,
( 11/13| -6/13), 0.84615,-0.46154,  1.58513, -0.08320,    8,        2,
( -1/13| 10/13),-0.07692, 0.76923, -0.14410,  1.58076,    9,        2,
( -9/13| -1/13),-0.69231,-0.07692, -1.29693, -0.91518,    9,        2,
( 10/13| -9/13), 0.76923,-0.69231,  1.44103, -0.66558,    9,        2,
(-10/13|  9/13),-0.76923, 0.69231, -1.44103,  0.66558,   10,        2,
(  1/13|-10/13), 0.07692,-0.76923,  0.14410, -1.58076,   10,        2,
(  9/13|  1/13), 0.69231, 0.07692,  1.29693,  0.91518,   10,        2,
( -3/13| -9/13),-0.23077,-0.69231, -0.43231, -1.74716,   11,        2,
( -9/13| 12/13),-0.69231, 0.92308, -1.29693,  1.24797,   11,        2,
( 12/13| -3/13), 0.92308,-0.23077,  1.72924,  0.49919,   11,        2,
(-12/13|  3/13),-0.92308, 0.23077, -1.72924, -0.49919,   12,        2,
(  3/13|  9/13), 0.23077, 0.69231,  0.43231,  1.74716,   12,        2,
(  9/13|-12/13), 0.69231,-0.92308,  1.29693, -1.24797,   12,        2,
(-14/13| 10/13),-1.07692, 0.76923, -2.01744,  0.49919,   13,        2,
( 10/13|  4/13), 0.76923, 0.30769,  1.44103,  1.49756,   13,        2,
(  4/13|-14/13), 0.30769,-1.07692,  0.57641, -1.99675,   13,        2,
(-10/13| -4/13),-0.76923,-0.30769, -1.44103, -1.49756,   14,        2,
( -4/13| 14/13),-0.30769, 1.07692, -0.57641,  1.99675,   14,        2,
( 14/13|-10/13), 1.07692,-0.76923,  2.01744, -0.49919,   14,        2,
(-15/13|  7/13),-1.15385, 0.53846, -2.16155, -0.08320,   15,        2,
(  7/13|  8/13), 0.53846, 0.61538,  1.00872,  1.91355,   15,        2,
(  8/13|-15/13), 0.61538,-1.15385,  1.15283, -1.83036,   15,        2,
( -1   |  0   ),-1.00000, 0.00000, -1.87334, -1.08157,   16,        2,
(  0   |  1   ), 0.00000, 1.00000, -0.00000,  2.16315,   16,        2,
(  1   | -1   ), 1.00000,-1.00000,  1.87334, -1.08157,   16,        2,
( -1   |  1   ),-1.00000, 1.00000, -1.87334,  1.08157,   17,        2,
(  0   | -1   ), 0.00000,-1.00000,  0.00000, -2.16315,   17,        2,
(  1   |  0   ), 1.00000, 0.00000,  1.87334,  1.08157,   17,        2,
