# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(3xr3)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 7.6305 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [7.6305 0.0000]
#            Superlattice: [[1 2] [3 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [3.8152 6.6082]
#            Superlattice: [[ 1 -1] [ 3  3]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [ 3.8152 -6.6082]
#            Superlattice: [[-2 -1] [ 0 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -2/3|  4/3),-0.66667, 1.33333, -1.64686,  2.85245,   12,    1+2+3,
( -4/3|  2/3),-1.33333, 0.66667, -3.29372,  0.00000,   12,    1+2+3,
(  2/3| -4/3), 0.66667,-1.33333,  1.64686, -2.85245,   12,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.64686,  2.85245,   12,    1+2+3,
(  4/3| -2/3), 1.33333,-0.66667,  3.29372,  0.00000,   12,    1+2+3,
( -1/6|  4/3),-0.16667, 1.33333, -0.41172,  3.56556,   13,        3,
( -4/3|  1/6),-1.33333, 0.16667, -3.29372, -1.42622,   13,        1,
( -7/6| -1/6),-1.16667,-0.16667, -2.88201, -2.13933,   13,        2,
(  1/6|  7/6), 0.16667, 1.16667,  0.41172,  3.56556,   13,        2,
(  4/3| -7/6), 1.33333,-1.16667,  3.29372, -1.42622,   13,        1,
(  7/6| -4/3), 1.16667,-1.33333,  2.88201, -2.13933,   13,        3,
( -1/6| -7/6),-0.16667,-1.16667, -0.41172, -3.56556,   14,        2,
( -4/3|  7/6),-1.33333, 1.16667, -3.29372,  1.42622,   14,        1,
( -7/6|  4/3),-1.16667, 1.33333, -2.88201,  2.13933,   14,        3,
(  1/6| -4/3), 0.16667,-1.33333,  0.41172, -3.56556,   14,        3,
(  4/3| -1/6), 1.33333,-0.16667,  3.29372,  1.42622,   14,        1,
(  7/6|  1/6), 1.16667, 0.16667,  2.88201,  2.13933,   14,        2,
( -1  |  3/2),-1.00000, 1.50000, -2.47029,  2.85245,   15,        1,
( -1/2| -1  ),-0.50000,-1.00000, -1.23515, -3.56556,   15,        3,
( -3/2|  1  ),-1.50000, 1.00000, -3.70544,  0.71311,   15,        3,
(  1  |  1/2), 1.00000, 0.50000,  2.47029,  2.85245,   15,        1,
(  1/2| -3/2), 0.50000,-1.50000,  1.23515, -3.56556,   15,        2,
(  3/2| -1/2), 1.50000,-0.50000,  3.70544,  0.71311,   15,        2,
( -1  | -1/2),-1.00000,-0.50000, -2.47029, -2.85245,   16,        1,
( -1/2|  3/2),-0.50000, 1.50000, -1.23515,  3.56556,   16,        2,
( -3/2|  1/2),-1.50000, 0.50000, -3.70544, -0.71311,   16,        2,
(  1  | -3/2), 1.00000,-1.50000,  2.47029, -2.85245,   16,        1,
(  1/2|  1  ), 0.50000, 1.00000,  1.23515,  3.56556,   16,        3,
(  3/2| -1  ), 1.50000,-1.00000,  3.70544, -0.71311,   16,        3,
( -5/3|  5/6),-1.66667, 0.83333, -4.11715,  0.00000,   17,        1,
( -5/6| -5/6),-0.83333,-0.83333, -2.05858, -3.56556,   17,        2,
( -5/6|  5/3),-0.83333, 1.66667, -2.05858,  3.56556,   17,        3,
(  5/3| -5/6), 1.66667,-0.83333,  4.11715,  0.00000,   17,        1,
(  5/6| -5/3), 0.83333,-1.66667,  2.05858, -3.56556,   17,        3,
(  5/6|  5/6), 0.83333, 0.83333,  2.05858,  3.56556,   17,        2,
( -3/2|  0  ),-1.50000, 0.00000, -3.70544, -2.13933,  -18,      (3),
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  4.27867,  -18,      (1),
(  3/2| -3/2), 1.50000,-1.50000,  3.70544, -2.13933,  -18,      (2),
( -3/2|  3/2),-1.50000, 1.50000, -3.70544,  2.13933,  -19,      (2),
(  0  | -3/2), 0.00000,-1.50000,  0.00000, -4.27867,  -19,      (1),
(  3/2|  0  ), 1.50000, 0.00000,  3.70544,  2.13933,  -19,      (3),
( -1/3| -4/3),-0.33333,-1.33333, -0.82343, -4.27867,   20,    1+2+3,
( -4/3|  5/3),-1.33333, 1.66667, -3.29372,  2.85245,   20,    1+2+3,
( -5/3|  4/3),-1.66667, 1.33333, -4.11715,  1.42622,   20,    1+2+3,
(  1/3| -5/3), 0.33333,-1.66667,  0.82343, -4.27867,   20,    1+2+3,
(  4/3|  1/3), 1.33333, 0.33333,  3.29372,  2.85245,   20,    1+2+3,
(  5/3| -1/3), 1.66667,-0.33333,  4.11715,  1.42622,   20,    1+2+3,
( -1/3|  5/3),-0.33333, 1.66667, -0.82343,  4.27867,   21,    1+2+3,
( -4/3| -1/3),-1.33333,-0.33333, -3.29372, -2.85245,   21,    1+2+3,
( -5/3|  1/3),-1.66667, 0.33333, -4.11715, -1.42622,   21,    1+2+3,
(  1/3|  4/3), 0.33333, 1.33333,  0.82343,  4.27867,   21,    1+2+3,
(  4/3| -5/3), 1.33333,-1.66667,  3.29372, -2.85245,   21,    1+2+3,
(  5/3| -4/3), 1.66667,-1.33333,  4.11715, -1.42622,   21,    1+2+3,
(-11/6|  2/3),-1.83333, 0.66667, -4.52887, -0.71311,   22,        3,
( -2/3| 11/6),-0.66667, 1.83333, -1.64686,  4.27867,   22,        1,
( -7/6| -2/3),-1.16667,-0.66667, -2.88201, -3.56556,   22,        3,
( 11/6| -7/6), 1.83333,-1.16667,  4.52887, -0.71311,   22,        2,
(  2/3|  7/6), 0.66667, 1.16667,  1.64686,  4.27867,   22,        1,
(  7/6|-11/6), 1.16667,-1.83333,  2.88201, -3.56556,   22,        2,
(-11/6|  7/6),-1.83333, 1.16667, -4.52887,  0.71311,   23,        2,
( -2/3| -7/6),-0.66667,-1.16667, -1.64686, -4.27867,   23,        1,
( -7/6| 11/6),-1.16667, 1.83333, -2.88201,  3.56556,   23,        2,
( 11/6| -2/3), 1.83333,-0.66667,  4.52887,  0.71311,   23,        3,
(  2/3|-11/6), 0.66667,-1.83333,  1.64686, -4.27867,   23,        1,
(  7/6|  2/3), 1.16667, 0.66667,  2.88201,  3.56556,   23,        3,
( -1  | -1  ),-1.00000,-1.00000, -2.47029, -4.27867,   24,    1+2+3,
( -1  |  2  ),-1.00000, 2.00000, -2.47029,  4.27867,   24,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -4.94058,  0.00000,   24,    1+2+3,
(  1  | -2  ), 1.00000,-2.00000,  2.47029, -4.27867,   24,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.47029,  4.27867,   24,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  4.94058,  0.00000,   24,    1+2+3,
( -1/6| -5/3),-0.16667,-1.66667, -0.41172, -4.99178,   25,        3,
(-11/6|  5/3),-1.83333, 1.66667, -4.52887,  2.13933,   25,        3,
( -5/3| 11/6),-1.66667, 1.83333, -4.11715,  2.85245,   25,        1,
(  1/6|-11/6), 0.16667,-1.83333,  0.41172, -4.99178,   25,        2,
( 11/6| -1/6), 1.83333,-0.16667,  4.52887,  2.13933,   25,        2,
(  5/3|  1/6), 1.66667, 0.16667,  4.11715,  2.85245,   25,        1,
( -1/6| 11/6),-0.16667, 1.83333, -0.41172,  4.99178,   26,        2,
(-11/6|  1/6),-1.83333, 0.16667, -4.52887, -2.13933,   26,        2,
( -5/3| -1/6),-1.66667,-0.16667, -4.11715, -2.85245,   26,        1,
(  1/6|  5/3), 0.16667, 1.66667,  0.41172,  4.99178,   26,        3,
( 11/6| -5/3), 1.83333,-1.66667,  4.52887, -2.13933,   26,        3,
(  5/3|-11/6), 1.66667,-1.83333,  4.11715, -2.85245,   26,        1,
( -1/2| -3/2),-0.50000,-1.50000, -1.23515, -4.99178,   27,        2,
( -2  |  3/2),-2.00000, 1.50000, -4.94058,  1.42622,   27,        1,
( -3/2|  2  ),-1.50000, 2.00000, -3.70544,  3.56556,   27,        3,
(  1/2| -2  ), 0.50000,-2.00000,  1.23515, -4.99178,   27,        3,
(  2  | -1/2), 2.00000,-0.50000,  4.94058,  1.42622,   27,        1,
(  3/2|  1/2), 1.50000, 0.50000,  3.70544,  3.56556,   27,        2,
( -1/2|  2  ),-0.50000, 2.00000, -1.23515,  4.99178,   28,        3,
