# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Fe2O3(012)-(2x1).tlm
#
# Structure: Fe2O3(012)-(2x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 10.0700 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [10.0700  0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[2 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -3/2| -4  ),-1.50000,-4.00000, -1.87185, -4.63140,   59,        1,
(  3/2| -4  ), 1.50000,-4.00000,  1.87185, -4.63140,   59,        1,
( -3/2|  4  ),-1.50000, 4.00000, -1.87185,  4.63140,   60,        1,
(  3/2|  4  ), 1.50000, 4.00000,  1.87185,  4.63140,   60,        1,
( -3  | -3  ),-3.00000,-3.00000, -3.74371, -3.47355,   61,        1,
(  3  | -3  ), 3.00000,-3.00000,  3.74371, -3.47355,   61,        1,
( -3  |  3  ),-3.00000, 3.00000, -3.74371,  3.47355,   62,        1,
(  3  |  3  ), 3.00000, 3.00000,  3.74371,  3.47355,   62,        1,
( -4  | -1  ),-4.00000,-1.00000, -4.99161, -1.15785,   63,        1,
(  4  | -1  ), 4.00000,-1.00000,  4.99161, -1.15785,   63,        1,
( -4  |  1  ),-4.00000, 1.00000, -4.99161,  1.15785,   64,        1,
(  4  |  1  ), 4.00000, 1.00000,  4.99161,  1.15785,   64,        1,
( -2  | -4  ),-2.00000,-4.00000, -2.49580, -4.63140,   65,        1,
(  2  | -4  ), 2.00000,-4.00000,  2.49580, -4.63140,   65,        1,
( -2  |  4  ),-2.00000, 4.00000, -2.49580,  4.63140,   66,        1,
(  2  |  4  ), 2.00000, 4.00000,  2.49580,  4.63140,   66,        1,
( -4  | -2  ),-4.00000,-2.00000, -4.99161, -2.31570,   67,        1,
(  4  | -2  ), 4.00000,-2.00000,  4.99161, -2.31570,   67,        1,
( -4  |  2  ),-4.00000, 2.00000, -4.99161,  2.31570,   68,        1,
(  4  |  2  ), 4.00000, 2.00000,  4.99161,  2.31570,   68,        1,
( -7/2| -3  ),-3.50000,-3.00000, -4.36766, -3.47355,   69,        1,
(  7/2| -3  ), 3.50000,-3.00000,  4.36766, -3.47355,   69,        1,
( -7/2|  3  ),-3.50000, 3.00000, -4.36766,  3.47355,   70,        1,
(  7/2|  3  ), 3.50000, 3.00000,  4.36766,  3.47355,   70,        1,
( -5/2| -4  ),-2.50000,-4.00000, -3.11975, -4.63140,   71,        1,
(  5/2| -4  ), 2.50000,-4.00000,  3.11975, -4.63140,   71,        1,
( -5/2|  4  ),-2.50000, 4.00000, -3.11975,  4.63140,   72,        1,
