# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( -1/2 | -1/4 ),-0.50000,-0.25000, -1.23515, -1.42622,    9,        1+2,
(  1/2 |  1/4 ), 0.50000, 0.25000,  1.23515,  1.42622,   10,        1+2,
(  3/4 | -1/4 ), 0.75000,-0.25000,  1.85272,  0.35656,   10,        3+6,
( -1/2 |  3/4 ),-0.50000, 0.75000, -1.23515,  1.42622,   10,        1+2,
( -3/4 |  1/2 ),-0.75000, 0.50000, -1.85272,  0.35656,   10,        4+5,
(  1/4 | -3/4 ), 0.25000,-0.75000,  0.61757, -1.78278,   10,        3+6,
( -1/4 | -1/2 ),-0.25000,-0.50000, -0.61757, -1.78278,   10,        4+5,
(  5/12|  5/12), 0.41667, 0.41667,  1.02929,  1.78278,   11,        3+6,
(  5/6 | -5/12), 0.83333,-0.41667,  2.05858, -0.00000,   11,        1+2,
( -5/12|  5/6 ),-0.41667, 0.83333, -1.02929,  1.78278,   11,        4+5,
(  5/12| -5/6 ), 0.41667,-0.83333,  1.02929, -1.78278,   11,        4+5,
( -5/6 |  5/12),-0.83333, 0.41667, -2.05858,  0.00000,   11,        1+2,
( -5/12| -5/12),-0.41667,-0.41667, -1.02929, -1.78278,   11,        3+6,
(  2/3 |  1/6 ), 0.66667, 0.16667,  1.64686,  1.42622,   12,        1+2,
(  5/6 | -1/6 ), 0.83333,-0.16667,  2.05858,  0.71311,   12,        3+6,
( -2/3 |  5/6 ),-0.66667, 0.83333, -1.64686,  1.42622,   12,        1+2,
( -5/6 |  2/3 ),-0.83333, 0.66667, -2.05858,  0.71311,   12,        4+5,
(  1/6 | -5/6 ), 0.16667,-0.83333,  0.41172, -2.13933,   12,        3+6,
( -1/6 | -2/3 ),-0.16667,-0.66667, -0.41172, -2.13933,   12,        4+5,
(  1/6 |  2/3 ), 0.16667, 0.66667,  0.41172,  2.13933,   13,        4+5,
( -1/6 |  5/6 ),-0.16667, 0.83333, -0.41172,  2.13933,   13,        3+6,
(  5/6 | -2/3 ), 0.83333,-0.66667,  2.05858, -0.71311,   13,        4+5,
(  2/3 | -5/6 ), 0.66667,-0.83333,  1.64686, -1.42622,   13,        1+2,
( -5/6 |  1/6 ),-0.83333, 0.16667, -2.05858, -0.71311,   13,        3+6,
( -2/3 | -1/6 ),-0.66667,-0.16667, -1.64686, -1.42622,   13,        1+2,
(  1/2 |  1/2 ), 0.50000, 0.50000,  1.23515,  2.13933,   14,        3+6,
(  1   | -1/2 ), 1.00000,-0.50000,  2.47029, -0.00000,   14,        1+2,
( -1/2 |  1   ),-0.50000, 1.00000, -1.23515,  2.13933,   14,        4+5,
(  1/2 | -1   ), 0.50000,-1.00000,  1.23515, -2.13933,   14,        4+5,
( -1   |  1/2 ),-1.00000, 0.50000, -2.47029,  0.00000,   14,        1+2,
( -1/2 | -1/2 ),-0.50000,-0.50000, -1.23515, -2.13933,   14,        3+6,
(  1/12|  5/6 ), 0.08333, 0.83333,  0.20586,  2.49589,   15,        4+5,
( -1/12| 11/12),-0.08333, 0.91667, -0.20586,  2.49589,   15,        3+6,
( 11/12| -5/6 ), 0.91667,-0.83333,  2.26443, -1.06967,   15,        4+5,
(  5/6 |-11/12), 0.83333,-0.91667,  2.05858, -1.42622,   15,        1+2,
(-11/12|  1/12),-0.91667, 0.08333, -2.26443, -1.06967,   15,        3+6,
( -5/6 | -1/12),-0.83333,-0.08333, -2.05858, -1.42622,   15,        1+2,
(  5/6 |  1/12), 0.83333, 0.08333,  2.05858,  1.42622,   16,        1+2,
( 11/12| -1/12), 0.91667,-0.08333,  2.26443,  1.06967,   16,        3+6,
( -5/6 | 11/12),-0.83333, 0.91667, -2.05858,  1.42622,   16,        1+2,
(-11/12|  5/6 ),-0.91667, 0.83333, -2.26443,  1.06967,   16,        4+5,
(  1/12|-11/12), 0.08333,-0.91667,  0.20586, -2.49589,   16,        3+6,
( -1/12| -5/6 ),-0.08333,-0.83333, -0.20586, -2.49589,   16,        4+5,
(  0   |  1   ), 0.00000, 1.00000,  0.00000,  2.85245,   17,1+2+3+4+5+6,
(  1   | -1   ), 1.00000,-1.00000,  2.47029, -1.42622,   17,1+2+3+4+5+6,
( -1   |  0   ),-1.00000, 0.00000, -2.47029, -1.42622,   17,1+2+3+4+5+6,
(  1   |  0   ), 1.00000, 0.00000,  2.47029,  1.42622,   18,1+2+3+4+5+6,
( -1   |  1   ),-1.00000, 1.00000, -2.47029,  1.42622,   18,1+2+3+4+5+6,
(  0   | -1   ), 0.00000,-1.00000,  0.00000, -2.85245,   18,1+2+3+4+5+6,
( 11/12|  1/6 ), 0.91667, 0.16667,  2.26443,  1.78278,   19,        4+5,
( 13/12| -1/6 ), 1.08333,-0.16667,  2.67615,  1.06967,   19,        4+5,
(-11/12| 13/12),-0.91667, 1.08333, -2.26443,  1.78278,   19,        3+6,
(-13/12| 11/12),-1.08333, 0.91667, -2.67615,  1.06967,   19,        3+6,
(  1/6 |-13/12), 0.16667,-1.08333,  0.41172, -2.85245,   19,        1+2,
( -1/6 |-11/12),-0.16667,-0.91667, -0.41172, -2.85245,   19,        1+2,
(  7/12|  7/12), 0.58333, 0.58333,  1.44100,  2.49589,   20,        3+6,
(  7/6 | -7/12), 1.16667,-0.58333,  2.88201, -0.00000,   20,        1+2,
( -7/12|  7/6 ),-0.58333, 1.16667, -1.44100,  2.49589,   20,        4+5,
(  7/12| -7/6 ), 0.58333,-1.16667,  1.44100, -2.49589,   20,        4+5,
( -7/6 |  7/12),-1.16667, 0.58333, -2.88201,  0.00000,   20,        1+2,
( -7/12| -7/12),-0.58333,-0.58333, -1.44100, -2.49589,   20,        3+6,
(  1/6 | 11/12), 0.16667, 0.91667,  0.41172,  2.85245,   21,        1+2,
( -1/6 | 13/12),-0.16667, 1.08333, -0.41172,  2.85245,   21,        1+2,
( 13/12|-11/12), 1.08333,-0.91667,  2.67615, -1.06967,   21,        3+6,
