# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
(  3/2 | -1/2 ), 1.50000,-0.50000,  3.70544,  0.71311,   35,        3+6,
( -1   |  3/2 ),-1.00000, 1.50000, -2.47029,  2.85245,   35,        1+2,
( -3/2 |  1   ),-1.50000, 1.00000, -3.70544,  0.71311,   35,        4+5,
(  1/2 | -3/2 ), 0.50000,-1.50000,  1.23515, -3.56556,   35,        3+6,
( -1/2 | -1   ),-0.50000,-1.00000, -1.23515, -3.56556,   35,        4+5,
(  1/4 |  5/4 ), 0.25000, 1.25000,  0.61757,  3.92211,   36,        3+6,
( -1/4 |  3/2 ),-0.25000, 1.50000, -0.61757,  3.92211,   36,        4+5,
(  3/2 | -5/4 ), 1.50000,-1.25000,  3.70544, -1.42622,   36,        1+2,
(  5/4 | -3/2 ), 1.25000,-1.50000,  3.08786, -2.49589,   36,        4+5,
( -3/2 |  1/4 ),-1.50000, 0.25000, -3.70544, -1.42622,   36,        1+2,
( -5/4 | -1/4 ),-1.25000,-0.25000, -3.08786, -2.49589,   36,        3+6,
(  5/4 |  1/4 ), 1.25000, 0.25000,  3.08786,  2.49589,   37,        3+6,
(  3/2 | -1/4 ), 1.50000,-0.25000,  3.70544,  1.42622,   37,        1+2,
( -5/4 |  3/2 ),-1.25000, 1.50000, -3.08786,  2.49589,   37,        4+5,
( -3/2 |  5/4 ),-1.50000, 1.25000, -3.70544,  1.42622,   37,        1+2,
(  1/4 | -3/2 ), 0.25000,-1.50000,  0.61757, -3.92211,   37,        4+5,
( -1/4 | -5/4 ),-0.25000,-1.25000, -0.61757, -3.92211,   37,        3+6,
(  5/12|  7/6 ), 0.41667, 1.16667,  1.02929,  3.92211,   38,        4+5,
( -5/12| 19/12),-0.41667, 1.58333, -1.02929,  3.92211,   38,        3+6,
( 19/12| -7/6 ), 1.58333,-1.16667,  3.91129, -1.06967,   38,        4+5,
(  7/6 |-19/12), 1.16667,-1.58333,  2.88201, -2.85245,   38,        1+2,
(-19/12|  5/12),-1.58333, 0.41667, -3.91129, -1.06967,   38,        3+6,
( -7/6 | -5/12),-1.16667,-0.41667, -2.88201, -2.85245,   38,        1+2,
(  7/6 |  5/12), 1.16667, 0.41667,  2.88201,  2.85245,   39,        1+2,
( 19/12| -5/12), 1.58333,-0.41667,  3.91129,  1.06967,   39,        3+6,
( -7/6 | 19/12),-1.16667, 1.58333, -2.88201,  2.85245,   39,        1+2,
(-19/12|  7/6 ),-1.58333, 1.16667, -3.91129,  1.06967,   39,        4+5,
(  5/12|-19/12), 0.41667,-1.58333,  1.02929, -3.92211,   39,        3+6,
( -5/12| -7/6 ),-0.41667,-1.16667, -1.02929, -3.92211,   39,        4+5,
(  5/6 |  5/6 ), 0.83333, 0.83333,  2.05858,  3.56556,   40,        3+6,
(  5/3 | -5/6 ), 1.66667,-0.83333,  4.11715, -0.00000,   40,        1+2,
( -5/6 |  5/3 ),-0.83333, 1.66667, -2.05858,  3.56556,   40,        4+5,
(  5/6 | -5/3 ), 0.83333,-1.66667,  2.05858, -3.56556,   40,        4+5,
( -5/3 |  5/6 ),-1.66667, 0.83333, -4.11715,  0.00000,   40,        1+2,
( -5/6 | -5/6 ),-0.83333,-0.83333, -2.05858, -3.56556,   40,        3+6,
(  3/2 |  0   ), 1.50000, 0.00000,  3.70544,  2.13933,   41,        4+5,
( -3/2 |  3/2 ),-1.50000, 1.50000, -3.70544,  2.13933,   41,        3+6,
(  0   | -3/2 ), 0.00000,-1.50000,  0.00000, -4.27867,   41,        1+2,
(  0   |  3/2 ), 0.00000, 1.50000,  0.00000,  4.27867,   42,        1+2,
(  3/2 | -3/2 ), 1.50000,-1.50000,  3.70544, -2.13933,   42,        3+6,
( -3/2 |  0   ),-1.50000, 0.00000, -3.70544, -2.13933,   42,        4+5,
( 17/12|  1/6 ), 1.41667, 0.16667,  3.49958,  2.49589,   43,        4+5,
( 19/12| -1/6 ), 1.58333,-0.16667,  3.91129,  1.78278,   43,        4+5,
(-17/12| 19/12),-1.41667, 1.58333, -3.49958,  2.49589,   43,        3+6,
(-19/12| 17/12),-1.58333, 1.41667, -3.91129,  1.78278,   43,        3+6,
(  1/6 |-19/12), 0.16667,-1.58333,  0.41172, -4.27867,   43,        1+2,
( -1/6 |-17/12),-0.16667,-1.41667, -0.41172, -4.27867,   43,        1+2,
(  1/6 | 17/12), 0.16667, 1.41667,  0.41172,  4.27867,   44,        1+2,
( -1/6 | 19/12),-0.16667, 1.58333, -0.41172,  4.27867,   44,        1+2,
( 19/12|-17/12), 1.58333,-1.41667,  3.91129, -1.78278,   44,        3+6,
( 17/12|-19/12), 1.41667,-1.58333,  3.49958, -2.49589,   44,        3+6,
(-19/12|  1/6 ),-1.58333, 0.16667, -3.91129, -1.78278,   44,        4+5,
(-17/12| -1/6 ),-1.41667,-0.16667, -3.49958, -2.49589,   44,        4+5,
(  4/3 |  1/3 ), 1.33333, 0.33333,  3.29372,  2.85245,   45,1+2+3+4+5+6,
(  5/3 | -1/3 ), 1.66667,-0.33333,  4.11715,  1.42622,   45,1+2+3+4+5+6,
( -4/3 |  5/3 ),-1.33333, 1.66667, -3.29372,  2.85245,   45,1+2+3+4+5+6,
( -5/3 |  4/3 ),-1.66667, 1.33333, -4.11715,  1.42622,   45,1+2+3+4+5+6,
(  1/3 | -5/3 ), 0.33333,-1.66667,  0.82343, -4.27867,   45,1+2+3+4+5+6,
( -1/3 | -4/3 ),-0.33333,-1.33333, -0.82343, -4.27867,   45,1+2+3+4+5+6,
(  1/3 |  4/3 ), 0.33333, 1.33333,  0.82343,  4.27867,   46,1+2+3+4+5+6,
( -1/3 |  5/3 ),-0.33333, 1.66667, -0.82343,  4.27867,   46,1+2+3+4+5+6,
(  5/3 | -4/3 ), 1.66667,-1.33333,  4.11715, -1.42622,   46,1+2+3+4+5+6,
(  4/3 | -5/3 ), 1.33333,-1.66667,  3.29372, -2.85245,   46,1+2+3+4+5+6,
( -5/3 |  1/3 ),-1.66667, 0.33333, -4.11715, -1.42622,   46,1+2+3+4+5+6,
( -4/3 | -1/3 ),-1.33333,-0.33333, -3.29372, -2.85245,   46,1+2+3+4+5+6,
(  5/4 |  1/2 ), 1.25000, 0.50000,  3.08786,  3.20900,   47,        4+5,
(  7/4 | -1/2 ), 1.75000,-0.50000,  4.32301,  1.06967,   47,        4+5,
( -5/4 |  7/4 ),-1.25000, 1.75000, -3.08786,  3.20900,   47,        3+6,
( -7/4 |  5/4 ),-1.75000, 1.25000, -4.32301,  1.06967,   47,        3+6,
(  1/2 | -7/4 ), 0.50000,-1.75000,  1.23515, -4.27867,   47,        1+2,
( -1/2 | -5/4 ),-0.50000,-1.25000, -1.23515, -4.27867,   47,        1+2,
(  1/2 |  5/4 ), 0.50000, 1.25000,  1.23515,  4.27867,   48,        1+2,
( -1/2 |  7/4 ),-0.50000, 1.75000, -1.23515,  4.27867,   48,        1+2,
(  7/4 | -5/4 ), 1.75000,-1.25000,  4.32301, -1.06967,   48,        3+6,
(  5/4 | -7/4 ), 1.25000,-1.75000,  3.08786, -3.20900,   48,        3+6,
( -7/4 |  1/2 ),-1.75000, 0.50000, -4.32301, -1.06967,   48,        4+5,
( -5/4 | -1/2 ),-1.25000,-0.50000, -3.08786, -3.20900,   48,        4+5,
( 11/12| 11/12), 0.91667, 0.91667,  2.26443,  3.92211,   49,        3+6,
( 11/6 |-11/12), 1.83333,-0.91667,  4.52887, -0.00000,   49,        1+2,
(-11/12| 11/6 ),-0.91667, 1.83333, -2.26443,  3.92211,   49,        4+5,
( 11/12|-11/6 ), 0.91667,-1.83333,  2.26443, -3.92211,   49,        4+5,
(-11/6 | 11/12),-1.83333, 0.91667, -4.52887,  0.00000,   49,        1+2,
(-11/12|-11/12),-0.91667,-0.91667, -2.26443, -3.92211,   49,        3+6,
(  7/6 |  2/3 ), 1.16667, 0.66667,  2.88201,  3.56556,   50,        4+5,
( 11/6 | -2/3 ), 1.83333,-0.66667,  4.52887,  0.71311,   50,        4+5,
( -7/6 | 11/6 ),-1.16667, 1.83333, -2.88201,  3.56556,   50,        3+6,
(-11/6 |  7/6 ),-1.83333, 1.16667, -4.52887,  0.71311,   50,        3+6,
(  2/3 |-11/6 ), 0.66667,-1.83333,  1.64686, -4.27867,   50,        1+2,
( -2/3 | -7/6 ),-0.66667,-1.16667, -1.64686, -4.27867,   50,        1+2,
(  2/3 |  7/6 ), 0.66667, 1.16667,  1.64686,  4.27867,   51,        1+2,
( -2/3 | 11/6 ),-0.66667, 1.83333, -1.64686,  4.27867,   51,        1+2,
( 11/6 | -7/6 ), 1.83333,-1.16667,  4.52887, -0.71311,   51,        3+6,
(  7/6 |-11/6 ), 1.16667,-1.83333,  2.88201, -3.56556,   51,        3+6,
(-11/6 |  2/3 ),-1.83333, 0.66667, -4.52887, -0.71311,   51,        4+5,
( -7/6 | -2/3 ),-1.16667,-0.66667, -2.88201, -3.56556,   51,        4+5,
(  3/2 |  1/4 ), 1.50000, 0.25000,  3.70544,  2.85245,   52,        1+2,
(  7/4 | -1/4 ), 1.75000,-0.25000,  4.32301,  1.78278,   52,        3+6,
( -3/2 |  7/4 ),-1.50000, 1.75000, -3.70544,  2.85245,   52,        1+2,
( -7/4 |  3/2 ),-1.75000, 1.50000, -4.32301,  1.78278,   52,        4+5,
(  1/4 | -7/4 ), 0.25000,-1.75000,  0.61757, -4.63523,   52,        3+6,
( -1/4 | -3/2 ),-0.25000,-1.50000, -0.61757, -4.63523,   52,        4+5,
(  1/4 |  3/2 ), 0.25000, 1.50000,  0.61757,  4.63523,   53,        4+5,
( -1/4 |  7/4 ),-0.25000, 1.75000, -0.61757,  4.63523,   53,        3+6,
(  7/4 | -3/2 ), 1.75000,-1.50000,  4.32301, -1.78278,   53,        4+5,
(  3/2 | -7/4 ), 1.50000,-1.75000,  3.70544, -2.85245,   53,        1+2,
( -7/4 |  1/4 ),-1.75000, 0.25000, -4.32301, -1.78278,   53,        3+6,
( -3/2 | -1/4 ),-1.50000,-0.25000, -3.70544, -2.85245,   53,        1+2,
(  5/12| 17/12), 0.41667, 1.41667,  1.02929,  4.63523,   54,        3+6,
( -5/12| 11/6 ),-0.41667, 1.83333, -1.02929,  4.63523,   54,        4+5,
( 11/6 |-17/12), 1.83333,-1.41667,  4.52887, -1.42622,   54,        1+2,
( 17/12|-11/6 ), 1.41667,-1.83333,  3.49958, -3.20900,   54,        4+5,
(-11/6 |  5/12),-1.83333, 0.41667, -4.52887, -1.42622,   54,        1+2,
(-17/12| -5/12),-1.41667,-0.41667, -3.49958, -3.20900,   54,        3+6,
( 17/12|  5/12), 1.41667, 0.41667,  3.49958,  3.20900,   55,        3+6,
( 11/6 | -5/12), 1.83333,-0.41667,  4.52887,  1.42622,   55,        1+2,
(-17/12| 11/6 ),-1.41667, 1.83333, -3.49958,  3.20900,   55,        4+5,
(-11/6 | 17/12),-1.83333, 1.41667, -4.52887,  1.42622,   55,        1+2,
(  5/12|-11/6 ), 0.41667,-1.83333,  1.02929, -4.63523,   55,        4+5,
( -5/12|-17/12),-0.41667,-1.41667, -1.02929, -4.63523,   55,        3+6,
( 13/12|  5/6 ), 1.08333, 0.83333,  2.67615,  3.92211,   56,        4+5,
( 23/12| -5/6 ), 1.91667,-0.83333,  4.73472,  0.35656,   56,        4+5,
(-13/12| 23/12),-1.08333, 1.91667, -2.67615,  3.92211,   56,        3+6,
(-23/12| 13/12),-1.91667, 1.08333, -4.73472,  0.35656,   56,        3+6,
(  5/6 |-23/12), 0.83333,-1.91667,  2.05858, -4.27867,   56,        1+2,
( -5/6 |-13/12),-0.83333,-1.08333, -2.05858, -4.27867,   56,        1+2,
(  5/6 | 13/12), 0.83333, 1.08333,  2.05858,  4.27867,   57,        1+2,
( -5/6 | 23/12),-0.83333, 1.91667, -2.05858,  4.27867,   57,        1+2,
( 23/12|-13/12), 1.91667,-1.08333,  4.73472, -0.35656,   57,        3+6,
( 13/12|-23/12), 1.08333,-1.91667,  2.67615, -3.92211,   57,        3+6,
(-23/12|  5/6 ),-1.91667, 0.83333, -4.73472, -0.35656,   57,        4+5,
(-13/12| -5/6 ),-1.08333,-0.83333, -2.67615, -3.92211,   57,        4+5,
(  1   |  1   ), 1.00000, 1.00000,  2.47029,  4.27867,   58,1+2+3+4+5+6,
(  2   | -1   ), 2.00000,-1.00000,  4.94058, -0.00000,   58,1+2+3+4+5+6,
( -1   |  2   ),-1.00000, 2.00000, -2.47029,  4.27867,   58,1+2+3+4+5+6,
(  1   | -2   ), 1.00000,-2.00000,  2.47029, -4.27867,   58,1+2+3+4+5+6,
( -2   |  1   ),-2.00000, 1.00000, -4.94058,  0.00000,   58,1+2+3+4+5+6,
( -1   | -1   ),-1.00000,-1.00000, -2.47029, -4.27867,   58,1+2+3+4+5+6,
(  1/6 |  5/3 ), 0.16667, 1.66667,  0.41172,  4.99178,   59,        4+5,
( -1/6 | 11/6 ),-0.16667, 1.83333, -0.41172,  4.99178,   59,        3+6,
( 11/6 | -5/3 ), 1.83333,-1.66667,  4.52887, -2.13933,   59,        4+5,
(  5/3 |-11/6 ), 1.66667,-1.83333,  4.11715, -2.85245,   59,        1+2,
(-11/6 |  1/6 ),-1.83333, 0.16667, -4.52887, -2.13933,   59,        3+6,
( -5/3 | -1/6 ),-1.66667,-0.16667, -4.11715, -2.85245,   59,        1+2,
(  5/3 |  1/6 ), 1.66667, 0.16667,  4.11715,  2.85245,   60,        1+2,
( 11/6 | -1/6 ), 1.83333,-0.16667,  4.52887,  2.13933,   60,        3+6,
( -5/3 | 11/6 ),-1.66667, 1.83333, -4.11715,  2.85245,   60,        1+2,
(-11/6 |  5/3 ),-1.83333, 1.66667, -4.52887,  2.13933,   60,        4+5,
(  1/6 |-11/6 ), 0.16667,-1.83333,  0.41172, -4.99178,   60,        3+6,
( -1/6 | -5/3 ),-0.16667,-1.66667, -0.41172, -4.99178,   60,        4+5,
(  1/2 |  3/2 ), 0.50000, 1.50000,  1.23515,  4.99178,   61,        3+6,
( -1/2 |  2   ),-0.50000, 2.00000, -1.23515,  4.99178,   61,        4+5,
(  2   | -3/2 ), 2.00000,-1.50000,  4.94058, -1.42622,   61,        1+2,
(  3/2 | -2   ), 1.50000,-2.00000,  3.70544, -3.56556,   61,        4+5,
( -2   |  1/2 ),-2.00000, 0.50000, -4.94058, -1.42622,   61,        1+2,
( -3/2 | -1/2 ),-1.50000,-0.50000, -3.70544, -3.56556,   61,        3+6,
(  3/2 |  1/2 ), 1.50000, 0.50000,  3.70544,  3.56556,   62,        3+6,
(  2   | -1/2 ), 2.00000,-0.50000,  4.94058,  1.42622,   62,        1+2,
( -3/2 |  2   ),-1.50000, 2.00000, -3.70544,  3.56556,   62,        4+5,
( -2   |  3/2 ),-2.00000, 1.50000, -4.94058,  1.42622,   62,        1+2,
(  1/2 | -2   ), 0.50000,-2.00000,  1.23515, -4.99178,   62,        4+5,
( -1/2 | -3/2 ),-0.50000,-1.50000, -1.23515, -4.99178,   62,        3+6,
( 11/12|  7/6 ), 0.91667, 1.16667,  2.26443,  4.63523,   63,        4+5,
(-11/12| 25/12),-0.91667, 2.08333, -2.26443,  4.63523,   63,        3+6,
( 25/12| -7/6 ), 2.08333,-1.16667,  5.14644, -0.35656,   63,        4+5,
(  7/6 |-25/12), 1.16667,-2.08333,  2.88201, -4.27867,   63,        1+2,
(-25/12| 11/12),-2.08333, 0.91667, -5.14644, -0.35656,   63,        3+6,
( -7/6 |-11/12),-1.16667,-0.91667, -2.88201, -4.27867,   63,        1+2,
(  7/6 | 11/12), 1.16667, 0.91667,  2.88201,  4.27867,   64,        1+2,
( 25/12|-11/12), 2.08333,-0.91667,  5.14644,  0.35656,   64,        3+6,
( -7/6 | 25/12),-1.16667, 2.08333, -2.88201,  4.27867,   64,        1+2,
(-25/12|  7/6 ),-2.08333, 1.16667, -5.14644,  0.35656,   64,        4+5,
( 11/12|-25/12), 0.91667,-2.08333,  2.26443, -4.63523,   64,        3+6,
(-11/12| -7/6 ),-0.91667,-1.16667, -2.26443, -4.63523,   64,        4+5,
( 13/12| 13/12), 1.08333, 1.08333,  2.67615,  4.63523,   65,        3+6,
( 13/6 |-13/12), 2.16667,-1.08333,  5.35230, -0.00000,   65,        1+2,
(-13/12| 13/6 ),-1.08333, 2.16667, -2.67615,  4.63523,   65,        4+5,
( 13/12|-13/6 ), 1.08333,-2.16667,  2.67615, -4.63523,   65,        4+5,
(-13/6 | 13/12),-2.16667, 1.08333, -5.35230,  0.00000,   65,        1+2,
(-13/12|-13/12),-1.08333,-1.08333, -2.67615, -4.63523,   65,        3+6,
(  1/12| 11/6 ), 0.08333, 1.83333,  0.20586,  5.34834,   66,        4+5,
( -1/12| 23/12),-0.08333, 1.91667, -0.20586,  5.34834,   66,        3+6,
( 23/12|-11/6 ), 1.91667,-1.83333,  4.73472, -2.49589,   66,        4+5,
( 11/6 |-23/12), 1.83333,-1.91667,  4.52887, -2.85245,   66,        1+2,
(-23/12|  1/12),-1.91667, 0.08333, -4.73472, -2.49589,   66,        3+6,
(-11/6 | -1/12),-1.83333,-0.08333, -4.52887, -2.85245,   66,        1+2,
( 11/6 |  1/12), 1.83333, 0.08333,  4.52887,  2.85245,   67,        1+2,
( 23/12| -1/12), 1.91667,-0.08333,  4.73472,  2.49589,   67,        3+6,
(-11/6 | 23/12),-1.83333, 1.91667, -4.52887,  2.85245,   67,        1+2,
(-23/12| 11/6 ),-1.91667, 1.83333, -4.73472,  2.49589,   67,        4+5,
(  1/12|-23/12), 0.08333,-1.91667,  0.20586, -5.34834,   67,        3+6,
( -1/12|-11/6 ),-0.08333,-1.83333, -0.20586, -5.34834,   67,        4+5,
(  5/6 |  4/3 ), 0.83333, 1.33333,  2.05858,  4.99178,   68,        4+5,
( -5/6 | 13/6 ),-0.83333, 2.16667, -2.05858,  4.99178,   68,        3+6,
( 13/6 | -4/3 ), 2.16667,-1.33333,  5.35230, -0.71311,   68,        4+5,
(  4/3 |-13/6 ), 1.33333,-2.16667,  3.29372, -4.27867,   68,        1+2,
(-13/6 |  5/6 ),-2.16667, 0.83333, -5.35230, -0.71311,   68,        3+6,
( -4/3 | -5/6 ),-1.33333,-0.83333, -3.29372, -4.27867,   68,        1+2,
(  4/3 |  5/6 ), 1.33333, 0.83333,  3.29372,  4.27867,   69,        1+2,
( 13/6 | -5/6 ), 2.16667,-0.83333,  5.35230,  0.71311,   69,        3+6,
( -4/3 | 13/6 ),-1.33333, 2.16667, -3.29372,  4.27867,   69,        1+2,
(-13/6 |  4/3 ),-2.16667, 1.33333, -5.35230,  0.71311,   69,        4+5,
(  5/6 |-13/6 ), 0.83333,-2.16667,  2.05858, -4.99178,   69,        3+6,
( -5/6 | -4/3 ),-0.83333,-1.33333, -2.05858, -4.99178,   69,        4+5,
(  7/12| 19/12), 0.58333, 1.58333,  1.44100,  5.34834,   70,        3+6,
( -7/12| 13/6 ),-0.58333, 2.16667, -1.44100,  5.34834,   70,        4+5,
( 13/6 |-19/12), 2.16667,-1.58333,  5.35230, -1.42622,   70,        1+2,
( 19/12|-13/6 ), 1.58333,-2.16667,  3.91129, -3.92211,   70,        4+5,
(-13/6 |  7/12),-2.16667, 0.58333, -5.35230, -1.42622,   70,        1+2,
(-19/12| -7/12),-1.58333,-0.58333, -3.91129, -3.92211,   70,        3+6,
( 19/12|  7/12), 1.58333, 0.58333,  3.91129,  3.92211,   71,        3+6,
( 13/6 | -7/12), 2.16667,-0.58333,  5.35230,  1.42622,   71,        1+2,
(-19/12| 13/6 ),-1.58333, 2.16667, -3.91129,  3.92211,   71,        4+5,
(-13/6 | 19/12),-2.16667, 1.58333, -5.35230,  1.42622,   71,        1+2,
(  7/12|-13/6 ), 0.58333,-2.16667,  1.44100, -5.34834,   71,        4+5,
( -7/12|-19/12),-0.58333,-1.58333, -1.44100, -5.34834,   71,        3+6,
(  3/4 |  3/2 ), 0.75000, 1.50000,  1.85272,  5.34834,   72,        4+5,
( -3/4 |  9/4 ),-0.75000, 2.25000, -1.85272,  5.34834,   72,        3+6,
(  9/4 | -3/2 ), 2.25000,-1.50000,  5.55815, -1.06967,   72,        4+5,
(  3/2 | -9/4 ), 1.50000,-2.25000,  3.70544, -4.27867,   72,        1+2,
( -9/4 |  3/4 ),-2.25000, 0.75000, -5.55815, -1.06967,   72,        3+6,
( -3/2 | -3/4 ),-1.50000,-0.75000, -3.70544, -4.27867,   72,        1+2,
(  3/2 |  3/4 ), 1.50000, 0.75000,  3.70544,  4.27867,   73,        1+2,
(  9/4 | -3/4 ), 2.25000,-0.75000,  5.55815,  1.06967,   73,        3+6,
( -3/2 |  9/4 ),-1.50000, 2.25000, -3.70544,  4.27867,   73,        1+2,
( -9/4 |  3/2 ),-2.25000, 1.50000, -5.55815,  1.06967,   73,        4+5,
(  3/4 | -9/4 ), 0.75000,-2.25000,  1.85272, -5.34834,   73,        3+6,
( -3/4 | -3/2 ),-0.75000,-1.50000, -1.85272, -5.34834,   73,        4+5,
(  0   |  2   ), 0.00000, 2.00000,  0.00000,  5.70489,   74,1+2+3+4+5+6,
(  2   | -2   ), 2.00000,-2.00000,  4.94058, -2.85245,   74,1+2+3+4+5+6,
( -2   |  0   ),-2.00000, 0.00000, -4.94058, -2.85245,   74,1+2+3+4+5+6,
(  2   |  0   ), 2.00000, 0.00000,  4.94058,  2.85245,   75,1+2+3+4+5+6,
( -2   |  2   ),-2.00000, 2.00000, -4.94058,  2.85245,   75,1+2+3+4+5+6,
(  0   | -2   ), 0.00000,-2.00000,  0.00000, -5.70489,   75,1+2+3+4+5+6,
( 23/12|  1/6 ), 1.91667, 0.16667,  4.73472,  3.20900,   76,        4+5,
( 25/12| -1/6 ), 2.08333,-0.16667,  5.14644,  2.49589,   76,        4+5,
(-23/12| 25/12),-1.91667, 2.08333, -4.73472,  3.20900,   76,        3+6,
(-25/12| 23/12),-2.08333, 1.91667, -5.14644,  2.49589,   76,        3+6,
(  1/6 |-25/12), 0.16667,-2.08333,  0.41172, -5.70489,   76,        1+2,
( -1/6 |-23/12),-0.16667,-1.91667, -0.41172, -5.70489,   76,        1+2,
(  1/6 | 23/12), 0.16667, 1.91667,  0.41172,  5.70489,   77,        1+2,
( -1/6 | 25/12),-0.16667, 2.08333, -0.41172,  5.70489,   77,        1+2,
( 25/12|-23/12), 2.08333,-1.91667,  5.14644, -2.49589,   77,        3+6,
( 23/12|-25/12), 1.91667,-2.08333,  4.73472, -3.20900,   77,        3+6,
(-25/12|  1/6 ),-2.08333, 0.16667, -5.14644, -2.49589,   77,        4+5,
(-23/12| -1/6 ),-1.91667,-0.16667, -4.73472, -3.20900,   77,        4+5,
( 11/6 |  1/3 ), 1.83333, 0.33333,  4.52887,  3.56556,   78,        4+5,
( 13/6 | -1/3 ), 2.16667,-0.33333,  5.35230,  2.13933,   78,        4+5,
(-11/6 | 13/6 ),-1.83333, 2.16667, -4.52887,  3.56556,   78,        3+6,
(-13/6 | 11/6 ),-2.16667, 1.83333, -5.35230,  2.13933,   78,        3+6,
(  1/3 |-13/6 ), 0.33333,-2.16667,  0.82343, -5.70489,   78,        1+2,
( -1/3 |-11/6 ),-0.33333,-1.83333, -0.82343, -5.70489,   78,        1+2,
(  7/6 |  7/6 ), 1.16667, 1.16667,  2.88201,  4.99178,   79,        3+6,
(  7/3 | -7/6 ), 2.33333,-1.16667,  5.76401, -0.00000,   79,        1+2,
( -7/6 |  7/3 ),-1.16667, 2.33333, -2.88201,  4.99178,   79,        4+5,
(  7/6 | -7/3 ), 1.16667,-2.33333,  2.88201, -4.99178,   79,        4+5,
( -7/3 |  7/6 ),-2.33333, 1.16667, -5.76401,  0.00000,   79,        1+2,
( -7/6 | -7/6 ),-1.16667,-1.16667, -2.88201, -4.99178,   79,        3+6,
(  1/3 | 11/6 ), 0.33333, 1.83333,  0.82343,  5.70489,   80,        1+2,
( -1/3 | 13/6 ),-0.33333, 2.16667, -0.82343,  5.70489,   80,        1+2,
( 13/6 |-11/6 ), 2.16667,-1.83333,  5.35230, -2.13933,   80,        3+6,
( 11/6 |-13/6 ), 1.83333,-2.16667,  4.52887, -3.56556,   80,        3+6,
(-13/6 |  1/3 ),-2.16667, 0.33333, -5.35230, -2.13933,   80,        4+5,
(-11/6 | -1/3 ),-1.83333,-0.33333, -4.52887, -3.56556,   80,        4+5,
(  7/4 |  1/2 ), 1.75000, 0.50000,  4.32301,  3.92211,   81,        4+5,
(  9/4 | -1/2 ), 2.25000,-0.50000,  5.55815,  1.78278,   81,        4+5,
( -7/4 |  9/4 ),-1.75000, 2.25000, -4.32301,  3.92211,   81,        3+6,
( -9/4 |  7/4 ),-2.25000, 1.75000, -5.55815,  1.78278,   81,        3+6,
(  1/2 | -9/4 ), 0.50000,-2.25000,  1.23515, -5.70489,   81,        1+2,
( -1/2 | -7/4 ),-0.50000,-1.75000, -1.23515, -5.70489,   81,        1+2,
(  1/2 |  7/4 ), 0.50000, 1.75000,  1.23515,  5.70489,   82,        1+2,
( -1/2 |  9/4 ),-0.50000, 2.25000, -1.23515,  5.70489,   82,        1+2,
(  9/4 | -7/4 ), 2.25000,-1.75000,  5.55815, -1.78278,   82,        3+6,
(  7/4 | -9/4 ), 1.75000,-2.25000,  4.32301, -3.92211,   82,        3+6,
( -9/4 |  1/2 ),-2.25000, 0.50000, -5.55815, -1.78278,   82,        4+5,
( -7/4 | -1/2 ),-1.75000,-0.50000, -4.32301, -3.92211,   82,        4+5,
(  2/3 |  5/3 ), 0.66667, 1.66667,  1.64686,  5.70489,   83,1+2+3+4+5+6,
( -2/3 |  7/3 ),-0.66667, 2.33333, -1.64686,  5.70489,   83,1+2+3+4+5+6,
(  7/3 | -5/3 ), 2.33333,-1.66667,  5.76401, -1.42622,   83,1+2+3+4+5+6,
(  5/3 | -7/3 ), 1.66667,-2.33333,  4.11715, -4.27867,   83,1+2+3+4+5+6,
