      E;     ( 1| 0);     ( 1| 1);     ( 1|-1);     ( 0| 2);     ( 0|-2);     ( 2| 0);     ( 1| 2);     ( 1|-2);     ( 2| 1);     ( 2|-1);     ( 2| 2);     ( 2|-2);     ( 1| 3);     ( 1|-3);     ( 3| 0);     ( 3| 1);     ( 3|-1);     ( 2| 3);     ( 2|-3);     ( 3| 2);     ( 3|-2);     ( 0| 4);     ( 0|-4);     ( 1| 4);     ( 1|-4);     ( 4| 0);     ( 3| 3);     ( 3|-3);     ( 4| 1);     ( 4|-1);     ( 2| 4);     ( 2|-4);     ( 4| 2);     ( 4|-2);     ( 1| 5);     ( 1|-5);     ( 3| 4);     ( 3|-4);     ( 4| 3);     ( 4|-3);     ( 5| 0);     ( 2| 5);     ( 2|-5);     ( 5| 1);     ( 5|-1);     ( 5| 2);     ( 5|-2);     ( 4| 4);     ( 4|-4);     ( 3| 5);     ( 3|-5);     ( 0| 6);     ( 0|-6);     ( 5| 3);     ( 5|-3);     ( 2| 6);     ( 2|-6)
 371.00; 5.94660E-05; 2.80000E-04; 3.62290E-04; 1.34840E-04; 4.07690E-04; 3.37950E-04; 2.21660E-05; 3.18100E-05; 2.42630E-05; 1.48470E-04; 5.20520E-04; 3.81390E-04; 5.81320E-04; 1.47860E-06; 1.65590E-04; 5.97240E-04; 1.05930E-04; 6.90020E-05; 3.18590E-04; 1.82920E-05; 1.88940E-05; 1.74750E-04; 3.63400E-04; 9.75670E-06; 1.73150E-05; 1.79290E-04; 2.05620E-04; 2.17970E-05; 2.55560E-04; 1.55670E-04; 5.92210E-05; 5.33320E-04; 1.30240E-04; 6.46840E-04; 3.29830E-04; 9.56600E-05; 4.09890E-05; 3.18500E-05; 1.38900E-04; 2.27050E-05; 2.21410E-05; 1.36080E-05; 6.77250E-05; 4.73280E-05; 8.00670E-05; 7.66180E-05; 2.50340E-05; 2.24790E-04; 8.55360E-06; 2.22570E-04; 7.87600E-05; 8.40260E-05; 1.61320E-05; 1.29360E-04; 1.23440E-04; 1.12690E-04; 8.23830E-05
 374.00; 5.50940E-05; 4.04620E-04; 5.37330E-04; 1.48930E-04; 2.17250E-04; 2.51870E-04; 3.65660E-05; 3.06990E-05; 4.75620E-05; 1.79050E-04; 5.59000E-04; 4.07110E-04; 5.36580E-04; 1.25120E-05; 6.77520E-05; 4.15320E-04; 9.33720E-05; 7.75240E-05; 2.06420E-04; 1.35580E-05; 3.28220E-05; 1.63090E-04; 3.68390E-04; 2.39970E-06; 3.62170E-05; 2.61640E-04; 3.37110E-04; 1.17520E-05; 2.64670E-04; 1.47320E-04; 1.39100E-04; 5.01000E-04; 1.41630E-04; 4.45200E-04; 2.27590E-04; 1.68320E-04; 4.24830E-05; 3.38710E-05; 1.70110E-04; 1.69440E-05; 1.53650E-05; 6.31130E-06; 5.15390E-05; 4.24390E-05; 8.21940E-05; 8.51870E-05; 1.05580E-04; 2.08000E-04; 6.99860E-06; 2.94760E-04; 8.70540E-05; 1.25010E-04; 1.36490E-05; 1.08680E-04; 4.73340E-05; 1.41320E-04; 1.10030E-04
 377.00; 6.58230E-05; 5.42390E-04; 7.17830E-04; 1.53880E-04; 8.44770E-05; 1.73350E-04; 5.02960E-05; 1.96030E-05; 7.19410E-05; 1.63820E-04; 5.28710E-04; 3.81030E-04; 4.52920E-04; 3.89750E-05; 1.48790E-05; 2.67240E-04; 6.98980E-05; 7.30870E-05; 9.66720E-05; 1.69560E-05; 4.71700E-05; 2.00110E-04; 3.09440E-04; 2.24920E-06; 7.50260E-05; 2.98040E-04; 4.92870E-04; 1.12400E-05; 2.34620E-04; 1.67780E-04; 2.22300E-04; 3.91720E-04; 1.23610E-04; 2.41280E-04; 1.52700E-04; 2.41980E-04; 3.73210E-05; 3.88470E-05; 1.73260E-04; 6.10520E-06; 1.46030E-05; 3.51710E-07; 4.17460E-05; 2.92670E-05; 8.48940E-05; 5.97900E-05; 1.67640E-04; 2.23180E-04; 1.48890E-06; 3.71580E-04; 8.60350E-05; 1.28700E-04; 1.46180E-05; 1.08980E-04; 3.70240E-05; 1.67850E-04; 1.06070E-04
 380.00; 8.35610E-05; 6.13180E-04; 7.35450E-04; 1.64700E-04; 2.83520E-05; 1.13320E-04; 5.36470E-05; 1.60090E-05; 7.58420E-05; 1.29510E-04; 5.16870E-04; 3.23930E-04; 4.15770E-04; 7.95590E-05; 2.48580E-05; 1.47040E-04; 6.95780E-05; 5.50740E-05; 4.22620E-05; 1.75430E-05; 7.21170E-05; 2.03180E-04; 2.02620E-04; 2.14490E-06; 1.22620E-04; 2.69060E-04; 6.82300E-04; 1.20130E-05; 1.86240E-04; 1.63130E-04; 2.62590E-04; 2.96570E-04; 7.88410E-05; 1.84510E-04; 8.67790E-05; 2.94610E-04; 1.23230E-05; 5.70050E-05; 1.54970E-04; 1.64190E-05; 1.21620E-05; 2.60400E-06; 4.54990E-05; 2.40260E-05; 7.63030E-05; 3.86060E-05; 1.67530E-04; 1.95090E-04; 2.48170E-06; 3.91910E-04; 6.76140E-05; 9.46680E-05; 3.06900E-05; 1.32030E-04; 4.54050E-05; 1.74980E-04; 7.19720E-05
 383.00; 8.51810E-05; 6.97500E-04; 7.30040E-04; 1.76900E-04; 9.55950E-05; 8.96970E-05; 5.08820E-05; 1.82380E-05; 7.17960E-05; 1.14350E-04; 5.48120E-04; 2.63390E-04; 3.81680E-04; 1.16300E-04; 6.47040E-05; 9.34560E-05; 1.07010E-04; 2.73910E-05; 3.85140E-05; 1.44650E-05; 1.17660E-04; 1.32680E-04; 1.41140E-04; 2.00800E-06; 1.40830E-04; 1.68500E-04; 8.06230E-04; 2.22780E-05; 1.44950E-04; 1.22170E-04; 2.36410E-04; 3.05230E-04; 3.96380E-05; 2.04890E-04; 3.71890E-05; 3.18850E-04; 1.99580E-07; 6.97560E-05; 1.27770E-04; 4.33480E-05; 8.45540E-06; 1.46870E-05; 4.59890E-05; 3.00780E-05; 6.63280E-05; 4.22610E-05; 1.66790E-04; 1.75780E-04; 1.41590E-05; 3.58130E-04; 3.72680E-05; 4.24780E-05; 8.08590E-05; 1.38720E-04; 3.57490E-05; 1.66010E-04; 3.20070E-05
 386.00; 6.33240E-05; 6.92410E-04; 8.75820E-04; 1.71930E-04; 3.18120E-04; 8.42460E-05; 4.68850E-05; 1.51670E-05; 6.09410E-05; 1.08020E-04; 5.51910E-04; 1.86900E-04; 4.09020E-04; 1.61950E-04; 1.04710E-04; 8.51230E-05; 1.59640E-04; 8.41120E-06; 6.22000E-05; 8.07450E-06; 1.65770E-04; 9.14620E-05; 1.76940E-04; 3.76830E-06; 1.23830E-04; 1.32380E-04; 7.63830E-04; 3.19520E-05; 7.91430E-05; 6.75680E-05; 1.74180E-04; 3.46310E-04; 9.68560E-06; 2.18050E-04; 1.42250E-05; 3.72650E-04; 7.86360E-06; 6.20980E-05; 1.05210E-04; 7.02370E-05; 1.08500E-05; 3.44240E-05; 3.57270E-05; 4.46760E-05; 6.43460E-05; 4.73860E-05; 1.73650E-04; 1.55140E-04; 3.62550E-05; 2.65580E-04; 1.05500E-05; 7.99880E-05; 1.61400E-04; 1.16610E-04; 2.26230E-05; 1.90650E-04; 1.89170E-05
 389.00; 4.07870E-05; 5.90920E-04; 9.99790E-04; 1.59600E-04; 4.96440E-04; 8.20950E-05; 4.11370E-05; 5.29380E-06; 4.74290E-05; 1.07440E-04; 5.10560E-04; 1.25180E-04; 5.29580E-04; 2.07360E-04; 1.39240E-04; 9.75960E-05; 2.37990E-04; 1.77360E-06; 7.36720E-05; 9.04610E-07; 1.80850E-04; 9.74610E-05; 2.77120E-04; 6.79670E-06; 7.68760E-05; 1.81340E-04; 7.35000E-04; 3.81730E-05; 2.41510E-05; 1.85310E-05; 1.15320E-04; 3.40430E-04; 2.27180E-05; 2.35750E-04; 9.70850E-06; 4.15790E-04; 2.23300E-05; 4.09650E-05; 9.48100E-05; 1.04400E-04; 1.89380E-05; 6.05670E-05; 3.84930E-05; 7.06690E-05; 6.09020E-05; 4.29440E-05; 1.90540E-04; 1.25500E-04; 7.22710E-05; 1.27660E-04; 2.07790E-06; 2.19460E-04; 2.04700E-04; 8.48040E-05; 3.53900E-05; 2.03280E-04; 4.48680E-05
 392.00; 2.88560E-05; 5.45150E-04; 9.24460E-04; 1.78970E-04; 4.75610E-04; 9.55350E-05; 3.72820E-05; 1.95740E-07; 3.85230E-05; 1.12240E-04; 4.53290E-04; 9.01630E-05; 6.57430E-04; 2.23090E-04; 1.34030E-04; 1.17470E-04; 2.98410E-04; 5.54590E-06; 7.80040E-05; 1.66490E-05; 1.42100E-04; 8.45970E-05; 3.29650E-04; 1.14360E-05; 3.12560E-05; 2.55430E-04; 7.53760E-04; 4.08140E-05; 2.89710E-06; 1.05600E-06; 7.61840E-05; 3.16300E-04; 9.41680E-05; 2.44290E-04; 4.78700E-05; 4.09460E-04; 3.26910E-05; 1.99780E-05; 8.93130E-05; 1.61490E-04; 2.74890E-05; 6.85620E-05; 5.46820E-05; 1.14250E-04; 6.02300E-05; 3.42050E-05; 1.76990E-04; 1.38190E-04; 1.03770E-04; 3.26370E-05; 3.21700E-05; 3.38410E-04; 1.67390E-04; 6.38260E-05; 8.26490E-05; 1.43590E-04; 7.84810E-05
 395.00; 2.71630E-05; 6.05790E-04; 7.35070E-04; 2.65120E-04; 3.48900E-04; 1.33110E-04; 4.47020E-05; 3.67910E-06; 3.17420E-05; 1.13150E-04; 3.74400E-04; 4.54560E-05; 7.14760E-04; 1.59840E-04; 1.15270E-04; 1.30030E-04; 2.68240E-04; 1.60880E-05; 7.26030E-05; 5.00200E-05; 8.57070E-05; 5.39380E-05; 3.33750E-04; 1.66240E-05; 1.93760E-05; 2.89010E-04; 6.79710E-04; 4.03740E-05; 5.36540E-06; 1.55560E-05; 6.46080E-05; 3.27620E-04; 1.35880E-04; 2.47020E-04; 1.47370E-04; 3.26070E-04; 3.61380E-05; 9.62110E-06; 8.63400E-05; 2.09560E-04; 2.36020E-05; 7.69730E-05; 6.44020E-05; 1.64970E-04; 6.53180E-05; 3.53860E-05; 1.45220E-04; 1.81840E-04; 1.15690E-04; 5.90480E-06; 1.00900E-04; 4.29850E-04; 1.07490E-04; 4.85140E-05; 1.30130E-04; 5.67400E-05; 1.06340E-04
 398.00; 1.93810E-05; 5.98460E-04; 5.24670E-04; 4.38080E-04; 2.43180E-04; 1.70550E-04; 4.65260E-05; 1.58990E-05; 1.85630E-05; 1.15630E-04; 3.34370E-04; 6.45880E-06; 6.85490E-04; 8.49020E-05; 8.98650E-05; 1.56690E-04; 1.83790E-04; 2.61970E-05; 6.91160E-05; 7.89950E-05; 4.90770E-05; 3.05720E-05; 3.06330E-04; 1.66460E-05; 2.00190E-05; 2.71830E-04; 5.38170E-04; 4.46290E-05; 3.79320E-05; 4.08860E-05; 6.84600E-05; 4.44850E-04; 1.56500E-04; 2.45020E-04; 2.62170E-04; 2.18970E-04; 4.90750E-05; 1.27370E-05; 7.58240E-05; 2.08340E-04; 1.00030E-05; 7.32540E-05; 8.51410E-05; 2.20350E-04; 7.18510E-05; 3.51950E-05; 1.07010E-04; 2.10510E-04; 1.05340E-04; 1.71170E-05; 1.49020E-04; 5.01900E-04; 1.08520E-04; 2.98200E-05; 1.29200E-04; 5.07280E-06; 1.35290E-04
