      E;     ( 1| 0);     ( 1| 1);     ( 1|-1);     ( 0| 2);     ( 0|-2);     ( 2| 0);     ( 1| 2);     ( 1|-2);     ( 2| 1);     ( 2|-1);     ( 2| 2);     ( 2|-2);     ( 1| 3);     ( 1|-3);     ( 3| 0);     ( 3| 1);     ( 3|-1);     ( 2| 3);     ( 2|-3);     ( 3| 2);     ( 3|-2);     ( 0| 4);     ( 0|-4);     ( 1| 4);     ( 1|-4);     ( 4| 0);     ( 3| 3);     ( 3|-3);     ( 4| 1);     ( 4|-1);     ( 2| 4);     ( 2|-4);     ( 4| 2);     ( 4|-2);     ( 1| 5);     ( 1|-5);     ( 3| 4);     ( 3|-4);     ( 4| 3);     ( 4|-3);     ( 5| 0);     ( 2| 5);     ( 2|-5);     ( 5| 1);     ( 5|-1);     ( 5| 2);     ( 5|-2);     ( 4| 4);     ( 4|-4);     ( 3| 5);     ( 3|-5);     ( 0| 6);     ( 0|-6);     ( 5| 3);     ( 5|-3);     ( 2| 6);     ( 2|-6)
 713.00; 5.40984E-04; 3.73193E-03; 3.20845E-03; 2.91755E-03; 1.31311E-02; 1.14973E-02; 1.95325E-05; 1.60010E-03; 5.90252E-03; 1.09177E-03; 1.66895E-02; 1.71651E-02; 1.62239E-03; 1.35149E-02; 2.41658E-03; 8.13701E-03; 1.58162E-02; 1.03996E-02; 1.02714E-03; 8.47708E-05; 2.18006E-02; 9.00112E-02; 1.03292E-02; 1.18157E-02; 2.27361E-03; 3.96963E-03; 1.85196E-02; 7.49152E-02; 5.45770E-03; 1.41898E-02; 2.17151E-02; 5.39354E-03; 2.78477E-02; 1.97426E-02; 4.03364E-02; 1.23760E-01; 8.33144E-04; 1.35559E-01; 2.85911E-02; 9.26714E-04; 1.29905E-01; 2.21386E-02; 1.18305E-02; 1.45890E-01; 7.45921E-02; 1.25837E-03; 2.22098E-02; 9.08676E-02; 3.59196E-03; 1.33793E-01; 1.78081E-01; 1.64672E-02; 4.75007E-02; 2.43767E-01; 1.69199E-02; 7.73416E-02; 1.12743E-01
 716.00; 4.21759E-04; 1.96081E-03; 2.89109E-03; 4.13554E-03; 1.39371E-02; 1.66643E-02; 3.73035E-04; 1.42354E-03; 4.80514E-03; 7.20437E-04; 1.60413E-02; 1.00368E-02; 2.84715E-03; 1.15018E-02; 7.14186E-04; 1.39195E-02; 1.35550E-02; 7.54474E-03; 6.58259E-04; 9.97251E-04; 1.86722E-02; 9.81544E-02; 2.43588E-02; 1.53779E-02; 3.55484E-03; 3.67853E-03; 2.24824E-02; 7.36936E-02; 1.47641E-02; 1.33335E-02; 2.20647E-02; 8.05640E-03; 3.90211E-02; 2.93936E-02; 3.22489E-02; 1.32986E-01; 4.10179E-03; 7.60542E-02; 5.14146E-02; 3.30469E-03; 6.84665E-02; 1.81882E-02; 1.32381E-02; 1.21794E-01; 7.21738E-02; 8.80020E-04; 1.71439E-02; 1.50338E-01; 5.76268E-03; 1.58679E-01; 1.46734E-01; 3.34100E-02; 3.07150E-02; 1.99955E-01; 3.21565E-02; 8.97026E-02; 1.36622E-01
 719.00; 4.28410E-04; 1.48255E-03; 2.32019E-03; 3.32057E-03; 1.45074E-02; 1.93869E-02; 8.64127E-04; 1.15248E-03; 2.70897E-03; 5.97869E-04; 1.89067E-02; 1.09171E-02; 6.81719E-03; 1.17886E-02; 9.69516E-05; 2.00054E-02; 1.17899E-02; 7.15736E-03; 9.51269E-04; 1.86851E-03; 1.30191E-02; 8.71932E-02; 3.96404E-02; 1.63243E-02; 3.89668E-03; 8.40968E-03; 2.64746E-02; 6.66320E-02; 1.71003E-02; 1.59816E-02; 2.42790E-02; 1.18115E-02; 4.35680E-02; 3.46400E-02; 2.76958E-02; 1.55325E-01; 5.53709E-03; 3.96935E-02; 4.80001E-02; 1.15262E-02; 2.09308E-02; 1.58333E-02; 1.31629E-02; 9.46475E-02; 8.78306E-02; 1.27104E-03; 1.17675E-02; 1.90167E-01; 8.23171E-03; 1.82080E-01; 1.29012E-01; 6.15632E-02; 2.25052E-02; 1.61957E-01; 5.59753E-02; 1.08808E-01; 1.45065E-01
 722.00; 5.32152E-04; 1.78373E-03; 1.72177E-03; 1.97082E-03; 1.28161E-02; 2.04630E-02; 1.26860E-03; 9.80389E-04; 1.41784E-03; 1.21508E-03; 2.25376E-02; 1.76363E-02; 1.18969E-02; 1.35977E-02; 1.48205E-04; 2.74027E-02; 7.41919E-03; 1.08586E-02; 2.00000E-03; 1.47069E-03; 8.64345E-03; 6.28273E-02; 3.23827E-02; 2.43660E-02; 3.13813E-03; 1.73884E-02; 2.48894E-02; 5.79405E-02; 1.60754E-02; 1.57913E-02; 2.67828E-02; 1.68803E-02; 3.55821E-02; 2.85688E-02; 1.81785E-02; 1.64720E-01; 4.10504E-03; 2.84575E-02; 3.06153E-02; 2.08035E-02; 2.57269E-02; 1.79457E-02; 9.94650E-03; 8.32685E-02; 1.01011E-01; 2.54485E-03; 1.70447E-02; 2.38156E-01; 1.06988E-02; 1.98671E-01; 1.26378E-01; 8.77457E-02; 1.63872E-02; 1.46157E-01; 7.16334E-02; 1.18161E-01; 1.42266E-01
 725.00; 8.48512E-04; 1.73643E-03; 1.36399E-03; 3.54339E-03; 1.06126E-02; 2.11789E-02; 1.54120E-03; 1.16579E-03; 9.83770E-04; 1.72347E-03; 1.92761E-02; 2.45421E-02; 1.54910E-02; 1.96337E-02; 3.41245E-04; 3.31448E-02; 4.07007E-03; 1.32260E-02; 4.51479E-03; 1.07816E-03; 5.04117E-03; 4.63095E-02; 2.49731E-02; 3.81093E-02; 3.48935E-03; 2.27878E-02; 2.17055E-02; 4.18106E-02; 1.02781E-02; 1.22240E-02; 2.76882E-02; 2.99472E-02; 2.29201E-02; 1.87747E-02; 8.09604E-03; 1.34637E-01; 2.65910E-03; 1.60747E-02; 1.86061E-02; 2.95257E-02; 7.00718E-02; 1.50760E-02; 6.87726E-03; 8.56868E-02; 9.91776E-02; 3.48236E-03; 2.78547E-02; 2.46278E-01; 1.23784E-02; 1.90465E-01; 1.21913E-01; 1.15405E-01; 1.85907E-02; 1.19180E-01; 8.26811E-02; 1.38840E-01; 1.38995E-01
 728.00; 1.30684E-03; 1.53416E-03; 8.41750E-04; 4.17981E-03; 1.16596E-02; 2.08784E-02; 1.53428E-03; 1.10752E-03; 2.14567E-04; 1.89877E-03; 1.17996E-02; 2.59467E-02; 1.98832E-02; 2.16324E-02; 4.13204E-04; 3.73818E-02; 1.81130E-03; 8.31868E-03; 7.75718E-03; 4.56314E-04; 2.01015E-03; 4.25356E-02; 2.59273E-02; 3.61828E-02; 3.93789E-03; 2.56712E-02; 1.92652E-02; 2.39102E-02; 4.19387E-03; 7.99269E-03; 3.03135E-02; 4.98485E-02; 1.96633E-02; 6.59099E-03; 1.09924E-03; 7.73621E-02; 2.47105E-03; 7.47612E-03; 5.18083E-03; 3.47652E-02; 9.05577E-02; 7.61148E-03; 3.91517E-03; 1.01717E-01; 8.38697E-02; 2.72444E-03; 3.05908E-02; 2.31622E-01; 1.50512E-02; 1.61432E-01; 1.21031E-01; 1.44981E-01; 3.47471E-02; 7.43122E-02; 9.01750E-02; 1.77315E-01; 1.23118E-01
 731.00; 1.46724E-03; 1.45478E-03; 6.27660E-04; 3.72731E-03; 1.59048E-02; 2.11089E-02; 1.25981E-03; 5.18565E-04; 2.27490E-04; 2.19996E-03; 1.00297E-02; 2.22558E-02; 2.58119E-02; 1.71519E-02; 9.31503E-04; 4.18825E-02; 4.81774E-04; 3.39210E-03; 1.04772E-02; 1.43836E-03; 4.40010E-04; 4.57068E-02; 2.98344E-02; 2.35219E-02; 3.29396E-03; 2.74920E-02; 1.72965E-02; 1.38991E-02; 1.66598E-03; 7.61971E-03; 3.19266E-02; 4.39074E-02; 2.55261E-02; 9.07260E-05; 1.13746E-03; 2.15047E-02; 2.15902E-03; 7.67066E-03; 8.15941E-04; 3.83523E-02; 9.07707E-02; 6.89114E-03; 2.00559E-03; 1.09590E-01; 6.95821E-02; 1.94157E-03; 1.56781E-02; 1.72496E-01; 2.12497E-02; 1.12648E-01; 1.29075E-01; 1.49202E-01; 4.79828E-02; 2.67188E-02; 9.02519E-02; 1.87088E-01; 1.16385E-01
 734.00; 1.23207E-03; 1.47356E-03; 6.54263E-04; 4.57597E-03; 1.66841E-02; 1.89598E-02; 8.07773E-04; 2.17750E-04; 1.26317E-03; 2.22603E-03; 9.09806E-03; 1.83091E-02; 2.71627E-02; 1.04670E-02; 1.42742E-03; 4.13290E-02; 1.83930E-04; 2.01763E-03; 1.09469E-02; 2.81723E-03; 4.24796E-03; 5.77390E-02; 3.27638E-02; 1.87880E-02; 3.02278E-03; 2.03588E-02; 1.49041E-02; 9.79030E-03; 1.48020E-03; 1.08821E-02; 3.23354E-02; 3.25169E-02; 3.66055E-02; 7.29873E-03; 4.56076E-03; 3.75443E-03; 1.98497E-03; 1.34404E-02; 1.43339E-02; 5.51328E-02; 7.83671E-02; 1.44843E-02; 2.50717E-03; 9.42924E-02; 7.61325E-02; 2.79998E-03; 6.14556E-03; 1.07115E-01; 3.24526E-02; 7.88497E-02; 1.77191E-01; 1.28021E-01; 5.41068E-02; 7.13435E-03; 8.00425E-02; 1.68783E-01; 1.11045E-01
 737.00; 8.17188E-04; 2.16039E-03; 6.58964E-04; 3.46410E-03; 1.47875E-02; 1.65920E-02; 4.15818E-04; 7.98770E-04; 2.40520E-03; 1.69619E-03; 3.87514E-03; 1.69700E-02; 2.30265E-02; 7.28148E-03; 1.37738E-03; 3.20343E-02; 2.47210E-04; 1.10343E-03; 9.19089E-03; 3.16777E-03; 1.45763E-02; 7.80644E-02; 4.34222E-02; 1.83693E-02; 3.79567E-03; 9.74630E-03; 1.27808E-02; 8.28710E-03; 5.31024E-03; 1.35314E-02; 3.07036E-02; 3.37676E-02; 5.19427E-02; 2.16728E-02; 8.28385E-03; 4.34674E-05; 1.90248E-03; 1.61580E-02; 3.52424E-02; 5.78157E-02; 6.23870E-02; 2.04824E-02; 4.98031E-03; 8.15763E-02; 1.07164E-01; 5.85283E-03; 4.92933E-03; 9.60488E-02; 4.38496E-02; 5.47855E-02; 2.50673E-01; 8.21200E-02; 6.71717E-02; 3.65882E-03; 6.26093E-02; 1.34487E-01; 9.58426E-02
 740.00; 5.74902E-04; 3.08519E-03; 5.18093E-04; 1.86544E-03; 1.24330E-02; 1.47421E-02; 3.33342E-04; 1.37226E-03; 3.61346E-03; 1.05053E-03; 1.67226E-04; 1.58457E-02; 1.83283E-02; 7.68872E-03; 7.79515E-04; 2.08570E-02; 1.70377E-03; 3.86173E-04; 8.62964E-03; 2.97095E-03; 2.82478E-02; 8.80664E-02; 4.46351E-02; 1.47973E-02; 5.16172E-03; 4.70615E-03; 1.17368E-02; 6.85815E-03; 1.18469E-02; 1.45476E-02; 2.43952E-02; 3.56024E-02; 6.76042E-02; 3.48157E-02; 9.95582E-03; 5.80836E-03; 1.74086E-03; 1.95732E-02; 6.17454E-02; 5.23112E-02; 4.39497E-02; 2.31404E-02; 6.48758E-03; 7.70315E-02; 1.43663E-01; 1.01493E-02; 9.50496E-03; 7.32769E-02; 5.16063E-02; 5.46529E-02; 3.01993E-01; 2.78019E-02; 8.02573E-02; 3.92810E-03; 4.07211E-02; 9.54846E-02; 7.66256E-02
