energy,(0|-1) [-1],(0|1) [-2],(1|0) [3],(1|-1) [4],(1|1) [5],(0|-2) [6],(0|2) [7],(2|0) [8],(1|-2) [9],(1|2) [10],(2|-1) [11],(2|1) [12],(2|-2) [13],(2|2) [14],(0|-3) [-15],(1|-3) [17],(1|3) [18],(3|0) [19],(3|-1) [20],(3|1) [21],(2|-3) [22],(2|3) [23],(3|-2) [24],(3|2) [25],(0|-4) [26],(0|4) [27],(1|-4) [28],(1|4) [29],(4|0) [30],(3|-3) [31],(3|3) [32],(4|-1) [33],(4|1) [34],(2|4) [36],(4|2) [38],(1|5) [42],(4|-3) [45],(4|3) [46],(4|4) [55],(3|5) [57],(0|-6) [58],
485.50,NaN,NaN,NaN,27.2361,NaN,17.978354,60.134426,41.20355,NaN,3.296766,2.7417266,NaN,18.154655,10.092397,NaN,31.38729,26.649593,1.3946911,7.6022487,55.89536,4.2452054,NaN,3.9271553,3.0227356,24.026226,24.20963,0.48807928,3.4298568,1.4868234,7.160811,21.072838,6.0117507,11.814312,NaN,4.435057,NaN,NaN,NaN,NaN,NaN,NaN,
486.00,NaN,NaN,NaN,27.092693,NaN,18.888275,58.239647,40.52444,NaN,3.1382625,2.5760598,NaN,16.96174,11.346169,NaN,30.526602,28.7739,1.4803946,7.9138956,56.22652,4.384998,NaN,4.061286,3.1128228,21.858618,24.542974,0.5160677,3.5793567,1.5504748,8.135078,20.749317,5.9408045,11.5624075,NaN,4.5865774,NaN,NaN,NaN,NaN,NaN,NaN,
486.50,NaN,NaN,NaN,26.876354,NaN,19.630783,56.155914,39.725655,NaN,2.9958494,2.4210353,NaN,15.764533,12.98864,NaN,29.64854,30.930115,1.5578202,8.2152195,56.33038,4.558118,NaN,4.172652,3.205757,19.785212,24.783945,0.5502467,3.7139676,1.6084031,9.057498,20.400486,5.8212066,11.22375,13.3913965,4.733211,NaN,NaN,NaN,NaN,NaN,NaN,
487.00,NaN,NaN,NaN,26.595163,NaN,20.207613,53.88998,38.809734,NaN,2.8732662,2.2816548,NaN,14.580074,14.934919,NaN,28.766558,33.091656,1.621579,8.489604,56.21053,4.77886,NaN,4.2596736,3.2990973,17.878984,24.915041,0.58929026,3.8393161,1.6581464,9.903997,20.040478,5.668361,10.809498,13.368952,4.8717666,NaN,NaN,NaN,NaN,NaN,NaN,
487.50,NaN,NaN,NaN,26.259111,NaN,20.629786,51.45848,37.785156,NaN,2.7721565,2.1625683,NaN,13.427102,17.078682,NaN,27.891666,35.23258,1.6669155,8.725316,55.874905,5.0604525,NaN,4.3219943,3.3874836,16.192965,24.923569,0.6314024,3.962347,1.69712,10.6560335,19.683138,5.4974337,10.332876,13.298671,4.998786,NaN,NaN,NaN,NaN,NaN,NaN,
488.00,NaN,NaN,NaN,25.878368,NaN,20.915655,48.886997,36.66413,NaN,2.692282,2.067762,NaN,12.322866,19.299244,NaN,27.03208,37.327602,1.6900549,8.915464,55.33718,5.4138727,NaN,4.360392,3.4636698,14.758028,24.802317,0.6744212,4.090487,1.7228866,11.30119,19.341536,5.321218,9.808367,13.182143,5.1106052,NaN,NaN,NaN,NaN,NaN,NaN,
488.50,NaN,NaN,NaN,25.46254,NaN,21.088331,46.20789,35.461014,NaN,2.632084,2.00045,NaN,11.280657,21.469414,NaN,26.19299,39.351925,1.6884791,9.057443,54.61766,5.8467193,NaN,4.3766885,3.520359,13.5829525,24.549444,0.7159852,4.2306333,1.7334727,11.8330765,19.027561,5.148579,9.250843,13.022784,5.2034335,NaN,NaN,NaN,NaN,NaN,NaN,
489.00,NaN,NaN,NaN,25.021088,NaN,21.172878,43.45754,34.19148,NaN,2.5895355,1.9632877,NaN,10.308339,23.464033,NaN,25.376574,41.28098,1.6611006,9.15194,53.743477,6.362266,NaN,4.3736453,3.5515373,12.656511,24.167692,0.7537441,4.3880725,1.72773,12.250573,18.751526,4.9837265,8.674747,12.825488,5.2734766,NaN,NaN,NaN,NaN,NaN,NaN,
489.50,NaN,NaN,NaN,24.5642,NaN,21.193647,40.673676,32.872257,NaN,2.5630891,1.9588604,NaN,9.407995,25.168892,NaN,24.582294,43.09016,1.6083175,9.201685,52.74788,6.9587903,NaN,4.354836,3.5529418,11.951298,23.66314,0.78559124,4.5654836,1.7057259,12.556618,18.521715,4.8264093,8.093383,12.596228,5.3171024,NaN,NaN,NaN,NaN,NaN,NaN,
490.00,NaN,NaN,NaN,24.103249,NaN,21.17202,37.89307,31.521255,NaN,2.5524602,1.9902718,NaN,8.576583,26.489248,NaN,23.807493,44.754715,1.5319476,9.210099,51.66873,7.6292577,NaN,4.324483,3.5222082,11.428679,23.04378,0.8098822,4.7621727,1.669137,12.756737,18.343878,4.672909,7.518399,12.341638,5.331054,NaN,NaN,NaN,NaN,NaN,NaN,
