# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Ag(111)-(r3xr3)R30.tlm
#
# Structure: Ag(111)-(r3xr3)R30
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4421  2.4979]
# Surface lattice: Hexagonal (p3); a = 4.9958 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.3265 2.4979]; b = [-4.3264  2.4979]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h |  k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( 3  | 0  ), 3.00000, 0.00000,  6.53523,  3.77312,   21,        1,
(-7/2| 3/2),-3.50000, 1.50000, -7.62443, -0.62885,   22,        1,
( 3/2|-7/2), 1.50000,-3.50000,  3.26761, -6.91738,   22,        1,
( 3/2| 3/2), 1.50000, 1.50000,  3.26761,  5.65967,   22,        1,
(-3/2| 7/2),-1.50000, 3.50000, -3.26761,  6.91738,   23,        1,
(-5/2|-3/2),-2.50000,-1.50000, -5.44602, -6.91738,   23,        1,
( 7/2|-5/2), 3.50000,-2.50000,  7.62443, -1.88656,   23,        1,
(-7/2| 5/2),-3.50000, 2.50000, -7.62443,  1.88656,   24,        1,
( 1/2|-7/2), 0.50000,-3.50000,  1.08920, -8.17508,   24,        1,
( 5/2| 1/2), 2.50000, 0.50000,  5.44602,  4.40197,   24,        1,
(-7/2| 1/2),-3.50000, 0.50000, -7.62443, -3.14426,   25,        1,
( 1/2| 5/2), 0.50000, 2.50000,  1.08920,  6.91738,   25,        1,
( 5/2|-7/2), 2.50000,-3.50000,  5.44602, -5.65967,   25,        1,
(-1/2| 7/2),-0.50000, 3.50000, -1.08920,  8.17508,   26,        1,
(-7/2|-1/2),-3.50000,-0.50000, -7.62443, -5.65967,   26,        1,
( 7/2|-7/2), 3.50000,-3.50000,  7.62443, -4.40197,   26,        1,
(-2  |-2  ),-2.00000,-2.00000, -4.35682, -7.54623,   27,        1,
(-2  | 4  ),-2.00000, 4.00000, -4.35682,  7.54623,   27,        1,
( 4  |-2  ), 4.00000,-2.00000,  8.71364, -0.00000,   27,        1,
(-4  | 2  ),-4.00000, 2.00000, -8.71364,  0.00000,   28,        1,
( 2  |-4  ), 2.00000,-4.00000,  4.35682, -7.54623,   28,        1,
( 2  | 2  ), 2.00000, 2.00000,  4.35682,  7.54623,   28,        1,
(-3/2|-5/2),-1.50000,-2.50000, -3.26761, -8.17508,   29,        1,
(-5/2| 7/2),-2.50000, 3.50000, -5.44602,  5.65967,   29,        1,
( 7/2|-3/2), 3.50000,-1.50000,  7.62443,  0.62885,   29,        1,
(-4  | 1  ),-4.00000, 1.00000, -8.71364, -2.51541,   30,        1,
( 1  | 3  ), 1.00000, 3.00000,  2.17841,  8.80394,   30,        1,
( 3  |-4  ), 3.00000,-4.00000,  6.53523, -6.28853,   30,        1,
(-1  |-3  ),-1.00000,-3.00000, -2.17841, -8.80394,   31,        1,
(-3  | 4  ),-3.00000, 4.00000, -6.53523,  6.28853,   31,        1,
( 4  |-1  ), 4.00000,-1.00000,  8.71364,  2.51541,   31,        1,
(-1  | 4  ),-1.00000, 4.00000, -2.17841,  8.80394,   32,        1,
(-3  |-1  ),-3.00000,-1.00000, -6.53523, -6.28853,   32,        1,
( 4  |-3  ), 4.00000,-3.00000,  8.71364, -2.51541,   32,        1,
(-4  | 3  ),-4.00000, 3.00000, -8.71364,  2.51541,   33,        1,
( 1  |-4  ), 1.00000,-4.00000,  2.17841, -8.80394,   33,        1,
( 3  | 1  ), 3.00000, 1.00000,  6.53523,  6.28853,   33,        1,
(-1/2|-7/2),-0.50000,-3.50000, -1.08920, -9.43279,   34,        1,
(-7/2| 7/2),-3.50000, 3.50000, -7.62443,  4.40197,   34,        1,
( 7/2|-1/2), 3.50000,-0.50000,  7.62443,  3.14426,   34,        1,
(-1/2|-7/2),-0.50000,-3.50000, -1.08920, -9.43279,   35,        1,
(-7/2| 9/2),-3.50000, 4.50000, -7.62443,  6.91738,   35,        1,
( 9/2|-1/2), 4.50000,-0.50000,  9.80284,  4.40197,   35,        1,
(-9/2| 5/2),-4.50000, 2.50000, -9.80284,  0.62885,   36,        1,
( 3/2|-9/2), 1.50000,-4.50000,  3.26761, -9.43279,   36,        1,
( 5/2| 3/2), 2.50000, 1.50000,  5.44602,  6.91738,   36,        1,
(-9/2| 5/2),-4.50000, 2.50000, -9.80284,  0.62885,   37,        1,
( 5/2|-9/2), 2.50000,-4.50000,  5.44602, -8.17508,   37,        1,
( 5/2| 5/2), 2.50000, 2.50000,  5.44602,  9.43279,   37,        1,
(-9/2| 3/2),-4.50000, 1.50000, -9.80284, -1.88656,   38,        1,
( 3/2| 5/2), 1.50000, 2.50000,  3.26761,  8.17508,   38,        1,
( 5/2|-9/2), 2.50000,-4.50000,  5.44602, -8.17508,   38,        1,
(-9/2| 3/2),-4.50000, 1.50000, -9.80284, -1.88656,   39,        1,
( 3/2| 7/2), 1.50000, 3.50000,  3.26761, 10.69049,   39,        1,
( 7/2|-9/2), 3.50000,-4.50000,  7.62443, -6.91738,   39,        1,
(-3/2| 9/2),-1.50000, 4.50000, -3.26761,  9.43279,   40,        1,
(-7/2|-3/2),-3.50000,-1.50000, -7.62443, -8.17508,   40,        1,
( 9/2|-7/2), 4.50000,-3.50000,  9.80284, -3.14426,   40,        1,
(-4  | 0  ),-4.00000, 0.00000, -8.71364, -5.03082,   41,        1,
( 0  | 4  ), 0.00000, 4.00000,  0.00000, 10.06164,   41,        1,
( 4  |-4  ), 4.00000,-4.00000,  8.71364, -5.03082,   41,        1,
(-4  | 4  ),-4.00000, 4.00000, -8.71364,  5.03082,   42,        1,
( 0  |-4  ), 0.00000,-4.00000,  0.00000,-10.06164,   42,        1,
( 4  | 0  ), 4.00000, 0.00000,  8.71364,  5.03082,   42,        1,
(-9/2| 7/2),-4.50000, 3.50000, -9.80284,  3.14426,   43,        1,
( 1/2|-9/2), 0.50000,-4.50000,  1.08920,-10.69049,   43,        1,
( 7/2| 1/2), 3.50000, 0.50000,  7.62443,  5.65967,   43,        1,
(-9/2| 7/2),-4.50000, 3.50000, -9.80284,  3.14426,   44,        1,
( 3/2|-9/2), 1.50000,-4.50000,  3.26761, -9.43279,   44,        1,
( 7/2| 3/2), 3.50000, 1.50000,  7.62443,  8.17508,   44,        1,
(-9/2| 1/2),-4.50000, 0.50000, -9.80284, -4.40197,   45,        1,
( 1/2| 7/2), 0.50000, 3.50000,  1.08920,  9.43279,   45,        1,
( 7/2|-9/2), 3.50000,-4.50000,  7.62443, -6.91738,   45,        1,
(-1/2| 9/2),-0.50000, 4.50000, -1.08920, 10.69049,   46,        1,
(-7/2|-1/2),-3.50000,-0.50000, -7.62443, -5.65967,   46,        1,
( 9/2|-7/2), 4.50000,-3.50000,  9.80284, -3.14426,   46,        1,
(-5/2|-5/2),-2.50000,-2.50000, -5.44602, -9.43279,   47,        1,
(-5/2| 9/2),-2.50000, 4.50000, -5.44602,  8.17508,   47,        1,
( 9/2|-5/2), 4.50000,-2.50000,  9.80284, -0.62885,   47,        1,
(-2  |-3  ),-2.00000,-3.00000, -4.35682,-10.06164,   48,        1,
(-3  | 5  ),-3.00000, 5.00000, -6.53523,  8.80394,   48,        1,
( 5  |-2  ), 5.00000,-2.00000, 10.89205,  1.25771,   48,        1,
(-5  | 2  ),-5.00000, 2.00000,-10.89205, -1.25771,   49,        1,
( 2  | 3  ), 2.00000, 3.00000,  4.35682, 10.06164,   49,        1,
( 3  |-5  ), 3.00000,-5.00000,  6.53523, -8.80394,   49,        1,
(-5  | 3  ),-5.00000, 3.00000,-10.89205,  1.25771,   50,        1,
( 2  |-5  ), 2.00000,-5.00000,  4.35682,-10.06164,   50,        1,
( 3  | 2  ), 3.00000, 2.00000,  6.53523,  8.80394,   50,        1,
(-2  | 5  ),-2.00000, 5.00000, -4.35682, 10.06164,   51,        1,
(-3  |-2  ),-3.00000,-2.00000, -6.53523, -8.80394,   51,        1,
( 5  |-3  ), 5.00000,-3.00000, 10.89205, -1.25771,   51,        1,
(-3/2|-7/2),-1.50000,-3.50000, -3.26761,-10.69049,   52,        1,
(-7/2| 9/2),-3.50000, 4.50000, -7.62443,  6.91738,   52,        1,
( 9/2|-3/2), 4.50000,-1.50000,  9.80284,  1.88656,   52,        1,
