# This file was automatically generated by TLEEDMAP v.0.1a.
#
# Structure: tst2
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 2.5500 AA; alpha = 120.00 deg
#        Basis: a = [ 2.5500 -0.0000]; b = [-1.2750  2.2084]
# Surface lattice: Rectangular (pg[0 1]); a = 7.6500 AA; b = 4.4167 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [3.8250 6.6251]; b = [-3.8250  2.2084]
#            Superlattice: [[ 3  3] [-1  1]]
# Domain 2 - Basis: a = [ 3.8250 -6.6251]; b = [-3.8250 -2.2084]
#            Superlattice: [[ 0 -3] [-2 -1]]
# Domain 3 - Basis: a = [-7.6500  0.0000]; b = [0.0000 4.4167]
#            Superlattice: [[-3  0] [ 1  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -1/2| -1/2),-0.50000,-0.50000, -1.23200, -2.13388,    9,        1,
( -1/2|  1  ),-0.50000, 1.00000, -1.23200,  2.13388,    9,        2,
(  1  | -1/2), 1.00000,-0.50000,  2.46399, -0.00000,    9,        3,
(  1/2| -1  ), 0.50000,-1.00000,  1.23200, -2.13388,    9,        2,
(  1/2|  1/2), 0.50000, 0.50000,  1.23200,  2.13388,    9,        1,
( -1  |  0  ),-1.00000, 0.00000, -2.46399, -1.42259,   10,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.84518,   10,    1+2+3,
( -1  |  0  ),-1.00000, 0.00000, -2.46399, -1.42259,   11,    1+2+3,
( -1  |  1  ),-1.00000, 1.00000, -2.46399,  1.42259,   11,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.84518,   11,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000, -0.00000, -2.84518,   12,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.46399,  1.42259,   12,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000, -0.00000, -2.84518,   13,    1+2+3,
(  1  | -1  ), 1.00000,-1.00000,  2.46399, -1.42259,   13,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.46399,  1.42259,   13,    1+2+3,
( -1/3| -5/6),-0.33333,-0.83333, -0.82133, -2.84518,   14,        3,
(  1/3| -7/6), 0.33333,-1.16667,  0.82133, -2.84518,   14,        3,
(  5/6| -7/6), 0.83333,-1.16667,  2.05333, -2.13388,   14,        1,
(  5/6|  1/3), 0.83333, 0.33333,  2.05333,  2.13388,   14,        2,
(  7/6| -1/3), 1.16667,-0.33333,  2.87466,  0.71129,   14,        2,
(  7/6| -5/6), 1.16667,-0.83333,  2.87466, -0.71129,   14,        1,
( -1/3|  7/6),-0.33333, 1.16667, -0.82133,  2.84518,   15,        3,
( -5/6| -1/3),-0.83333,-0.33333, -2.05333, -2.13388,   15,        2,
( -5/6|  7/6),-0.83333, 1.16667, -2.05333,  2.13388,   15,        1,
( -7/6|  1/3),-1.16667, 0.33333, -2.87466, -0.71129,   15,        2,
( -7/6|  5/6),-1.16667, 0.83333, -2.87466,  0.71129,   15,        1,
(  1/3|  5/6), 0.33333, 0.83333,  0.82133,  2.84518,   15,        3,
( -2/3| -2/3),-0.66667,-0.66667, -1.64266, -2.84518,   16,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.64266,  2.84518,   16,    1+2+3,
( -2/3| -2/3),-0.66667,-0.66667, -1.64266, -2.84518,   17,    1+2+3,
(  2/3| -4/3), 0.66667,-1.33333,  1.64266, -2.84518,   17,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.64266,  2.84518,   17,    1+2+3,
(  4/3| -2/3), 1.33333,-0.66667,  3.28533, -0.00000,   17,    1+2+3,
( -2/3| -2/3),-0.66667,-0.66667, -1.64266, -2.84518,   18,    1+2+3,
( -2/3|  4/3),-0.66667, 1.33333, -1.64266,  2.84518,   18,    1+2+3,
( -4/3|  2/3),-1.33333, 0.66667, -3.28533,  0.00000,   18,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.64266,  2.84518,   18,    1+2+3,
( -1/6| -7/6),-0.16667,-1.16667, -0.41067, -3.55647,   19,        1,
( -1/6|  4/3),-0.16667, 1.33333, -0.41067,  3.55647,   19,        2,
( -4/3|  1/6),-1.33333, 0.16667, -3.28533, -1.42259,   19,        3,
(  4/3| -7/6), 1.33333,-1.16667,  3.28533, -1.42259,   19,        3,
(  7/6| -4/3), 1.16667,-1.33333,  2.87466, -2.13388,   19,        2,
(  7/6|  1/6), 1.16667, 0.16667,  2.87466,  2.13388,   19,        1,
( -4/3|  7/6),-1.33333, 1.16667, -3.28533,  1.42259,   20,        3,
( -7/6| -1/6),-1.16667,-0.16667, -2.87466, -2.13388,   20,        1,
( -7/6|  4/3),-1.16667, 1.33333, -2.87466,  2.13388,   20,        2,
(  1/6| -4/3), 0.16667,-1.33333,  0.41067, -3.55647,   20,        2,
(  1/6|  7/6), 0.16667, 1.16667,  0.41067,  3.55647,   20,        1,
(  4/3| -1/6), 1.33333,-0.16667,  3.28533,  1.42259,   20,        3,
( -1  | -1/2),-1.00000,-0.50000, -2.46399, -2.84518,   21,        3,
(  1  | -3/2), 1.00000,-1.50000,  2.46399, -2.84518,   21,        3,
(  1/2| -3/2), 0.50000,-1.50000,  1.23200, -3.55647,   21,        1,
(  1/2|  1  ), 0.50000, 1.00000,  1.23200,  3.55647,   21,        2,
(  3/2| -1  ), 1.50000,-1.00000,  3.69599, -0.71129,   21,        2,
(  3/2| -1/2), 1.50000,-0.50000,  3.69599,  0.71129,   21,        1,
( -1  |  3/2),-1.00000, 1.50000, -2.46399,  2.84518,   22,        3,
( -1/2| -1  ),-0.50000,-1.00000, -1.23200, -3.55647,   22,        2,
( -1/2|  3/2),-0.50000, 1.50000, -1.23200,  3.55647,   22,        1,
( -3/2|  1  ),-1.50000, 1.00000, -3.69599,  0.71129,   22,        2,
( -3/2|  1/2),-1.50000, 0.50000, -3.69599, -0.71129,   22,        1,
(  1  |  1/2), 1.00000, 0.50000,  2.46399,  2.84518,   22,        3,
( -5/3|  5/6),-1.66667, 0.83333, -4.10666,  0.00000,   23,        3,
( -5/6| -5/6),-0.83333,-0.83333, -2.05333, -3.55647,   23,        1,
( -5/6|  5/3),-0.83333, 1.66667, -2.05333,  3.55647,   23,        2,
(  5/3| -5/6), 1.66667,-0.83333,  4.10666, -0.00000,   23,        3,
(  5/6| -5/3), 0.83333,-1.66667,  2.05333, -3.55647,   23,        2,
(  5/6|  5/6), 0.83333, 0.83333,  2.05333,  3.55647,   23,        1,
( -3/2|  0  ),-1.50000, 0.00000, -3.69599, -2.13388,  -24,      (2),
( -3/2|  3/2),-1.50000, 1.50000, -3.69599,  2.13388,  -24,      (1),
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  4.26776,  -24,      (3),
(  0  | -3/2), 0.00000,-1.50000, -0.00000, -4.26776,  -25,      (3),
(  3/2| -3/2), 1.50000,-1.50000,  3.69599, -2.13388,  -25,      (1),
(  3/2|  0  ), 1.50000, 0.00000,  3.69599,  2.13388,  -25,      (2),
( -4/3| -1/3),-1.33333,-0.33333, -3.28533, -2.84518,   26,    1+2+3,
(  1/3|  4/3), 0.33333, 1.33333,  0.82133,  4.26776,   26,    1+2+3,
( -1/3| -4/3),-0.33333,-1.33333, -0.82133, -4.26776,   27,    1+2+3,
(  4/3|  1/3), 1.33333, 0.33333,  3.28533,  2.84518,   27,    1+2+3,
( -4/3|  5/3),-1.33333, 1.66667, -3.28533,  2.84518,   28,    1+2+3,
( -5/3|  4/3),-1.66667, 1.33333, -4.10666,  1.42259,   28,    1+2+3,
( -1/3|  5/3),-0.33333, 1.66667, -0.82133,  4.26776,   29,    1+2+3,
( -5/3|  1/3),-1.66667, 0.33333, -4.10666, -1.42259,   29,    1+2+3,
(  1/3| -5/3), 0.33333,-1.66667,  0.82133, -4.26776,   30,    1+2+3,
(  5/3| -1/3), 1.66667,-0.33333,  4.10666,  1.42259,   30,    1+2+3,
(  4/3| -5/3), 1.33333,-1.66667,  3.28533, -2.84518,   31,    1+2+3,
(  5/3| -4/3), 1.66667,-1.33333,  4.10666, -1.42259,   31,    1+2+3,
( -2/3| -7/6),-0.66667,-1.16667, -1.64266, -4.26776,   32,        3,
( 11/6| -2/3), 1.83333,-0.66667,  4.51732,  0.71129,   32,        2,
( 11/6| -7/6), 1.83333,-1.16667,  4.51732, -0.71129,   32,        1,
(  2/3|-11/6), 0.66667,-1.83333,  1.64266, -4.26776,   32,        3,
(  7/6|-11/6), 1.16667,-1.83333,  2.87466, -3.55647,   32,        1,
(  7/6|  2/3), 1.16667, 0.66667,  2.87466,  3.55647,   32,        2,
(-11/6|  2/3),-1.83333, 0.66667, -4.51732, -0.71129,   33,        2,
(-11/6|  7/6),-1.83333, 1.16667, -4.51732,  0.71129,   33,        1,
( -2/3| 11/6),-0.66667, 1.83333, -1.64266,  4.26776,   33,        3,
( -7/6| -2/3),-1.16667,-0.66667, -2.87466, -3.55647,   33,        2,
( -7/6| 11/6),-1.16667, 1.83333, -2.87466,  3.55647,   33,        1,
(  2/3|  7/6), 0.66667, 1.16667,  1.64266,  4.26776,   33,        3,
( -1  | -1  ),-1.00000,-1.00000, -2.46399, -4.26776,   34,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.46399,  4.26776,   34,    1+2+3,
( -1  | -1  ),-1.00000,-1.00000, -2.46399, -4.26776,   35,    1+2+3,
(  1  | -2  ), 1.00000,-2.00000,  2.46399, -4.26776,   35,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.46399,  4.26776,   35,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  4.92799, -0.00000,   35,    1+2+3,
( -1  | -1  ),-1.00000,-1.00000, -2.46399, -4.26776,   36,    1+2+3,
( -1  |  2  ),-1.00000, 2.00000, -2.46399,  4.26776,   36,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -4.92799,  0.00000,   36,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.46399,  4.26776,   36,    1+2+3,
( -1/6| -5/3),-0.16667,-1.66667, -0.41067, -4.97906,   37,        2,
( -1/6| 11/6),-0.16667, 1.83333, -0.41067,  4.97906,   37,        1,
(-11/6|  1/6),-1.83333, 0.16667, -4.51732, -2.13388,   37,        1,
(-11/6|  5/3),-1.83333, 1.66667, -4.51732,  2.13388,   37,        2,
( -5/3| 11/6),-1.66667, 1.83333, -4.10666,  2.84518,   37,        3,
(  5/3|  1/6), 1.66667, 0.16667,  4.10666,  2.84518,   37,        3,
( -5/3| -1/6),-1.66667,-0.16667, -4.10666, -2.84518,   38,        3,
(  1/6|-11/6), 0.16667,-1.83333,  0.41067, -4.97906,   38,        1,
(  1/6|  5/3), 0.16667, 1.66667,  0.41067,  4.97906,   38,        2,
( 11/6| -1/6), 1.83333,-0.16667,  4.51732,  2.13388,   38,        1,
( 11/6| -5/3), 1.83333,-1.66667,  4.51732, -2.13388,   38,        2,
(  5/3|-11/6), 1.66667,-1.83333,  4.10666, -2.84518,   38,        3,
( -1/2| -3/2),-0.50000,-1.50000, -1.23200, -4.97906,   39,        1,
( -1/2|  2  ),-0.50000, 2.00000, -1.23200,  4.97906,   39,        2,
( -2  |  1/2),-2.00000, 0.50000, -4.92799, -1.42259,   39,        3,
(  2  | -3/2), 2.00000,-1.50000,  4.92799, -1.42259,   39,        3,
(  3/2| -2  ), 1.50000,-2.00000,  3.69599, -3.55647,   39,        2,
(  3/2|  1/2), 1.50000, 0.50000,  3.69599,  3.55647,   39,        1,
( -2  |  3/2),-2.00000, 1.50000, -4.92799,  1.42259,   40,        3,
( -3/2| -1/2),-1.50000,-0.50000, -3.69599, -3.55647,   40,        1,
( -3/2|  2  ),-1.50000, 2.00000, -3.69599,  3.55647,   40,        2,
(  1/2| -2  ), 0.50000,-2.00000,  1.23200, -4.97906,   40,        2,
(  1/2|  3/2), 0.50000, 1.50000,  1.23200,  4.97906,   40,        1,
(  2  | -1/2), 2.00000,-0.50000,  4.92799,  1.42259,   40,        3,
( -4/3| -5/6),-1.33333,-0.83333, -3.28533, -4.26776,   41,        3,
( 13/6| -4/3), 2.16667,-1.33333,  5.33865, -0.71129,   41,        2,
( 13/6| -5/6), 2.16667,-0.83333,  5.33865,  0.71129,   41,        1,
(  4/3|-13/6), 1.33333,-2.16667,  3.28533, -4.26776,   41,        3,
(  5/6|-13/6), 0.83333,-2.16667,  2.05333, -4.97906,   41,        1,
(  5/6|  4/3), 0.83333, 1.33333,  2.05333,  4.97906,   41,        2,
(-13/6|  4/3),-2.16667, 1.33333, -5.33865,  0.71129,   42,        2,
(-13/6|  5/6),-2.16667, 0.83333, -5.33865, -0.71129,   42,        1,
( -4/3| 13/6),-1.33333, 2.16667, -3.28533,  4.26776,   42,        3,
( -5/6| -4/3),-0.83333,-1.33333, -2.05333, -4.97906,   42,        2,
( -5/6| 13/6),-0.83333, 2.16667, -2.05333,  4.97906,   42,        1,
(  4/3|  5/6), 1.33333, 0.83333,  3.28533,  4.26776,   42,        3,
( -2  |  0  ),-2.00000, 0.00000, -4.92799, -2.84518,   43,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.69035,   43,    1+2+3,
( -2  |  0  ),-2.00000, 0.00000, -4.92799, -2.84518,   44,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000, -4.92799,  2.84518,   44,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.69035,   44,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000, -0.00000, -5.69035,   45,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.92799,  2.84518,   45,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000, -0.00000, -5.69035,   46,    1+2+3,
(  2  | -2  ), 2.00000,-2.00000,  4.92799, -2.84518,   46,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.92799,  2.84518,   46,    1+2+3,
( -1/3|-11/6),-0.33333,-1.83333, -0.82133, -5.69035,   47,        3,
(  1/3|-13/6), 0.33333,-2.16667,  0.82133, -5.69035,   47,        3,
( 11/6|-13/6), 1.83333,-2.16667,  4.51732, -3.55647,   47,        1,
( 11/6|  1/3), 1.83333, 0.33333,  4.51732,  3.55647,   47,        2,
( 13/6| -1/3), 2.16667,-0.33333,  5.33865,  2.13388,   47,        2,
( 13/6|-11/6), 2.16667,-1.83333,  5.33865, -2.13388,   47,        1,
( -1/3| 13/6),-0.33333, 2.16667, -0.82133,  5.69035,   48,        3,
(-11/6| -1/3),-1.83333,-0.33333, -4.51732, -3.55647,   48,        2,
(-11/6| 13/6),-1.83333, 2.16667, -4.51732,  3.55647,   48,        1,
(-13/6|  1/3),-2.16667, 0.33333, -5.33865, -2.13388,   48,        2,
(-13/6| 11/6),-2.16667, 1.83333, -5.33865,  2.13388,   48,        1,
(  1/3| 11/6), 0.33333, 1.83333,  0.82133,  5.69035,   48,        3,
( -7/3|  7/6),-2.33333, 1.16667, -5.74932,  0.00000,   49,        3,
( -7/6| -7/6),-1.16667,-1.16667, -2.87466, -4.97906,   49,        1,
( -7/6|  7/3),-1.16667, 2.33333, -2.87466,  4.97906,   49,        2,
(  7/3| -7/6), 2.33333,-1.16667,  5.74932, -0.00000,   49,        3,
(  7/6| -7/3), 1.16667,-2.33333,  2.87466, -4.97906,   49,        2,
(  7/6|  7/6), 1.16667, 1.16667,  2.87466,  4.97906,   49,        1,
( -5/3| -2/3),-1.66667,-0.66667, -4.10666, -4.26776,   50,    1+2+3,
(  2/3|  5/3), 0.66667, 1.66667,  1.64266,  5.69035,   50,    1+2+3,
( -5/3|  7/3),-1.66667, 2.33333, -4.10666,  4.26776,   51,    1+2+3,
( -7/3|  5/3),-2.33333, 1.66667, -5.74932,  1.42259,   51,    1+2+3,
( -2/3| -5/3),-0.66667,-1.66667, -1.64266, -5.69035,   52,    1+2+3,
(  5/3|  2/3), 1.66667, 0.66667,  4.10666,  4.26776,   52,    1+2+3,
( -2/3|  7/3),-0.66667, 2.33333, -1.64266,  5.69035,   53,    1+2+3,
( -7/3|  2/3),-2.33333, 0.66667, -5.74932, -1.42259,   53,    1+2+3,
(  2/3| -7/3), 0.66667,-2.33333,  1.64266, -5.69035,   54,    1+2+3,
(  7/3| -2/3), 2.33333,-0.66667,  5.74932,  1.42259,   54,    1+2+3,
(  5/3| -7/3), 1.66667,-2.33333,  4.10666, -4.26776,   55,    1+2+3,
(  7/3| -5/3), 2.33333,-1.66667,  5.74932, -1.42259,   55,    1+2+3,
( -1  |  5/2),-1.00000, 2.50000, -2.46399,  5.69035,   56,        3,
( -3/2| -1  ),-1.50000,-1.00000, -3.69599, -4.97906,   56,        2,
( -3/2|  5/2),-1.50000, 2.50000, -3.69599,  4.97906,   56,        1,
( -5/2|  1  ),-2.50000, 1.00000, -6.15999, -0.71129,   56,        2,
( -5/2|  3/2),-2.50000, 1.50000, -6.15999,  0.71129,   56,        1,
(  1  |  3/2), 1.00000, 1.50000,  2.46399,  5.69035,   56,        3,
( -1  | -3/2),-1.00000,-1.50000, -2.46399, -5.69035,   57,        3,
(  1  | -5/2), 1.00000,-2.50000,  2.46399, -5.69035,   57,        3,
(  3/2| -5/2), 1.50000,-2.50000,  3.69599, -4.97906,   57,        1,
(  3/2|  1  ), 1.50000, 1.00000,  3.69599,  4.97906,   57,        2,
(  5/2| -1  ), 2.50000,-1.00000,  6.15999,  0.71129,   57,        2,
(  5/2| -3/2), 2.50000,-1.50000,  6.15999, -0.71129,   57,        1,
(-13/6| -1/6),-2.16667,-0.16667, -5.33865, -3.55647,   58,        1,
(-13/6|  7/3),-2.16667, 2.33333, -5.33865,  3.55647,   58,        2,
( -7/3| 13/6),-2.33333, 2.16667, -5.74932,  2.84518,   58,        3,
(  1/6| -7/3), 0.16667,-2.33333,  0.41067, -6.40164,   58,        2,
(  1/6| 13/6), 0.16667, 2.16667,  0.41067,  6.40164,   58,        1,
(  7/3| -1/6), 2.33333,-0.16667,  5.74932,  2.84518,   58,        3,
( -1/6|-13/6),-0.16667,-2.16667, -0.41067, -6.40164,   59,        1,
( -1/6|  7/3),-0.16667, 2.33333, -0.41067,  6.40164,   59,        2,
( -7/3|  1/6),-2.33333, 0.16667, -5.74932, -2.84518,   59,        3,
( 13/6| -7/3), 2.16667,-2.33333,  5.33865, -3.55647,   59,        2,
( 13/6|  1/6), 2.16667, 0.16667,  5.33865,  3.55647,   59,        1,
(  7/3|-13/6), 2.33333,-2.16667,  5.74932, -2.84518,   59,        3,
( -2  | -1/2),-2.00000,-0.50000, -4.92799, -4.26776,   60,        3,
(  1/2| -5/2), 0.50000,-2.50000,  1.23200, -6.40164,   60,        1,
(  1/2|  2  ), 0.50000, 2.00000,  1.23200,  6.40164,   60,        2,
(  2  | -5/2), 2.00000,-2.50000,  4.92799, -4.26776,   60,        3,
(  5/2| -1/2), 2.50000,-0.50000,  6.15999,  2.13388,   60,        1,
(  5/2| -2  ), 2.50000,-2.00000,  6.15999, -2.13388,   60,        2,
( -1/2| -2  ),-0.50000,-2.00000, -1.23200, -6.40164,   61,        2,
( -1/2|  5/2),-0.50000, 2.50000, -1.23200,  6.40164,   61,        1,
( -2  |  5/2),-2.00000, 2.50000, -4.92799,  4.26776,   61,        3,
( -5/2|  1/2),-2.50000, 0.50000, -6.15999, -2.13388,   61,        1,
( -5/2|  2  ),-2.50000, 2.00000, -6.15999,  2.13388,   61,        2,
(  2  |  1/2), 2.00000, 0.50000,  4.92799,  4.26776,   61,        3,
( -4/3| -4/3),-1.33333,-1.33333, -3.28533, -5.69035,   62,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  3.28533,  5.69035,   62,    1+2+3,
( -4/3| -4/3),-1.33333,-1.33333, -3.28533, -5.69035,   63,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667,  3.28533, -5.69035,   63,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  3.28533,  5.69035,   63,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  6.57065, -0.00000,   63,    1+2+3,
( -4/3| -4/3),-1.33333,-1.33333, -3.28533, -5.69035,   64,    1+2+3,
( -4/3|  8/3),-1.33333, 2.66667, -3.28533,  5.69035,   64,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -6.57065,  0.00000,   64,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  3.28533,  5.69035,   64,    1+2+3,
( -5/6|-11/6),-0.83333,-1.83333, -2.05333, -6.40164,   65,        1,
( -5/6|  8/3),-0.83333, 2.66667, -2.05333,  6.40164,   65,        2,
( -8/3|  5/6),-2.66667, 0.83333, -6.57065, -1.42259,   65,        3,
( 11/6| -8/3), 1.83333,-2.66667,  4.51732, -4.97906,   65,        2,
( 11/6|  5/6), 1.83333, 0.83333,  4.51732,  4.97906,   65,        1,
(  8/3|-11/6), 2.66667,-1.83333,  6.57065, -1.42259,   65,        3,
(-11/6| -5/6),-1.83333,-0.83333, -4.51732, -4.97906,   66,        1,
(-11/6|  8/3),-1.83333, 2.66667, -4.51732,  4.97906,   66,        2,
( -8/3| 11/6),-2.66667, 1.83333, -6.57065,  1.42259,   66,        3,
(  5/6| -8/3), 0.83333,-2.66667,  2.05333, -6.40164,   66,        2,
(  5/6| 11/6), 0.83333, 1.83333,  2.05333,  6.40164,   66,        1,
(  8/3| -5/6), 2.66667,-0.83333,  6.57065,  1.42259,   66,        3,
( -5/3| -7/6),-1.66667,-1.16667, -4.10666, -5.69035,   67,        3,
( 17/6| -5/3), 2.83333,-1.66667,  6.98132, -0.71129,   67,        2,
( 17/6| -7/6), 2.83333,-1.16667,  6.98132,  0.71129,   67,        1,
(  5/3|-17/6), 1.66667,-2.83333,  4.10666, -5.69035,   67,        3,
(  7/6|-17/6), 1.16667,-2.83333,  2.87466, -6.40164,   67,        1,
(  7/6|  5/3), 1.16667, 1.66667,  2.87466,  6.40164,   67,        2,
(-17/6|  5/3),-2.83333, 1.66667, -6.98132,  0.71129,   68,        2,
(-17/6|  7/6),-2.83333, 1.16667, -6.98132, -0.71129,   68,        1,
( -5/3| 17/6),-1.66667, 2.83333, -4.10666,  5.69035,   68,        3,
( -7/6| -5/3),-1.16667,-1.66667, -2.87466, -6.40164,   68,        2,
( -7/6| 17/6),-1.16667, 2.83333, -2.87466,  6.40164,   68,        1,
(  5/3|  7/6), 1.66667, 1.16667,  4.10666,  5.69035,   68,        3,
(  0  | -5/2), 0.00000,-2.50000, -0.00000, -7.11294,  -69,      (3),
(  5/2| -5/2), 2.50000,-2.50000,  6.15999, -3.55647,  -69,      (1),
(  5/2|  0  ), 2.50000, 0.00000,  6.15999,  3.55647,  -69,      (2),
( -5/2|  0  ),-2.50000, 0.00000, -6.15999, -3.55647,  -70,      (2),
( -5/2|  5/2),-2.50000, 2.50000, -6.15999,  3.55647,  -70,      (1),
