# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( 10/13| -1/13), 0.76923,-0.07692,  1.44103,  0.66558,   20,        1,
(-12/13|  9/13),-0.92308, 0.69231, -1.72924,  0.49919,   21,        1,
(  3/13|-12/13), 0.23077,-0.92308,  0.43231, -1.74716,   21,        1,
(  9/13|  3/13), 0.69231, 0.23077,  1.29693,  1.24797,   21,        1,
(-12/13|  3/13),-0.92308, 0.23077, -1.72924, -0.49919,   22,        2,
(  3/13|  9/13), 0.23077, 0.69231,  0.43231,  1.74716,   22,        2,
(  9/13|-12/13), 0.69231,-0.92308,  1.29693, -1.24797,   22,        2,
( -3/13| 12/13),-0.23077, 0.92308, -0.43231,  1.74716,   23,        1,
( -9/13| -3/13),-0.69231,-0.23077, -1.29693, -1.24797,   23,        1,
( 12/13| -9/13), 0.92308,-0.69231,  1.72924, -0.49919,   23,        1,
( -3/13| -9/13),-0.23077,-0.69231, -0.43231, -1.74716,   24,        2,
( -9/13| 12/13),-0.69231, 0.92308, -1.29693,  1.24797,   24,        2,
( 12/13| -3/13), 0.92308,-0.23077,  1.72924,  0.49919,   24,        2,
(-14/13| 10/13),-1.07692, 0.76923, -2.01744,  0.49919,   25,        2,
( 10/13|  4/13), 0.76923, 0.30769,  1.44103,  1.49756,   25,        2,
(  4/13|-14/13), 0.30769,-1.07692,  0.57641, -1.99675,   25,        2,
(-14/13|  4/13),-1.07692, 0.30769, -2.01744, -0.49919,   26,        1,
( 10/13|-14/13), 0.76923,-1.07692,  1.44103, -1.49756,   26,        1,
(  4/13| 10/13), 0.30769, 0.76923,  0.57641,  1.99675,   26,        1,
(-10/13| 14/13),-0.76923, 1.07692, -1.44103,  1.49756,   27,        1,
( -4/13|-10/13),-0.30769,-0.76923, -0.57641, -1.99675,   27,        1,
( 14/13| -4/13), 1.07692,-0.30769,  2.01744,  0.49919,   27,        1,
(-10/13| -4/13),-0.76923,-0.30769, -1.44103, -1.49756,   28,        2,
( -4/13| 14/13),-0.30769, 1.07692, -0.57641,  1.99675,   28,        2,
( 14/13|-10/13), 1.07692,-0.76923,  2.01744, -0.49919,   28,        2,
(-15/13|  8/13),-1.15385, 0.61538, -2.16155,  0.08320,   29,        1,
(  7/13|-15/13), 0.53846,-1.15385,  1.00872, -1.91355,   29,        1,
(  8/13|  7/13), 0.61538, 0.53846,  1.15283,  1.83036,   29,        1,
(-15/13|  7/13),-1.15385, 0.53846, -2.16155, -0.08320,   30,        2,
(  7/13|  8/13), 0.53846, 0.61538,  1.00872,  1.91355,   30,        2,
(  8/13|-15/13), 0.61538,-1.15385,  1.15283, -1.83036,   30,        2,
( -1   |  1   ),-1.00000, 1.00000, -1.87334,  1.08157,   31,      1+2,
(  0   | -1   ), 0.00000,-1.00000, -0.00000, -2.16315,   31,      1+2,
(  1   |  0   ), 1.00000, 0.00000,  1.87334,  1.08157,   31,      1+2,
( -1   |  0   ),-1.00000, 0.00000, -1.87334, -1.08157,   32,      1+2,
(  0   |  1   ), 0.00000, 1.00000,  0.00000,  2.16315,   32,      1+2,
(  1   | -1   ), 1.00000,-1.00000,  1.87334, -1.08157,   32,      1+2,
( -7/13| 15/13),-0.53846, 1.15385, -1.00872,  1.91355,   33,        1,
( -8/13| -7/13),-0.61538,-0.53846, -1.15283, -1.83036,   33,        1,
( 15/13| -8/13), 1.15385,-0.61538,  2.16155, -0.08320,   33,        1,
( -7/13| -8/13),-0.53846,-0.61538, -1.00872, -1.91355,   34,        2,
( -8/13| 15/13),-0.61538, 1.15385, -1.15283,  1.83036,   34,        2,
( 15/13| -7/13), 1.15385,-0.53846,  2.16155,  0.08320,   34,        2,
(-16/13| 12/13),-1.23077, 0.92308, -2.30565,  0.66558,   35,        1,
( 12/13|  4/13), 0.92308, 0.30769,  1.72924,  1.66396,   35,        1,
(  4/13|-16/13), 0.30769,-1.23077,  0.57641, -2.32954,   35,        1,
(-16/13|  4/13),-1.23077, 0.30769, -2.30565, -0.66558,   36,        2,
( 12/13|-16/13), 0.92308,-1.23077,  1.72924, -1.66396,   36,        2,
