# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(-18/13| -2/13),-1.38462,-0.15385, -2.59386, -1.83036,   68,        2,
( -2/13| 20/13),-0.15385, 1.53846, -0.28821,  3.16152,   68,        2,
( 20/13|-18/13), 1.53846,-1.38462,  2.88206, -1.33117,   68,        2,
(-10/13| 22/13),-0.76923, 1.69231, -1.44103,  2.82873,   69,        2,
(-12/13|-10/13),-0.92308,-0.76923, -1.72924, -2.66234,   69,        2,
( 22/13|-12/13), 1.69231,-0.92308,  3.17027, -0.16640,   69,        2,
(-10/13|-12/13),-0.76923,-0.92308, -1.44103, -2.82873,   70,        1,
(-12/13| 22/13),-0.92308, 1.69231, -1.72924,  2.66234,   70,        1,
( 22/13|-10/13), 1.69231,-0.76923,  3.17027,  0.16640,   70,        1,
(-23/13| 14/13),-1.76923, 1.07692, -3.31437,  0.41599,   71,        1,
( 14/13|  9/13), 1.07692, 0.69231,  2.01744,  2.66234,   71,        1,
(  9/13|-23/13), 0.69231,-1.76923,  1.29693, -3.07833,   71,        1,
(-21/13| 19/13),-1.61538, 1.46154, -3.02617,  1.41437,   72,        1,
( 19/13|  2/13), 1.46154, 0.15385,  2.73796,  1.91355,   72,        1,
(  2/13|-21/13), 0.15385,-1.61538,  0.28821, -3.32792,   72,        1,
(-23/13|  9/13),-1.76923, 0.69231, -3.31437, -0.41599,   73,        2,
( 14/13|-23/13), 1.07692,-1.76923,  2.01744, -2.66234,   73,        2,
(  9/13| 14/13), 0.69231, 1.07692,  1.29693,  3.07833,   73,        2,
(-19/13| 21/13),-1.46154, 1.61538, -2.73796,  1.91355,   74,        2,
( -2/13|-19/13),-0.15385,-1.46154, -0.28821, -3.32792,   74,        2,
( 21/13| -2/13), 1.61538,-0.15385,  3.02617,  1.41437,   74,        2,
(-21/13|  2/13),-1.61538, 0.15385, -3.02617, -1.41437,   75,        2,
( 19/13|-21/13), 1.46154,-1.61538,  2.73796, -1.91355,   75,        2,
(  2/13| 19/13), 0.15385, 1.46154,  0.28821,  3.32792,   75,        2,
(-14/13| 23/13),-1.07692, 1.76923, -2.01744,  2.66234,   76,        2,
( -9/13|-14/13),-0.69231,-1.07692, -1.29693, -3.07833,   76,        2,
( 23/13| -9/13), 1.76923,-0.69231,  3.31437,  0.41599,   76,        2,
(-19/13| -2/13),-1.46154,-0.15385, -2.73796, -1.91355,   77,        1,
( -2/13| 21/13),-0.15385, 1.61538, -0.28821,  3.32792,   77,        1,
( 21/13|-19/13), 1.61538,-1.46154,  3.02617, -1.41437,   77,        1,
(-14/13| -9/13),-1.07692,-0.69231, -2.01744, -2.66234,   78,        1,
( -9/13| 23/13),-0.69231, 1.76923, -1.29693,  3.07833,   78,        1,
( 23/13|-14/13), 1.76923,-1.07692,  3.31437, -0.41599,   78,        1,
(-24/13| 18/13),-1.84615, 1.38462, -3.45848,  0.99838,   79,        1,
( 18/13|  6/13), 1.38462, 0.46154,  2.59386,  2.49594,   79,        1,
(  6/13|-24/13), 0.46154,-1.84615,  0.86462, -3.49432,   79,        1,
(-24/13|  6/13),-1.84615, 0.46154, -3.45848, -0.99838,   80,        2,
( 18/13|-24/13), 1.38462,-1.84615,  2.59386, -2.49594,   80,        2,
(  6/13| 18/13), 0.46154, 1.38462,  0.86462,  3.49432,   80,        2,
(-18/13| 24/13),-1.38462, 1.84615, -2.59386,  2.49594,   81,        2,
( -6/13|-18/13),-0.46154,-1.38462, -0.86462, -3.49432,   81,        2,
( 24/13| -6/13), 1.84615,-0.46154,  3.45848,  0.99838,   81,        2,
(-18/13| -6/13),-1.38462,-0.46154, -2.59386, -2.49594,   82,        1,
( -6/13| 24/13),-0.46154, 1.84615, -0.86462,  3.49432,   82,        1,
( 24/13|-18/13), 1.84615,-1.38462,  3.45848, -0.99838,   82,        1,
(-25/13| 16/13),-1.92308, 1.23077, -3.60258,  0.58239,   83,        2,
( 16/13|  9/13), 1.23077, 0.69231,  2.30565,  2.82873,   83,        2,
(  9/13|-25/13), 0.69231,-1.92308,  1.29693, -3.41112,   83,        2,
(-24/13| 19/13),-1.84615, 1.46154, -3.45848,  1.16477,   84,        2,
( 19/13|  5/13), 1.46154, 0.38462,  2.73796,  2.41274,   84,        2,
