# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(3xr3)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p6m); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 7.6305 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [7.6305 0.0000]
#            Superlattice: [[1 2] [3 0]]
# Domain 2 - Basis: a = [-3.8152  2.2027]; b = [-3.8153 -6.6082]
#            Superlattice: [[-1  1] [-3 -3]]
# Domain 3 - Basis: a = [3.8153 2.2027]; b = [-3.8152  6.6082]
#            Superlattice: [[2 1] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -1/3|  2/3),-0.33333, 0.66667, -0.82343,  1.42622,    5,    1+2+3,
( -2/3|  1/3),-0.66667, 0.33333, -1.64686,  0.00000,    5,    1+2+3,
(  1/3|  1/3), 0.33333, 0.33333,  0.82343,  1.42622,    5,    1+2+3,
(  2/3| -1/3), 0.66667,-0.33333,  1.64686, -0.00000,    5,    1+2+3,
( -1/6| -2/3),-0.16667,-0.66667, -0.41172, -2.13933,    6,        3,
( -2/3| -1/6),-0.66667,-0.16667, -1.64686, -1.42622,    6,        1,
( -5/6|  2/3),-0.83333, 0.66667, -2.05858,  0.71311,    6,        3,
(  1/6| -5/6), 0.16667,-0.83333,  0.41172, -2.13933,    6,        2,
(  2/3| -5/6), 0.66667,-0.83333,  1.64686, -1.42622,    6,        1,
(  5/6| -1/6), 0.83333,-0.16667,  2.05858,  0.71311,    6,        2,
( -1/6|  5/6),-0.16667, 0.83333, -0.41172,  2.13933,    7,        2,
( -2/3|  5/6),-0.66667, 0.83333, -1.64686,  1.42622,    7,        1,
( -5/6|  1/6),-0.83333, 0.16667, -2.05858, -0.71311,    7,        2,
(  1/6|  2/3), 0.16667, 0.66667,  0.41172,  2.13933,    7,        3,
(  2/3|  1/6), 0.66667, 0.16667,  1.64686,  1.42622,    7,        1,
(  5/6| -2/3), 0.83333,-0.66667,  2.05858, -0.71311,    7,        3,
( -1  |  1/2),-1.00000, 0.50000, -2.47029,  0.00000,    8,        1,
( -1/2| -1/2),-0.50000,-0.50000, -1.23515, -2.13933,    8,        2,
( -1/2|  1  ),-0.50000, 1.00000, -1.23515,  2.13933,    8,        3,
(  1  | -1/2), 1.00000,-0.50000,  2.47029, -0.00000,    8,        1,
(  1/2| -1  ), 0.50000,-1.00000,  1.23515, -2.13933,    8,        3,
(  1/2|  1/2), 0.50000, 0.50000,  1.23515,  2.13933,    8,        2,
( -1  |  0  ),-1.00000, 0.00000, -2.47029, -1.42622,    9,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.85245,    9,    1+2+3,
(  1  | -1  ), 1.00000,-1.00000,  2.47029, -1.42622,    9,    1+2+3,
( -1  |  1  ),-1.00000, 1.00000, -2.47029,  1.42622,   10,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.47029,  1.42622,   10,    1+2+3,
( -1  |  1  ),-1.00000, 1.00000, -2.47029,  1.42622,   11,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.85245,   11,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.47029,  1.42622,   11,    1+2+3,
( -1/3| -5/6),-0.33333,-0.83333, -0.82343, -2.85245,   12,        1,
( -5/6| -1/3),-0.83333,-0.33333, -2.05858, -2.13933,   12,        3,
( -7/6|  1/3),-1.16667, 0.33333, -2.88201, -0.71311,   12,        3,
(  1/3| -7/6), 0.33333,-1.16667,  0.82343, -2.85245,   12,        1,
(  5/6| -7/6), 0.83333,-1.16667,  2.05858, -2.13933,   12,        2,
(  7/6| -5/6), 1.16667,-0.83333,  2.88201, -0.71311,   12,        2,
( -1/3|  7/6),-0.33333, 1.16667, -0.82343,  2.85245,   13,        1,
( -5/6|  7/6),-0.83333, 1.16667, -2.05858,  2.13933,   13,        2,
( -7/6|  5/6),-1.16667, 0.83333, -2.88201,  0.71311,   13,        2,
(  1/3|  5/6), 0.33333, 0.83333,  0.82343,  2.85245,   13,        1,
(  5/6|  1/3), 0.83333, 0.33333,  2.05858,  2.13933,   13,        3,
(  7/6| -1/3), 1.16667,-0.33333,  2.88201,  0.71311,   13,        3,
( -2/3| -2/3),-0.66667,-0.66667, -1.64686, -2.85245,   14,    1+2+3,
( -4/3|  2/3),-1.33333, 0.66667, -3.29372,  0.00000,   14,    1+2+3,
(  2/3| -4/3), 0.66667,-1.33333,  1.64686, -2.85245,   14,    1+2+3,
(  4/3| -2/3), 1.33333,-0.66667,  3.29372, -0.00000,   14,    1+2+3,
( -2/3|  4/3),-0.66667, 1.33333, -1.64686,  2.85245,   15,    1+2+3,
( -4/3|  2/3),-1.33333, 0.66667, -3.29372,  0.00000,   15,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.64686,  2.85245,   15,    1+2+3,
(  4/3| -2/3), 1.33333,-0.66667,  3.29372, -0.00000,   15,    1+2+3,
( -1/6| -7/6),-0.16667,-1.16667, -0.41172, -3.56556,   16,        2,
( -4/3|  1/6),-1.33333, 0.16667, -3.29372, -1.42622,   16,        1,
( -7/6|  4/3),-1.16667, 1.33333, -2.88201,  2.13933,   16,        3,
(  1/6| -4/3), 0.16667,-1.33333,  0.41172, -3.56556,   16,        3,
(  4/3| -7/6), 1.33333,-1.16667,  3.29372, -1.42622,   16,        1,
(  7/6|  1/6), 1.16667, 0.16667,  2.88201,  2.13933,   16,        2,
( -1/6|  4/3),-0.16667, 1.33333, -0.41172,  3.56556,   17,        3,
( -4/3|  7/6),-1.33333, 1.16667, -3.29372,  1.42622,   17,        1,
( -7/6| -1/6),-1.16667,-0.16667, -2.88201, -2.13933,   17,        2,
(  1/6|  7/6), 0.16667, 1.16667,  0.41172,  3.56556,   17,        2,
(  4/3| -1/6), 1.33333,-0.16667,  3.29372,  1.42622,   17,        1,
(  7/6| -4/3), 1.16667,-1.33333,  2.88201, -2.13933,   17,        3,
( -1  | -1/2),-1.00000,-0.50000, -2.47029, -2.85245,   18,        1,
( -1/2| -1  ),-0.50000,-1.00000, -1.23515, -3.56556,   18,        3,
( -3/2|  1  ),-1.50000, 1.00000, -3.70544,  0.71311,   18,        3,
(  1  | -3/2), 1.00000,-1.50000,  2.47029, -2.85245,   18,        1,
(  1/2| -3/2), 0.50000,-1.50000,  1.23515, -3.56556,   18,        2,
(  3/2| -1/2), 1.50000,-0.50000,  3.70544,  0.71311,   18,        2,
( -1  |  3/2),-1.00000, 1.50000, -2.47029,  2.85245,   19,        1,
( -1/2|  3/2),-0.50000, 1.50000, -1.23515,  3.56556,   19,        2,
( -3/2|  1/2),-1.50000, 0.50000, -3.70544, -0.71311,   19,        2,
(  1  |  1/2), 1.00000, 0.50000,  2.47029,  2.85245,   19,        1,
(  1/2|  1  ), 0.50000, 1.00000,  1.23515,  3.56556,   19,        3,
(  3/2| -1  ), 1.50000,-1.00000,  3.70544, -0.71311,   19,        3,
( -5/3|  5/6),-1.66667, 0.83333, -4.11715,  0.00000,   20,        1,
( -5/6| -5/6),-0.83333,-0.83333, -2.05858, -3.56556,   20,        2,
( -5/6|  5/3),-0.83333, 1.66667, -2.05858,  3.56556,   20,        3,
(  5/3| -5/6), 1.66667,-0.83333,  4.11715, -0.00000,   20,        1,
(  5/6| -5/3), 0.83333,-1.66667,  2.05858, -3.56556,   20,        3,
(  5/6|  5/6), 0.83333, 0.83333,  2.05858,  3.56556,   20,        2,
( -3/2|  0  ),-1.50000, 0.00000, -3.70544, -2.13933,  -21,      (3),
(  0  | -3/2), 0.00000,-1.50000,  0.00000, -4.27867,  -21,      (1),
(  3/2| -3/2), 1.50000,-1.50000,  3.70544, -2.13933,  -21,      (2),
( -3/2|  3/2),-1.50000, 1.50000, -3.70544,  2.13933,  -22,      (2),
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  4.27867,  -22,      (1),
(  3/2|  0  ), 1.50000, 0.00000,  3.70544,  2.13933,  -22,      (3),
( -4/3| -1/3),-1.33333,-0.33333, -3.29372, -2.85245,   23,    1+2+3,
(  4/3| -5/3), 1.33333,-1.66667,  3.29372, -2.85245,   23,    1+2+3,
( -5/3|  1/3),-1.66667, 0.33333, -4.11715, -1.42622,   24,    1+2+3,
(  5/3| -4/3), 1.66667,-1.33333,  4.11715, -1.42622,   24,    1+2+3,
( -1/3| -4/3),-0.33333,-1.33333, -0.82343, -4.27867,   25,    1+2+3,
(  1/3| -5/3), 0.33333,-1.66667,  0.82343, -4.27867,   25,    1+2+3,
( -5/3|  4/3),-1.66667, 1.33333, -4.11715,  1.42622,   26,    1+2+3,
(  5/3| -1/3), 1.66667,-0.33333,  4.11715,  1.42622,   26,    1+2+3,
( -4/3|  5/3),-1.33333, 1.66667, -3.29372,  2.85245,   27,    1+2+3,
(  4/3|  1/3), 1.33333, 0.33333,  3.29372,  2.85245,   27,    1+2+3,
( -1/3|  5/3),-0.33333, 1.66667, -0.82343,  4.27867,   28,    1+2+3,
(  1/3|  4/3), 0.33333, 1.33333,  0.82343,  4.27867,   28,    1+2+3,
(-11/6|  2/3),-1.83333, 0.66667, -4.52887, -0.71311,   29,        3,
( -2/3| -7/6),-0.66667,-1.16667, -1.64686, -4.27867,   29,        1,
( -7/6| -2/3),-1.16667,-0.66667, -2.88201, -3.56556,   29,        3,
( 11/6| -7/6), 1.83333,-1.16667,  4.52887, -0.71311,   29,        2,
(  2/3|-11/6), 0.66667,-1.83333,  1.64686, -4.27867,   29,        1,
(  7/6|-11/6), 1.16667,-1.83333,  2.88201, -3.56556,   29,        2,
(-11/6|  7/6),-1.83333, 1.16667, -4.52887,  0.71311,   30,        2,
( -2/3| 11/6),-0.66667, 1.83333, -1.64686,  4.27867,   30,        1,
( -7/6| 11/6),-1.16667, 1.83333, -2.88201,  3.56556,   30,        2,
( 11/6| -2/3), 1.83333,-0.66667,  4.52887,  0.71311,   30,        3,
(  2/3|  7/6), 0.66667, 1.16667,  1.64686,  4.27867,   30,        1,
(  7/6|  2/3), 1.16667, 0.66667,  2.88201,  3.56556,   30,        3,
( -1  | -1  ),-1.00000,-1.00000, -2.47029, -4.27867,   31,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -4.94058,  0.00000,   31,    1+2+3,
(  1  | -2  ), 1.00000,-2.00000,  2.47029, -4.27867,   31,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  4.94058, -0.00000,   31,    1+2+3,
( -1  |  2  ),-1.00000, 2.00000, -2.47029,  4.27867,   32,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -4.94058,  0.00000,   32,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.47029,  4.27867,   32,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  4.94058, -0.00000,   32,    1+2+3,
( -1/6| -5/3),-0.16667,-1.66667, -0.41172, -4.99178,   33,        3,
(-11/6|  5/3),-1.83333, 1.66667, -4.52887,  2.13933,   33,        3,
( -5/3| -1/6),-1.66667,-0.16667, -4.11715, -2.85245,   33,        1,
(  1/6|-11/6), 0.16667,-1.83333,  0.41172, -4.99178,   33,        2,
( 11/6| -1/6), 1.83333,-0.16667,  4.52887,  2.13933,   33,        2,
(  5/3|-11/6), 1.66667,-1.83333,  4.11715, -2.85245,   33,        1,
( -1/6| 11/6),-0.16667, 1.83333, -0.41172,  4.99178,   34,        2,
(-11/6|  1/6),-1.83333, 0.16667, -4.52887, -2.13933,   34,        2,
( -5/3| 11/6),-1.66667, 1.83333, -4.11715,  2.85245,   34,        1,
(  1/6|  5/3), 0.16667, 1.66667,  0.41172,  4.99178,   34,        3,
( 11/6| -5/3), 1.83333,-1.66667,  4.52887, -2.13933,   34,        3,
(  5/3|  1/6), 1.66667, 0.16667,  4.11715,  2.85245,   34,        1,
( -1/2| -3/2),-0.50000,-1.50000, -1.23515, -4.99178,   35,        2,
( -2  |  1/2),-2.00000, 0.50000, -4.94058, -1.42622,   35,        1,
( -3/2|  2  ),-1.50000, 2.00000, -3.70544,  3.56556,   35,        3,
(  1/2| -2  ), 0.50000,-2.00000,  1.23515, -4.99178,   35,        3,
(  2  | -3/2), 2.00000,-1.50000,  4.94058, -1.42622,   35,        1,
(  3/2|  1/2), 1.50000, 0.50000,  3.70544,  3.56556,   35,        2,
( -1/2|  2  ),-0.50000, 2.00000, -1.23515,  4.99178,   36,        3,
( -2  |  3/2),-2.00000, 1.50000, -4.94058,  1.42622,   36,        1,
( -3/2| -1/2),-1.50000,-0.50000, -3.70544, -3.56556,   36,        2,
(  1/2|  3/2), 0.50000, 1.50000,  1.23515,  4.99178,   36,        2,
(  2  | -1/2), 2.00000,-0.50000,  4.94058,  1.42622,   36,        1,
(  3/2| -2  ), 1.50000,-2.00000,  3.70544, -3.56556,   36,        3,
(-13/6|  5/6),-2.16667, 0.83333, -5.35230, -0.71311,   37,        2,
( -4/3| 13/6),-1.33333, 2.16667, -3.29372,  4.27867,   37,        1,
( -5/6| 13/6),-0.83333, 2.16667, -2.05858,  4.99178,   37,        2,
( 13/6| -4/3), 2.16667,-1.33333,  5.35230, -0.71311,   37,        3,
(  4/3|  5/6), 1.33333, 0.83333,  3.29372,  4.27867,   37,        1,
(  5/6|  4/3), 0.83333, 1.33333,  2.05858,  4.99178,   37,        3,
(-13/6|  4/3),-2.16667, 1.33333, -5.35230,  0.71311,   38,        3,
( -4/3| -5/6),-1.33333,-0.83333, -3.29372, -4.27867,   38,        1,
( -5/6| -4/3),-0.83333,-1.33333, -2.05858, -4.99178,   38,        3,
( 13/6| -5/6), 2.16667,-0.83333,  5.35230,  0.71311,   38,        2,
(  4/3|-13/6), 1.33333,-2.16667,  3.29372, -4.27867,   38,        1,
(  5/6|-13/6), 0.83333,-2.16667,  2.05858, -4.99178,   38,        2,
( -2  |  0  ),-2.00000, 0.00000, -4.94058, -2.85245,   39,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.70489,   39,    1+2+3,
(  2  | -2  ), 2.00000,-2.00000,  4.94058, -2.85245,   39,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000, -4.94058,  2.85245,   40,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.94058,  2.85245,   40,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000, -4.94058,  2.85245,   41,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.70489,   41,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.94058,  2.85245,   41,    1+2+3,
( -1/3|-11/6),-0.33333,-1.83333, -0.82343, -5.70489,   42,        1,
(-11/6| -1/3),-1.83333,-0.33333, -4.52887, -3.56556,   42,        3,
(-13/6|  1/3),-2.16667, 0.33333, -5.35230, -2.13933,   42,        3,
(  1/3|-13/6), 0.33333,-2.16667,  0.82343, -5.70489,   42,        1,
( 11/6|-13/6), 1.83333,-2.16667,  4.52887, -3.56556,   42,        2,
( 13/6|-11/6), 2.16667,-1.83333,  5.35230, -2.13933,   42,        2,
( -1/3| 13/6),-0.33333, 2.16667, -0.82343,  5.70489,   43,        1,
(-11/6| 13/6),-1.83333, 2.16667, -4.52887,  3.56556,   43,        2,
(-13/6| 11/6),-2.16667, 1.83333, -5.35230,  2.13933,   43,        2,
(  1/3| 11/6), 0.33333, 1.83333,  0.82343,  5.70489,   43,        1,
( 11/6|  1/3), 1.83333, 0.33333,  4.52887,  3.56556,   43,        3,
( 13/6| -1/3), 2.16667,-0.33333,  5.35230,  2.13933,   43,        3,
( -7/3|  7/6),-2.33333, 1.16667, -5.76401,  0.00000,   44,        1,
( -7/6| -7/6),-1.16667,-1.16667, -2.88201, -4.99178,   44,        2,
( -7/6|  7/3),-1.16667, 2.33333, -2.88201,  4.99178,   44,        3,
(  7/3| -7/6), 2.33333,-1.16667,  5.76401, -0.00000,   44,        1,
(  7/6| -7/3), 1.16667,-2.33333,  2.88201, -4.99178,   44,        3,
(  7/6|  7/6), 1.16667, 1.16667,  2.88201,  4.99178,   44,        2,
( -5/3| -2/3),-1.66667,-0.66667, -4.11715, -4.27867,   45,    1+2+3,
(  5/3| -7/3), 1.66667,-2.33333,  4.11715, -4.27867,   45,    1+2+3,
( -2/3| -5/3),-0.66667,-1.66667, -1.64686, -5.70489,   46,    1+2+3,
(  2/3| -7/3), 0.66667,-2.33333,  1.64686, -5.70489,   46,    1+2+3,
( -2/3|  7/3),-0.66667, 2.33333, -1.64686,  5.70489,   47,    1+2+3,
(  2/3|  5/3), 0.66667, 1.66667,  1.64686,  5.70489,   47,    1+2+3,
( -7/3|  2/3),-2.33333, 0.66667, -5.76401, -1.42622,   48,    1+2+3,
(  7/3| -5/3), 2.33333,-1.66667,  5.76401, -1.42622,   48,    1+2+3,
( -7/3|  5/3),-2.33333, 1.66667, -5.76401,  1.42622,   49,    1+2+3,
(  7/3| -2/3), 2.33333,-0.66667,  5.76401,  1.42622,   49,    1+2+3,
( -5/3|  7/3),-1.66667, 2.33333, -4.11715,  4.27867,   50,    1+2+3,
(  5/3|  2/3), 1.66667, 0.66667,  4.11715,  4.27867,   50,    1+2+3,
( -1  | -3/2),-1.00000,-1.50000, -2.47029, -5.70489,   51,        1,
( -3/2| -1  ),-1.50000,-1.00000, -3.70544, -4.99178,   51,        3,
( -5/2|  1  ),-2.50000, 1.00000, -6.17573, -0.71311,   51,        3,
(  1  | -5/2), 1.00000,-2.50000,  2.47029, -5.70489,   51,        1,
(  3/2| -5/2), 1.50000,-2.50000,  3.70544, -4.99178,   51,        2,
(  5/2| -3/2), 2.50000,-1.50000,  6.17573, -0.71311,   51,        2,
( -1  |  5/2),-1.00000, 2.50000, -2.47029,  5.70489,   52,        1,
( -3/2|  5/2),-1.50000, 2.50000, -3.70544,  4.99178,   52,        2,
( -5/2|  3/2),-2.50000, 1.50000, -6.17573,  0.71311,   52,        2,
(  1  |  3/2), 1.00000, 1.50000,  2.47029,  5.70489,   52,        1,
(  3/2|  1  ), 1.50000, 1.00000,  3.70544,  4.99178,   52,        3,
(  5/2| -1  ), 2.50000,-1.00000,  6.17573,  0.71311,   52,        3,
( -1/6|-13/6),-0.16667,-2.16667, -0.41172, -6.41800,   53,        2,
(-13/6|  7/3),-2.16667, 2.33333, -5.35230,  3.56556,   53,        3,
( -7/3|  1/6),-2.33333, 0.16667, -5.76401, -2.85245,   53,        1,
(  1/6| -7/3), 0.16667,-2.33333,  0.41172, -6.41800,   53,        3,
( 13/6|  1/6), 2.16667, 0.16667,  5.35230,  3.56556,   53,        2,
(  7/3|-13/6), 2.33333,-2.16667,  5.76401, -2.85245,   53,        1,
( -1/6|  7/3),-0.16667, 2.33333, -0.41172,  6.41800,   54,        3,
(-13/6| -1/6),-2.16667,-0.16667, -5.35230, -3.56556,   54,        2,
( -7/3| 13/6),-2.33333, 2.16667, -5.76401,  2.85245,   54,        1,
(  1/6| 13/6), 0.16667, 2.16667,  0.41172,  6.41800,   54,        2,
( 13/6| -7/3), 2.16667,-2.33333,  5.35230, -3.56556,   54,        3,
(  7/3| -1/6), 2.33333,-0.16667,  5.76401,  2.85245,   54,        1,
( -1/2| -2  ),-0.50000,-2.00000, -1.23515, -6.41800,   55,        3,
( -2  | -1/2),-2.00000,-0.50000, -4.94058, -4.27867,   55,        1,
( -5/2|  2  ),-2.50000, 2.00000, -6.17573,  2.13933,   55,        3,
(  1/2| -5/2), 0.50000,-2.50000,  1.23515, -6.41800,   55,        2,
(  2  | -5/2), 2.00000,-2.50000,  4.94058, -4.27867,   55,        1,
(  5/2| -1/2), 2.50000,-0.50000,  6.17573,  2.13933,   55,        2,
( -1/2|  5/2),-0.50000, 2.50000, -1.23515,  6.41800,   56,        2,
( -2  |  5/2),-2.00000, 2.50000, -4.94058,  4.27867,   56,        1,
( -5/2|  1/2),-2.50000, 0.50000, -6.17573, -2.13933,   56,        2,
(  1/2|  2  ), 0.50000, 2.00000,  1.23515,  6.41800,   56,        3,
(  2  |  1/2), 2.00000, 0.50000,  4.94058,  4.27867,   56,        1,
(  5/2| -2  ), 2.50000,-2.00000,  6.17573, -2.13933,   56,        3,
( -4/3| -4/3),-1.33333,-1.33333, -3.29372, -5.70489,   57,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -6.58744,  0.00000,   57,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667,  3.29372, -5.70489,   57,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  6.58744, -0.00000,   57,    1+2+3,
( -4/3|  8/3),-1.33333, 2.66667, -3.29372,  5.70489,   58,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -6.58744,  0.00000,   58,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  3.29372,  5.70489,   58,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  6.58744, -0.00000,   58,    1+2+3,
(-11/6| -5/6),-1.83333,-0.83333, -4.52887, -4.99178,   59,        2,
( -5/6|  8/3),-0.83333, 2.66667, -2.05858,  6.41800,   59,        3,
( -8/3| 11/6),-2.66667, 1.83333, -6.58744,  1.42622,   59,        1,
( 11/6| -8/3), 1.83333,-2.66667,  4.52887, -4.99178,   59,        3,
(  5/6| 11/6), 0.83333, 1.83333,  2.05858,  6.41800,   59,        2,
(  8/3| -5/6), 2.66667,-0.83333,  6.58744,  1.42622,   59,        1,
(-11/6|  8/3),-1.83333, 2.66667, -4.52887,  4.99178,   60,        3,
( -5/6|-11/6),-0.83333,-1.83333, -2.05858, -6.41800,   60,        2,
( -8/3|  5/6),-2.66667, 0.83333, -6.58744, -1.42622,   60,        1,
( 11/6|  5/6), 1.83333, 0.83333,  4.52887,  4.99178,   60,        2,
(  5/6| -8/3), 0.83333,-2.66667,  2.05858, -6.41800,   60,        3,
(  8/3|-11/6), 2.66667,-1.83333,  6.58744, -1.42622,   60,        1,
(-17/6|  7/6),-2.83333, 1.16667, -6.99916, -0.71311,   61,        2,
( -5/3| 17/6),-1.66667, 2.83333, -4.11715,  5.70489,   61,        1,
( -7/6| 17/6),-1.16667, 2.83333, -2.88201,  6.41800,   61,        2,
( 17/6| -5/3), 2.83333,-1.66667,  6.99916, -0.71311,   61,        3,
(  5/3|  7/6), 1.66667, 1.16667,  4.11715,  5.70489,   61,        1,
(  7/6|  5/3), 1.16667, 1.66667,  2.88201,  6.41800,   61,        3,
(-17/6|  5/3),-2.83333, 1.66667, -6.99916,  0.71311,   62,        3,
( -5/3| -7/6),-1.66667,-1.16667, -4.11715, -5.70489,   62,        1,
( -7/6| -5/3),-1.16667,-1.66667, -2.88201, -6.41800,   62,        3,
( 17/6| -7/6), 2.83333,-1.16667,  6.99916,  0.71311,   62,        2,
(  5/3|-17/6), 1.66667,-2.83333,  4.11715, -5.70489,   62,        1,
(  7/6|-17/6), 1.16667,-2.83333,  2.88201, -6.41800,   62,        2,
( -5/2|  0  ),-2.50000, 0.00000, -6.17573, -3.56556,  -63,      (3),
(  0  | -5/2), 0.00000,-2.50000,  0.00000, -7.13112,  -63,      (1),
(  5/2| -5/2), 2.50000,-2.50000,  6.17573, -3.56556,  -63,      (2),
( -5/2|  5/2),-2.50000, 2.50000, -6.17573,  3.56556,  -64,      (2),
(  0  |  5/2), 0.00000, 2.50000,  0.00000,  7.13112,  -64,      (1),
(  5/2|  0  ), 2.50000, 0.00000,  6.17573,  3.56556,  -64,      (3),
( -8/3|  1/3),-2.66667, 0.33333, -6.58744, -2.85245,   65,    1+2+3,
(  8/3| -7/3), 2.66667,-2.33333,  6.58744, -2.85245,   65,    1+2+3,
( -7/3| -1/3),-2.33333,-0.33333, -5.76401, -4.27867,   66,    1+2+3,
(  7/3| -8/3), 2.33333,-2.66667,  5.76401, -4.27867,   66,    1+2+3,
( -1/3| -7/3),-0.33333,-2.33333, -0.82343, -7.13112,   67,    1+2+3,
(  1/3| -8/3), 0.33333,-2.66667,  0.82343, -7.13112,   67,    1+2+3,
( -1/3|  8/3),-0.33333, 2.66667, -0.82343,  7.13112,   68,    1+2+3,
