# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  2/3| -4/3), 0.66667,-1.33333,  1.64686, -2.85245,   12,      1+2,
( -4/3|  2/3),-1.33333, 0.66667, -3.29372,  0.00000,   12,      1+2,
( -2/3| -2/3),-0.66667,-0.66667, -1.64686, -2.85245,   12,      1+2,
(  1/6|  7/6), 0.16667, 1.16667,  0.41172,  3.56556,   13,      1+2,
( -1/6|  4/3),-0.16667, 1.33333, -0.41172,  3.56556,   13,      1+2,
(  4/3| -7/6), 1.33333,-1.16667,  3.29372, -1.42622,   13,      1+2,
(  7/6| -4/3), 1.16667,-1.33333,  2.88201, -2.13933,   13,      1+2,
( -4/3|  1/6),-1.33333, 0.16667, -3.29372, -1.42622,   13,      1+2,
( -7/6| -1/6),-1.16667,-0.16667, -2.88201, -2.13933,   13,      1+2,
(  7/6|  1/6), 1.16667, 0.16667,  2.88201,  2.13933,   14,      1+2,
(  4/3| -1/6), 1.33333,-0.16667,  3.29372,  1.42622,   14,      1+2,
( -7/6|  4/3),-1.16667, 1.33333, -2.88201,  2.13933,   14,      1+2,
( -4/3|  7/6),-1.33333, 1.16667, -3.29372,  1.42622,   14,      1+2,
(  1/6| -4/3), 0.16667,-1.33333,  0.41172, -3.56556,   14,      1+2,
( -1/6| -7/6),-0.16667,-1.16667, -0.41172, -3.56556,   14,      1+2,
(  1/2|  1  ), 0.50000, 1.00000,  1.23515,  3.56556,   15,      1+2,
( -1/2|  3/2),-0.50000, 1.50000, -1.23515,  3.56556,   15,      1+2,
(  3/2| -1  ), 1.50000,-1.00000,  3.70544, -0.71311,   15,      1+2,
(  1  | -3/2), 1.00000,-1.50000,  2.47029, -2.85245,   15,      1+2,
( -3/2|  1/2),-1.50000, 0.50000, -3.70544, -0.71311,   15,      1+2,
( -1  | -1/2),-1.00000,-0.50000, -2.47029, -2.85245,   15,      1+2,
(  1  |  1/2), 1.00000, 0.50000,  2.47029,  2.85245,   16,      1+2,
(  3/2| -1/2), 1.50000,-0.50000,  3.70544,  0.71311,   16,      1+2,
( -1  |  3/2),-1.00000, 1.50000, -2.47029,  2.85245,   16,      1+2,
( -3/2|  1  ),-1.50000, 1.00000, -3.70544,  0.71311,   16,      1+2,
(  1/2| -3/2), 0.50000,-1.50000,  1.23515, -3.56556,   16,      1+2,
( -1/2| -1  ),-0.50000,-1.00000, -1.23515, -3.56556,   16,      1+2,
(  5/6|  5/6), 0.83333, 0.83333,  2.05858,  3.56556,   17,      1+2,
(  5/3| -5/6), 1.66667,-0.83333,  4.11715, -0.00000,   17,      1+2,
( -5/6|  5/3),-0.83333, 1.66667, -2.05858,  3.56556,   17,      1+2,
(  5/6| -5/3), 0.83333,-1.66667,  2.05858, -3.56556,   17,      1+2,
( -5/3|  5/6),-1.66667, 0.83333, -4.11715,  0.00000,   17,      1+2,
( -5/6| -5/6),-0.83333,-0.83333, -2.05858, -3.56556,   17,      1+2,
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  4.27867,   18,      1+2,
(  3/2| -3/2), 1.50000,-1.50000,  3.70544, -2.13933,   18,      1+2,
( -3/2|  0  ),-1.50000, 0.00000, -3.70544, -2.13933,   18,      1+2,
(  3/2|  0  ), 1.50000, 0.00000,  3.70544,  2.13933,   19,      1+2,
( -3/2|  3/2),-1.50000, 1.50000, -3.70544,  2.13933,   19,      1+2,
(  0  | -3/2), 0.00000,-1.50000,  0.00000, -4.27867,   19,      1+2,
(  4/3|  1/3), 1.33333, 0.33333,  3.29372,  2.85245,   20,      1+2,
(  5/3| -1/3), 1.66667,-0.33333,  4.11715,  1.42622,   20,      1+2,
( -4/3|  5/3),-1.33333, 1.66667, -3.29372,  2.85245,   20,      1+2,
( -5/3|  4/3),-1.66667, 1.33333, -4.11715,  1.42622,   20,      1+2,
(  1/3| -5/3), 0.33333,-1.66667,  0.82343, -4.27867,   20,      1+2,
( -1/3| -4/3),-0.33333,-1.33333, -0.82343, -4.27867,   20,      1+2,
(  1/3|  4/3), 0.33333, 1.33333,  0.82343,  4.27867,   21,      1+2,
( -1/3|  5/3),-0.33333, 1.66667, -0.82343,  4.27867,   21,      1+2,
(  5/3| -4/3), 1.66667,-1.33333,  4.11715, -1.42622,   21,      1+2,
(  4/3| -5/3), 1.33333,-1.66667,  3.29372, -2.85245,   21,      1+2,
( -5/3|  1/3),-1.66667, 0.33333, -4.11715, -1.42622,   21,      1+2,
( -4/3| -1/3),-1.33333,-0.33333, -3.29372, -2.85245,   21,      1+2,
(  2/3|  7/6), 0.66667, 1.16667,  1.64686,  4.27867,   22,      1+2,
( -2/3| 11/6),-0.66667, 1.83333, -1.64686,  4.27867,   22,      1+2,
( 11/6| -7/6), 1.83333,-1.16667,  4.52887, -0.71311,   22,      1+2,
(  7/6|-11/6), 1.16667,-1.83333,  2.88201, -3.56556,   22,      1+2,
(-11/6|  2/3),-1.83333, 0.66667, -4.52887, -0.71311,   22,      1+2,
( -7/6| -2/3),-1.16667,-0.66667, -2.88201, -3.56556,   22,      1+2,
(  7/6|  2/3), 1.16667, 0.66667,  2.88201,  3.56556,   23,      1+2,
( 11/6| -2/3), 1.83333,-0.66667,  4.52887,  0.71311,   23,      1+2,
( -7/6| 11/6),-1.16667, 1.83333, -2.88201,  3.56556,   23,      1+2,
(-11/6|  7/6),-1.83333, 1.16667, -4.52887,  0.71311,   23,      1+2,
(  2/3|-11/6), 0.66667,-1.83333,  1.64686, -4.27867,   23,      1+2,
( -2/3| -7/6),-0.66667,-1.16667, -1.64686, -4.27867,   23,      1+2,
(  1  |  1  ), 1.00000, 1.00000,  2.47029,  4.27867,   24,      1+2,
(  2  | -1  ), 2.00000,-1.00000,  4.94058, -0.00000,   24,      1+2,
( -1  |  2  ),-1.00000, 2.00000, -2.47029,  4.27867,   24,      1+2,
(  1  | -2  ), 1.00000,-2.00000,  2.47029, -4.27867,   24,      1+2,
( -2  |  1  ),-2.00000, 1.00000, -4.94058,  0.00000,   24,      1+2,
( -1  | -1  ),-1.00000,-1.00000, -2.47029, -4.27867,   24,      1+2,
(  1/6|  5/3), 0.16667, 1.66667,  0.41172,  4.99178,   25,      1+2,
( -1/6| 11/6),-0.16667, 1.83333, -0.41172,  4.99178,   25,      1+2,
( 11/6| -5/3), 1.83333,-1.66667,  4.52887, -2.13933,   25,      1+2,
(  5/3|-11/6), 1.66667,-1.83333,  4.11715, -2.85245,   25,      1+2,
(-11/6|  1/6),-1.83333, 0.16667, -4.52887, -2.13933,   25,      1+2,
( -5/3| -1/6),-1.66667,-0.16667, -4.11715, -2.85245,   25,      1+2,
(  5/3|  1/6), 1.66667, 0.16667,  4.11715,  2.85245,   26,      1+2,
( 11/6| -1/6), 1.83333,-0.16667,  4.52887,  2.13933,   26,      1+2,
( -5/3| 11/6),-1.66667, 1.83333, -4.11715,  2.85245,   26,      1+2,
(-11/6|  5/3),-1.83333, 1.66667, -4.52887,  2.13933,   26,      1+2,
(  1/6|-11/6), 0.16667,-1.83333,  0.41172, -4.99178,   26,      1+2,
( -1/6| -5/3),-0.16667,-1.66667, -0.41172, -4.99178,   26,      1+2,
(  1/2|  3/2), 0.50000, 1.50000,  1.23515,  4.99178,   27,      1+2,
( -1/2|  2  ),-0.50000, 2.00000, -1.23515,  4.99178,   27,      1+2,
(  2  | -3/2), 2.00000,-1.50000,  4.94058, -1.42622,   27,      1+2,
(  3/2| -2  ), 1.50000,-2.00000,  3.70544, -3.56556,   27,      1+2,
( -2  |  1/2),-2.00000, 0.50000, -4.94058, -1.42622,   27,      1+2,
( -3/2| -1/2),-1.50000,-0.50000, -3.70544, -3.56556,   27,      1+2,
(  3/2|  1/2), 1.50000, 0.50000,  3.70544,  3.56556,   28,      1+2,
(  2  | -1/2), 2.00000,-0.50000,  4.94058,  1.42622,   28,      1+2,
( -3/2|  2  ),-1.50000, 2.00000, -3.70544,  3.56556,   28,      1+2,
( -2  |  3/2),-2.00000, 1.50000, -4.94058,  1.42622,   28,      1+2,
(  1/2| -2  ), 0.50000,-2.00000,  1.23515, -4.99178,   28,      1+2,
( -1/2| -3/2),-0.50000,-1.50000, -1.23515, -4.99178,   28,      1+2,
(  5/6|  4/3), 0.83333, 1.33333,  2.05858,  4.99178,   29,      1+2,
( -5/6| 13/6),-0.83333, 2.16667, -2.05858,  4.99178,   29,      1+2,
( 13/6| -4/3), 2.16667,-1.33333,  5.35230, -0.71311,   29,      1+2,
(  4/3|-13/6), 1.33333,-2.16667,  3.29372, -4.27867,   29,      1+2,
(-13/6|  5/6),-2.16667, 0.83333, -5.35230, -0.71311,   29,      1+2,
( -4/3| -5/6),-1.33333,-0.83333, -3.29372, -4.27867,   29,      1+2,
(  4/3|  5/6), 1.33333, 0.83333,  3.29372,  4.27867,   30,      1+2,
( 13/6| -5/6), 2.16667,-0.83333,  5.35230,  0.71311,   30,      1+2,
( -4/3| 13/6),-1.33333, 2.16667, -3.29372,  4.27867,   30,      1+2,
(-13/6|  4/3),-2.16667, 1.33333, -5.35230,  0.71311,   30,      1+2,
(  5/6|-13/6), 0.83333,-2.16667,  2.05858, -4.99178,   30,      1+2,
( -5/6| -4/3),-0.83333,-1.33333, -2.05858, -4.99178,   30,      1+2,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.70489,   31,      1+2,
(  2  | -2  ), 2.00000,-2.00000,  4.94058, -2.85245,   31,      1+2,
( -2  |  0  ),-2.00000, 0.00000, -4.94058, -2.85245,   31,      1+2,
(  2  |  0  ), 2.00000, 0.00000,  4.94058,  2.85245,   32,      1+2,
( -2  |  2  ),-2.00000, 2.00000, -4.94058,  2.85245,   32,      1+2,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.70489,   32,      1+2,
( 11/6|  1/3), 1.83333, 0.33333,  4.52887,  3.56556,   33,      1+2,
( 13/6| -1/3), 2.16667,-0.33333,  5.35230,  2.13933,   33,      1+2,
(-11/6| 13/6),-1.83333, 2.16667, -4.52887,  3.56556,   33,      1+2,
