# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-p(1x1).tlm
#
# Structure: Ag(110)-p(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 4.0900 AA; b = 5.7840 AA
#        Basis: a = [4.0900 0.0000]; b = [0.0000 5.7840]
# Surface lattice: Rectangular (pmm); a = 4.0900 AA; b = 5.7840 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.0900 0.0000]; b = [0.0000 5.7840]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  4| -1),  4.00000, -1.00000,  6.14492, -1.08630,   22,        1,
( -4|  1), -4.00000,  1.00000, -6.14492,  1.08630,   22,        1,
( -4| -1), -4.00000, -1.00000, -6.14492, -1.08630,   22,        1,
(  2|  5),  2.00000,  5.00000,  3.07246,  5.43152,   23,        1,
( -2|  5), -2.00000,  5.00000, -3.07246,  5.43152,   23,        1,
(  2| -5),  2.00000, -5.00000,  3.07246, -5.43152,   23,        1,
( -2| -5), -2.00000, -5.00000, -3.07246, -5.43152,   23,        1,
(  3|  4),  3.00000,  4.00000,  4.60869,  4.34522,   24,        1,
( -3|  4), -3.00000,  4.00000, -4.60869,  4.34522,   24,        1,
(  3| -4),  3.00000, -4.00000,  4.60869, -4.34522,   24,        1,
( -3| -4), -3.00000, -4.00000, -4.60869, -4.34522,   24,        1,
(  4|  2),  4.00000,  2.00000,  6.14492,  2.17261,   25,        1,
(  4| -2),  4.00000, -2.00000,  6.14492, -2.17261,   25,        1,
( -4|  2), -4.00000,  2.00000, -6.14492,  2.17261,   25,        1,
( -4| -2), -4.00000, -2.00000, -6.14492, -2.17261,   25,        1,
(  0|  6),  0.00000,  6.00000,  0.00000,  6.51783,   26,        1,
(  0| -6),  0.00000, -6.00000,  0.00000, -6.51783,   26,        1,
(  1|  6),  1.00000,  6.00000,  1.53623,  6.51783,   27,        1,
( -1|  6), -1.00000,  6.00000, -1.53623,  6.51783,   27,        1,
(  1| -6),  1.00000, -6.00000,  1.53623, -6.51783,   27,        1,
( -1| -6), -1.00000, -6.00000, -1.53623, -6.51783,   27,        1,
(  4|  3),  4.00000,  3.00000,  6.14492,  3.25891,   28,        1,
(  4| -3),  4.00000, -3.00000,  6.14492, -3.25891,   28,        1,
( -4|  3), -4.00000,  3.00000, -6.14492,  3.25891,   28,        1,
( -4| -3), -4.00000, -3.00000, -6.14492, -3.25891,   28,        1,
(  3|  5),  3.00000,  5.00000,  4.60869,  5.43152,   29,        1,
( -3|  5), -3.00000,  5.00000, -4.60869,  5.43152,   29,        1,
(  3| -5),  3.00000, -5.00000,  4.60869, -5.43152,   29,        1,
( -3| -5), -3.00000, -5.00000, -4.60869, -5.43152,   29,        1,
(  2|  6),  2.00000,  6.00000,  3.07246,  6.51783,   30,        1,
( -2|  6), -2.00000,  6.00000, -3.07246,  6.51783,   30,        1,
(  2| -6),  2.00000, -6.00000,  3.07246, -6.51783,   30,        1,
( -2| -6), -2.00000, -6.00000, -3.07246, -6.51783,   30,        1,
(  4|  4),  4.00000,  4.00000,  6.14492,  4.34522,   31,        1,
(  4| -4),  4.00000, -4.00000,  6.14492, -4.34522,   31,        1,
( -4|  4), -4.00000,  4.00000, -6.14492,  4.34522,   31,        1,
( -4| -4), -4.00000, -4.00000, -6.14492, -4.34522,   31,        1,
(  0|  7),  0.00000,  7.00000,  0.00000,  7.60413,   32,        1,
(  0| -7),  0.00000, -7.00000,  0.00000, -7.60413,   32,        1,
(  5|  0),  5.00000,  0.00000,  7.68116, -0.00000,   33,        1,
( -5|  0), -5.00000,  0.00000, -7.68116,  0.00000,   33,        1,
(  5|  1),  5.00000,  1.00000,  7.68116,  1.08630,   34,        1,
(  5| -1),  5.00000, -1.00000,  7.68116, -1.08630,   34,        1,
( -5|  1), -5.00000,  1.00000, -7.68116,  1.08630,   34,        1,
( -5| -1), -5.00000, -1.00000, -7.68116, -1.08630,   34,        1,
(  1|  7),  1.00000,  7.00000,  1.53623,  7.60413,   35,        1,
( -1|  7), -1.00000,  7.00000, -1.53623,  7.60413,   35,        1,
(  1| -7),  1.00000, -7.00000,  1.53623, -7.60413,   35,        1,
( -1| -7), -1.00000, -7.00000, -1.53623, -7.60413,   35,        1,
(  5|  2),  5.00000,  2.00000,  7.68116,  2.17261,   36,        1,
(  5| -2),  5.00000, -2.00000,  7.68116, -2.17261,   36,        1,
( -5|  2), -5.00000,  2.00000, -7.68116,  2.17261,   36,        1,
( -5| -2), -5.00000, -2.00000, -7.68116, -2.17261,   36,        1,
(  3|  6),  3.00000,  6.00000,  4.60869,  6.51783,   37,        1,
( -3|  6), -3.00000,  6.00000, -4.60869,  6.51783,   37,        1,
(  3| -6),  3.00000, -6.00000,  4.60869, -6.51783,   37,        1,
( -3| -6), -3.00000, -6.00000, -4.60869, -6.51783,   37,        1,
(  4|  5),  4.00000,  5.00000,  6.14492,  5.43152,   38,        1,
( -4|  5), -4.00000,  5.00000, -6.14492,  5.43152,   38,        1,
(  4| -5),  4.00000, -5.00000,  6.14492, -5.43152,   38,        1,
( -4| -5), -4.00000, -5.00000, -6.14492, -5.43152,   38,        1,
(  2|  7),  2.00000,  7.00000,  3.07246,  7.60413,   39,        1,
( -2|  7), -2.00000,  7.00000, -3.07246,  7.60413,   39,        1,
(  2| -7),  2.00000, -7.00000,  3.07246, -7.60413,   39,        1,
( -2| -7), -2.00000, -7.00000, -3.07246, -7.60413,   39,        1,
(  5|  3),  5.00000,  3.00000,  7.68116,  3.25891,   40,        1,
(  5| -3),  5.00000, -3.00000,  7.68116, -3.25891,   40,        1,
( -5|  3), -5.00000,  3.00000, -7.68116,  3.25891,   40,        1,
( -5| -3), -5.00000, -3.00000, -7.68116, -3.25891,   40,        1,
(  0|  8),  0.00000,  8.00000,  0.00000,  8.69044,   41,        1,
(  0| -8),  0.00000, -8.00000,  0.00000, -8.69044,   41,        1,
(  5|  4),  5.00000,  4.00000,  7.68116,  4.34522,   42,        1,
(  5| -4),  5.00000, -4.00000,  7.68116, -4.34522,   42,        1,
( -5|  4), -5.00000,  4.00000, -7.68116,  4.34522,   42,        1,
( -5| -4), -5.00000, -4.00000, -7.68116, -4.34522,   42,        1,
(  1|  8),  1.00000,  8.00000,  1.53623,  8.69044,   43,        1,
( -1|  8), -1.00000,  8.00000, -1.53623,  8.69044,   43,        1,
(  1| -8),  1.00000, -8.00000,  1.53623, -8.69044,   43,        1,
( -1| -8), -1.00000, -8.00000, -1.53623, -8.69044,   43,        1,
(  3|  7),  3.00000,  7.00000,  4.60869,  7.60413,   44,        1,
( -3|  7), -3.00000,  7.00000, -4.60869,  7.60413,   44,        1,
(  3| -7),  3.00000, -7.00000,  4.60869, -7.60413,   44,        1,
( -3| -7), -3.00000, -7.00000, -4.60869, -7.60413,   44,        1,
(  4|  6),  4.00000,  6.00000,  6.14492,  6.51783,   45,        1,
( -4|  6), -4.00000,  6.00000, -6.14492,  6.51783,   45,        1,
(  4| -6),  4.00000, -6.00000,  6.14492, -6.51783,   45,        1,
( -4| -6), -4.00000, -6.00000, -6.14492, -6.51783,   45,        1,
(  6|  0),  6.00000,  0.00000,  9.21739, -0.00000,   46,        1,
( -6|  0), -6.00000,  0.00000, -9.21739,  0.00000,   46,        1,
(  2|  8),  2.00000,  8.00000,  3.07246,  8.69044,   47,        1,
( -2|  8), -2.00000,  8.00000, -3.07246,  8.69044,   47,        1,
(  2| -8),  2.00000, -8.00000,  3.07246, -8.69044,   47,        1,
( -2| -8), -2.00000, -8.00000, -3.07246, -8.69044,   47,        1,
(  6|  1),  6.00000,  1.00000,  9.21739,  1.08630,   48,        1,
(  6| -1),  6.00000, -1.00000,  9.21739, -1.08630,   48,        1,
( -6|  1), -6.00000,  1.00000, -9.21739,  1.08630,   48,        1,
( -6| -1), -6.00000, -1.00000, -9.21739, -1.08630,   48,        1,
(  5|  5),  5.00000,  5.00000,  7.68116,  5.43152,   49,        1,
(  5| -5),  5.00000, -5.00000,  7.68116, -5.43152,   49,        1,
( -5|  5), -5.00000,  5.00000, -7.68116,  5.43152,   49,        1,
( -5| -5), -5.00000, -5.00000, -7.68116, -5.43152,   49,        1,
(  6|  2),  6.00000,  2.00000,  9.21739,  2.17261,   50,        1,
(  6| -2),  6.00000, -2.00000,  9.21739, -2.17261,   50,        1,
( -6|  2), -6.00000,  2.00000, -9.21739,  2.17261,   50,        1,
( -6| -2), -6.00000, -2.00000, -9.21739, -2.17261,   50,        1,
(  6|  3),  6.00000,  3.00000,  9.21739,  3.25891,   51,        1,
(  6| -3),  6.00000, -3.00000,  9.21739, -3.25891,   51,        1,
( -6|  3), -6.00000,  3.00000, -9.21739,  3.25891,   51,        1,
( -6| -3), -6.00000, -3.00000, -9.21739, -3.25891,   51,        1,
(  4|  7),  4.00000,  7.00000,  6.14492,  7.60413,   52,        1,
( -4|  7), -4.00000,  7.00000, -6.14492,  7.60413,   52,        1,
(  4| -7),  4.00000, -7.00000,  6.14492, -7.60413,   52,        1,
( -4| -7), -4.00000, -7.00000, -6.14492, -7.60413,   52,        1,
(  0|  9),  0.00000,  9.00000,  0.00000,  9.77674,   53,        1,
(  0| -9),  0.00000, -9.00000,  0.00000, -9.77674,   53,        1,
(  3|  8),  3.00000,  8.00000,  4.60869,  8.69044,   54,        1,
( -3|  8), -3.00000,  8.00000, -4.60869,  8.69044,   54,        1,
(  3| -8),  3.00000, -8.00000,  4.60869, -8.69044,   54,        1,
( -3| -8), -3.00000, -8.00000, -4.60869, -8.69044,   54,        1,
(  1|  9),  1.00000,  9.00000,  1.53623,  9.77674,   55,        1,
( -1|  9), -1.00000,  9.00000, -1.53623,  9.77674,   55,        1,
(  1| -9),  1.00000, -9.00000,  1.53623, -9.77674,   55,        1,
( -1| -9), -1.00000, -9.00000, -1.53623, -9.77674,   55,        1,
(  5|  6),  5.00000,  6.00000,  7.68116,  6.51783,   56,        1,
( -5|  6), -5.00000,  6.00000, -7.68116,  6.51783,   56,        1,
(  5| -6),  5.00000, -6.00000,  7.68116, -6.51783,   56,        1,
( -5| -6), -5.00000, -6.00000, -7.68116, -6.51783,   56,        1,
(  6|  4),  6.00000,  4.00000,  9.21739,  4.34522,   57,        1,
(  6| -4),  6.00000, -4.00000,  9.21739, -4.34522,   57,        1,
( -6|  4), -6.00000,  4.00000, -9.21739,  4.34522,   57,        1,
( -6| -4), -6.00000, -4.00000, -9.21739, -4.34522,   57,        1,
(  2|  9),  2.00000,  9.00000,  3.07246,  9.77674,   58,        1,
( -2|  9), -2.00000,  9.00000, -3.07246,  9.77674,   58,        1,
(  2| -9),  2.00000, -9.00000,  3.07246, -9.77674,   58,        1,
( -2| -9), -2.00000, -9.00000, -3.07246, -9.77674,   58,        1,
(  4|  8),  4.00000,  8.00000,  6.14492,  8.69044,   59,        1,
( -4|  8), -4.00000,  8.00000, -6.14492,  8.69044,   59,        1,
(  4| -8),  4.00000, -8.00000,  6.14492, -8.69044,   59,        1,
( -4| -8), -4.00000, -8.00000, -6.14492, -8.69044,   59,        1,
(  6|  5),  6.00000,  5.00000,  9.21739,  5.43152,   60,        1,
(  6| -5),  6.00000, -5.00000,  9.21739, -5.43152,   60,        1,
( -6|  5), -6.00000,  5.00000, -9.21739,  5.43152,   60,        1,
( -6| -5), -6.00000, -5.00000, -9.21739, -5.43152,   60,        1,
(  7|  0),  7.00000,  0.00000, 10.75362, -0.00000,   61,        1,
( -7|  0), -7.00000,  0.00000,-10.75362,  0.00000,   61,        1,
(  7|  1),  7.00000,  1.00000, 10.75362,  1.08630,   62,        1,
(  7| -1),  7.00000, -1.00000, 10.75362, -1.08630,   62,        1,
( -7|  1), -7.00000,  1.00000,-10.75362,  1.08630,   62,        1,
( -7| -1), -7.00000, -1.00000,-10.75362, -1.08630,   62,        1,
(  5|  7),  5.00000,  7.00000,  7.68116,  7.60413,   63,        1,
( -5|  7), -5.00000,  7.00000, -7.68116,  7.60413,   63,        1,
(  5| -7),  5.00000, -7.00000,  7.68116, -7.60413,   63,        1,
( -5| -7), -5.00000, -7.00000, -7.68116, -7.60413,   63,        1,
(  3|  9),  3.00000,  9.00000,  4.60869,  9.77674,   64,        1,
( -3|  9), -3.00000,  9.00000, -4.60869,  9.77674,   64,        1,
(  3| -9),  3.00000, -9.00000,  4.60869, -9.77674,   64,        1,
( -3| -9), -3.00000, -9.00000, -4.60869, -9.77674,   64,        1,
(  0| 10),  0.00000, 10.00000,  0.00000, 10.86305,   65,        1,
(  0|-10),  0.00000,-10.00000,  0.00000,-10.86305,   65,        1,
(  7|  2),  7.00000,  2.00000, 10.75362,  2.17261,   66,        1,
(  7| -2),  7.00000, -2.00000, 10.75362, -2.17261,   66,        1,
( -7|  2), -7.00000,  2.00000,-10.75362,  2.17261,   66,        1,
( -7| -2), -7.00000, -2.00000,-10.75362, -2.17261,   66,        1,
(  1| 10),  1.00000, 10.00000,  1.53623, 10.86305,   67,        1,
( -1| 10), -1.00000, 10.00000, -1.53623, 10.86305,   67,        1,
(  1|-10),  1.00000,-10.00000,  1.53623,-10.86305,   67,        1,
( -1|-10), -1.00000,-10.00000, -1.53623,-10.86305,   67,        1,
