# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/TaS2(0001)-(rt13xrt13)R13.9.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [3.3540 0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( 15/13| -8/13), 1.15385,-0.61538,  2.16155, -0.08320,   17,        1,
(-16/13| 12/13),-1.23077, 0.92308, -2.30565,  0.66558,   18,        1,
(-16/13|  4/13),-1.23077, 0.30769, -2.30565, -0.66558,   18,        2,
( 12/13|-16/13), 0.92308,-1.23077,  1.72924, -1.66396,   18,        2,
( 12/13|  4/13), 0.92308, 0.30769,  1.72924,  1.66396,   18,        1,
(  4/13|-16/13), 0.30769,-1.23077,  0.57641, -2.32954,   18,        1,
(  4/13| 12/13), 0.30769, 0.92308,  0.57641,  2.32954,   18,        2,
(-12/13| -4/13),-0.92308,-0.30769, -1.72924, -1.66396,   19,        1,
(-12/13| 16/13),-0.92308, 1.23077, -1.72924,  1.66396,   19,        2,
( -4/13|-12/13),-0.30769,-0.92308, -0.57641, -2.32954,   19,        2,
( -4/13| 16/13),-0.30769, 1.23077, -0.57641,  2.32954,   19,        1,
( 16/13|-12/13), 1.23077,-0.92308,  2.30565, -0.66558,   19,        1,
( 16/13| -4/13), 1.23077,-0.30769,  2.30565,  0.66558,   19,        2,
(-18/13| 11/13),-1.38462, 0.84615, -2.59386,  0.33279,   20,        2,
(-18/13|  7/13),-1.38462, 0.53846, -2.59386, -0.33279,   20,        1,
( 11/13|-18/13), 0.84615,-1.38462,  1.58513, -2.07995,   20,        1,
( 11/13|  7/13), 0.84615, 0.53846,  1.58513,  2.07995,   20,        2,
(  7/13|-18/13), 0.53846,-1.38462,  1.00872, -2.41274,   20,        2,
(  7/13| 11/13), 0.53846, 0.84615,  1.00872,  2.41274,   20,        1,
(-17/13| 14/13),-1.30769, 1.07692, -2.44975,  0.91518,   21,        2,
(-17/13|  3/13),-1.30769, 0.23077, -2.44975, -0.91518,   21,        1,
( 14/13|-17/13), 1.07692,-1.30769,  2.01744, -1.66396,   21,        1,
( 14/13|  3/13), 1.07692, 0.23077,  2.01744,  1.66396,   21,        2,
(  3/13|-17/13), 0.23077,-1.30769,  0.43231, -2.57914,   21,        2,
(  3/13| 14/13), 0.23077, 1.07692,  0.43231,  2.57914,   21,        1,
(-14/13| -3/13),-1.07692,-0.23077, -2.01744, -1.66396,   22,        2,
(-14/13| 17/13),-1.07692, 1.30769, -2.01744,  1.66396,   22,        1,
( -3/13|-14/13),-0.23077,-1.07692, -0.43231, -2.57914,   22,        1,
( -3/13| 17/13),-0.23077, 1.30769, -0.43231,  2.57914,   22,        2,
( 17/13|-14/13), 1.30769,-1.07692,  2.44975, -0.91518,   22,        2,
( 17/13| -3/13), 1.30769,-0.23077,  2.44975,  0.91518,   22,        1,
(-11/13| -7/13),-0.84615,-0.53846, -1.58513, -2.07995,   23,        2,
(-11/13| 18/13),-0.84615, 1.38462, -1.58513,  2.07995,   23,        1,
( -7/13|-11/13),-0.53846,-0.84615, -1.00872, -2.41274,   23,        1,
( -7/13| 18/13),-0.53846, 1.38462, -1.00872,  2.41274,   23,        2,
( 18/13|-11/13), 1.38462,-0.84615,  2.59386, -0.33279,   23,        2,
( 18/13| -7/13), 1.38462,-0.53846,  2.59386,  0.33279,   23,        1,
(-19/13| 11/13),-1.46154, 0.84615, -2.73796,  0.24959,   24,        1,
(-19/13|  8/13),-1.46154, 0.61538, -2.73796, -0.24959,   24,        2,
( 11/13|-19/13), 0.84615,-1.46154,  1.58513, -2.24635,   24,        2,
( 11/13|  8/13), 0.84615, 0.61538,  1.58513,  2.24635,   24,        1,
(  8/13|-19/13), 0.61538,-1.46154,  1.15283, -2.49594,   24,        1,
(  8/13| 11/13), 0.61538, 0.84615,  1.15283,  2.49594,   24,        2,
(-17/13|  1/13),-1.30769, 0.07692, -2.44975, -1.24797,   25,        2,
(-17/13| 16/13),-1.30769, 1.23077, -2.44975,  1.24797,   25,        1,
(  1/13|-17/13), 0.07692,-1.30769,  0.14410, -2.74553,   25,        1,
(  1/13| 16/13), 0.07692, 1.23077,  0.14410,  2.74553,   25,        2,
( 16/13|-17/13), 1.23077,-1.30769,  2.30565, -1.49756,   25,        2,
( 16/13|  1/13), 1.23077, 0.07692,  2.30565,  1.49756,   25,        1,
(-11/13| -8/13),-0.84615,-0.61538, -1.58513, -2.24635,   26,        1,
(-11/13| 19/13),-0.84615, 1.46154, -1.58513,  2.24635,   26,        2,
( -8/13|-11/13),-0.61538,-0.84615, -1.15283, -2.49594,   26,        2,
( -8/13| 19/13),-0.61538, 1.46154, -1.15283,  2.49594,   26,        1,
( 19/13|-11/13), 1.46154,-0.84615,  2.73796, -0.24959,   26,        1,
( 19/13| -8/13), 1.46154,-0.61538,  2.73796,  0.24959,   26,        2,
( -1/13|-16/13),-0.07692,-1.23077, -0.14410, -2.74553,   27,        2,
( -1/13| 17/13),-0.07692, 1.30769, -0.14410,  2.74553,   27,        1,
(-16/13| -1/13),-1.23077,-0.07692, -2.30565, -1.49756,   27,        1,
(-16/13| 17/13),-1.23077, 1.30769, -2.30565,  1.49756,   27,        2,
( 17/13| -1/13), 1.30769,-0.07692,  2.44975,  1.24797,   27,        2,
( 17/13|-16/13), 1.30769,-1.23077,  2.44975, -1.24797,   27,        1,
(-15/13| -5/13),-1.15385,-0.38462, -2.16155, -2.07995,   28,        1,
(-15/13| 20/13),-1.15385, 1.53846, -2.16155,  2.07995,   28,        2,
( -5/13|-15/13),-0.38462,-1.15385, -0.72052, -2.91193,   28,        2,
( -5/13| 20/13),-0.38462, 1.53846, -0.72052,  2.91193,   28,        1,
( 20/13|-15/13), 1.53846,-1.15385,  2.88206, -0.83198,   28,        1,
( 20/13| -5/13), 1.53846,-0.38462,  2.88206,  0.83198,   28,        2,
(-20/13| 15/13),-1.53846, 1.15385, -2.88206,  0.83198,   29,        1,
(-20/13|  5/13),-1.53846, 0.38462, -2.88206, -0.83198,   29,        2,
( 15/13|-20/13), 1.15385,-1.53846,  2.16155, -2.07995,   29,        2,
( 15/13|  5/13), 1.15385, 0.38462,  2.16155,  2.07995,   29,        1,
(  5/13|-20/13), 0.38462,-1.53846,  0.72052, -2.91193,   29,        1,
(  5/13| 15/13), 0.38462, 1.15385,  0.72052,  2.91193,   29,        2,
(-15/13| -6/13),-1.15385,-0.46154, -2.16155, -2.24635,   30,        2,
(-15/13| 21/13),-1.15385, 1.61538, -2.16155,  2.24635,   30,        1,
( -6/13|-15/13),-0.46154,-1.15385, -0.86462, -2.99513,   30,        1,
( -6/13| 21/13),-0.46154, 1.61538, -0.86462,  2.99513,   30,        2,
( 21/13|-15/13), 1.61538,-1.15385,  3.02617, -0.74878,   30,        2,
( 21/13| -6/13), 1.61538,-0.46154,  3.02617,  0.74878,   30,        1,
(-21/13| 15/13),-1.61538, 1.15385, -3.02617,  0.74878,   31,        2,
(-21/13|  6/13),-1.61538, 0.46154, -3.02617, -0.74878,   31,        1,
( 15/13|-21/13), 1.15385,-1.61538,  2.16155, -2.24635,   31,        1,
( 15/13|  6/13), 1.15385, 0.46154,  2.16155,  2.24635,   31,        2,
(  6/13|-21/13), 0.46154,-1.61538,  0.86462, -2.99513,   31,        2,
(  6/13| 15/13), 0.46154, 1.15385,  0.86462,  2.99513,   31,        1,
(-18/13| -2/13),-1.38462,-0.15385, -2.59386, -1.83036,   32,        2,
(-18/13| 20/13),-1.38462, 1.53846, -2.59386,  1.83036,   32,        1,
( -2/13|-18/13),-0.15385,-1.38462, -0.28821, -3.16152,   32,        1,
( -2/13| 20/13),-0.15385, 1.53846, -0.28821,  3.16152,   32,        2,
( 20/13|-18/13), 1.53846,-1.38462,  2.88206, -1.33117,   32,        2,
( 20/13| -2/13), 1.53846,-0.15385,  2.88206,  1.33117,   32,        1,
(-22/13| 10/13),-1.69231, 0.76923, -3.17027, -0.16640,   33,        1,
(-22/13| 12/13),-1.69231, 0.92308, -3.17027,  0.16640,   33,        2,
( 10/13|-22/13), 0.76923,-1.69231,  1.44103, -2.82873,   33,        2,
( 10/13| 12/13), 0.76923, 0.92308,  1.44103,  2.82873,   33,        1,
( 12/13|-22/13), 0.92308,-1.69231,  1.72924, -2.66234,   33,        1,
( 12/13| 10/13), 0.92308, 0.76923,  1.72924,  2.66234,   33,        2,
(-10/13|-12/13),-0.76923,-0.92308, -1.44103, -2.82873,   34,        1,
(-10/13| 22/13),-0.76923, 1.69231, -1.44103,  2.82873,   34,        2,
(-12/13|-10/13),-0.92308,-0.76923, -1.72924, -2.66234,   34,        2,
(-12/13| 22/13),-0.92308, 1.69231, -1.72924,  2.66234,   34,        1,
( 22/13|-10/13), 1.69231,-0.76923,  3.17027,  0.16640,   34,        1,
( 22/13|-12/13), 1.69231,-0.92308,  3.17027, -0.16640,   34,        2,
(-20/13| 18/13),-1.53846, 1.38462, -2.88206,  1.33117,   35,        2,
(-20/13|  2/13),-1.53846, 0.15385, -2.88206, -1.33117,   35,        1,
( 18/13|-20/13), 1.38462,-1.53846,  2.59386, -1.83036,   35,        1,
( 18/13|  2/13), 1.38462, 0.15385,  2.59386,  1.83036,   35,        2,
(  2/13|-20/13), 0.15385,-1.53846,  0.28821, -3.16152,   35,        2,
(  2/13| 18/13), 0.15385, 1.38462,  0.28821,  3.16152,   35,        1,
(-19/13| -2/13),-1.46154,-0.15385, -2.73796, -1.91355,   36,        1,
(-19/13| 21/13),-1.46154, 1.61538, -2.73796,  1.91355,   36,        2,
( -2/13|-19/13),-0.15385,-1.46154, -0.28821, -3.32792,   36,        2,
( -2/13| 21/13),-0.15385, 1.61538, -0.28821,  3.32792,   36,        1,
( 21/13|-19/13), 1.61538,-1.46154,  3.02617, -1.41437,   36,        1,
( 21/13| -2/13), 1.61538,-0.15385,  3.02617,  1.41437,   36,        2,
(-23/13| 14/13),-1.76923, 1.07692, -3.31437,  0.41599,   37,        1,
(-23/13|  9/13),-1.76923, 0.69231, -3.31437, -0.41599,   37,        2,
( 14/13|-23/13), 1.07692,-1.76923,  2.01744, -2.66234,   37,        2,
( 14/13|  9/13), 1.07692, 0.69231,  2.01744,  2.66234,   37,        1,
(  9/13|-23/13), 0.69231,-1.76923,  1.29693, -3.07833,   37,        1,
(  9/13| 14/13), 0.69231, 1.07692,  1.29693,  3.07833,   37,        2,
(-14/13| -9/13),-1.07692,-0.69231, -2.01744, -2.66234,   38,        1,
(-14/13| 23/13),-1.07692, 1.76923, -2.01744,  2.66234,   38,        2,
( -9/13|-14/13),-0.69231,-1.07692, -1.29693, -3.07833,   38,        2,
( -9/13| 23/13),-0.69231, 1.76923, -1.29693,  3.07833,   38,        1,
( 23/13|-14/13), 1.76923,-1.07692,  3.31437, -0.41599,   38,        1,
( 23/13| -9/13), 1.76923,-0.69231,  3.31437,  0.41599,   38,        2,
(-21/13| 19/13),-1.61538, 1.46154, -3.02617,  1.41437,   39,        1,
(-21/13|  2/13),-1.61538, 0.15385, -3.02617, -1.41437,   39,        2,
( 19/13|-21/13), 1.46154,-1.61538,  2.73796, -1.91355,   39,        2,
( 19/13|  2/13), 1.46154, 0.15385,  2.73796,  1.91355,   39,        1,
(  2/13|-21/13), 0.15385,-1.61538,  0.28821, -3.32792,   39,        1,
(  2/13| 19/13), 0.15385, 1.46154,  0.28821,  3.32792,   39,        2,
(-18/13| -6/13),-1.38462,-0.46154, -2.59386, -2.49594,   40,        1,
(-18/13| 24/13),-1.38462, 1.84615, -2.59386,  2.49594,   40,        2,
( -6/13|-18/13),-0.46154,-1.38462, -0.86462, -3.49432,   40,        2,
( -6/13| 24/13),-0.46154, 1.84615, -0.86462,  3.49432,   40,        1,
( 24/13|-18/13), 1.84615,-1.38462,  3.45848, -0.99838,   40,        1,
( 24/13| -6/13), 1.84615,-0.46154,  3.45848,  0.99838,   40,        2,
(-24/13| 18/13),-1.84615, 1.38462, -3.45848,  0.99838,   41,        1,
(-24/13|  6/13),-1.84615, 0.46154, -3.45848, -0.99838,   41,        2,
( 18/13|-24/13), 1.38462,-1.84615,  2.59386, -2.49594,   41,        2,
( 18/13|  6/13), 1.38462, 0.46154,  2.59386,  2.49594,   41,        1,
(  6/13|-24/13), 0.46154,-1.84615,  0.86462, -3.49432,   41,        1,
(  6/13| 18/13), 0.46154, 1.38462,  0.86462,  3.49432,   41,        2,
(-19/13| -5/13),-1.46154,-0.38462, -2.73796, -2.41274,   42,        2,
(-19/13| 24/13),-1.46154, 1.84615, -2.73796,  2.41274,   42,        1,
( -5/13|-19/13),-0.38462,-1.46154, -0.72052, -3.57751,   42,        1,
( -5/13| 24/13),-0.38462, 1.84615, -0.72052,  3.57751,   42,        2,
( 24/13|-19/13), 1.84615,-1.46154,  3.45848, -1.16477,   42,        2,
( 24/13| -5/13), 1.84615,-0.38462,  3.45848,  1.16477,   42,        1,
(-25/13| 16/13),-1.92308, 1.23077, -3.60258,  0.58239,   43,        2,
(-25/13|  9/13),-1.92308, 0.69231, -3.60258, -0.58239,   43,        1,
( 16/13|-25/13), 1.23077,-1.92308,  2.30565, -2.82873,   43,        1,
( 16/13|  9/13), 1.23077, 0.69231,  2.30565,  2.82873,   43,        2,
(  9/13|-25/13), 0.69231,-1.92308,  1.29693, -3.41112,   43,        2,
(  9/13| 16/13), 0.69231, 1.23077,  1.29693,  3.41112,   43,        1,
(-16/13| -9/13),-1.23077,-0.69231, -2.30565, -2.82873,   44,        2,
(-16/13| 25/13),-1.23077, 1.92308, -2.30565,  2.82873,   44,        1,
( -9/13|-16/13),-0.69231,-1.23077, -1.29693, -3.41112,   44,        1,
( -9/13| 25/13),-0.69231, 1.92308, -1.29693,  3.41112,   44,        2,
( 25/13|-16/13), 1.92308,-1.23077,  3.60258, -0.58239,   44,        2,
( 25/13| -9/13), 1.92308,-0.69231,  3.60258,  0.58239,   44,        1,
(-24/13| 19/13),-1.84615, 1.46154, -3.45848,  1.16477,   45,        2,
(-24/13|  5/13),-1.84615, 0.38462, -3.45848, -1.16477,   45,        1,
( 19/13|-24/13), 1.46154,-1.84615,  2.73796, -2.41274,   45,        1,
( 19/13|  5/13), 1.46154, 0.38462,  2.73796,  2.41274,   45,        2,
(  5/13|-24/13), 0.38462,-1.84615,  0.72052, -3.57751,   45,        2,
(  5/13| 19/13), 0.38462, 1.46154,  0.72052,  3.57751,   45,        1,
( -2   |  1   ),-2.00000, 1.00000, -3.74668,  0.00000,   46,      1+2,
(  1   | -2   ), 1.00000,-2.00000,  1.87334, -3.24472,   46,      1+2,
(  1   |  1   ), 1.00000, 1.00000,  1.87334,  3.24472,   46,      1+2,
(-23/13|  1/13),-1.76923, 0.07692, -3.31437, -1.74716,   47,        1,
(-23/13| 22/13),-1.76923, 1.69231, -3.31437,  1.74716,   47,        2,
(  1/13|-23/13), 0.07692,-1.76923,  0.14410, -3.74391,   47,        2,
(  1/13| 22/13), 0.07692, 1.69231,  0.14410,  3.74391,   47,        1,
( 22/13|-23/13), 1.69231,-1.76923,  3.17027, -1.99675,   47,        1,
( 22/13|  1/13), 1.69231, 0.07692,  3.17027,  1.99675,   47,        2,
( -1   | -1   ),-1.00000,-1.00000, -1.87334, -3.24472,   48,      1+2,
( -1   |  2   ),-1.00000, 2.00000, -1.87334,  3.24472,   48,      1+2,
(  2   | -1   ), 2.00000,-1.00000,  3.74668, -0.00000,   48,      1+2,
( -1/13|-22/13),-0.07692,-1.69231, -0.14410, -3.74391,   49,        1,
( -1/13| 23/13),-0.07692, 1.76923, -0.14410,  3.74391,   49,        2,
(-22/13| -1/13),-1.69231,-0.07692, -3.17027, -1.99675,   49,        2,
(-22/13| 23/13),-1.69231, 1.76923, -3.17027,  1.99675,   49,        1,
( 23/13| -1/13), 1.76923,-0.07692,  3.31437,  1.74716,   49,        1,
( 23/13|-22/13), 1.76923,-1.69231,  3.31437, -1.74716,   49,        2,
(-22/13| -3/13),-1.69231,-0.23077, -3.17027, -2.32954,   50,        1,
(-22/13| 25/13),-1.69231, 1.92308, -3.17027,  2.32954,   50,        2,
( -3/13|-22/13),-0.23077,-1.69231, -0.43231, -3.91031,   50,        2,
( -3/13| 25/13),-0.23077, 1.92308, -0.43231,  3.91031,   50,        1,
( 25/13|-22/13), 1.92308,-1.69231,  3.60258, -1.58076,   50,        1,
( 25/13| -3/13), 1.92308,-0.23077,  3.60258,  1.58076,   50,        2,
(-27/13| 10/13),-2.07692, 0.76923, -3.89078, -0.58239,   51,        2,
(-27/13| 17/13),-2.07692, 1.30769, -3.89078,  0.58239,   51,        1,
( 10/13|-27/13), 0.76923,-2.07692,  1.44103, -3.66071,   51,        1,
( 10/13| 17/13), 0.76923, 1.30769,  1.44103,  3.66071,   51,        2,
( 17/13|-27/13), 1.30769,-2.07692,  2.44975, -3.07833,   51,        2,
