# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  7/10|-21/10), 0.70000,-2.10000,  1.58999, -4.58991,  226,        1,
( -7/10| -7/5 ),-0.70000,-1.40000, -1.58999, -4.58991,  226,        1,
(  9/5 |  1/10), 1.80000, 0.10000,  4.08855,  2.62280,  227,        1,
( 19/10| -1/10), 1.90000,-0.10000,  4.31569,  2.22938,  227,        1,
( -9/5 | 19/10),-1.80000, 1.90000, -4.08855,  2.62280,  227,        1,
(-19/10|  9/5 ),-1.90000, 1.80000, -4.31569,  2.22938,  227,        1,
(  1/10|-19/10), 0.10000,-1.90000,  0.22714, -4.85219,  227,        1,
( -1/10| -9/5 ),-0.10000,-1.80000, -0.22714, -4.85219,  227,        1,
(  1/10|  9/5 ), 0.10000, 1.80000,  0.22714,  4.85219,  228,        1,
( -1/10| 19/10),-0.10000, 1.90000, -0.22714,  4.85219,  228,        1,
( 19/10| -9/5 ), 1.90000,-1.80000,  4.31569, -2.22938,  228,        1,
(  9/5 |-19/10), 1.80000,-1.90000,  4.08855, -2.62280,  228,        1,
(-19/10|  1/10),-1.90000, 0.10000, -4.31569, -2.22938,  228,        1,
( -9/5 | -1/10),-1.80000,-0.10000, -4.08855, -2.62280,  228,        1,
(  3/10| 17/10), 0.30000, 1.70000,  0.68142,  4.85219,  229,        1,
( -3/10|  2   ),-0.30000, 2.00000, -0.68142,  4.85219,  229,        1,
(  2   |-17/10), 2.00000,-1.70000,  4.54283, -1.83596,  229,        1,
( 17/10| -2   ), 1.70000,-2.00000,  3.86140, -3.01622,  229,        1,
( -2   |  3/10),-2.00000, 0.30000, -4.54283, -1.83596,  229,        1,
(-17/10| -3/10),-1.70000,-0.30000, -3.86140, -3.01622,  229,        1,
( 17/10|  3/10), 1.70000, 0.30000,  3.86140,  3.01622,  230,        1,
(  2   | -3/10), 2.00000,-0.30000,  4.54283,  1.83596,  230,        1,
(-17/10|  2   ),-1.70000, 2.00000, -3.86140,  3.01622,  230,        1,
( -2   | 17/10),-2.00000, 1.70000, -4.54283,  1.83596,  230,        1,
(  3/10| -2   ), 0.30000,-2.00000,  0.68142, -4.85219,  230,        1,
( -3/10|-17/10),-0.30000,-1.70000, -0.68142, -4.85219,  230,        1,
(  3/5 |  3/2 ), 0.60000, 1.50000,  1.36285,  4.72105,  231,        1,
( -3/5 | 21/10),-0.60000, 2.10000, -1.36285,  4.72105,  231,        1,
( 21/10| -3/2 ), 2.10000,-1.50000,  4.76997, -1.18026,  231,        1,
(  3/2 |-21/10), 1.50000,-2.10000,  3.40712, -3.54078,  231,        1,
(-21/10|  3/5 ),-2.10000, 0.60000, -4.76997, -1.18026,  231,        1,
( -3/2 | -3/5 ),-1.50000,-0.60000, -3.40712, -3.54078,  231,        1,
(  3/2 |  3/5 ), 1.50000, 0.60000,  3.40712,  3.54078,  232,        1,
( 21/10| -3/5 ), 2.10000,-0.60000,  4.76997,  1.18026,  232,        1,
( -3/2 | 21/10),-1.50000, 2.10000, -3.40712,  3.54078,  232,        1,
(-21/10|  3/2 ),-2.10000, 1.50000, -4.76997,  1.18026,  232,        1,
(  3/5 |-21/10), 0.60000,-2.10000,  1.36285, -4.72105,  232,        1,
( -3/5 | -3/2 ),-0.60000,-1.50000, -1.36285, -4.72105,  232,        1,
(  1/2 |  8/5 ), 0.50000, 1.60000,  1.13571,  4.85219,  233,        1,
( -1/2 | 21/10),-0.50000, 2.10000, -1.13571,  4.85219,  233,        1,
( 21/10| -8/5 ), 2.10000,-1.60000,  4.76997, -1.44254,  233,        1,
(  8/5 |-21/10), 1.60000,-2.10000,  3.63426, -3.40964,  233,        1,
(-21/10|  1/2 ),-2.10000, 0.50000, -4.76997, -1.44254,  233,        1,
( -8/5 | -1/2 ),-1.60000,-0.50000, -3.63426, -3.40964,  233,        1,
(  8/5 |  1/2 ), 1.60000, 0.50000,  3.63426,  3.40964,  234,        1,
( 21/10| -1/2 ), 2.10000,-0.50000,  4.76997,  1.44254,  234,        1,
( -8/5 | 21/10),-1.60000, 2.10000, -3.63426,  3.40964,  234,        1,
(-21/10|  8/5 ),-2.10000, 1.60000, -4.76997,  1.44254,  234,        1,
(  1/2 |-21/10), 0.50000,-2.10000,  1.13571, -4.85219,  234,        1,
( -1/2 | -8/5 ),-0.50000,-1.60000, -1.13571, -4.85219,  234,        1,
( 19/10|  0   ), 1.90000, 0.00000,  4.31569,  2.49166,  235,        1,
(-19/10| 19/10),-1.90000, 1.90000, -4.31569,  2.49166,  235,        1,
(  0   |-19/10), 0.00000,-1.90000,  0.00000, -4.98333,  235,        1,
(  0   | 19/10), 0.00000, 1.90000,  0.00000,  4.98333,  236,        1,
( 19/10|-19/10), 1.90000,-1.90000,  4.31569, -2.49166,  236,        1,
(-19/10|  0   ),-1.90000, 0.00000, -4.31569, -2.49166,  236,        1,
( 11/10| 11/10), 1.10000, 1.10000,  2.49856,  4.32762,  237,        1,
( 11/5 |-11/10), 2.20000,-1.10000,  4.99711, -0.00000,  237,        1,
(-11/10| 11/5 ),-1.10000, 2.20000, -2.49856,  4.32762,  237,        1,
( 11/10|-11/5 ), 1.10000,-2.20000,  2.49856, -4.32762,  237,        1,
(-11/5 | 11/10),-2.20000, 1.10000, -4.99711,  0.00000,  237,        1,
(-11/10|-11/10),-1.10000,-1.10000, -2.49856, -4.32762,  237,        1,
(  1   |  6/5 ), 1.00000, 1.20000,  2.27141,  4.45876,  238,        1,
( -1   | 11/5 ),-1.00000, 2.20000, -2.27141,  4.45876,  238,        1,
( 11/5 | -6/5 ), 2.20000,-1.20000,  4.99711, -0.26228,  238,        1,
(  6/5 |-11/5 ), 1.20000,-2.20000,  2.72570, -4.19648,  238,        1,
(-11/5 |  1   ),-2.20000, 1.00000, -4.99711, -0.26228,  238,        1,
( -6/5 | -1   ),-1.20000,-1.00000, -2.72570, -4.19648,  238,        1,
(  6/5 |  1   ), 1.20000, 1.00000,  2.72570,  4.19648,  239,        1,
( 11/5 | -1   ), 2.20000,-1.00000,  4.99711,  0.26228,  239,        1,
( -6/5 | 11/5 ),-1.20000, 2.20000, -2.72570,  4.19648,  239,        1,
(-11/5 |  6/5 ),-2.20000, 1.20000, -4.99711,  0.26228,  239,        1,
(  1   |-11/5 ), 1.00000,-2.20000,  2.27141, -4.45876,  239,        1,
( -1   | -6/5 ),-1.00000,-1.20000, -2.27141, -4.45876,  239,        1,
(  9/5 |  1/5 ), 1.80000, 0.20000,  4.08855,  2.88508,  240,        1,
(  2   | -1/5 ), 2.00000,-0.20000,  4.54283,  2.09824,  240,        1,
( -9/5 |  2   ),-1.80000, 2.00000, -4.08855,  2.88508,  240,        1,
( -2   |  9/5 ),-2.00000, 1.80000, -4.54283,  2.09824,  240,        1,
(  1/5 | -2   ), 0.20000,-2.00000,  0.45428, -4.98333,  240,        1,
( -1/5 | -9/5 ),-0.20000,-1.80000, -0.45428, -4.98333,  240,        1,
(  1/5 |  9/5 ), 0.20000, 1.80000,  0.45428,  4.98333,  241,        1,
( -1/5 |  2   ),-0.20000, 2.00000, -0.45428,  4.98333,  241,        1,
(  2   | -9/5 ), 2.00000,-1.80000,  4.54283, -2.09824,  241,        1,
(  9/5 | -2   ), 1.80000,-2.00000,  4.08855, -2.88508,  241,        1,
( -2   |  1/5 ),-2.00000, 0.20000, -4.54283, -2.09824,  241,        1,
( -9/5 | -1/5 ),-1.80000,-0.20000, -4.08855, -2.88508,  241,        1,
( 13/10|  9/10), 1.30000, 0.90000,  2.95284,  4.06534,  242,        1,
( 11/5 | -9/10), 2.20000,-0.90000,  4.99711,  0.52456,  242,        1,
(-13/10| 11/5 ),-1.30000, 2.20000, -2.95284,  4.06534,  242,        1,
(-11/5 | 13/10),-2.20000, 1.30000, -4.99711,  0.52456,  242,        1,
(  9/10|-11/5 ), 0.90000,-2.20000,  2.04427, -4.58991,  242,        1,
( -9/10|-13/10),-0.90000,-1.30000, -2.04427, -4.58991,  242,        1,
(  9/10| 13/10), 0.90000, 1.30000,  2.04427,  4.58991,  243,        1,
( -9/10| 11/5 ),-0.90000, 2.20000, -2.04427,  4.58991,  243,        1,
( 11/5 |-13/10), 2.20000,-1.30000,  4.99711, -0.52456,  243,        1,
( 13/10|-11/5 ), 1.30000,-2.20000,  2.95284, -4.06534,  243,        1,
(-11/5 |  9/10),-2.20000, 0.90000, -4.99711, -0.52456,  243,        1,
(-13/10| -9/10),-1.30000,-0.90000, -2.95284, -4.06534,  243,        1,
(  4/5 |  7/5 ), 0.80000, 1.40000,  1.81713,  4.72105,  244,        1,
( -4/5 | 11/5 ),-0.80000, 2.20000, -1.81713,  4.72105,  244,        1,
( 11/5 | -7/5 ), 2.20000,-1.40000,  4.99711, -0.78684,  244,        1,
(  7/5 |-11/5 ), 1.40000,-2.20000,  3.17998, -3.93420,  244,        1,
(-11/5 |  4/5 ),-2.20000, 0.80000, -4.99711, -0.78684,  244,        1,
( -7/5 | -4/5 ),-1.40000,-0.80000, -3.17998, -3.93420,  244,        1,
(  7/5 |  4/5 ), 1.40000, 0.80000,  3.17998,  3.93420,  245,        1,
( 11/5 | -4/5 ), 2.20000,-0.80000,  4.99711,  0.78684,  245,        1,
( -7/5 | 11/5 ),-1.40000, 2.20000, -3.17998,  3.93420,  245,        1,
(-11/5 |  7/5 ),-2.20000, 1.40000, -4.99711,  0.78684,  245,        1,
(  4/5 |-11/5 ), 0.80000,-2.20000,  1.81713, -4.72105,  245,        1,
( -4/5 | -7/5 ),-0.80000,-1.40000, -1.81713, -4.72105,  245,        1,
(  2/5 | 17/10), 0.40000, 1.70000,  0.90857,  4.98333,  246,        1,
( -2/5 | 21/10),-0.40000, 2.10000, -0.90857,  4.98333,  246,        1,
( 21/10|-17/10), 2.10000,-1.70000,  4.76997, -1.70482,  246,        1,
( 17/10|-21/10), 1.70000,-2.10000,  3.86140, -3.27850,  246,        1,
(-21/10|  2/5 ),-2.10000, 0.40000, -4.76997, -1.70482,  246,        1,
(-17/10| -2/5 ),-1.70000,-0.40000, -3.86140, -3.27850,  246,        1,
( 17/10|  2/5 ), 1.70000, 0.40000,  3.86140,  3.27850,  247,        1,
( 21/10| -2/5 ), 2.10000,-0.40000,  4.76997,  1.70482,  247,        1,
(-17/10| 21/10),-1.70000, 2.10000, -3.86140,  3.27850,  247,        1,
(-21/10| 17/10),-2.10000, 1.70000, -4.76997,  1.70482,  247,        1,
(  2/5 |-21/10), 0.40000,-2.10000,  0.90857, -4.98333,  247,        1,
( -2/5 |-17/10),-0.40000,-1.70000, -0.90857, -4.98333,  247,        1,
(  3/2 |  7/10), 1.50000, 0.70000,  3.40712,  3.80306,  248,        1,
( 11/5 | -7/10), 2.20000,-0.70000,  4.99711,  1.04912,  248,        1,
( -3/2 | 11/5 ),-1.50000, 2.20000, -3.40712,  3.80306,  248,        1,
(-11/5 |  3/2 ),-2.20000, 1.50000, -4.99711,  1.04912,  248,        1,
(  7/10|-11/5 ), 0.70000,-2.20000,  1.58999, -4.85219,  248,        1,
( -7/10| -3/2 ),-0.70000,-1.50000, -1.58999, -4.85219,  248,        1,
(  7/10|  3/2 ), 0.70000, 1.50000,  1.58999,  4.85219,  249,        1,
( -7/10| 11/5 ),-0.70000, 2.20000, -1.58999,  4.85219,  249,        1,
( 11/5 | -3/2 ), 2.20000,-1.50000,  4.99711, -1.04912,  249,        1,
(  3/2 |-11/5 ), 1.50000,-2.20000,  3.40712, -3.80306,  249,        1,
(-11/5 |  7/10),-2.20000, 0.70000, -4.99711, -1.04912,  249,        1,
( -3/2 | -7/10),-1.50000,-0.70000, -3.40712, -3.80306,  249,        1,
(  1/10| 19/10), 0.10000, 1.90000,  0.22714,  5.11447,  250,        1,
( -1/10|  2   ),-0.10000, 2.00000, -0.22714,  5.11447,  250,        1,
(  2   |-19/10), 2.00000,-1.90000,  4.54283, -2.36052,  250,        1,
( 19/10| -2   ), 1.90000,-2.00000,  4.31569, -2.75394,  250,        1,
( -2   |  1/10),-2.00000, 0.10000, -4.54283, -2.36052,  250,        1,
(-19/10| -1/10),-1.90000,-0.10000, -4.31569, -2.75394,  250,        1,
( 19/10|  1/10), 1.90000, 0.10000,  4.31569,  2.75394,  251,        1,
(  2   | -1/10), 2.00000,-0.10000,  4.54283,  2.36052,  251,        1,
(-19/10|  2   ),-1.90000, 2.00000, -4.31569,  2.75394,  251,        1,
( -2   | 19/10),-2.00000, 1.90000, -4.54283,  2.36052,  251,        1,
(  1/10| -2   ), 0.10000,-2.00000,  0.22714, -5.11447,  251,        1,
( -1/10|-19/10),-0.10000,-1.90000, -0.22714, -5.11447,  251,        1,
(  9/5 |  3/10), 1.80000, 0.30000,  4.08855,  3.14736,  252,        1,
( 21/10| -3/10), 2.10000,-0.30000,  4.76997,  1.96710,  252,        1,
( -9/5 | 21/10),-1.80000, 2.10000, -4.08855,  3.14736,  252,        1,
(-21/10|  9/5 ),-2.10000, 1.80000, -4.76997,  1.96710,  252,        1,
(  3/10|-21/10), 0.30000,-2.10000,  0.68142, -5.11447,  252,        1,
( -3/10| -9/5 ),-0.30000,-1.80000, -0.68142, -5.11447,  252,        1,
(  3/10|  9/5 ), 0.30000, 1.80000,  0.68142,  5.11447,  253,        1,
( -3/10| 21/10),-0.30000, 2.10000, -0.68142,  5.11447,  253,        1,
( 21/10| -9/5 ), 2.10000,-1.80000,  4.76997, -1.96710,  253,        1,
(  9/5 |-21/10), 1.80000,-2.10000,  4.08855, -3.14736,  253,        1,
(-21/10|  3/10),-2.10000, 0.30000, -4.76997, -1.96710,  253,        1,
( -9/5 | -3/10),-1.80000,-0.30000, -4.08855, -3.14736,  253,        1,
(  3/5 |  8/5 ), 0.60000, 1.60000,  1.36285,  4.98333,  254,        1,
( -3/5 | 11/5 ),-0.60000, 2.20000, -1.36285,  4.98333,  254,        1,
( 11/5 | -8/5 ), 2.20000,-1.60000,  4.99711, -1.31140,  254,        1,
(  8/5 |-11/5 ), 1.60000,-2.20000,  3.63426, -3.67192,  254,        1,
(-11/5 |  3/5 ),-2.20000, 0.60000, -4.99711, -1.31140,  254,        1,
( -8/5 | -3/5 ),-1.60000,-0.60000, -3.63426, -3.67192,  254,        1,
(  8/5 |  3/5 ), 1.60000, 0.60000,  3.63426,  3.67192,  255,        1,
( 11/5 | -3/5 ), 2.20000,-0.60000,  4.99711,  1.31140,  255,        1,
( -8/5 | 11/5 ),-1.60000, 2.20000, -3.63426,  3.67192,  255,        1,
(-11/5 |  8/5 ),-2.20000, 1.60000, -4.99711,  1.31140,  255,        1,
(  3/5 |-11/5 ), 0.60000,-2.20000,  1.36285, -4.98333,  255,        1,
( -3/5 | -8/5 ),-0.60000,-1.60000, -1.36285, -4.98333,  255,        1,
( 11/10|  6/5 ), 1.10000, 1.20000,  2.49856,  4.58991,  256,        1,
(-11/10| 23/10),-1.10000, 2.30000, -2.49856,  4.58991,  256,        1,
( 23/10| -6/5 ), 2.30000,-1.20000,  5.22425, -0.13114,  256,        1,
(  6/5 |-23/10), 1.20000,-2.30000,  2.72570, -4.45876,  256,        1,
(-23/10| 11/10),-2.30000, 1.10000, -5.22425, -0.13114,  256,        1,
( -6/5 |-11/10),-1.20000,-1.10000, -2.72570, -4.45876,  256,        1,
(  6/5 | 11/10), 1.20000, 1.10000,  2.72570,  4.45876,  257,        1,
( 23/10|-11/10), 2.30000,-1.10000,  5.22425,  0.13114,  257,        1,
( -6/5 | 23/10),-1.20000, 2.30000, -2.72570,  4.45876,  257,        1,
(-23/10|  6/5 ),-2.30000, 1.20000, -5.22425,  0.13114,  257,        1,
( 11/10|-23/10), 1.10000,-2.30000,  2.49856, -4.58991,  257,        1,
(-11/10| -6/5 ),-1.10000,-1.20000, -2.49856, -4.58991,  257,        1,
(  1   | 13/10), 1.00000, 1.30000,  2.27141,  4.72105,  258,        1,
( -1   | 23/10),-1.00000, 2.30000, -2.27141,  4.72105,  258,        1,
( 23/10|-13/10), 2.30000,-1.30000,  5.22425, -0.39342,  258,        1,
( 13/10|-23/10), 1.30000,-2.30000,  2.95284, -4.32762,  258,        1,
(-23/10|  1   ),-2.30000, 1.00000, -5.22425, -0.39342,  258,        1,
(-13/10| -1   ),-1.30000,-1.00000, -2.95284, -4.32762,  258,        1,
( 13/10|  1   ), 1.30000, 1.00000,  2.95284,  4.32762,  259,        1,
( 23/10| -1   ), 2.30000,-1.00000,  5.22425,  0.39342,  259,        1,
(-13/10| 23/10),-1.30000, 2.30000, -2.95284,  4.32762,  259,        1,
(-23/10| 13/10),-2.30000, 1.30000, -5.22425,  0.39342,  259,        1,
(  1   |-23/10), 1.00000,-2.30000,  2.27141, -4.72105,  259,        1,
( -1   |-13/10),-1.00000,-1.30000, -2.27141, -4.72105,  259,        1,
(  1/2 | 17/10), 0.50000, 1.70000,  1.13571,  5.11447,  260,        1,
( -1/2 | 11/5 ),-0.50000, 2.20000, -1.13571,  5.11447,  260,        1,
( 11/5 |-17/10), 2.20000,-1.70000,  4.99711, -1.57368,  260,        1,
( 17/10|-11/5 ), 1.70000,-2.20000,  3.86140, -3.54078,  260,        1,
(-11/5 |  1/2 ),-2.20000, 0.50000, -4.99711, -1.57368,  260,        1,
(-17/10| -1/2 ),-1.70000,-0.50000, -3.86140, -3.54078,  260,        1,
( 17/10|  1/2 ), 1.70000, 0.50000,  3.86140,  3.54078,  261,        1,
( 11/5 | -1/2 ), 2.20000,-0.50000,  4.99711,  1.57368,  261,        1,
(-17/10| 11/5 ),-1.70000, 2.20000, -3.86140,  3.54078,  261,        1,
(-11/5 | 17/10),-2.20000, 1.70000, -4.99711,  1.57368,  261,        1,
(  1/2 |-11/5 ), 0.50000,-2.20000,  1.13571, -5.11447,  261,        1,
( -1/2 |-17/10),-0.50000,-1.70000, -1.13571, -5.11447,  261,        1,
(  0   |  2   ), 0.00000, 2.00000,  0.00000,  5.24561,  262,        1,
(  2   | -2   ), 2.00000,-2.00000,  4.54283, -2.62280,  262,        1,
( -2   |  0   ),-2.00000, 0.00000, -4.54283, -2.62280,  262,        1,
(  2   |  0   ), 2.00000, 0.00000,  4.54283,  2.62280,  263,        1,
( -2   |  2   ),-2.00000, 2.00000, -4.54283,  2.62280,  263,        1,
(  0   | -2   ), 0.00000,-2.00000,  0.00000, -5.24561,  263,        1,
(  7/5 |  9/10), 1.40000, 0.90000,  3.17998,  4.19648,  264,        1,
( 23/10| -9/10), 2.30000,-0.90000,  5.22425,  0.65570,  264,        1,
( -7/5 | 23/10),-1.40000, 2.30000, -3.17998,  4.19648,  264,        1,
(-23/10|  7/5 ),-2.30000, 1.40000, -5.22425,  0.65570,  264,        1,
(  9/10|-23/10), 0.90000,-2.30000,  2.04427, -4.85219,  264,        1,
( -9/10| -7/5 ),-0.90000,-1.40000, -2.04427, -4.85219,  264,        1,
(  9/10|  7/5 ), 0.90000, 1.40000,  2.04427,  4.85219,  265,        1,
( -9/10| 23/10),-0.90000, 2.30000, -2.04427,  4.85219,  265,        1,
( 23/10| -7/5 ), 2.30000,-1.40000,  5.22425, -0.65570,  265,        1,
(  7/5 |-23/10), 1.40000,-2.30000,  3.17998, -4.19648,  265,        1,
(-23/10|  9/10),-2.30000, 0.90000, -5.22425, -0.65570,  265,        1,
( -7/5 | -9/10),-1.40000,-0.90000, -3.17998, -4.19648,  265,        1,
(  1/5 | 19/10), 0.20000, 1.90000,  0.45428,  5.24561,  266,        1,
( -1/5 | 21/10),-0.20000, 2.10000, -0.45428,  5.24561,  266,        1,
( 21/10|-19/10), 2.10000,-1.90000,  4.76997, -2.22938,  266,        1,
( 19/10|-21/10), 1.90000,-2.10000,  4.31569, -3.01622,  266,        1,
(-21/10|  1/5 ),-2.10000, 0.20000, -4.76997, -2.22938,  266,        1,
(-19/10| -1/5 ),-1.90000,-0.20000, -4.31569, -3.01622,  266,        1,
( 19/10|  1/5 ), 1.90000, 0.20000,  4.31569,  3.01622,  267,        1,
( 21/10| -1/5 ), 2.10000,-0.20000,  4.76997,  2.22938,  267,        1,
(-19/10| 21/10),-1.90000, 2.10000, -4.31569,  3.01622,  267,        1,
(-21/10| 19/10),-2.10000, 1.90000, -4.76997,  2.22938,  267,        1,
(  1/5 |-21/10), 0.20000,-2.10000,  0.45428, -5.24561,  267,        1,
( -1/5 |-19/10),-0.20000,-1.90000, -0.45428, -5.24561,  267,        1,
(  3/2 |  4/5 ), 1.50000, 0.80000,  3.40712,  4.06534,  268,        1,
( 23/10| -4/5 ), 2.30000,-0.80000,  5.22425,  0.91798,  268,        1,
( -3/2 | 23/10),-1.50000, 2.30000, -3.40712,  4.06534,  268,        1,
(-23/10|  3/2 ),-2.30000, 1.50000, -5.22425,  0.91798,  268,        1,
(  4/5 |-23/10), 0.80000,-2.30000,  1.81713, -4.98333,  268,        1,
( -4/5 | -3/2 ),-0.80000,-1.50000, -1.81713, -4.98333,  268,        1,
(  4/5 |  3/2 ), 0.80000, 1.50000,  1.81713,  4.98333,  269,        1,
( -4/5 | 23/10),-0.80000, 2.30000, -1.81713,  4.98333,  269,        1,
( 23/10| -3/2 ), 2.30000,-1.50000,  5.22425, -0.91798,  269,        1,
(  3/2 |-23/10), 1.50000,-2.30000,  3.40712, -4.06534,  269,        1,
(-23/10|  4/5 ),-2.30000, 0.80000, -5.22425, -0.91798,  269,        1,
( -3/2 | -4/5 ),-1.50000,-0.80000, -3.40712, -4.06534,  269,        1,
(  9/5 |  2/5 ), 1.80000, 0.40000,  4.08855,  3.40964,  270,        1,
( 11/5 | -2/5 ), 2.20000,-0.40000,  4.99711,  1.83596,  270,        1,
( -9/5 | 11/5 ),-1.80000, 2.20000, -4.08855,  3.40964,  270,        1,
(-11/5 |  9/5 ),-2.20000, 1.80000, -4.99711,  1.83596,  270,        1,
(  2/5 |-11/5 ), 0.40000,-2.20000,  0.90857, -5.24561,  270,        1,
( -2/5 | -9/5 ),-0.40000,-1.80000, -0.90857, -5.24561,  270,        1,
(  2/5 |  9/5 ), 0.40000, 1.80000,  0.90857,  5.24561,  271,        1,
( -2/5 | 11/5 ),-0.40000, 2.20000, -0.90857,  5.24561,  271,        1,
( 11/5 | -9/5 ), 2.20000,-1.80000,  4.99711, -1.83596,  271,        1,
(  9/5 |-11/5 ), 1.80000,-2.20000,  4.08855, -3.40964,  271,        1,
(-11/5 |  2/5 ),-2.20000, 0.40000, -4.99711, -1.83596,  271,        1,
( -9/5 | -2/5 ),-1.80000,-0.40000, -4.08855, -3.40964,  271,        1,
(  7/10|  8/5 ), 0.70000, 1.60000,  1.58999,  5.11447,  272,        1,
( -7/10| 23/10),-0.70000, 2.30000, -1.58999,  5.11447,  272,        1,
( 23/10| -8/5 ), 2.30000,-1.60000,  5.22425, -1.18026,  272,        1,
(  8/5 |-23/10), 1.60000,-2.30000,  3.63426, -3.93420,  272,        1,
(-23/10|  7/10),-2.30000, 0.70000, -5.22425, -1.18026,  272,        1,
( -8/5 | -7/10),-1.60000,-0.70000, -3.63426, -3.93420,  272,        1,
(  8/5 |  7/10), 1.60000, 0.70000,  3.63426,  3.93420,  273,        1,
( 23/10| -7/10), 2.30000,-0.70000,  5.22425,  1.18026,  273,        1,
( -8/5 | 23/10),-1.60000, 2.30000, -3.63426,  3.93420,  273,        1,
(-23/10|  8/5 ),-2.30000, 1.60000, -5.22425,  1.18026,  273,        1,
(  7/10|-23/10), 0.70000,-2.30000,  1.58999, -5.11447,  273,        1,
( -7/10| -8/5 ),-0.70000,-1.60000, -1.58999, -5.11447,  273,        1,
(  1/10|  2   ), 0.10000, 2.00000,  0.22714,  5.37675,  274,        1,
( -1/10| 21/10),-0.10000, 2.10000, -0.22714,  5.37675,  274,        1,
( 21/10| -2   ), 2.10000,-2.00000,  4.76997, -2.49166,  274,        1,
(  2   |-21/10), 2.00000,-2.10000,  4.54283, -2.88508,  274,        1,
(-21/10|  1/10),-2.10000, 0.10000, -4.76997, -2.49166,  274,        1,
( -2   | -1/10),-2.00000,-0.10000, -4.54283, -2.88508,  274,        1,
(  2   |  1/10), 2.00000, 0.10000,  4.54283,  2.88508,  275,        1,
( 21/10| -1/10), 2.10000,-0.10000,  4.76997,  2.49166,  275,        1,
( -2   | 21/10),-2.00000, 2.10000, -4.54283,  2.88508,  275,        1,
(-21/10|  2   ),-2.10000, 2.00000, -4.76997,  2.49166,  275,        1,
(  1/10|-21/10), 0.10000,-2.10000,  0.22714, -5.37675,  275,        1,
( -1/10| -2   ),-0.10000,-2.00000, -0.22714, -5.37675,  275,        1,
(  3/5 | 17/10), 0.60000, 1.70000,  1.36285,  5.24561,  276,        1,
( -3/5 | 23/10),-0.60000, 2.30000, -1.36285,  5.24561,  276,        1,
( 23/10|-17/10), 2.30000,-1.70000,  5.22425, -1.44254,  276,        1,
( 17/10|-23/10), 1.70000,-2.30000,  3.86140, -3.80306,  276,        1,
(-23/10|  3/5 ),-2.30000, 0.60000, -5.22425, -1.44254,  276,        1,
(-17/10| -3/5 ),-1.70000,-0.60000, -3.86140, -3.80306,  276,        1,
( 17/10|  3/5 ), 1.70000, 0.60000,  3.86140,  3.80306,  277,        1,
( 23/10| -3/5 ), 2.30000,-0.60000,  5.22425,  1.44254,  277,        1,
(-17/10| 23/10),-1.70000, 2.30000, -3.86140,  3.80306,  277,        1,
(-23/10| 17/10),-2.30000, 1.70000, -5.22425,  1.44254,  277,        1,
(  3/5 |-23/10), 0.60000,-2.30000,  1.36285, -5.24561,  277,        1,
( -3/5 |-17/10),-0.60000,-1.70000, -1.36285, -5.24561,  277,        1,
( 19/10|  3/10), 1.90000, 0.30000,  4.31569,  3.27850,  278,        1,
( 11/5 | -3/10), 2.20000,-0.30000,  4.99711,  2.09824,  278,        1,
(-19/10| 11/5 ),-1.90000, 2.20000, -4.31569,  3.27850,  278,        1,
(-11/5 | 19/10),-2.20000, 1.90000, -4.99711,  2.09824,  278,        1,
(  3/10|-11/5 ), 0.30000,-2.20000,  0.68142, -5.37675,  278,        1,
( -3/10|-19/10),-0.30000,-1.90000, -0.68142, -5.37675,  278,        1,
(  3/10| 19/10), 0.30000, 1.90000,  0.68142,  5.37675,  279,        1,
( -3/10| 11/5 ),-0.30000, 2.20000, -0.68142,  5.37675,  279,        1,
( 11/5 |-19/10), 2.20000,-1.90000,  4.99711, -2.09824,  279,        1,
( 19/10|-11/5 ), 1.90000,-2.20000,  4.31569, -3.27850,  279,        1,
(-11/5 |  3/10),-2.20000, 0.30000, -4.99711, -2.09824,  279,        1,
(-19/10| -3/10),-1.90000,-0.30000, -4.31569, -3.27850,  279,        1,
(  6/5 |  6/5 ), 1.20000, 1.20000,  2.72570,  4.72105,  280,        1,
( 12/5 | -6/5 ), 2.40000,-1.20000,  5.45139, -0.00000,  280,        1,
( -6/5 | 12/5 ),-1.20000, 2.40000, -2.72570,  4.72105,  280,        1,
