# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -1/5 |  1/2 ),-0.20000, 0.50000, -0.45428,  1.04912,   15,        1,
(  1/2 | -3/10), 0.50000,-0.30000,  1.13571, -0.13114,   15,        1,
(  3/10| -1/2 ), 0.30000,-0.50000,  0.68142, -0.91798,   15,        1,
( -1/2 |  1/5 ),-0.50000, 0.20000, -1.13571, -0.13114,   15,        1,
( -3/10| -1/5 ),-0.30000,-0.20000, -0.68142, -0.91798,   15,        1,
(  3/10|  1/5 ), 0.30000, 0.20000,  0.68142,  0.91798,   16,        1,
(  1/2 | -1/5 ), 0.50000,-0.20000,  1.13571,  0.13114,   16,        1,
( -3/10|  1/2 ),-0.30000, 0.50000, -0.68142,  0.91798,   16,        1,
( -1/2 |  3/10),-0.50000, 0.30000, -1.13571,  0.13114,   16,        1,
(  1/5 | -1/2 ), 0.20000,-0.50000,  0.45428, -1.04912,   16,        1,
( -1/5 | -3/10),-0.20000,-0.30000, -0.45428, -1.04912,   16,        1,
(  1/10|  2/5 ), 0.10000, 0.40000,  0.22714,  1.18026,   17,        1,
( -1/10|  1/2 ),-0.10000, 0.50000, -0.22714,  1.18026,   17,        1,
(  1/2 | -2/5 ), 0.50000,-0.40000,  1.13571, -0.39342,   17,        1,
(  2/5 | -1/2 ), 0.40000,-0.50000,  0.90857, -0.78684,   17,        1,
( -1/2 |  1/10),-0.50000, 0.10000, -1.13571, -0.39342,   17,        1,
( -2/5 | -1/10),-0.40000,-0.10000, -0.90857, -0.78684,   17,        1,
(  2/5 |  1/10), 0.40000, 0.10000,  0.90857,  0.78684,   18,        1,
(  1/2 | -1/10), 0.50000,-0.10000,  1.13571,  0.39342,   18,        1,
( -2/5 |  1/2 ),-0.40000, 0.50000, -0.90857,  0.78684,   18,        1,
( -1/2 |  2/5 ),-0.50000, 0.40000, -1.13571,  0.39342,   18,        1,
(  1/10| -1/2 ), 0.10000,-0.50000,  0.22714, -1.18026,   18,        1,
( -1/10| -2/5 ),-0.10000,-0.40000, -0.22714, -1.18026,   18,        1,
(  0   |  1/2 ), 0.00000, 0.50000,  0.00000,  1.31140,   19,        1,
(  1/2 | -1/2 ), 0.50000,-0.50000,  1.13571, -0.65570,   19,        1,
( -1/2 |  0   ),-0.50000, 0.00000, -1.13571, -0.65570,   19,        1,
(  1/2 |  0   ), 0.50000, 0.00000,  1.13571,  0.65570,   20,        1,
( -1/2 |  1/2 ),-0.50000, 0.50000, -1.13571,  0.65570,   20,        1,
(  0   | -1/2 ), 0.00000,-0.50000,  0.00000, -1.31140,   20,        1,
(  3/10|  3/10), 0.30000, 0.30000,  0.68142,  1.18026,   21,        1,
(  3/5 | -3/10), 0.60000,-0.30000,  1.36285, -0.00000,   21,        1,
( -3/10|  3/5 ),-0.30000, 0.60000, -0.68142,  1.18026,   21,        1,
(  3/10| -3/5 ), 0.30000,-0.60000,  0.68142, -1.18026,   21,        1,
( -3/5 |  3/10),-0.60000, 0.30000, -1.36285,  0.00000,   21,        1,
( -3/10| -3/10),-0.30000,-0.30000, -0.68142, -1.18026,   21,        1,
(  1/5 |  2/5 ), 0.20000, 0.40000,  0.45428,  1.31140,   22,        1,
( -1/5 |  3/5 ),-0.20000, 0.60000, -0.45428,  1.31140,   22,        1,
(  3/5 | -2/5 ), 0.60000,-0.40000,  1.36285, -0.26228,   22,        1,
(  2/5 | -3/5 ), 0.40000,-0.60000,  0.90857, -1.04912,   22,        1,
( -3/5 |  1/5 ),-0.60000, 0.20000, -1.36285, -0.26228,   22,        1,
( -2/5 | -1/5 ),-0.40000,-0.20000, -0.90857, -1.04912,   22,        1,
(  2/5 |  1/5 ), 0.40000, 0.20000,  0.90857,  1.04912,   23,        1,
(  3/5 | -1/5 ), 0.60000,-0.20000,  1.36285,  0.26228,   23,        1,
( -2/5 |  3/5 ),-0.40000, 0.60000, -0.90857,  1.04912,   23,        1,
( -3/5 |  2/5 ),-0.60000, 0.40000, -1.36285,  0.26228,   23,        1,
(  1/5 | -3/5 ), 0.20000,-0.60000,  0.45428, -1.31140,   23,        1,
( -1/5 | -2/5 ),-0.20000,-0.40000, -0.45428, -1.31140,   23,        1,
(  1/10|  1/2 ), 0.10000, 0.50000,  0.22714,  1.44254,   24,        1,
( -1/10|  3/5 ),-0.10000, 0.60000, -0.22714,  1.44254,   24,        1,
(  3/5 | -1/2 ), 0.60000,-0.50000,  1.36285, -0.52456,   24,        1,
(  1/2 | -3/5 ), 0.50000,-0.60000,  1.13571, -0.91798,   24,        1,
( -3/5 |  1/10),-0.60000, 0.10000, -1.36285, -0.52456,   24,        1,
( -1/2 | -1/10),-0.50000,-0.10000, -1.13571, -0.91798,   24,        1,
(  1/2 |  1/10), 0.50000, 0.10000,  1.13571,  0.91798,   25,        1,
(  3/5 | -1/10), 0.60000,-0.10000,  1.36285,  0.52456,   25,        1,
( -1/2 |  3/5 ),-0.50000, 0.60000, -1.13571,  0.91798,   25,        1,
( -3/5 |  1/2 ),-0.60000, 0.50000, -1.36285,  0.52456,   25,        1,
(  1/10| -3/5 ), 0.10000,-0.60000,  0.22714, -1.44254,   25,        1,
( -1/10| -1/2 ),-0.10000,-0.50000, -0.22714, -1.44254,   25,        1,
(  3/5 |  0   ), 0.60000, 0.00000,  1.36285,  0.78684,   26,        1,
( -3/5 |  3/5 ),-0.60000, 0.60000, -1.36285,  0.78684,   26,        1,
(  0   | -3/5 ), 0.00000,-0.60000,  0.00000, -1.57368,   26,        1,
(  0   |  3/5 ), 0.00000, 0.60000,  0.00000,  1.57368,   27,        1,
(  3/5 | -3/5 ), 0.60000,-0.60000,  1.36285, -0.78684,   27,        1,
( -3/5 |  0   ),-0.60000, 0.00000, -1.36285, -0.78684,   27,        1,
(  3/10|  2/5 ), 0.30000, 0.40000,  0.68142,  1.44254,   28,        1,
( -3/10|  7/10),-0.30000, 0.70000, -0.68142,  1.44254,   28,        1,
(  7/10| -2/5 ), 0.70000,-0.40000,  1.58999, -0.13114,   28,        1,
(  2/5 | -7/10), 0.40000,-0.70000,  0.90857, -1.31140,   28,        1,
( -7/10|  3/10),-0.70000, 0.30000, -1.58999, -0.13114,   28,        1,
( -2/5 | -3/10),-0.40000,-0.30000, -0.90857, -1.31140,   28,        1,
(  2/5 |  3/10), 0.40000, 0.30000,  0.90857,  1.31140,   29,        1,
(  7/10| -3/10), 0.70000,-0.30000,  1.58999,  0.13114,   29,        1,
( -2/5 |  7/10),-0.40000, 0.70000, -0.90857,  1.31140,   29,        1,
( -7/10|  2/5 ),-0.70000, 0.40000, -1.58999,  0.13114,   29,        1,
(  3/10| -7/10), 0.30000,-0.70000,  0.68142, -1.44254,   29,        1,
( -3/10| -2/5 ),-0.30000,-0.40000, -0.68142, -1.44254,   29,        1,
(  1/5 |  1/2 ), 0.20000, 0.50000,  0.45428,  1.57368,   30,        1,
( -1/5 |  7/10),-0.20000, 0.70000, -0.45428,  1.57368,   30,        1,
(  7/10| -1/2 ), 0.70000,-0.50000,  1.58999, -0.39342,   30,        1,
(  1/2 | -7/10), 0.50000,-0.70000,  1.13571, -1.18026,   30,        1,
( -7/10|  1/5 ),-0.70000, 0.20000, -1.58999, -0.39342,   30,        1,
( -1/2 | -1/5 ),-0.50000,-0.20000, -1.13571, -1.18026,   30,        1,
(  1/2 |  1/5 ), 0.50000, 0.20000,  1.13571,  1.18026,   31,        1,
(  7/10| -1/5 ), 0.70000,-0.20000,  1.58999,  0.39342,   31,        1,
( -1/2 |  7/10),-0.50000, 0.70000, -1.13571,  1.18026,   31,        1,
( -7/10|  1/2 ),-0.70000, 0.50000, -1.58999,  0.39342,   31,        1,
(  1/5 | -7/10), 0.20000,-0.70000,  0.45428, -1.57368,   31,        1,
( -1/5 | -1/2 ),-0.20000,-0.50000, -0.45428, -1.57368,   31,        1,
(  3/5 |  1/10), 0.60000, 0.10000,  1.36285,  1.04912,   32,        1,
(  7/10| -1/10), 0.70000,-0.10000,  1.58999,  0.65570,   32,        1,
( -3/5 |  7/10),-0.60000, 0.70000, -1.36285,  1.04912,   32,        1,
( -7/10|  3/5 ),-0.70000, 0.60000, -1.58999,  0.65570,   32,        1,
(  1/10| -7/10), 0.10000,-0.70000,  0.22714, -1.70482,   32,        1,
( -1/10| -3/5 ),-0.10000,-0.60000, -0.22714, -1.70482,   32,        1,
(  1/10|  3/5 ), 0.10000, 0.60000,  0.22714,  1.70482,   33,        1,
( -1/10|  7/10),-0.10000, 0.70000, -0.22714,  1.70482,   33,        1,
(  7/10| -3/5 ), 0.70000,-0.60000,  1.58999, -0.65570,   33,        1,
(  3/5 | -7/10), 0.60000,-0.70000,  1.36285, -1.04912,   33,        1,
( -7/10|  1/10),-0.70000, 0.10000, -1.58999, -0.65570,   33,        1,
( -3/5 | -1/10),-0.60000,-0.10000, -1.36285, -1.04912,   33,        1,
(  2/5 |  2/5 ), 0.40000, 0.40000,  0.90857,  1.57368,   34,        1,
(  4/5 | -2/5 ), 0.80000,-0.40000,  1.81713, -0.00000,   34,        1,
( -2/5 |  4/5 ),-0.40000, 0.80000, -0.90857,  1.57368,   34,        1,
(  2/5 | -4/5 ), 0.40000,-0.80000,  0.90857, -1.57368,   34,        1,
( -4/5 |  2/5 ),-0.80000, 0.40000, -1.81713,  0.00000,   34,        1,
( -2/5 | -2/5 ),-0.40000,-0.40000, -0.90857, -1.57368,   34,        1,
(  3/10|  1/2 ), 0.30000, 0.50000,  0.68142,  1.70482,   35,        1,
