# This file was automatically generated by ViPErLEED v. 0.1a.
# It contains the pattern file generated from:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Pt(111)-(1x1).tlm
#
# Structure: Pt(111)-(3x3)Te
#
# Max. LEED Energy: 900.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 8.2986 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.2986 0.0000]; b = [-4.1493  7.1868]
#            Superlattice: [[3 0] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -1  | -1  ),-1.00000,-1.00000, -2.27141, -3.93420,   21,        1,
(  2/3|  4/3), 0.66667, 1.33333,  1.51428,  4.37134,   22,        1,
( -2/3|  2  ),-0.66667, 2.00000, -1.51428,  4.37134,   22,        1,
(  2  | -4/3), 2.00000,-1.33333,  4.54283, -0.87427,   22,        1,
(  4/3| -2  ), 1.33333,-2.00000,  3.02855, -3.49707,   22,        1,
( -2  |  2/3),-2.00000, 0.66667, -4.54283, -0.87427,   22,        1,
( -4/3| -2/3),-1.33333,-0.66667, -3.02855, -3.49707,   22,        1,
(  4/3|  2/3), 1.33333, 0.66667,  3.02855,  3.49707,   23,        1,
(  2  | -2/3), 2.00000,-0.66667,  4.54283,  0.87427,   23,        1,
( -4/3|  2  ),-1.33333, 2.00000, -3.02855,  3.49707,   23,        1,
( -2  |  4/3),-2.00000, 1.33333, -4.54283,  0.87427,   23,        1,
(  2/3| -2  ), 0.66667,-2.00000,  1.51428, -4.37134,   23,        1,
( -2/3| -4/3),-0.66667,-1.33333, -1.51428, -4.37134,   23,        1,
(  5/3|  1/3), 1.66667, 0.33333,  3.78569,  3.05994,   24,        1,
(  2  | -1/3), 2.00000,-0.33333,  4.54283,  1.74854,   24,        1,
( -5/3|  2  ),-1.66667, 2.00000, -3.78569,  3.05994,   24,        1,
( -2  |  5/3),-2.00000, 1.66667, -4.54283,  1.74854,   24,        1,
(  1/3| -2  ), 0.33333,-2.00000,  0.75714, -4.80847,   24,        1,
( -1/3| -5/3),-0.33333,-1.66667, -0.75714, -4.80847,   24,        1,
(  1/3|  5/3), 0.33333, 1.66667,  0.75714,  4.80847,   25,        1,
( -1/3|  2  ),-0.33333, 2.00000, -0.75714,  4.80847,   25,        1,
(  2  | -5/3), 2.00000,-1.66667,  4.54283, -1.74854,   25,        1,
(  5/3| -2  ), 1.66667,-2.00000,  3.78569, -3.05994,   25,        1,
( -2  |  1/3),-2.00000, 0.33333, -4.54283, -1.74854,   25,        1,
( -5/3| -1/3),-1.66667,-0.33333, -3.78569, -3.05994,   25,        1,
(  2  |  0  ), 2.00000, 0.00000,  4.54283,  2.62280,   26,        1,
( -2  |  2  ),-2.00000, 2.00000, -4.54283,  2.62280,   26,        1,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.24561,   26,        1,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.24561,   27,        1,
(  2  | -2  ), 2.00000,-2.00000,  4.54283, -2.62280,   27,        1,
( -2  |  0  ),-2.00000, 0.00000, -4.54283, -2.62280,   27,        1,
(  4/3|  1  ), 1.33333, 1.00000,  3.02855,  4.37134,   28,        1,
(  7/3| -1  ), 2.33333,-1.00000,  5.29997,  0.43713,   28,        1,
( -4/3|  7/3),-1.33333, 2.33333, -3.02855,  4.37134,   28,        1,
( -7/3|  4/3),-2.33333, 1.33333, -5.29997,  0.43713,   28,        1,
(  1  | -7/3), 1.00000,-2.33333,  2.27141, -4.80847,   28,        1,
( -1  | -4/3),-1.00000,-1.33333, -2.27141, -4.80847,   28,        1,
(  1  |  4/3), 1.00000, 1.33333,  2.27141,  4.80847,   29,        1,
( -1  |  7/3),-1.00000, 2.33333, -2.27141,  4.80847,   29,        1,
(  7/3| -4/3), 2.33333,-1.33333,  5.29997, -0.43713,   29,        1,
(  4/3| -7/3), 1.33333,-2.33333,  3.02855, -4.37134,   29,        1,
( -7/3|  1  ),-2.33333, 1.00000, -5.29997, -0.43713,   29,        1,
( -4/3| -1  ),-1.33333,-1.00000, -3.02855, -4.37134,   29,        1,
(  5/3|  2/3), 1.66667, 0.66667,  3.78569,  3.93420,   30,        1,
(  7/3| -2/3), 2.33333,-0.66667,  5.29997,  1.31140,   30,        1,
( -5/3|  7/3),-1.66667, 2.33333, -3.78569,  3.93420,   30,        1,
( -7/3|  5/3),-2.33333, 1.66667, -5.29997,  1.31140,   30,        1,
(  2/3| -7/3), 0.66667,-2.33333,  1.51428, -5.24561,   30,        1,
( -2/3| -5/3),-0.66667,-1.66667, -1.51428, -5.24561,   30,        1,
(  2/3|  5/3), 0.66667, 1.66667,  1.51428,  5.24561,   31,        1,
( -2/3|  7/3),-0.66667, 2.33333, -1.51428,  5.24561,   31,        1,
(  7/3| -5/3), 2.33333,-1.66667,  5.29997, -1.31140,   31,        1,
(  5/3| -7/3), 1.66667,-2.33333,  3.78569, -3.93420,   31,        1,
( -7/3|  2/3),-2.33333, 0.66667, -5.29997, -1.31140,   31,        1,
( -5/3| -2/3),-1.66667,-0.66667, -3.78569, -3.93420,   31,        1,
(  2  |  1/3), 2.00000, 0.33333,  4.54283,  3.49707,   32,        1,
(  7/3| -1/3), 2.33333,-0.33333,  5.29997,  2.18567,   32,        1,
( -2  |  7/3),-2.00000, 2.33333, -4.54283,  3.49707,   32,        1,
( -7/3|  2  ),-2.33333, 2.00000, -5.29997,  2.18567,   32,        1,
(  1/3| -7/3), 0.33333,-2.33333,  0.75714, -5.68274,   32,        1,
( -1/3| -2  ),-0.33333,-2.00000, -0.75714, -5.68274,   32,        1,
(  1/3|  2  ), 0.33333, 2.00000,  0.75714,  5.68274,   33,        1,
( -1/3|  7/3),-0.33333, 2.33333, -0.75714,  5.68274,   33,        1,
