# This file was automatically generated by ViPErLEED v. 0.1a.
# It contains the pattern file generated from:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Pt(111)-(1x1).tlm
#
# Structure: Pt(111)-(3x3)Te
#
# Max. LEED Energy: 900.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 8.2986 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.2986 0.0000]; b = [-4.1493  7.1868]
#            Superlattice: [[3 0] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  2/3|  7/3), 0.66667, 2.33333,  1.51428,  6.99414,   50,        1,
( -2/3|  3  ),-0.66667, 3.00000, -1.51428,  6.99414,   50,        1,
(  3  | -7/3), 3.00000,-2.33333,  6.81424, -2.18567,   50,        1,
(  7/3| -3  ), 2.33333,-3.00000,  5.29997, -4.80847,   50,        1,
( -3  |  2/3),-3.00000, 0.66667, -6.81424, -2.18567,   50,        1,
( -7/3| -2/3),-2.33333,-0.66667, -5.29997, -4.80847,   50,        1,
(  8/3|  1/3), 2.66667, 0.33333,  6.05710,  4.37134,   51,        1,
(  3  | -1/3), 3.00000,-0.33333,  6.81424,  3.05994,   51,        1,
( -8/3|  3  ),-2.66667, 3.00000, -6.05710,  4.37134,   51,        1,
( -3  |  8/3),-3.00000, 2.66667, -6.81424,  3.05994,   51,        1,
(  1/3| -3  ), 0.33333,-3.00000,  0.75714, -7.43127,   51,        1,
( -1/3| -8/3),-0.33333,-2.66667, -0.75714, -7.43127,   51,        1,
(  1/3|  8/3), 0.33333, 2.66667,  0.75714,  7.43127,   52,        1,
( -1/3|  3  ),-0.33333, 3.00000, -0.75714,  7.43127,   52,        1,
(  3  | -8/3), 3.00000,-2.66667,  6.81424, -3.05994,   52,        1,
(  8/3| -3  ), 2.66667,-3.00000,  6.05710, -4.37134,   52,        1,
( -3  |  1/3),-3.00000, 0.33333, -6.81424, -3.05994,   52,        1,
( -8/3| -1/3),-2.66667,-0.33333, -6.05710, -4.37134,   52,        1,
(  5/3|  5/3), 1.66667, 1.66667,  3.78569,  6.55701,   53,        1,
( 10/3| -5/3), 3.33333,-1.66667,  7.57138, -0.00000,   53,        1,
( -5/3| 10/3),-1.66667, 3.33333, -3.78569,  6.55701,   53,        1,
(  5/3|-10/3), 1.66667,-3.33333,  3.78569, -6.55701,   53,        1,
(-10/3|  5/3),-3.33333, 1.66667, -7.57138,  0.00000,   53,        1,
( -5/3| -5/3),-1.66667,-1.66667, -3.78569, -6.55701,   53,        1,
(  4/3|  2  ), 1.33333, 2.00000,  3.02855,  6.99414,   54,        1,
( -4/3| 10/3),-1.33333, 3.33333, -3.02855,  6.99414,   54,        1,
( 10/3| -2  ), 3.33333,-2.00000,  7.57138, -0.87427,   54,        1,
(  2  |-10/3), 2.00000,-3.33333,  4.54283, -6.11987,   54,        1,
(-10/3|  4/3),-3.33333, 1.33333, -7.57138, -0.87427,   54,        1,
( -2  | -4/3),-2.00000,-1.33333, -4.54283, -6.11987,   54,        1,
(  2  |  4/3), 2.00000, 1.33333,  4.54283,  6.11987,   55,        1,
( 10/3| -4/3), 3.33333,-1.33333,  7.57138,  0.87427,   55,        1,
( -2  | 10/3),-2.00000, 3.33333, -4.54283,  6.11987,   55,        1,
(-10/3|  2  ),-3.33333, 2.00000, -7.57138,  0.87427,   55,        1,
(  4/3|-10/3), 1.33333,-3.33333,  3.02855, -6.99414,   55,        1,
( -4/3| -2  ),-1.33333,-2.00000, -3.02855, -6.99414,   55,        1,
(  7/3|  1  ), 2.33333, 1.00000,  5.29997,  5.68274,   56,        1,
( 10/3| -1  ), 3.33333,-1.00000,  7.57138,  1.74854,   56,        1,
( -7/3| 10/3),-2.33333, 3.33333, -5.29997,  5.68274,   56,        1,
(-10/3|  7/3),-3.33333, 2.33333, -7.57138,  1.74854,   56,        1,
(  1  |-10/3), 1.00000,-3.33333,  2.27141, -7.43127,   56,        1,
( -1  | -7/3),-1.00000,-2.33333, -2.27141, -7.43127,   56,        1,
(  1  |  7/3), 1.00000, 2.33333,  2.27141,  7.43127,   57,        1,
( -1  | 10/3),-1.00000, 3.33333, -2.27141,  7.43127,   57,        1,
( 10/3| -7/3), 3.33333,-2.33333,  7.57138, -1.74854,   57,        1,
(  7/3|-10/3), 2.33333,-3.33333,  5.29997, -5.68274,   57,        1,
(-10/3|  1  ),-3.33333, 1.00000, -7.57138, -1.74854,   57,        1,
( -7/3| -1  ),-2.33333,-1.00000, -5.29997, -5.68274,   57,        1,
(  3  |  0  ), 3.00000, 0.00000,  6.81424,  3.93420,   58,        1,
( -3  |  3  ),-3.00000, 3.00000, -6.81424,  3.93420,   58,        1,
(  0  | -3  ), 0.00000,-3.00000,  0.00000, -7.86841,   58,        1,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  7.86841,   59,        1,
(  3  | -3  ), 3.00000,-3.00000,  6.81424, -3.93420,   59,        1,
( -3  |  0  ),-3.00000, 0.00000, -6.81424, -3.93420,   59,        1,
(  2/3|  8/3), 0.66667, 2.66667,  1.51428,  7.86841,   60,        1,
( -2/3| 10/3),-0.66667, 3.33333, -1.51428,  7.86841,   60,        1,
( 10/3| -8/3), 3.33333,-2.66667,  7.57138, -2.62280,   60,        1,
(  8/3|-10/3), 2.66667,-3.33333,  6.05710, -5.24561,   60,        1,
(-10/3|  2/3),-3.33333, 0.66667, -7.57138, -2.62280,   60,        1,
( -8/3| -2/3),-2.66667,-0.66667, -6.05710, -5.24561,   60,        1,
(  8/3|  2/3), 2.66667, 0.66667,  6.05710,  5.24561,   61,        1,
( 10/3| -2/3), 3.33333,-0.66667,  7.57138,  2.62280,   61,        1,
( -8/3| 10/3),-2.66667, 3.33333, -6.05710,  5.24561,   61,        1,
(-10/3|  8/3),-3.33333, 2.66667, -7.57138,  2.62280,   61,        1,
(  2/3|-10/3), 0.66667,-3.33333,  1.51428, -7.86841,   61,        1,
( -2/3| -8/3),-0.66667,-2.66667, -1.51428, -7.86841,   61,        1,
(  5/3|  2  ), 1.66667, 2.00000,  3.78569,  7.43127,   62,        1,
( -5/3| 11/3),-1.66667, 3.66667, -3.78569,  7.43127,   62,        1,
( 11/3| -2  ), 3.66667,-2.00000,  8.32852, -0.43713,   62,        1,
(  2  |-11/3), 2.00000,-3.66667,  4.54283, -6.99414,   62,        1,
(-11/3|  5/3),-3.66667, 1.66667, -8.32852, -0.43713,   62,        1,
( -2  | -5/3),-2.00000,-1.66667, -4.54283, -6.99414,   62,        1,
(  2  |  5/3), 2.00000, 1.66667,  4.54283,  6.99414,   63,        1,
( 11/3| -5/3), 3.66667,-1.66667,  8.32852,  0.43713,   63,        1,
( -2  | 11/3),-2.00000, 3.66667, -4.54283,  6.99414,   63,        1,
(-11/3|  2  ),-3.66667, 2.00000, -8.32852,  0.43713,   63,        1,
(  5/3|-11/3), 1.66667,-3.66667,  3.78569, -7.43127,   63,        1,
( -5/3| -2  ),-1.66667,-2.00000, -3.78569, -7.43127,   63,        1,
(  1/3|  3  ), 0.33333, 3.00000,  0.75714,  8.30554,   64,        1,
( -1/3| 10/3),-0.33333, 3.33333, -0.75714,  8.30554,   64,        1,
( 10/3| -3  ), 3.33333,-3.00000,  7.57138, -3.49707,   64,        1,
(  3  |-10/3), 3.00000,-3.33333,  6.81424, -4.80847,   64,        1,
(-10/3|  1/3),-3.33333, 0.33333, -7.57138, -3.49707,   64,        1,
( -3  | -1/3),-3.00000,-0.33333, -6.81424, -4.80847,   64,        1,
(  3  |  1/3), 3.00000, 0.33333,  6.81424,  4.80847,   65,        1,
( 10/3| -1/3), 3.33333,-0.33333,  7.57138,  3.49707,   65,        1,
( -3  | 10/3),-3.00000, 3.33333, -6.81424,  4.80847,   65,        1,
(-10/3|  3  ),-3.33333, 3.00000, -7.57138,  3.49707,   65,        1,
(  1/3|-10/3), 0.33333,-3.33333,  0.75714, -8.30554,   65,        1,
( -1/3| -3  ),-0.33333,-3.00000, -0.75714, -8.30554,   65,        1,
(  7/3|  4/3), 2.33333, 1.33333,  5.29997,  6.55701,   66,        1,
( 11/3| -4/3), 3.66667,-1.33333,  8.32852,  1.31140,   66,        1,
( -7/3| 11/3),-2.33333, 3.66667, -5.29997,  6.55701,   66,        1,
(-11/3|  7/3),-3.66667, 2.33333, -8.32852,  1.31140,   66,        1,
(  4/3|-11/3), 1.33333,-3.66667,  3.02855, -7.86841,   66,        1,
( -4/3| -7/3),-1.33333,-2.33333, -3.02855, -7.86841,   66,        1,
(  4/3|  7/3), 1.33333, 2.33333,  3.02855,  7.86841,   67,        1,
( -4/3| 11/3),-1.33333, 3.66667, -3.02855,  7.86841,   67,        1,
( 11/3| -7/3), 3.66667,-2.33333,  8.32852, -1.31140,   67,        1,
(  7/3|-11/3), 2.33333,-3.66667,  5.29997, -6.55701,   67,        1,
(-11/3|  4/3),-3.66667, 1.33333, -8.32852, -1.31140,   67,        1,
( -7/3| -4/3),-2.33333,-1.33333, -5.29997, -6.55701,   67,        1,
(  8/3|  1  ), 2.66667, 1.00000,  6.05710,  6.11987,   68,        1,
( 11/3| -1  ), 3.66667,-1.00000,  8.32852,  2.18567,   68,        1,
( -8/3| 11/3),-2.66667, 3.66667, -6.05710,  6.11987,   68,        1,
(-11/3|  8/3),-3.66667, 2.66667, -8.32852,  2.18567,   68,        1,
(  1  |-11/3), 1.00000,-3.66667,  2.27141, -8.30554,   68,        1,
( -1  | -8/3),-1.00000,-2.66667, -2.27141, -8.30554,   68,        1,
(  1  |  8/3), 1.00000, 2.66667,  2.27141,  8.30554,   69,        1,
( -1  | 11/3),-1.00000, 3.66667, -2.27141,  8.30554,   69,        1,
( 11/3| -8/3), 3.66667,-2.66667,  8.32852, -2.18567,   69,        1,
(  8/3|-11/3), 2.66667,-3.66667,  6.05710, -6.11987,   69,        1,
(-11/3|  1  ),-3.66667, 1.00000, -8.32852, -2.18567,   69,        1,
( -8/3| -1  ),-2.66667,-1.00000, -6.05710, -6.11987,   69,        1,
( 10/3|  0  ), 3.33333, 0.00000,  7.57138,  4.37134,   70,        1,
(-10/3| 10/3),-3.33333, 3.33333, -7.57138,  4.37134,   70,        1,
(  0  |-10/3), 0.00000,-3.33333,  0.00000, -8.74268,   70,        1,
(  0  | 10/3), 0.00000, 3.33333,  0.00000,  8.74268,   71,        1,
( 10/3|-10/3), 3.33333,-3.33333,  7.57138, -4.37134,   71,        1,
(-10/3|  0  ),-3.33333, 0.00000, -7.57138, -4.37134,   71,        1,
(  2/3|  3  ), 0.66667, 3.00000,  1.51428,  8.74268,   72,        1,
( -2/3| 11/3),-0.66667, 3.66667, -1.51428,  8.74268,   72,        1,
( 11/3| -3  ), 3.66667,-3.00000,  8.32852, -3.05994,   72,        1,
(  3  |-11/3), 3.00000,-3.66667,  6.81424, -5.68274,   72,        1,
(-11/3|  2/3),-3.66667, 0.66667, -8.32852, -3.05994,   72,        1,
( -3  | -2/3),-3.00000,-0.66667, -6.81424, -5.68274,   72,        1,
(  3  |  2/3), 3.00000, 0.66667,  6.81424,  5.68274,   73,        1,
( 11/3| -2/3), 3.66667,-0.66667,  8.32852,  3.05994,   73,        1,
( -3  | 11/3),-3.00000, 3.66667, -6.81424,  5.68274,   73,        1,
(-11/3|  3  ),-3.66667, 3.00000, -8.32852,  3.05994,   73,        1,
(  2/3|-11/3), 0.66667,-3.66667,  1.51428, -8.74268,   73,        1,
( -2/3| -3  ),-0.66667,-3.00000, -1.51428, -8.74268,   73,        1,
(  2  |  2  ), 2.00000, 2.00000,  4.54283,  7.86841,   74,        1,
(  4  | -2  ), 4.00000,-2.00000,  9.08566, -0.00000,   74,        1,
( -2  |  4  ),-2.00000, 4.00000, -4.54283,  7.86841,   74,        1,
(  2  | -4  ), 2.00000,-4.00000,  4.54283, -7.86841,   74,        1,
( -4  |  2  ),-4.00000, 2.00000, -9.08566,  0.00000,   74,        1,
( -2  | -2  ),-2.00000,-2.00000, -4.54283, -7.86841,   74,        1,
(  5/3|  7/3), 1.66667, 2.33333,  3.78569,  8.30554,   75,        1,
( -5/3|  4  ),-1.66667, 4.00000, -3.78569,  8.30554,   75,        1,
(  4  | -7/3), 4.00000,-2.33333,  9.08566, -0.87427,   75,        1,
(  7/3| -4  ), 2.33333,-4.00000,  5.29997, -7.43127,   75,        1,
( -4  |  5/3),-4.00000, 1.66667, -9.08566, -0.87427,   75,        1,
( -7/3| -5/3),-2.33333,-1.66667, -5.29997, -7.43127,   75,        1,
(  7/3|  5/3), 2.33333, 1.66667,  5.29997,  7.43127,   76,        1,
(  4  | -5/3), 4.00000,-1.66667,  9.08566,  0.87427,   76,        1,
( -7/3|  4  ),-2.33333, 4.00000, -5.29997,  7.43127,   76,        1,
( -4  |  7/3),-4.00000, 2.33333, -9.08566,  0.87427,   76,        1,
(  5/3| -4  ), 1.66667,-4.00000,  3.78569, -8.30554,   76,        1,
( -5/3| -7/3),-1.66667,-2.33333, -3.78569, -8.30554,   76,        1,
(  1/3| 10/3), 0.33333, 3.33333,  0.75714,  9.17981,   77,        1,
( -1/3| 11/3),-0.33333, 3.66667, -0.75714,  9.17981,   77,        1,
( 11/3|-10/3), 3.66667,-3.33333,  8.32852, -3.93420,   77,        1,
( 10/3|-11/3), 3.33333,-3.66667,  7.57138, -5.24561,   77,        1,
(-11/3|  1/3),-3.66667, 0.33333, -8.32852, -3.93420,   77,        1,
(-10/3| -1/3),-3.33333,-0.33333, -7.57138, -5.24561,   77,        1,
( 10/3|  1/3), 3.33333, 0.33333,  7.57138,  5.24561,   78,        1,
( 11/3| -1/3), 3.66667,-0.33333,  8.32852,  3.93420,   78,        1,
(-10/3| 11/3),-3.33333, 3.66667, -7.57138,  5.24561,   78,        1,
(-11/3| 10/3),-3.66667, 3.33333, -8.32852,  3.93420,   78,        1,
(  1/3|-11/3), 0.33333,-3.66667,  0.75714, -9.17981,   78,        1,
( -1/3|-10/3),-0.33333,-3.33333, -0.75714, -9.17981,   78,        1,
(  4/3|  8/3), 1.33333, 2.66667,  3.02855,  8.74268,   79,        1,
( -4/3|  4  ),-1.33333, 4.00000, -3.02855,  8.74268,   79,        1,
(  4  | -8/3), 4.00000,-2.66667,  9.08566, -1.74854,   79,        1,
(  8/3| -4  ), 2.66667,-4.00000,  6.05710, -6.99414,   79,        1,
( -4  |  4/3),-4.00000, 1.33333, -9.08566, -1.74854,   79,        1,
( -8/3| -4/3),-2.66667,-1.33333, -6.05710, -6.99414,   79,        1,
(  8/3|  4/3), 2.66667, 1.33333,  6.05710,  6.99414,   80,        1,
(  4  | -4/3), 4.00000,-1.33333,  9.08566,  1.74854,   80,        1,
( -8/3|  4  ),-2.66667, 4.00000, -6.05710,  6.99414,   80,        1,
( -4  |  8/3),-4.00000, 2.66667, -9.08566,  1.74854,   80,        1,
(  4/3| -4  ), 1.33333,-4.00000,  3.02855, -8.74268,   80,        1,
( -4/3| -8/3),-1.33333,-2.66667, -3.02855, -8.74268,   80,        1,
(  1  |  3  ), 1.00000, 3.00000,  2.27141,  9.17981,   81,        1,
( -1  |  4  ),-1.00000, 4.00000, -2.27141,  9.17981,   81,        1,
(  4  | -3  ), 4.00000,-3.00000,  9.08566, -2.62280,   81,        1,
(  3  | -4  ), 3.00000,-4.00000,  6.81424, -6.55701,   81,        1,
( -4  |  1  ),-4.00000, 1.00000, -9.08566, -2.62280,   81,        1,
( -3  | -1  ),-3.00000,-1.00000, -6.81424, -6.55701,   81,        1,
(  3  |  1  ), 3.00000, 1.00000,  6.81424,  6.55701,   82,        1,
(  4  | -1  ), 4.00000,-1.00000,  9.08566,  2.62280,   82,        1,
( -3  |  4  ),-3.00000, 4.00000, -6.81424,  6.55701,   82,        1,
( -4  |  3  ),-4.00000, 3.00000, -9.08566,  2.62280,   82,        1,
(  1  | -4  ), 1.00000,-4.00000,  2.27141, -9.17981,   82,        1,
( -1  | -3  ),-1.00000,-3.00000, -2.27141, -9.17981,   82,        1,
( 11/3|  0  ), 3.66667, 0.00000,  8.32852,  4.80847,   83,        1,
(-11/3| 11/3),-3.66667, 3.66667, -8.32852,  4.80847,   83,        1,
(  0  |-11/3), 0.00000,-3.66667,  0.00000, -9.61694,   83,        1,
(  0  | 11/3), 0.00000, 3.66667,  0.00000,  9.61694,   84,        1,
( 11/3|-11/3), 3.66667,-3.66667,  8.32852, -4.80847,   84,        1,
(-11/3|  0  ),-3.66667, 0.00000, -8.32852, -4.80847,   84,        1,
( 10/3|  2/3), 3.33333, 0.66667,  7.57138,  6.11987,   85,        1,
(  4  | -2/3), 4.00000,-0.66667,  9.08566,  3.49707,   85,        1,
(-10/3|  4  ),-3.33333, 4.00000, -7.57138,  6.11987,   85,        1,
( -4  | 10/3),-4.00000, 3.33333, -9.08566,  3.49707,   85,        1,
(  2/3| -4  ), 0.66667,-4.00000,  1.51428, -9.61694,   85,        1,
( -2/3|-10/3),-0.66667,-3.33333, -1.51428, -9.61694,   85,        1,
(  2/3| 10/3), 0.66667, 3.33333,  1.51428,  9.61694,   86,        1,
( -2/3|  4  ),-0.66667, 4.00000, -1.51428,  9.61694,   86,        1,
(  4  |-10/3), 4.00000,-3.33333,  9.08566, -3.49707,   86,        1,
( 10/3| -4  ), 3.33333,-4.00000,  7.57138, -6.11987,   86,        1,
( -4  |  2/3),-4.00000, 0.66667, -9.08566, -3.49707,   86,        1,
(-10/3| -2/3),-3.33333,-0.66667, -7.57138, -6.11987,   86,        1,
(  2  |  7/3), 2.00000, 2.33333,  4.54283,  8.74268,   87,        1,
( -2  | 13/3),-2.00000, 4.33333, -4.54283,  8.74268,   87,        1,
( 13/3| -7/3), 4.33333,-2.33333,  9.84279, -0.43713,   87,        1,
(  7/3|-13/3), 2.33333,-4.33333,  5.29997, -8.30554,   87,        1,
(-13/3|  2  ),-4.33333, 2.00000, -9.84279, -0.43713,   87,        1,
( -7/3| -2  ),-2.33333,-2.00000, -5.29997, -8.30554,   87,        1,
(  7/3|  2  ), 2.33333, 2.00000,  5.29997,  8.30554,   88,        1,
( 13/3| -2  ), 4.33333,-2.00000,  9.84279,  0.43713,   88,        1,
( -7/3| 13/3),-2.33333, 4.33333, -5.29997,  8.30554,   88,        1,
(-13/3|  7/3),-4.33333, 2.33333, -9.84279,  0.43713,   88,        1,
(  2  |-13/3), 2.00000,-4.33333,  4.54283, -8.74268,   88,        1,
( -2  | -7/3),-2.00000,-2.33333, -4.54283, -8.74268,   88,        1,
(  5/3|  8/3), 1.66667, 2.66667,  3.78569,  9.17981,   89,        1,
( -5/3| 13/3),-1.66667, 4.33333, -3.78569,  9.17981,   89,        1,
( 13/3| -8/3), 4.33333,-2.66667,  9.84279, -1.31140,   89,        1,
(  8/3|-13/3), 2.66667,-4.33333,  6.05710, -7.86841,   89,        1,
(-13/3|  5/3),-4.33333, 1.66667, -9.84279, -1.31140,   89,        1,
( -8/3| -5/3),-2.66667,-1.66667, -6.05710, -7.86841,   89,        1,
(  8/3|  5/3), 2.66667, 1.66667,  6.05710,  7.86841,   90,        1,
( 13/3| -5/3), 4.33333,-1.66667,  9.84279,  1.31140,   90,        1,
( -8/3| 13/3),-2.66667, 4.33333, -6.05710,  7.86841,   90,        1,
(-13/3|  8/3),-4.33333, 2.66667, -9.84279,  1.31140,   90,        1,
(  5/3|-13/3), 1.66667,-4.33333,  3.78569, -9.17981,   90,        1,
( -5/3| -8/3),-1.66667,-2.66667, -3.78569, -9.17981,   90,        1,
(  4/3|  3  ), 1.33333, 3.00000,  3.02855,  9.61694,   91,        1,
( -4/3| 13/3),-1.33333, 4.33333, -3.02855,  9.61694,   91,        1,
( 13/3| -3  ), 4.33333,-3.00000,  9.84279, -2.18567,   91,        1,
(  3  |-13/3), 3.00000,-4.33333,  6.81424, -7.43127,   91,        1,
(-13/3|  4/3),-4.33333, 1.33333, -9.84279, -2.18567,   91,        1,
( -3  | -4/3),-3.00000,-1.33333, -6.81424, -7.43127,   91,        1,
(  3  |  4/3), 3.00000, 1.33333,  6.81424,  7.43127,   92,        1,
( 13/3| -4/3), 4.33333,-1.33333,  9.84279,  2.18567,   92,        1,
( -3  | 13/3),-3.00000, 4.33333, -6.81424,  7.43127,   92,        1,
(-13/3|  3  ),-4.33333, 3.00000, -9.84279,  2.18567,   92,        1,
(  4/3|-13/3), 1.33333,-4.33333,  3.02855, -9.61694,   92,        1,
( -4/3| -3  ),-1.33333,-3.00000, -3.02855, -9.61694,   92,        1,
(  1/3| 11/3), 0.33333, 3.66667,  0.75714, 10.05408,   93,        1,
( -1/3|  4  ),-0.33333, 4.00000, -0.75714, 10.05408,   93,        1,
(  4  |-11/3), 4.00000,-3.66667,  9.08566, -4.37134,   93,        1,
( 11/3| -4  ), 3.66667,-4.00000,  8.32852, -5.68274,   93,        1,
( -4  |  1/3),-4.00000, 0.33333, -9.08566, -4.37134,   93,        1,
(-11/3| -1/3),-3.66667,-0.33333, -8.32852, -5.68274,   93,        1,
( 11/3|  1/3), 3.66667, 0.33333,  8.32852,  5.68274,   94,        1,
(  4  | -1/3), 4.00000,-0.33333,  9.08566,  4.37134,   94,        1,
(-11/3|  4  ),-3.66667, 4.00000, -8.32852,  5.68274,   94,        1,
( -4  | 11/3),-4.00000, 3.66667, -9.08566,  4.37134,   94,        1,
(  1/3| -4  ), 0.33333,-4.00000,  0.75714,-10.05408,   94,        1,
( -1/3|-11/3),-0.33333,-3.66667, -0.75714,-10.05408,   94,        1,
(  1  | 10/3), 1.00000, 3.33333,  2.27141, 10.05408,   95,        1,
( -1  | 13/3),-1.00000, 4.33333, -2.27141, 10.05408,   95,        1,
( 13/3|-10/3), 4.33333,-3.33333,  9.84279, -3.05994,   95,        1,
( 10/3|-13/3), 3.33333,-4.33333,  7.57138, -6.99414,   95,        1,
(-13/3|  1  ),-4.33333, 1.00000, -9.84279, -3.05994,   95,        1,
(-10/3| -1  ),-3.33333,-1.00000, -7.57138, -6.99414,   95,        1,
( 10/3|  1  ), 3.33333, 1.00000,  7.57138,  6.99414,   96,        1,
( 13/3| -1  ), 4.33333,-1.00000,  9.84279,  3.05994,   96,        1,
(-10/3| 13/3),-3.33333, 4.33333, -7.57138,  6.99414,   96,        1,
(-13/3| 10/3),-4.33333, 3.33333, -9.84279,  3.05994,   96,        1,
(  1  |-13/3), 1.00000,-4.33333,  2.27141,-10.05408,   96,        1,
( -1  |-10/3),-1.00000,-3.33333, -2.27141,-10.05408,   96,        1,
(  4  |  0  ), 4.00000, 0.00000,  9.08566,  5.24561,   97,        1,
( -4  |  4  ),-4.00000, 4.00000, -9.08566,  5.24561,   97,        1,
(  0  | -4  ), 0.00000,-4.00000,  0.00000,-10.49121,   97,        1,
(  0  |  4  ), 0.00000, 4.00000,  0.00000, 10.49121,   98,        1,
(  4  | -4  ), 4.00000,-4.00000,  9.08566, -5.24561,   98,        1,
( -4  |  0  ),-4.00000, 0.00000, -9.08566, -5.24561,   98,        1,
(  2/3| 11/3), 0.66667, 3.66667,  1.51428, 10.49121,   99,        1,
( -2/3| 13/3),-0.66667, 4.33333, -1.51428, 10.49121,   99,        1,
( 13/3|-11/3), 4.33333,-3.66667,  9.84279, -3.93420,   99,        1,
( 11/3|-13/3), 3.66667,-4.33333,  8.32852, -6.55701,   99,        1,
(-13/3|  2/3),-4.33333, 0.66667, -9.84279, -3.93420,   99,        1,
(-11/3| -2/3),-3.66667,-0.66667, -8.32852, -6.55701,   99,        1,
( 11/3|  2/3), 3.66667, 0.66667,  8.32852,  6.55701,  100,        1,
( 13/3| -2/3), 4.33333,-0.66667,  9.84279,  3.93420,  100,        1,
(-11/3| 13/3),-3.66667, 4.33333, -8.32852,  6.55701,  100,        1,
(-13/3| 11/3),-4.33333, 3.66667, -9.84279,  3.93420,  100,        1,
(  2/3|-13/3), 0.66667,-4.33333,  1.51428,-10.49121,  100,        1,
( -2/3|-11/3),-0.66667,-3.66667, -1.51428,-10.49121,  100,        1,
(  7/3|  7/3), 2.33333, 2.33333,  5.29997,  9.17981,  101,        1,
( 14/3| -7/3), 4.66667,-2.33333, 10.59993, -0.00000,  101,        1,
( -7/3| 14/3),-2.33333, 4.66667, -5.29997,  9.17981,  101,        1,
(  7/3|-14/3), 2.33333,-4.66667,  5.29997, -9.17981,  101,        1,
(-14/3|  7/3),-4.66667, 2.33333,-10.59993,  0.00000,  101,        1,
( -7/3| -7/3),-2.33333,-2.33333, -5.29997, -9.17981,  101,        1,
(  8/3|  2  ), 2.66667, 2.00000,  6.05710,  8.74268,  102,        1,
( 14/3| -2  ), 4.66667,-2.00000, 10.59993,  0.87427,  102,        1,
( -8/3| 14/3),-2.66667, 4.66667, -6.05710,  8.74268,  102,        1,
(-14/3|  8/3),-4.66667, 2.66667,-10.59993,  0.87427,  102,        1,
(  2  |-14/3), 2.00000,-4.66667,  4.54283, -9.61694,  102,        1,
( -2  | -8/3),-2.00000,-2.66667, -4.54283, -9.61694,  102,        1,
(  2  |  8/3), 2.00000, 2.66667,  4.54283,  9.61694,  103,        1,
( -2  | 14/3),-2.00000, 4.66667, -4.54283,  9.61694,  103,        1,
( 14/3| -8/3), 4.66667,-2.66667, 10.59993, -0.87427,  103,        1,
(  8/3|-14/3), 2.66667,-4.66667,  6.05710, -8.74268,  103,        1,
(-14/3|  2  ),-4.66667, 2.00000,-10.59993, -0.87427,  103,        1,
( -8/3| -2  ),-2.66667,-2.00000, -6.05710, -8.74268,  103,        1,
(  5/3|  3  ), 1.66667, 3.00000,  3.78569, 10.05408,  104,        1,
( -5/3| 14/3),-1.66667, 4.66667, -3.78569, 10.05408,  104,        1,
( 14/3| -3  ), 4.66667,-3.00000, 10.59993, -1.74854,  104,        1,
(  3  |-14/3), 3.00000,-4.66667,  6.81424, -8.30554,  104,        1,
(-14/3|  5/3),-4.66667, 1.66667,-10.59993, -1.74854,  104,        1,
( -3  | -5/3),-3.00000,-1.66667, -6.81424, -8.30554,  104,        1,
(  3  |  5/3), 3.00000, 1.66667,  6.81424,  8.30554,  105,        1,
( 14/3| -5/3), 4.66667,-1.66667, 10.59993,  1.74854,  105,        1,
( -3  | 14/3),-3.00000, 4.66667, -6.81424,  8.30554,  105,        1,
(-14/3|  3  ),-4.66667, 3.00000,-10.59993,  1.74854,  105,        1,
(  5/3|-14/3), 1.66667,-4.66667,  3.78569,-10.05408,  105,        1,
( -5/3| -3  ),-1.66667,-3.00000, -3.78569,-10.05408,  105,        1,
( 10/3|  4/3), 3.33333, 1.33333,  7.57138,  7.86841,  106,        1,
( 14/3| -4/3), 4.66667,-1.33333, 10.59993,  2.62280,  106,        1,
(-10/3| 14/3),-3.33333, 4.66667, -7.57138,  7.86841,  106,        1,
(-14/3| 10/3),-4.66667, 3.33333,-10.59993,  2.62280,  106,        1,
(  4/3|-14/3), 1.33333,-4.66667,  3.02855,-10.49121,  106,        1,
( -4/3|-10/3),-1.33333,-3.33333, -3.02855,-10.49121,  106,        1,
(  4/3| 10/3), 1.33333, 3.33333,  3.02855, 10.49121,  107,        1,
( -4/3| 14/3),-1.33333, 4.66667, -3.02855, 10.49121,  107,        1,
( 14/3|-10/3), 4.66667,-3.33333, 10.59993, -2.62280,  107,        1,
