# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Fe3O4(001)-(r2xr2)R45_noscrews.tlm
#
# Structure: Fe3O4(001)-c(2x2) - no bulk screws
#
# Max. LEED Energy: 503.0 eV
# Bulk lattice: Square (pmm); a = 5.9312 AA
#        Basis: a = [ 5.9312 -0.0000]; b = [0.0000 5.9312]
# Surface lattice: Square (cmm); a = 8.3880 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.9312 5.9312]; b = [-5.9312  5.9312]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  3  | -1  ), 3.00000,-1.00000,  3.17803, -1.05934,   19,        1,
( -3  |  1  ),-3.00000, 1.00000, -3.17803,  1.05934,   19,        1,
( -3  | -1  ),-3.00000,-1.00000, -3.17803, -1.05934,   19,        1,
(  1  |  3  ), 1.00000, 3.00000,  1.05934,  3.17803,   20,        1,
( -1  |  3  ),-1.00000, 3.00000, -1.05934,  3.17803,   20,        1,
(  1  | -3  ), 1.00000,-3.00000,  1.05934, -3.17803,   20,        1,
( -1  | -3  ),-1.00000,-3.00000, -1.05934, -3.17803,   20,        1,
(  5/2|  5/2), 2.50000, 2.50000,  2.64836,  2.64836,   21,        1,
(  5/2| -5/2), 2.50000,-2.50000,  2.64836, -2.64836,   21,        1,
( -5/2|  5/2),-2.50000, 2.50000, -2.64836,  2.64836,   21,        1,
( -5/2| -5/2),-2.50000,-2.50000, -2.64836, -2.64836,   21,        1,
(  1/2|  7/2), 0.50000, 3.50000,  0.52967,  3.70770,   22,        1,
( -1/2|  7/2),-0.50000, 3.50000, -0.52967,  3.70770,   22,        1,
(  1/2| -7/2), 0.50000,-3.50000,  0.52967, -3.70770,   22,        1,
( -1/2| -7/2),-0.50000,-3.50000, -0.52967, -3.70770,   22,        1,
(  7/2|  1/2), 3.50000, 0.50000,  3.70770,  0.52967,   23,        1,
(  7/2| -1/2), 3.50000,-0.50000,  3.70770, -0.52967,   23,        1,
( -7/2|  1/2),-3.50000, 0.50000, -3.70770,  0.52967,   23,        1,
( -7/2| -1/2),-3.50000,-0.50000, -3.70770, -0.52967,   23,        1,
(  3  |  2  ), 3.00000, 2.00000,  3.17803,  2.11869,   24,        1,
(  3  | -2  ), 3.00000,-2.00000,  3.17803, -2.11869,   24,        1,
( -3  |  2  ),-3.00000, 2.00000, -3.17803,  2.11869,   24,        1,
( -3  | -2  ),-3.00000,-2.00000, -3.17803, -2.11869,   24,        1,
(  2  |  3  ), 2.00000, 3.00000,  2.11869,  3.17803,   25,        1,
( -2  |  3  ),-2.00000, 3.00000, -2.11869,  3.17803,   25,        1,
(  2  | -3  ), 2.00000,-3.00000,  2.11869, -3.17803,   25,        1,
( -2  | -3  ),-2.00000,-3.00000, -2.11869, -3.17803,   25,        1,
(  7/2|  3/2), 3.50000, 1.50000,  3.70770,  1.58901,   26,        1,
(  7/2| -3/2), 3.50000,-1.50000,  3.70770, -1.58901,   26,        1,
( -7/2|  3/2),-3.50000, 1.50000, -3.70770,  1.58901,   26,        1,
( -7/2| -3/2),-3.50000,-1.50000, -3.70770, -1.58901,   26,        1,
(  3/2|  7/2), 1.50000, 3.50000,  1.58901,  3.70770,   27,        1,
( -3/2|  7/2),-1.50000, 3.50000, -1.58901,  3.70770,   27,        1,
(  3/2| -7/2), 1.50000,-3.50000,  1.58901, -3.70770,   27,        1,
( -3/2| -7/2),-1.50000,-3.50000, -1.58901, -3.70770,   27,        1,
(  0  |  4  ), 0.00000, 4.00000,  0.00000,  4.23737,   28,        1,
(  0  | -4  ), 0.00000,-4.00000, -0.00000, -4.23737,   28,        1,
(  4  |  0  ), 4.00000, 0.00000,  4.23737, -0.00000,   29,        1,
( -4  |  0  ),-4.00000, 0.00000, -4.23737,  0.00000,   29,        1,
(  4  |  1  ), 4.00000, 1.00000,  4.23737,  1.05934,   30,        1,
(  4  | -1  ), 4.00000,-1.00000,  4.23737, -1.05934,   30,        1,
( -4  |  1  ),-4.00000, 1.00000, -4.23737,  1.05934,   30,        1,
( -4  | -1  ),-4.00000,-1.00000, -4.23737, -1.05934,   30,        1,
(  1  |  4  ), 1.00000, 4.00000,  1.05934,  4.23737,   31,        1,
( -1  |  4  ),-1.00000, 4.00000, -1.05934,  4.23737,   31,        1,
(  1  | -4  ), 1.00000,-4.00000,  1.05934, -4.23737,   31,        1,
( -1  | -4  ),-1.00000,-4.00000, -1.05934, -4.23737,   31,        1,
(  3  |  3  ), 3.00000, 3.00000,  3.17803,  3.17803,   32,        1,
(  3  | -3  ), 3.00000,-3.00000,  3.17803, -3.17803,   32,        1,
( -3  |  3  ),-3.00000, 3.00000, -3.17803,  3.17803,   32,        1,
( -3  | -3  ),-3.00000,-3.00000, -3.17803, -3.17803,   32,        1,
(  5/2|  7/2), 2.50000, 3.50000,  2.64836,  3.70770,   33,        1,
( -5/2|  7/2),-2.50000, 3.50000, -2.64836,  3.70770,   33,        1,
(  5/2| -7/2), 2.50000,-3.50000,  2.64836, -3.70770,   33,        1,
( -5/2| -7/2),-2.50000,-3.50000, -2.64836, -3.70770,   33,        1,
(  7/2|  5/2), 3.50000, 2.50000,  3.70770,  2.64836,   34,        1,
(  7/2| -5/2), 3.50000,-2.50000,  3.70770, -2.64836,   34,        1,
( -7/2|  5/2),-3.50000, 2.50000, -3.70770,  2.64836,   34,        1,
( -7/2| -5/2),-3.50000,-2.50000, -3.70770, -2.64836,   34,        1,
(  4  |  2  ), 4.00000, 2.00000,  4.23737,  2.11869,   35,        1,
(  4  | -2  ), 4.00000,-2.00000,  4.23737, -2.11869,   35,        1,
( -4  |  2  ),-4.00000, 2.00000, -4.23737,  2.11869,   35,        1,
( -4  | -2  ),-4.00000,-2.00000, -4.23737, -2.11869,   35,        1,
(  2  |  4  ), 2.00000, 4.00000,  2.11869,  4.23737,   36,        1,
( -2  |  4  ),-2.00000, 4.00000, -2.11869,  4.23737,   36,        1,
(  2  | -4  ), 2.00000,-4.00000,  2.11869, -4.23737,   36,        1,
( -2  | -4  ),-2.00000,-4.00000, -2.11869, -4.23737,   36,        1,
(  1/2|  9/2), 0.50000, 4.50000,  0.52967,  4.76704,   37,        1,
( -1/2|  9/2),-0.50000, 4.50000, -0.52967,  4.76704,   37,        1,
(  1/2| -9/2), 0.50000,-4.50000,  0.52967, -4.76704,   37,        1,
( -1/2| -9/2),-0.50000,-4.50000, -0.52967, -4.76704,   37,        1,
(  9/2|  1/2), 4.50000, 0.50000,  4.76704,  0.52967,   38,        1,
(  9/2| -1/2), 4.50000,-0.50000,  4.76704, -0.52967,   38,        1,
( -9/2|  1/2),-4.50000, 0.50000, -4.76704,  0.52967,   38,        1,
( -9/2| -1/2),-4.50000,-0.50000, -4.76704, -0.52967,   38,        1,
(  9/2|  3/2), 4.50000, 1.50000,  4.76704,  1.58901,   39,        1,
(  9/2| -3/2), 4.50000,-1.50000,  4.76704, -1.58901,   39,        1,
( -9/2|  3/2),-4.50000, 1.50000, -4.76704,  1.58901,   39,        1,
( -9/2| -3/2),-4.50000,-1.50000, -4.76704, -1.58901,   39,        1,
(  3/2|  9/2), 1.50000, 4.50000,  1.58901,  4.76704,   40,        1,
( -3/2|  9/2),-1.50000, 4.50000, -1.58901,  4.76704,   40,        1,
(  3/2| -9/2), 1.50000,-4.50000,  1.58901, -4.76704,   40,        1,
( -3/2| -9/2),-1.50000,-4.50000, -1.58901, -4.76704,   40,        1,
(  7/2|  7/2), 3.50000, 3.50000,  3.70770,  3.70770,   41,        1,
(  7/2| -7/2), 3.50000,-3.50000,  3.70770, -3.70770,   41,        1,
( -7/2|  7/2),-3.50000, 3.50000, -3.70770,  3.70770,   41,        1,
( -7/2| -7/2),-3.50000,-3.50000, -3.70770, -3.70770,   41,        1,
(  3  |  4  ), 3.00000, 4.00000,  3.17803,  4.23737,   42,        1,
( -3  |  4  ),-3.00000, 4.00000, -3.17803,  4.23737,   42,        1,
(  3  | -4  ), 3.00000,-4.00000,  3.17803, -4.23737,   42,        1,
( -3  | -4  ),-3.00000,-4.00000, -3.17803, -4.23737,   42,        1,
(  4  |  3  ), 4.00000, 3.00000,  4.23737,  3.17803,   43,        1,
(  4  | -3  ), 4.00000,-3.00000,  4.23737, -3.17803,   43,        1,
( -4  |  3  ),-4.00000, 3.00000, -4.23737,  3.17803,   43,        1,
( -4  | -3  ),-4.00000,-3.00000, -4.23737, -3.17803,   43,        1,
(  0  |  5  ), 0.00000, 5.00000,  0.00000,  5.29671,   44,        1,
(  0  | -5  ), 0.00000,-5.00000, -0.00000, -5.29671,   44,        1,
(  5  |  0  ), 5.00000, 0.00000,  5.29671, -0.00000,   45,        1,
( -5  |  0  ),-5.00000, 0.00000, -5.29671,  0.00000,   45,        1,
(  1  |  5  ), 1.00000, 5.00000,  1.05934,  5.29671,   46,        1,
( -1  |  5  ),-1.00000, 5.00000, -1.05934,  5.29671,   46,        1,
(  1  | -5  ), 1.00000,-5.00000,  1.05934, -5.29671,   46,        1,
( -1  | -5  ),-1.00000,-5.00000, -1.05934, -5.29671,   46,        1,
(  5  |  1  ), 5.00000, 1.00000,  5.29671,  1.05934,   47,        1,
(  5  | -1  ), 5.00000,-1.00000,  5.29671, -1.05934,   47,        1,
( -5  |  1  ),-5.00000, 1.00000, -5.29671,  1.05934,   47,        1,
( -5  | -1  ),-5.00000,-1.00000, -5.29671, -1.05934,   47,        1,
(  5/2|  9/2), 2.50000, 4.50000,  2.64836,  4.76704,   48,        1,
( -5/2|  9/2),-2.50000, 4.50000, -2.64836,  4.76704,   48,        1,
(  5/2| -9/2), 2.50000,-4.50000,  2.64836, -4.76704,   48,        1,
( -5/2| -9/2),-2.50000,-4.50000, -2.64836, -4.76704,   48,        1,
(  9/2|  5/2), 4.50000, 2.50000,  4.76704,  2.64836,   49,        1,
(  9/2| -5/2), 4.50000,-2.50000,  4.76704, -2.64836,   49,        1,
( -9/2|  5/2),-4.50000, 2.50000, -4.76704,  2.64836,   49,        1,
( -9/2| -5/2),-4.50000,-2.50000, -4.76704, -2.64836,   49,        1,
(  2  |  5  ), 2.00000, 5.00000,  2.11869,  5.29671,   50,        1,
( -2  |  5  ),-2.00000, 5.00000, -2.11869,  5.29671,   50,        1,
(  2  | -5  ), 2.00000,-5.00000,  2.11869, -5.29671,   50,        1,
( -2  | -5  ),-2.00000,-5.00000, -2.11869, -5.29671,   50,        1,
(  5  |  2  ), 5.00000, 2.00000,  5.29671,  2.11869,   51,        1,
(  5  | -2  ), 5.00000,-2.00000,  5.29671, -2.11869,   51,        1,
( -5  |  2  ),-5.00000, 2.00000, -5.29671,  2.11869,   51,        1,
( -5  | -2  ),-5.00000,-2.00000, -5.29671, -2.11869,   51,        1,
(  1/2| 11/2), 0.50000, 5.50000,  0.52967,  5.82638,   52,        1,
( -1/2| 11/2),-0.50000, 5.50000, -0.52967,  5.82638,   52,        1,
(  1/2|-11/2), 0.50000,-5.50000,  0.52967, -5.82638,   52,        1,
( -1/2|-11/2),-0.50000,-5.50000, -0.52967, -5.82638,   52,        1,
( 11/2|  1/2), 5.50000, 0.50000,  5.82638,  0.52967,   53,        1,
( 11/2| -1/2), 5.50000,-0.50000,  5.82638, -0.52967,   53,        1,
(-11/2|  1/2),-5.50000, 0.50000, -5.82638,  0.52967,   53,        1,
(-11/2| -1/2),-5.50000,-0.50000, -5.82638, -0.52967,   53,        1,
(  4  |  4  ), 4.00000, 4.00000,  4.23737,  4.23737,   54,        1,
(  4  | -4  ), 4.00000,-4.00000,  4.23737, -4.23737,   54,        1,
( -4  |  4  ),-4.00000, 4.00000, -4.23737,  4.23737,   54,        1,
( -4  | -4  ),-4.00000,-4.00000, -4.23737, -4.23737,   54,        1,
(  9/2|  7/2), 4.50000, 3.50000,  4.76704,  3.70770,   55,        1,
(  9/2| -7/2), 4.50000,-3.50000,  4.76704, -3.70770,   55,        1,
( -9/2|  7/2),-4.50000, 3.50000, -4.76704,  3.70770,   55,        1,
( -9/2| -7/2),-4.50000,-3.50000, -4.76704, -3.70770,   55,        1,
(  7/2|  9/2), 3.50000, 4.50000,  3.70770,  4.76704,   56,        1,
( -7/2|  9/2),-3.50000, 4.50000, -3.70770,  4.76704,   56,        1,
(  7/2| -9/2), 3.50000,-4.50000,  3.70770, -4.76704,   56,        1,
( -7/2| -9/2),-3.50000,-4.50000, -3.70770, -4.76704,   56,        1,
(  3/2| 11/2), 1.50000, 5.50000,  1.58901,  5.82638,   57,        1,
( -3/2| 11/2),-1.50000, 5.50000, -1.58901,  5.82638,   57,        1,
(  3/2|-11/2), 1.50000,-5.50000,  1.58901, -5.82638,   57,        1,
( -3/2|-11/2),-1.50000,-5.50000, -1.58901, -5.82638,   57,        1,
( 11/2|  3/2), 5.50000, 1.50000,  5.82638,  1.58901,   58,        1,
( 11/2| -3/2), 5.50000,-1.50000,  5.82638, -1.58901,   58,        1,
(-11/2|  3/2),-5.50000, 1.50000, -5.82638,  1.58901,   58,        1,
(-11/2| -3/2),-5.50000,-1.50000, -5.82638, -1.58901,   58,        1,
(  5  |  3  ), 5.00000, 3.00000,  5.29671,  3.17803,   59,        1,
(  5  | -3  ), 5.00000,-3.00000,  5.29671, -3.17803,   59,        1,
( -5  |  3  ),-5.00000, 3.00000, -5.29671,  3.17803,   59,        1,
( -5  | -3  ),-5.00000,-3.00000, -5.29671, -3.17803,   59,        1,
(  3  |  5  ), 3.00000, 5.00000,  3.17803,  5.29671,   60,        1,
( -3  |  5  ),-3.00000, 5.00000, -3.17803,  5.29671,   60,        1,
(  3  | -5  ), 3.00000,-5.00000,  3.17803, -5.29671,   60,        1,
( -3  | -5  ),-3.00000,-5.00000, -3.17803, -5.29671,   60,        1,
(  0  |  6  ), 0.00000, 6.00000,  0.00000,  6.35606,   61,        1,
(  0  | -6  ), 0.00000,-6.00000, -0.00000, -6.35606,   61,        1,
(  6  |  0  ), 6.00000, 0.00000,  6.35606, -0.00000,   62,        1,
( -6  |  0  ),-6.00000, 0.00000, -6.35606,  0.00000,   62,        1,
( 11/2|  5/2), 5.50000, 2.50000,  5.82638,  2.64836,   63,        1,
( 11/2| -5/2), 5.50000,-2.50000,  5.82638, -2.64836,   63,        1,
(-11/2|  5/2),-5.50000, 2.50000, -5.82638,  2.64836,   63,        1,
(-11/2| -5/2),-5.50000,-2.50000, -5.82638, -2.64836,   63,        1,
(  5/2| 11/2), 2.50000, 5.50000,  2.64836,  5.82638,   64,        1,
( -5/2| 11/2),-2.50000, 5.50000, -2.64836,  5.82638,   64,        1,
(  5/2|-11/2), 2.50000,-5.50000,  2.64836, -5.82638,   64,        1,
( -5/2|-11/2),-2.50000,-5.50000, -2.64836, -5.82638,   64,        1,
(  6  |  1  ), 6.00000, 1.00000,  6.35606,  1.05934,   65,        1,
(  6  | -1  ), 6.00000,-1.00000,  6.35606, -1.05934,   65,        1,
( -6  |  1  ),-6.00000, 1.00000, -6.35606,  1.05934,   65,        1,
( -6  | -1  ),-6.00000,-1.00000, -6.35606, -1.05934,   65,        1,
(  1  |  6  ), 1.00000, 6.00000,  1.05934,  6.35606,   66,        1,
( -1  |  6  ),-1.00000, 6.00000, -1.05934,  6.35606,   66,        1,
(  1  | -6  ), 1.00000,-6.00000,  1.05934, -6.35606,   66,        1,
( -1  | -6  ),-1.00000,-6.00000, -1.05934, -6.35606,   66,        1,
(  6  |  2  ), 6.00000, 2.00000,  6.35606,  2.11869,   67,        1,
(  6  | -2  ), 6.00000,-2.00000,  6.35606, -2.11869,   67,        1,
( -6  |  2  ),-6.00000, 2.00000, -6.35606,  2.11869,   67,        1,
( -6  | -2  ),-6.00000,-2.00000, -6.35606, -2.11869,   67,        1,
(  2  |  6  ), 2.00000, 6.00000,  2.11869,  6.35606,   68,        1,
( -2  |  6  ),-2.00000, 6.00000, -2.11869,  6.35606,   68,        1,
(  2  | -6  ), 2.00000,-6.00000,  2.11869, -6.35606,   68,        1,
( -2  | -6  ),-2.00000,-6.00000, -2.11869, -6.35606,   68,        1,
(  9/2|  9/2), 4.50000, 4.50000,  4.76704,  4.76704,   69,        1,
(  9/2| -9/2), 4.50000,-4.50000,  4.76704, -4.76704,   69,        1,
( -9/2|  9/2),-4.50000, 4.50000, -4.76704,  4.76704,   69,        1,
( -9/2| -9/2),-4.50000,-4.50000, -4.76704, -4.76704,   69,        1,
(  5  |  4  ), 5.00000, 4.00000,  5.29671,  4.23737,   70,        1,
(  5  | -4  ), 5.00000,-4.00000,  5.29671, -4.23737,   70,        1,
( -5  |  4  ),-5.00000, 4.00000, -5.29671,  4.23737,   70,        1,
( -5  | -4  ),-5.00000,-4.00000, -5.29671, -4.23737,   70,        1,
(  4  |  5  ), 4.00000, 5.00000,  4.23737,  5.29671,   71,        1,
( -4  |  5  ),-4.00000, 5.00000, -4.23737,  5.29671,   71,        1,
(  4  | -5  ), 4.00000,-5.00000,  4.23737, -5.29671,   71,        1,
( -4  | -5  ),-4.00000,-5.00000, -4.23737, -5.29671,   71,        1,
(  7/2| 11/2), 3.50000, 5.50000,  3.70770,  5.82638,   72,        1,
( -7/2| 11/2),-3.50000, 5.50000, -3.70770,  5.82638,   72,        1,
(  7/2|-11/2), 3.50000,-5.50000,  3.70770, -5.82638,   72,        1,
( -7/2|-11/2),-3.50000,-5.50000, -3.70770, -5.82638,   72,        1,
( 11/2|  7/2), 5.50000, 3.50000,  5.82638,  3.70770,   73,        1,
( 11/2| -7/2), 5.50000,-3.50000,  5.82638, -3.70770,   73,        1,
(-11/2|  7/2),-5.50000, 3.50000, -5.82638,  3.70770,   73,        1,
(-11/2| -7/2),-5.50000,-3.50000, -5.82638, -3.70770,   73,        1,
(  1/2| 13/2), 0.50000, 6.50000,  0.52967,  6.88573,   74,        1,
( -1/2| 13/2),-0.50000, 6.50000, -0.52967,  6.88573,   74,        1,
(  1/2|-13/2), 0.50000,-6.50000,  0.52967, -6.88573,   74,        1,
( -1/2|-13/2),-0.50000,-6.50000, -0.52967, -6.88573,   74,        1,
( 13/2|  1/2), 6.50000, 0.50000,  6.88573,  0.52967,   75,        1,
( 13/2| -1/2), 6.50000,-0.50000,  6.88573, -0.52967,   75,        1,
(-13/2|  1/2),-6.50000, 0.50000, -6.88573,  0.52967,   75,        1,
(-13/2| -1/2),-6.50000,-0.50000, -6.88573, -0.52967,   75,        1,
(  3/2| 13/2), 1.50000, 6.50000,  1.58901,  6.88573,   76,        1,
( -3/2| 13/2),-1.50000, 6.50000, -1.58901,  6.88573,   76,        1,
(  3/2|-13/2), 1.50000,-6.50000,  1.58901, -6.88573,   76,        1,
( -3/2|-13/2),-1.50000,-6.50000, -1.58901, -6.88573,   76,        1,
( 13/2|  3/2), 6.50000, 1.50000,  6.88573,  1.58901,   77,        1,
( 13/2| -3/2), 6.50000,-1.50000,  6.88573, -1.58901,   77,        1,
(-13/2|  3/2),-6.50000, 1.50000, -6.88573,  1.58901,   77,        1,
(-13/2| -3/2),-6.50000,-1.50000, -6.88573, -1.58901,   77,        1,
(  6  |  3  ), 6.00000, 3.00000,  6.35606,  3.17803,   78,        1,
(  6  | -3  ), 6.00000,-3.00000,  6.35606, -3.17803,   78,        1,
( -6  |  3  ),-6.00000, 3.00000, -6.35606,  3.17803,   78,        1,
( -6  | -3  ),-6.00000,-3.00000, -6.35606, -3.17803,   78,        1,
(  3  |  6  ), 3.00000, 6.00000,  3.17803,  6.35606,   79,        1,
( -3  |  6  ),-3.00000, 6.00000, -3.17803,  6.35606,   79,        1,
(  3  | -6  ), 3.00000,-6.00000,  3.17803, -6.35606,   79,        1,
( -3  | -6  ),-3.00000,-6.00000, -3.17803, -6.35606,   79,        1,
( 13/2|  5/2), 6.50000, 2.50000,  6.88573,  2.64836,   80,        1,
( 13/2| -5/2), 6.50000,-2.50000,  6.88573, -2.64836,   80,        1,
(-13/2|  5/2),-6.50000, 2.50000, -6.88573,  2.64836,   80,        1,
(-13/2| -5/2),-6.50000,-2.50000, -6.88573, -2.64836,   80,        1,
(  5/2| 13/2), 2.50000, 6.50000,  2.64836,  6.88573,   81,        1,
( -5/2| 13/2),-2.50000, 6.50000, -2.64836,  6.88573,   81,        1,
(  5/2|-13/2), 2.50000,-6.50000,  2.64836, -6.88573,   81,        1,
( -5/2|-13/2),-2.50000,-6.50000, -2.64836, -6.88573,   81,        1,
(  0  |  7  ), 0.00000, 7.00000,  0.00000,  7.41540,   82,        1,
(  0  | -7  ), 0.00000,-7.00000, -0.00000, -7.41540,   82,        1,
(  7  |  0  ), 7.00000, 0.00000,  7.41540, -0.00000,   83,        1,
( -7  |  0  ),-7.00000, 0.00000, -7.41540,  0.00000,   83,        1,
(  5  |  5  ), 5.00000, 5.00000,  5.29671,  5.29671,   84,        1,
(  5  | -5  ), 5.00000,-5.00000,  5.29671, -5.29671,   84,        1,
