# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-c(2x2).tlm
#
# Structure: Ag(110)-c(2x2)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 5.7840 AA; b = 4.0900 AA
#        Basis: a = [ 0.0000 -5.7840]; b = [4.0900 0.0000]
# Surface lattice: Rhombic (cmm); a = 7.0840 AA; alpha = 109.47 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [ 4.0900 -5.7840]; b = [4.0900 5.7840]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -7/2| -1/2), -3.50000, -0.50000, -0.76812,  3.80207,   18,        1,
(  3/2|  5/2),  1.50000,  2.50000,  3.84058, -1.62946,   19,        1,
( -3/2|  5/2), -1.50000,  2.50000,  3.84058,  1.62946,   19,        1,
(  3/2| -5/2),  1.50000, -2.50000, -3.84058, -1.62946,   19,        1,
( -3/2| -5/2), -1.50000, -2.50000, -3.84058,  1.62946,   19,        1,
(  4  |  0  ),  4.00000,  0.00000,  0.00000, -4.34522,   20,        1,
( -4  |  0  ), -4.00000,  0.00000,  0.00000,  4.34522,   20,        1,
(  7/2|  3/2),  3.50000,  1.50000,  2.30435, -3.80207,   21,        1,
(  7/2| -3/2),  3.50000, -1.50000, -2.30435, -3.80207,   21,        1,
( -7/2|  3/2), -3.50000,  1.50000,  2.30435,  3.80207,   21,        1,
( -7/2| -3/2), -3.50000, -1.50000, -2.30435,  3.80207,   21,        1,
(  3  |  2  ),  3.00000,  2.00000,  3.07246, -3.25891,   22,        1,
(  3  | -2  ),  3.00000, -2.00000, -3.07246, -3.25891,   22,        1,
( -3  |  2  ), -3.00000,  2.00000,  3.07246,  3.25891,   22,        1,
( -3  | -2  ), -3.00000, -2.00000, -3.07246,  3.25891,   22,        1,
(  0  |  3  ),  0.00000,  3.00000,  4.60869,  0.00000,   23,        1,
(  0  | -3  ),  0.00000, -3.00000, -4.60869, -0.00000,   23,        1,
(  4  |  1  ),  4.00000,  1.00000,  1.53623, -4.34522,   24,        1,
(  4  | -1  ),  4.00000, -1.00000, -1.53623, -4.34522,   24,        1,
( -4  |  1  ), -4.00000,  1.00000,  1.53623,  4.34522,   24,        1,
( -4  | -1  ), -4.00000, -1.00000, -1.53623,  4.34522,   24,        1,
(  5/2|  5/2),  2.50000,  2.50000,  3.84058, -2.71576,   25,        1,
(  5/2| -5/2),  2.50000, -2.50000, -3.84058, -2.71576,   25,        1,
( -5/2|  5/2), -2.50000,  2.50000,  3.84058,  2.71576,   25,        1,
( -5/2| -5/2), -2.50000, -2.50000, -3.84058,  2.71576,   25,        1,
(  1  |  3  ),  1.00000,  3.00000,  4.60869, -1.08630,   26,        1,
( -1  |  3  ), -1.00000,  3.00000,  4.60869,  1.08630,   26,        1,
(  1  | -3  ),  1.00000, -3.00000, -4.60869, -1.08630,   26,        1,
( -1  | -3  ), -1.00000, -3.00000, -4.60869,  1.08630,   26,        1,
(  9/2|  1/2),  4.50000,  0.50000,  0.76812, -4.88837,   27,        1,
(  9/2| -1/2),  4.50000, -0.50000, -0.76812, -4.88837,   27,        1,
( -9/2|  1/2), -4.50000,  0.50000,  0.76812,  4.88837,   27,        1,
( -9/2| -1/2), -4.50000, -0.50000, -0.76812,  4.88837,   27,        1,
(  2  |  3  ),  2.00000,  3.00000,  4.60869, -2.17261,   28,        1,
( -2  |  3  ), -2.00000,  3.00000,  4.60869,  2.17261,   28,        1,
(  2  | -3  ),  2.00000, -3.00000, -4.60869, -2.17261,   28,        1,
( -2  | -3  ), -2.00000, -3.00000, -4.60869,  2.17261,   28,        1,
(  4  |  2  ),  4.00000,  2.00000,  3.07246, -4.34522,   29,        1,
(  4  | -2  ),  4.00000, -2.00000, -3.07246, -4.34522,   29,        1,
( -4  |  2  ), -4.00000,  2.00000,  3.07246,  4.34522,   29,        1,
( -4  | -2  ), -4.00000, -2.00000, -3.07246,  4.34522,   29,        1,
(  1/2|  7/2),  0.50000,  3.50000,  5.37681, -0.54315,   30,        1,
( -1/2|  7/2), -0.50000,  3.50000,  5.37681,  0.54315,   30,        1,
(  1/2| -7/2),  0.50000, -3.50000, -5.37681, -0.54315,   30,        1,
( -1/2| -7/2), -0.50000, -3.50000, -5.37681,  0.54315,   30,        1,
(  7/2|  5/2),  3.50000,  2.50000,  3.84058, -3.80207,   31,        1,
(  7/2| -5/2),  3.50000, -2.50000, -3.84058, -3.80207,   31,        1,
( -7/2|  5/2), -3.50000,  2.50000,  3.84058,  3.80207,   31,        1,
( -7/2| -5/2), -3.50000, -2.50000, -3.84058,  3.80207,   31,        1,
(  9/2|  3/2),  4.50000,  1.50000,  2.30435, -4.88837,   32,        1,
(  9/2| -3/2),  4.50000, -1.50000, -2.30435, -4.88837,   32,        1,
( -9/2|  3/2), -4.50000,  1.50000,  2.30435,  4.88837,   32,        1,
( -9/2| -3/2), -4.50000, -1.50000, -2.30435,  4.88837,   32,        1,
(  5  |  0  ),  5.00000,  0.00000,  0.00000, -5.43152,   33,        1,
( -5  |  0  ), -5.00000,  0.00000,  0.00000,  5.43152,   33,        1,
(  3/2|  7/2),  1.50000,  3.50000,  5.37681, -1.62946,   34,        1,
( -3/2|  7/2), -1.50000,  3.50000,  5.37681,  1.62946,   34,        1,
(  3/2| -7/2),  1.50000, -3.50000, -5.37681, -1.62946,   34,        1,
( -3/2| -7/2), -1.50000, -3.50000, -5.37681,  1.62946,   34,        1,
(  3  |  3  ),  3.00000,  3.00000,  4.60869, -3.25891,   35,        1,
(  3  | -3  ),  3.00000, -3.00000, -4.60869, -3.25891,   35,        1,
( -3  |  3  ), -3.00000,  3.00000,  4.60869,  3.25891,   35,        1,
( -3  | -3  ), -3.00000, -3.00000, -4.60869,  3.25891,   35,        1,
(  5  |  1  ),  5.00000,  1.00000,  1.53623, -5.43152,   36,        1,
(  5  | -1  ),  5.00000, -1.00000, -1.53623, -5.43152,   36,        1,
( -5  |  1  ), -5.00000,  1.00000,  1.53623,  5.43152,   36,        1,
( -5  | -1  ), -5.00000, -1.00000, -1.53623,  5.43152,   36,        1,
(  5/2|  7/2),  2.50000,  3.50000,  5.37681, -2.71576,   37,        1,
( -5/2|  7/2), -2.50000,  3.50000,  5.37681,  2.71576,   37,        1,
(  5/2| -7/2),  2.50000, -3.50000, -5.37681, -2.71576,   37,        1,
( -5/2| -7/2), -2.50000, -3.50000, -5.37681,  2.71576,   37,        1,
( 11/2|  1/2),  5.50000,  0.50000,  0.76812, -5.97467,   38,        1,
( 11/2| -1/2),  5.50000, -0.50000, -0.76812, -5.97467,   38,        1,
(-11/2|  1/2), -5.50000,  0.50000,  0.76812,  5.97467,   38,        1,
