# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-c(2x2).tlm
#
# Structure: Ag(110)-c(2x2)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 5.7840 AA; b = 4.0900 AA
#        Basis: a = [ 0.0000 -5.7840]; b = [4.0900 0.0000]
# Surface lattice: Rhombic (cmm); a = 7.0840 AA; alpha = 109.47 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [ 4.0900 -5.7840]; b = [4.0900 5.7840]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  3/2| 11/2),  1.50000,  5.50000,  8.44927, -1.62946,   76,        1,
( -3/2| 11/2), -1.50000,  5.50000,  8.44927,  1.62946,   76,        1,
(  3/2|-11/2),  1.50000, -5.50000, -8.44927, -1.62946,   76,        1,
( -3/2|-11/2), -1.50000, -5.50000, -8.44927,  1.62946,   76,        1,
(  8  |  0  ),  8.00000,  0.00000,  0.00000, -8.69044,   77,        1,
( -8  |  0  ), -8.00000,  0.00000,  0.00000,  8.69044,   77,        1,
(  4  |  5  ),  4.00000,  5.00000,  7.68116, -4.34522,   78,        1,
( -4  |  5  ), -4.00000,  5.00000,  7.68116,  4.34522,   78,        1,
(  4  | -5  ),  4.00000, -5.00000, -7.68116, -4.34522,   78,        1,
( -4  | -5  ), -4.00000, -5.00000, -7.68116,  4.34522,   78,        1,
(  8  |  1  ),  8.00000,  1.00000,  1.53623, -8.69044,   79,        1,
(  8  | -1  ),  8.00000, -1.00000, -1.53623, -8.69044,   79,        1,
( -8  |  1  ), -8.00000,  1.00000,  1.53623,  8.69044,   79,        1,
( -8  | -1  ), -8.00000, -1.00000, -1.53623,  8.69044,   79,        1,
(  5/2| 11/2),  2.50000,  5.50000,  8.44927, -2.71576,   80,        1,
( -5/2| 11/2), -2.50000,  5.50000,  8.44927,  2.71576,   80,        1,
(  5/2|-11/2),  2.50000, -5.50000, -8.44927, -2.71576,   80,        1,
( -5/2|-11/2), -2.50000, -5.50000, -8.44927,  2.71576,   80,        1,
( 13/2|  7/2),  6.50000,  3.50000,  5.37681, -7.06098,   81,        1,
( 13/2| -7/2),  6.50000, -3.50000, -5.37681, -7.06098,   81,        1,
(-13/2|  7/2), -6.50000,  3.50000,  5.37681,  7.06098,   81,        1,
(-13/2| -7/2), -6.50000, -3.50000, -5.37681,  7.06098,   81,        1,
(  7  |  3  ),  7.00000,  3.00000,  4.60869, -7.60413,   82,        1,
(  7  | -3  ),  7.00000, -3.00000, -4.60869, -7.60413,   82,        1,
( -7  |  3  ), -7.00000,  3.00000,  4.60869,  7.60413,   82,        1,
( -7  | -3  ), -7.00000, -3.00000, -4.60869,  7.60413,   82,        1,
(  6  |  4  ),  6.00000,  4.00000,  6.14492, -6.51783,   83,        1,
(  6  | -4  ),  6.00000, -4.00000, -6.14492, -6.51783,   83,        1,
( -6  |  4  ), -6.00000,  4.00000,  6.14492,  6.51783,   83,        1,
( -6  | -4  ), -6.00000, -4.00000, -6.14492,  6.51783,   83,        1,
( 15/2|  5/2),  7.50000,  2.50000,  3.84058, -8.14728,   84,        1,
( 15/2| -5/2),  7.50000, -2.50000, -3.84058, -8.14728,   84,        1,
(-15/2|  5/2), -7.50000,  2.50000,  3.84058,  8.14728,   84,        1,
(-15/2| -5/2), -7.50000, -2.50000, -3.84058,  8.14728,   84,        1,
( 11/2|  9/2),  5.50000,  4.50000,  6.91304, -5.97467,   85,        1,
( 11/2| -9/2),  5.50000, -4.50000, -6.91304, -5.97467,   85,        1,
(-11/2|  9/2), -5.50000,  4.50000,  6.91304,  5.97467,   85,        1,
(-11/2| -9/2), -5.50000, -4.50000, -6.91304,  5.97467,   85,        1,
(  0  |  6  ),  0.00000,  6.00000,  9.21739,  0.00000,   86,        1,
(  0  | -6  ),  0.00000, -6.00000, -9.21739, -0.00000,   86,        1,
(  8  |  2  ),  8.00000,  2.00000,  3.07246, -8.69044,   87,        1,
(  8  | -2  ),  8.00000, -2.00000, -3.07246, -8.69044,   87,        1,
( -8  |  2  ), -8.00000,  2.00000,  3.07246,  8.69044,   87,        1,
( -8  | -2  ), -8.00000, -2.00000, -3.07246,  8.69044,   87,        1,
(  7/2| 11/2),  3.50000,  5.50000,  8.44927, -3.80207,   88,        1,
( -7/2| 11/2), -3.50000,  5.50000,  8.44927,  3.80207,   88,        1,
(  7/2|-11/2),  3.50000, -5.50000, -8.44927, -3.80207,   88,        1,
( -7/2|-11/2), -3.50000, -5.50000, -8.44927,  3.80207,   88,        1,
( 17/2|  1/2),  8.50000,  0.50000,  0.76812, -9.23359,   89,        1,
( 17/2| -1/2),  8.50000, -0.50000, -0.76812, -9.23359,   89,        1,
(-17/2|  1/2), -8.50000,  0.50000,  0.76812,  9.23359,   89,        1,
(-17/2| -1/2), -8.50000, -0.50000, -0.76812,  9.23359,   89,        1,
(  1  |  6  ),  1.00000,  6.00000,  9.21739, -1.08630,   90,        1,
( -1  |  6  ), -1.00000,  6.00000,  9.21739,  1.08630,   90,        1,
(  1  | -6  ),  1.00000, -6.00000, -9.21739, -1.08630,   90,        1,
( -1  | -6  ), -1.00000, -6.00000, -9.21739,  1.08630,   90,        1,
(  5  |  5  ),  5.00000,  5.00000,  7.68116, -5.43152,   91,        1,
(  5  | -5  ),  5.00000, -5.00000, -7.68116, -5.43152,   91,        1,
( -5  |  5  ), -5.00000,  5.00000,  7.68116,  5.43152,   91,        1,
( -5  | -5  ), -5.00000, -5.00000, -7.68116,  5.43152,   91,        1,
(  2  |  6  ),  2.00000,  6.00000,  9.21739, -2.17261,   92,        1,
( -2  |  6  ), -2.00000,  6.00000,  9.21739,  2.17261,   92,        1,
(  2  | -6  ),  2.00000, -6.00000, -9.21739, -2.17261,   92,        1,
( -2  | -6  ), -2.00000, -6.00000, -9.21739,  2.17261,   92,        1,
( 17/2|  3/2),  8.50000,  1.50000,  2.30435, -9.23359,   93,        1,
( 17/2| -3/2),  8.50000, -1.50000, -2.30435, -9.23359,   93,        1,
(-17/2|  3/2), -8.50000,  1.50000,  2.30435,  9.23359,   93,        1,
(-17/2| -3/2), -8.50000, -1.50000, -2.30435,  9.23359,   93,        1,
(  9/2| 11/2),  4.50000,  5.50000,  8.44927, -4.88837,   94,        1,
( -9/2| 11/2), -4.50000,  5.50000,  8.44927,  4.88837,   94,        1,
(  9/2|-11/2),  4.50000, -5.50000, -8.44927, -4.88837,   94,        1,
( -9/2|-11/2), -4.50000, -5.50000, -8.44927,  4.88837,   94,        1,
( 15/2|  7/2),  7.50000,  3.50000,  5.37681, -8.14728,   95,        1,
( 15/2| -7/2),  7.50000, -3.50000, -5.37681, -8.14728,   95,        1,
(-15/2|  7/2), -7.50000,  3.50000,  5.37681,  8.14728,   95,        1,
(-15/2| -7/2), -7.50000, -3.50000, -5.37681,  8.14728,   95,        1,
(  3  |  6  ),  3.00000,  6.00000,  9.21739, -3.25891,   96,        1,
( -3  |  6  ), -3.00000,  6.00000,  9.21739,  3.25891,   96,        1,
(  3  | -6  ),  3.00000, -6.00000, -9.21739, -3.25891,   96,        1,
( -3  | -6  ), -3.00000, -6.00000, -9.21739,  3.25891,   96,        1,
(  7  |  4  ),  7.00000,  4.00000,  6.14492, -7.60413,   97,        1,
(  7  | -4  ),  7.00000, -4.00000, -6.14492, -7.60413,   97,        1,
( -7  |  4  ), -7.00000,  4.00000,  6.14492,  7.60413,   97,        1,
( -7  | -4  ), -7.00000, -4.00000, -6.14492,  7.60413,   97,        1,
(  9  |  0  ),  9.00000,  0.00000,  0.00000, -9.77674,   98,        1,
( -9  |  0  ), -9.00000,  0.00000,  0.00000,  9.77674,   98,        1,
(  8  |  3  ),  8.00000,  3.00000,  4.60869, -8.69044,   99,        1,
(  8  | -3  ),  8.00000, -3.00000, -4.60869, -8.69044,   99,        1,
( -8  |  3  ), -8.00000,  3.00000,  4.60869,  8.69044,   99,        1,
( -8  | -3  ), -8.00000, -3.00000, -4.60869,  8.69044,   99,        1,
( 13/2|  9/2),  6.50000,  4.50000,  6.91304, -7.06098,  100,        1,
( 13/2| -9/2),  6.50000, -4.50000, -6.91304, -7.06098,  100,        1,
(-13/2|  9/2), -6.50000,  4.50000,  6.91304,  7.06098,  100,        1,
(-13/2| -9/2), -6.50000, -4.50000, -6.91304,  7.06098,  100,        1,
(  9  |  1  ),  9.00000,  1.00000,  1.53623, -9.77674,  101,        1,
(  9  | -1  ),  9.00000, -1.00000, -1.53623, -9.77674,  101,        1,
( -9  |  1  ), -9.00000,  1.00000,  1.53623,  9.77674,  101,        1,
( -9  | -1  ), -9.00000, -1.00000, -1.53623,  9.77674,  101,        1,
(  1/2| 13/2),  0.50000,  6.50000,  9.98550, -0.54315,  102,        1,
( -1/2| 13/2), -0.50000,  6.50000,  9.98550,  0.54315,  102,        1,
(  1/2|-13/2),  0.50000, -6.50000, -9.98550, -0.54315,  102,        1,
( -1/2|-13/2), -0.50000, -6.50000, -9.98550,  0.54315,  102,        1,
( 17/2|  5/2),  8.50000,  2.50000,  3.84058, -9.23359,  103,        1,
( 17/2| -5/2),  8.50000, -2.50000, -3.84058, -9.23359,  103,        1,
(-17/2|  5/2), -8.50000,  2.50000,  3.84058,  9.23359,  103,        1,
(-17/2| -5/2), -8.50000, -2.50000, -3.84058,  9.23359,  103,        1,
(  6  |  5  ),  6.00000,  5.00000,  7.68116, -6.51783,  104,        1,
(  6  | -5  ),  6.00000, -5.00000, -7.68116, -6.51783,  104,        1,
( -6  |  5  ), -6.00000,  5.00000,  7.68116,  6.51783,  104,        1,
( -6  | -5  ), -6.00000, -5.00000, -7.68116,  6.51783,  104,        1,
(  3/2| 13/2),  1.50000,  6.50000,  9.98550, -1.62946,  105,        1,
( -3/2| 13/2), -1.50000,  6.50000,  9.98550,  1.62946,  105,        1,
(  3/2|-13/2),  1.50000, -6.50000, -9.98550, -1.62946,  105,        1,
( -3/2|-13/2), -1.50000, -6.50000, -9.98550,  1.62946,  105,        1,
(  4  |  6  ),  4.00000,  6.00000,  9.21739, -4.34522,  106,        1,
( -4  |  6  ), -4.00000,  6.00000,  9.21739,  4.34522,  106,        1,
(  4  | -6  ),  4.00000, -6.00000, -9.21739, -4.34522,  106,        1,
( -4  | -6  ), -4.00000, -6.00000, -9.21739,  4.34522,  106,        1,
(  9  |  2  ),  9.00000,  2.00000,  3.07246, -9.77674,  107,        1,
(  9  | -2  ),  9.00000, -2.00000, -3.07246, -9.77674,  107,        1,
( -9  |  2  ), -9.00000,  2.00000,  3.07246,  9.77674,  107,        1,
( -9  | -2  ), -9.00000, -2.00000, -3.07246,  9.77674,  107,        1,
(  5/2| 13/2),  2.50000,  6.50000,  9.98550, -2.71576,  108,        1,
( -5/2| 13/2), -2.50000,  6.50000,  9.98550,  2.71576,  108,        1,
(  5/2|-13/2),  2.50000, -6.50000, -9.98550, -2.71576,  108,        1,
( -5/2|-13/2), -2.50000, -6.50000, -9.98550,  2.71576,  108,        1,
( 11/2| 11/2),  5.50000,  5.50000,  8.44927, -5.97467,  109,        1,
( 11/2|-11/2),  5.50000, -5.50000, -8.44927, -5.97467,  109,        1,
(-11/2| 11/2), -5.50000,  5.50000,  8.44927,  5.97467,  109,        1,
(-11/2|-11/2), -5.50000, -5.50000, -8.44927,  5.97467,  109,        1,
( 19/2|  1/2),  9.50000,  0.50000,  0.76812,-10.31989,  110,        1,
( 19/2| -1/2),  9.50000, -0.50000, -0.76812,-10.31989,  110,        1,
(-19/2|  1/2), -9.50000,  0.50000,  0.76812, 10.31989,  110,        1,
(-19/2| -1/2), -9.50000, -0.50000, -0.76812, 10.31989,  110,        1,
( 19/2|  3/2),  9.50000,  1.50000,  2.30435,-10.31989,  111,        1,
( 19/2| -3/2),  9.50000, -1.50000, -2.30435,-10.31989,  111,        1,
(-19/2|  3/2), -9.50000,  1.50000,  2.30435, 10.31989,  111,        1,
(-19/2| -3/2), -9.50000, -1.50000, -2.30435, 10.31989,  111,        1,
(  8  |  4  ),  8.00000,  4.00000,  6.14492, -8.69044,  112,        1,
(  8  | -4  ),  8.00000, -4.00000, -6.14492, -8.69044,  112,        1,
( -8  |  4  ), -8.00000,  4.00000,  6.14492,  8.69044,  112,        1,
( -8  | -4  ), -8.00000, -4.00000, -6.14492,  8.69044,  112,        1,
(  7/2| 13/2),  3.50000,  6.50000,  9.98550, -3.80207,  113,        1,
( -7/2| 13/2), -3.50000,  6.50000,  9.98550,  3.80207,  113,        1,
(  7/2|-13/2),  3.50000, -6.50000, -9.98550, -3.80207,  113,        1,
( -7/2|-13/2), -3.50000, -6.50000, -9.98550,  3.80207,  113,        1,
( 15/2|  9/2),  7.50000,  4.50000,  6.91304, -8.14728,  114,        1,
( 15/2| -9/2),  7.50000, -4.50000, -6.91304, -8.14728,  114,        1,
(-15/2|  9/2), -7.50000,  4.50000,  6.91304,  8.14728,  114,        1,
(-15/2| -9/2), -7.50000, -4.50000, -6.91304,  8.14728,  114,        1,
( 17/2|  7/2),  8.50000,  3.50000,  5.37681, -9.23359,  115,        1,
( 17/2| -7/2),  8.50000, -3.50000, -5.37681, -9.23359,  115,        1,
(-17/2|  7/2), -8.50000,  3.50000,  5.37681,  9.23359,  115,        1,
(-17/2| -7/2), -8.50000, -3.50000, -5.37681,  9.23359,  115,        1,
(  5  |  6  ),  5.00000,  6.00000,  9.21739, -5.43152,  116,        1,
( -5  |  6  ), -5.00000,  6.00000,  9.21739,  5.43152,  116,        1,
(  5  | -6  ),  5.00000, -6.00000, -9.21739, -5.43152,  116,        1,
( -5  | -6  ), -5.00000, -6.00000, -9.21739,  5.43152,  116,        1,
(  0  |  7  ),  0.00000,  7.00000, 10.75362,  0.00000,  117,        1,
(  0  | -7  ),  0.00000, -7.00000,-10.75362, -0.00000,  117,        1,
(  1  |  7  ),  1.00000,  7.00000, 10.75362, -1.08630,  118,        1,
( -1  |  7  ), -1.00000,  7.00000, 10.75362,  1.08630,  118,        1,
(  1  | -7  ),  1.00000, -7.00000,-10.75362, -1.08630,  118,        1,
( -1  | -7  ), -1.00000, -7.00000,-10.75362,  1.08630,  118,        1,
(  7  |  5  ),  7.00000,  5.00000,  7.68116, -7.60413,  119,        1,
(  7  | -5  ),  7.00000, -5.00000, -7.68116, -7.60413,  119,        1,
( -7  |  5  ), -7.00000,  5.00000,  7.68116,  7.60413,  119,        1,
( -7  | -5  ), -7.00000, -5.00000, -7.68116,  7.60413,  119,        1,
(  9  |  3  ),  9.00000,  3.00000,  4.60869, -9.77674,  120,        1,
(  9  | -3  ),  9.00000, -3.00000, -4.60869, -9.77674,  120,        1,
( -9  |  3  ), -9.00000,  3.00000,  4.60869,  9.77674,  120,        1,
( -9  | -3  ), -9.00000, -3.00000, -4.60869,  9.77674,  120,        1,
( 10  |  0  ), 10.00000,  0.00000,  0.00000,-10.86305,  121,        1,
(-10  |  0  ),-10.00000,  0.00000,  0.00000, 10.86305,  121,        1,
(  2  |  7  ),  2.00000,  7.00000, 10.75362, -2.17261,  122,        1,
( -2  |  7  ), -2.00000,  7.00000, 10.75362,  2.17261,  122,        1,
(  2  | -7  ),  2.00000, -7.00000,-10.75362, -2.17261,  122,        1,
( -2  | -7  ), -2.00000, -7.00000,-10.75362,  2.17261,  122,        1,
( 10  |  1  ), 10.00000,  1.00000,  1.53623,-10.86305,  123,        1,
( 10  | -1  ), 10.00000, -1.00000, -1.53623,-10.86305,  123,        1,
(-10  |  1  ),-10.00000,  1.00000,  1.53623, 10.86305,  123,        1,
(-10  | -1  ),-10.00000, -1.00000, -1.53623, 10.86305,  123,        1,
( 13/2| 11/2),  6.50000,  5.50000,  8.44927, -7.06098,  124,        1,
( 13/2|-11/2),  6.50000, -5.50000, -8.44927, -7.06098,  124,        1,
(-13/2| 11/2), -6.50000,  5.50000,  8.44927,  7.06098,  124,        1,
(-13/2|-11/2), -6.50000, -5.50000, -8.44927,  7.06098,  124,        1,
( 19/2|  5/2),  9.50000,  2.50000,  3.84058,-10.31989,  125,        1,
( 19/2| -5/2),  9.50000, -2.50000, -3.84058,-10.31989,  125,        1,
(-19/2|  5/2), -9.50000,  2.50000,  3.84058, 10.31989,  125,        1,
(-19/2| -5/2), -9.50000, -2.50000, -3.84058, 10.31989,  125,        1,
