# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Cu(111)-(r3x5)rect.tlm
#
# Structure: Cu(111)-(r3x5)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 12.7175 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [12.7175  0.0000]
#            Superlattice: [[1 2] [5 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [ 6.3587 11.0137]
#            Superlattice: [[ 1 -1] [ 5  5]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [  6.3587 -11.0137]
#            Superlattice: [[-2 -1] [ 0 -5]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -3/2 |  0   ),-1.50000, 0.00000, -3.70544, -2.13933,  -39,      (3),
(  0   |  3/2 ), 0.00000, 1.50000,  0.00000,  4.27867,  -39,      (1),
(  3/2 | -3/2 ), 1.50000,-1.50000,  3.70544, -2.13933,  -39,      (2),
( -3/2 |  3/2 ),-1.50000, 1.50000, -3.70544,  2.13933,  -40,      (2),
(  0   | -3/2 ), 0.00000,-1.50000,  0.00000, -4.27867,  -40,      (1),
(  3/2 |  0   ), 1.50000, 0.00000,  3.70544,  2.13933,  -40,      (3),
( -1/5 | -7/5 ),-0.20000,-1.40000, -0.49406, -4.27867,   41,        1,
( -7/5 |  8/5 ),-1.40000, 1.60000, -3.45841,  2.56720,   41,        2,
( -8/5 |  7/5 ),-1.60000, 1.40000, -3.95247,  1.71147,   41,        2,
(  1/5 | -8/5 ), 0.20000,-1.60000,  0.49406, -4.27867,   41,        1,
(  7/5 |  1/5 ), 1.40000, 0.20000,  3.45841,  2.56720,   41,        3,
(  8/5 | -1/5 ), 1.60000,-0.20000,  3.95247,  1.71147,   41,        3,
( -1/5 |  8/5 ),-0.20000, 1.60000, -0.49406,  4.27867,   42,        1,
( -7/5 | -1/5 ),-1.40000,-0.20000, -3.45841, -2.56720,   42,        3,
( -8/5 |  1/5 ),-1.60000, 0.20000, -3.95247, -1.71147,   42,        3,
(  1/5 |  7/5 ), 0.20000, 1.40000,  0.49406,  4.27867,   42,        1,
(  7/5 | -8/5 ), 1.40000,-1.60000,  3.45841, -2.56720,   42,        2,
(  8/5 | -7/5 ), 1.60000,-1.40000,  3.95247, -1.71147,   42,        2,
(-13/10| 17/10),-1.30000, 1.70000, -3.21138,  2.99507,   43,        2,
(-17/10| 13/10),-1.70000, 1.30000, -4.19949,  1.28360,   43,        2,
( -2/5 |-13/10),-0.40000,-1.30000, -0.98812, -4.27867,   43,        1,
( 13/10|  2/5 ), 1.30000, 0.40000,  3.21138,  2.99507,   43,        3,
( 17/10| -2/5 ), 1.70000,-0.40000,  4.19949,  1.28360,   43,        3,
(  2/5 |-17/10), 0.40000,-1.70000,  0.98812, -4.27867,   43,        1,
(-13/10| -2/5 ),-1.30000,-0.40000, -3.21138, -2.99507,   44,        3,
(-17/10|  2/5 ),-1.70000, 0.40000, -4.19949, -1.28360,   44,        3,
( -2/5 | 17/10),-0.40000, 1.70000, -0.98812,  4.27867,   44,        1,
( 13/10|-17/10), 1.30000,-1.70000,  3.21138, -2.99507,   44,        2,
( 17/10|-13/10), 1.70000,-1.30000,  4.19949, -1.28360,   44,        2,
(  2/5 | 13/10), 0.40000, 1.30000,  0.98812,  4.27867,   44,        1,
( -9/10| -9/10),-0.90000,-0.90000, -2.22326, -3.85080,   45,        2,
( -9/10|  9/5 ),-0.90000, 1.80000, -2.22326,  3.85080,   45,        3,
( -9/5 |  9/10),-1.80000, 0.90000, -4.44652,  0.00000,   45,        1,
(  9/10| -9/5 ), 0.90000,-1.80000,  2.22326, -3.85080,   45,        3,
(  9/10|  9/10), 0.90000, 0.90000,  2.22326,  3.85080,   45,        2,
(  9/5 | -9/10), 1.80000,-0.90000,  4.44652,  0.00000,   45,        1,
(-17/10|  3/10),-1.70000, 0.30000, -4.19949, -1.56885,   46,        2,
( -3/10| 17/10),-0.30000, 1.70000, -0.74109,  4.42129,   46,        2,
( -7/5 | -3/10),-1.40000,-0.30000, -3.45841, -2.85245,   46,        1,
( 17/10| -7/5 ), 1.70000,-1.40000,  4.19949, -1.56885,   46,        3,
(  3/10|  7/5 ), 0.30000, 1.40000,  0.74109,  4.42129,   46,        3,
(  7/5 |-17/10), 1.40000,-1.70000,  3.45841, -2.85245,   46,        1,
(-17/10|  7/5 ),-1.70000, 1.40000, -4.19949,  1.56885,   47,        3,
( -3/10| -7/5 ),-0.30000,-1.40000, -0.74109, -4.42129,   47,        3,
( -7/5 | 17/10),-1.40000, 1.70000, -3.45841,  2.85245,   47,        1,
( 17/10| -3/10), 1.70000,-0.30000,  4.19949,  1.56885,   47,        2,
(  3/10|-17/10), 0.30000,-1.70000,  0.74109, -4.42129,   47,        2,
(  7/5 |  3/10), 1.40000, 0.30000,  3.45841,  2.85245,   47,        1,
( -3/5 | -6/5 ),-0.60000,-1.20000, -1.48217, -4.27867,   48,        1,
( -6/5 |  9/5 ),-1.20000, 1.80000, -2.96435,  3.42294,   48,        2,
( -9/5 |  6/5 ),-1.80000, 1.20000, -4.44652,  0.85573,   48,        2,
(  3/5 | -9/5 ), 0.60000,-1.80000,  1.48217, -4.27867,   48,        1,
(  6/5 |  3/5 ), 1.20000, 0.60000,  2.96435,  3.42294,   48,        3,
(  9/5 | -3/5 ), 1.80000,-0.60000,  4.44652,  0.85573,   48,        3,
( -3/5 |  9/5 ),-0.60000, 1.80000, -1.48217,  4.27867,   49,        1,
( -6/5 | -3/5 ),-1.20000,-0.60000, -2.96435, -3.42294,   49,        3,
( -9/5 |  3/5 ),-1.80000, 0.60000, -4.44652, -0.85573,   49,        3,
(  3/5 |  6/5 ), 0.60000, 1.20000,  1.48217,  4.27867,   49,        1,
(  6/5 | -9/5 ), 1.20000,-1.80000,  2.96435, -3.42294,   49,        2,
(  9/5 | -6/5 ), 1.80000,-1.20000,  4.44652, -0.85573,   49,        2,
( -2/5 | -7/5 ),-0.40000,-1.40000, -0.98812, -4.56391,   50,        2,
( -7/5 |  9/5 ),-1.40000, 1.80000, -3.45841,  3.13769,   50,        3,
( -9/5 |  7/5 ),-1.80000, 1.40000, -4.44652,  1.42622,   50,        1,
(  2/5 | -9/5 ), 0.40000,-1.80000,  0.98812, -4.56391,   50,        3,
(  7/5 |  2/5 ), 1.40000, 0.40000,  3.45841,  3.13769,   50,        2,
(  9/5 | -2/5 ), 1.80000,-0.40000,  4.44652,  1.42622,   50,        1,
( -2/5 |  9/5 ),-0.40000, 1.80000, -0.98812,  4.56391,   51,        3,
( -7/5 | -2/5 ),-1.40000,-0.40000, -3.45841, -3.13769,   51,        2,
( -9/5 |  2/5 ),-1.80000, 0.40000, -4.44652, -1.42622,   51,        1,
(  2/5 |  7/5 ), 0.40000, 1.40000,  0.98812,  4.56391,   51,        2,
(  7/5 | -9/5 ), 1.40000,-1.80000,  3.45841, -3.13769,   51,        3,
(  9/5 | -7/5 ), 1.80000,-1.40000,  4.44652, -1.42622,   51,        1,
(-11/10| 19/10),-1.10000, 1.90000, -2.71732,  3.85080,   52,        2,
(-19/10| 11/10),-1.90000, 1.10000, -4.69355,  0.42787,   52,        2,
( -4/5 |-11/10),-0.80000,-1.10000, -1.97623, -4.27867,   52,        1,
( 11/10|  4/5 ), 1.10000, 0.80000,  2.71732,  3.85080,   52,        3,
( 19/10| -4/5 ), 1.90000,-0.80000,  4.69355,  0.42787,   52,        3,
(  4/5 |-19/10), 0.80000,-1.90000,  1.97623, -4.27867,   52,        1,
(-11/10| -4/5 ),-1.10000,-0.80000, -2.71732, -3.85080,   53,        3,
(-19/10|  4/5 ),-1.90000, 0.80000, -4.69355, -0.42787,   53,        3,
( -4/5 | 19/10),-0.80000, 1.90000, -1.97623,  4.27867,   53,        1,
( 11/10|-19/10), 1.10000,-1.90000,  2.71732, -3.85080,   53,        2,
( 19/10|-11/10), 1.90000,-1.10000,  4.69355, -0.42787,   53,        2,
(  4/5 | 11/10), 0.80000, 1.10000,  1.97623,  4.27867,   53,        1,
( -1/5 |  9/5 ),-0.20000, 1.80000, -0.49406,  4.84916,   54,        2,
( -8/5 | -1/5 ),-1.60000,-0.20000, -3.95247, -2.85245,   54,        1,
( -9/5 |  1/5 ),-1.80000, 0.20000, -4.44652, -1.99671,   54,        2,
(  1/5 |  8/5 ), 0.20000, 1.60000,  0.49406,  4.84916,   54,        3,
(  8/5 | -9/5 ), 1.60000,-1.80000,  3.95247, -2.85245,   54,        1,
(  9/5 | -8/5 ), 1.80000,-1.60000,  4.44652, -1.99671,   54,        3,
( -1/5 | -8/5 ),-0.20000,-1.60000, -0.49406, -4.84916,   55,        3,
( -8/5 |  9/5 ),-1.60000, 1.80000, -3.95247,  2.85245,   55,        1,
( -9/5 |  8/5 ),-1.80000, 1.60000, -4.44652,  1.99671,   55,        3,
(  1/5 | -9/5 ), 0.20000,-1.80000,  0.49406, -4.84916,   55,        2,
(  8/5 |  1/5 ), 1.60000, 0.20000,  3.95247,  2.85245,   55,        1,
(  9/5 | -1/5 ), 1.80000,-0.20000,  4.44652,  1.99671,   55,        2,
( -1   | -1   ),-1.00000,-1.00000, -2.47029, -4.27867,   56,    1+2+3,
( -1   |  2   ),-1.00000, 2.00000, -2.47029,  4.27867,   56,    1+2+3,
( -2   |  1   ),-2.00000, 1.00000, -4.94058,  0.00000,   56,    1+2+3,
(  1   | -2   ), 1.00000,-2.00000,  2.47029, -4.27867,   56,    1+2+3,
(  1   |  1   ), 1.00000, 1.00000,  2.47029,  4.27867,   56,    1+2+3,
(  2   | -1   ), 2.00000,-1.00000,  4.94058,  0.00000,   56,    1+2+3,
( -1/2 | -3/2 ),-0.50000,-1.50000, -1.23515, -4.99178,   57,        2,
( -2   |  3/2 ),-2.00000, 1.50000, -4.94058,  1.42622,   57,        1,
( -3/2 |  2   ),-1.50000, 2.00000, -3.70544,  3.56556,   57,        3,
(  1/2 | -2   ), 0.50000,-2.00000,  1.23515, -4.99178,   57,        3,
(  2   | -1/2 ), 2.00000,-0.50000,  4.94058,  1.42622,   57,        1,
(  3/2 |  1/2 ), 1.50000, 0.50000,  3.70544,  3.56556,   57,        2,
( -1/2 |  2   ),-0.50000, 2.00000, -1.23515,  4.99178,   58,        3,
( -2   |  1/2 ),-2.00000, 0.50000, -4.94058, -1.42622,   58,        1,
( -3/2 | -1/2 ),-1.50000,-0.50000, -3.70544, -3.56556,   58,        2,
(  1/2 |  3/2 ), 0.50000, 1.50000,  1.23515,  4.99178,   58,        2,
(  2   | -3/2 ), 2.00000,-1.50000,  4.94058, -1.42622,   58,        1,
(  3/2 | -2   ), 1.50000,-2.00000,  3.70544, -3.56556,   58,        3,
(-21/10|  9/10),-2.10000, 0.90000, -5.18761, -0.42787,   59,        2,
( -6/5 | -9/10),-1.20000,-0.90000, -2.96435, -4.27867,   59,        1,
( -9/10| 21/10),-0.90000, 2.10000, -2.22326,  4.70654,   59,        2,
( 21/10| -6/5 ), 2.10000,-1.20000,  5.18761, -0.42787,   59,        3,
(  6/5 |-21/10), 1.20000,-2.10000,  2.96435, -4.27867,   59,        1,
(  9/10|  6/5 ), 0.90000, 1.20000,  2.22326,  4.70654,   59,        3,
(-21/10|  6/5 ),-2.10000, 1.20000, -5.18761,  0.42787,   60,        3,
( -6/5 | 21/10),-1.20000, 2.10000, -2.96435,  4.27867,   60,        1,
( -9/10| -6/5 ),-0.90000,-1.20000, -2.22326, -4.70654,   60,        3,
( 21/10| -9/10), 2.10000,-0.90000,  5.18761,  0.42787,   60,        2,
(  6/5 |  9/10), 1.20000, 0.90000,  2.96435,  4.27867,   60,        1,
(  9/10|-21/10), 0.90000,-2.10000,  2.22326, -4.70654,   60,        2,
( -1/10| -9/5 ),-0.10000,-1.80000, -0.24703, -5.27703,   61,        3,
(-19/10|  9/5 ),-1.90000, 1.80000, -4.69355,  2.42458,   61,        3,
( -9/5 | 19/10),-1.80000, 1.90000, -4.44652,  2.85245,   61,        1,
(  1/10|-19/10), 0.10000,-1.90000,  0.24703, -5.27703,   61,        2,
( 19/10| -1/10), 1.90000,-0.10000,  4.69355,  2.42458,   61,        2,
(  9/5 |  1/10), 1.80000, 0.10000,  4.44652,  2.85245,   61,        1,
( -1/10| 19/10),-0.10000, 1.90000, -0.24703,  5.27703,   62,        2,
(-19/10|  1/10),-1.90000, 0.10000, -4.69355, -2.42458,   62,        2,
( -9/5 | -1/10),-1.80000,-0.10000, -4.44652, -2.85245,   62,        1,
(  1/10|  9/5 ), 0.10000, 1.80000,  0.24703,  5.27703,   62,        3,
( 19/10| -9/5 ), 1.90000,-1.80000,  4.69355, -2.42458,   62,        3,
(  9/5 |-19/10), 1.80000,-1.90000,  4.44652, -2.85245,   62,        1,
(-11/10|-11/10),-1.10000,-1.10000, -2.71732, -4.70654,   63,        2,
(-11/10| 11/5 ),-1.10000, 2.20000, -2.71732,  4.70654,   63,        3,
(-11/5 | 11/10),-2.20000, 1.10000, -5.43464,  0.00000,   63,        1,
( 11/10|-11/5 ), 1.10000,-2.20000,  2.71732, -4.70654,   63,        3,
( 11/10| 11/10), 1.10000, 1.10000,  2.71732,  4.70654,   63,        2,
( 11/5 |-11/10), 2.20000,-1.10000,  5.43464,  0.00000,   63,        1,
(-11/5 |  4/5 ),-2.20000, 0.80000, -5.43464, -0.85573,   64,        2,
( -4/5 | 11/5 ),-0.80000, 2.20000, -1.97623,  5.13440,   64,        2,
( -7/5 | -4/5 ),-1.40000,-0.80000, -3.45841, -4.27867,   64,        1,
( 11/5 | -7/5 ), 2.20000,-1.40000,  5.43464, -0.85573,   64,        3,
(  4/5 |  7/5 ), 0.80000, 1.40000,  1.97623,  5.13440,   64,        3,
(  7/5 |-11/5 ), 1.40000,-2.20000,  3.45841, -4.27867,   64,        1,
(-11/5 |  7/5 ),-2.20000, 1.40000, -5.43464,  0.85573,   65,        3,
( -4/5 | -7/5 ),-0.80000,-1.40000, -1.97623, -5.13440,   65,        3,
( -7/5 | 11/5 ),-1.40000, 2.20000, -3.45841,  4.27867,   65,        1,
( 11/5 | -4/5 ), 2.20000,-0.80000,  5.43464,  0.85573,   65,        2,
(  4/5 |-11/5 ), 0.80000,-2.20000,  1.97623, -5.13440,   65,        2,
(  7/5 |  4/5 ), 1.40000, 0.80000,  3.45841,  4.27867,   65,        1,
(-11/5 |  3/5 ),-2.20000, 0.60000, -5.43464, -1.42622,   66,        1,
( -3/5 | 11/5 ),-0.60000, 2.20000, -1.48217,  5.41965,   66,        3,
( -8/5 | -3/5 ),-1.60000,-0.60000, -3.95247, -3.99342,   66,        2,
( 11/5 | -8/5 ), 2.20000,-1.60000,  5.43464, -1.42622,   66,        1,
(  3/5 |  8/5 ), 0.60000, 1.60000,  1.48217,  5.41965,   66,        2,
(  8/5 |-11/5 ), 1.60000,-2.20000,  3.95247, -3.99342,   66,        3,
(-11/5 |  8/5 ),-2.20000, 1.60000, -5.43464,  1.42622,   67,        1,
( -3/5 | -8/5 ),-0.60000,-1.60000, -1.48217, -5.41965,   67,        2,
( -8/5 | 11/5 ),-1.60000, 2.20000, -3.95247,  3.99342,   67,        3,
( 11/5 | -3/5 ), 2.20000,-0.60000,  5.43464,  1.42622,   67,        1,
(  3/5 |-11/5 ), 0.60000,-2.20000,  1.48217, -5.41965,   67,        3,
(  8/5 |  3/5 ), 1.60000, 0.60000,  3.95247,  3.99342,   67,        2,
( -2   |  0   ),-2.00000, 0.00000, -4.94058, -2.85245,   68,    1+2+3,
(  0   |  2   ), 0.00000, 2.00000,  0.00000,  5.70489,   68,    1+2+3,
(  2   | -2   ), 2.00000,-2.00000,  4.94058, -2.85245,   68,    1+2+3,
( -2   |  2   ),-2.00000, 2.00000, -4.94058,  2.85245,   69,    1+2+3,
(  0   | -2   ), 0.00000,-2.00000,  0.00000, -5.70489,   69,    1+2+3,
(  2   |  0   ), 2.00000, 0.00000,  4.94058,  2.85245,   69,    1+2+3,
( -1/5 |-19/10),-0.20000,-1.90000, -0.49406, -5.70489,   70,        1,
(-19/10| 21/10),-1.90000, 2.10000, -4.69355,  3.28031,   70,        2,
(-21/10| 19/10),-2.10000, 1.90000, -5.18761,  2.42458,   70,        2,
(  1/5 |-21/10), 0.20000,-2.10000,  0.49406, -5.70489,   70,        1,
( 19/10|  1/5 ), 1.90000, 0.20000,  4.69355,  3.28031,   70,        3,
( 21/10| -1/5 ), 2.10000,-0.20000,  5.18761,  2.42458,   70,        3,
( -1/5 | 21/10),-0.20000, 2.10000, -0.49406,  5.70489,   71,        1,
(-19/10| -1/5 ),-1.90000,-0.20000, -4.69355, -3.28031,   71,        3,
(-21/10|  1/5 ),-2.10000, 0.20000, -5.18761, -2.42458,   71,        3,
(  1/5 | 19/10), 0.20000, 1.90000,  0.49406,  5.70489,   71,        1,
( 19/10|-21/10), 1.90000,-2.10000,  4.69355, -3.28031,   71,        2,
( 21/10|-19/10), 2.10000,-1.90000,  5.18761, -2.42458,   71,        2,
(-11/5 |  9/5 ),-2.20000, 1.80000, -5.43464,  1.99671,   72,        2,
( -2/5 | -9/5 ),-0.40000,-1.80000, -0.98812, -5.70489,   72,        1,
( -9/5 | 11/5 ),-1.80000, 2.20000, -4.44652,  3.70818,   72,        2,
( 11/5 | -2/5 ), 2.20000,-0.40000,  5.43464,  1.99671,   72,        3,
(  2/5 |-11/5 ), 0.40000,-2.20000,  0.98812, -5.70489,   72,        1,
(  9/5 |  2/5 ), 1.80000, 0.40000,  4.44652,  3.70818,   72,        3,
(-11/5 |  2/5 ),-2.20000, 0.40000, -5.43464, -1.99671,   73,        3,
( -2/5 | 11/5 ),-0.40000, 2.20000, -0.98812,  5.70489,   73,        1,
( -9/5 | -2/5 ),-1.80000,-0.40000, -4.44652, -3.70818,   73,        3,
( 11/5 | -9/5 ), 2.20000,-1.80000,  5.43464, -1.99671,   73,        2,
(  2/5 |  9/5 ), 0.40000, 1.80000,  0.98812,  5.70489,   73,        1,
(  9/5 |-11/5 ), 1.80000,-2.20000,  4.44652, -3.70818,   73,        2,
(-23/10|  7/10),-2.30000, 0.70000, -5.68167, -1.28360,   74,        2,
( -7/10| 23/10),-0.70000, 2.30000, -1.72920,  5.56227,   74,        2,
( -8/5 | -7/10),-1.60000,-0.70000, -3.95247, -4.27867,   74,        1,
( 23/10| -8/5 ), 2.30000,-1.60000,  5.68167, -1.28360,   74,        3,
(  7/10|  8/5 ), 0.70000, 1.60000,  1.72920,  5.56227,   74,        3,
(  8/5 |-23/10), 1.60000,-2.30000,  3.95247, -4.27867,   74,        1,
(-23/10|  8/5 ),-2.30000, 1.60000, -5.68167,  1.28360,   75,        3,
( -7/10| -8/5 ),-0.70000,-1.60000, -1.72920, -5.56227,   75,        3,
( -8/5 | 23/10),-1.60000, 2.30000, -3.95247,  4.27867,   75,        1,
( 23/10| -7/10), 2.30000,-0.70000,  5.68167,  1.28360,   75,        2,
(  7/10|-23/10), 0.70000,-2.30000,  1.72920, -5.56227,   75,        2,
(  8/5 |  7/10), 1.60000, 0.70000,  3.95247,  4.27867,   75,        1,
(-17/10| -3/5 ),-1.70000,-0.60000, -4.19949, -4.13605,   76,        3,
(-23/10|  3/5 ),-2.30000, 0.60000, -5.68167, -1.56885,   76,        3,
( -3/5 | 23/10),-0.60000, 2.30000, -1.48217,  5.70489,   76,        1,
( 17/10|-23/10), 1.70000,-2.30000,  4.19949, -4.13605,   76,        2,
( 23/10|-17/10), 2.30000,-1.70000,  5.68167, -1.56885,   76,        2,
(  3/5 | 17/10), 0.60000, 1.70000,  1.48217,  5.70489,   76,        1,
(-17/10| 23/10),-1.70000, 2.30000, -4.19949,  4.13605,   77,        2,
(-23/10| 17/10),-2.30000, 1.70000, -5.68167,  1.56885,   77,        2,
( -3/5 |-17/10),-0.60000,-1.70000, -1.48217, -5.70489,   77,        1,
( 17/10|  3/5 ), 1.70000, 0.60000,  4.19949,  4.13605,   77,        3,
( 23/10| -3/5 ), 2.30000,-0.60000,  5.68167,  1.56885,   77,        3,
(  3/5 |-23/10), 0.60000,-2.30000,  1.48217, -5.70489,   77,        1,
(-12/5 |  6/5 ),-2.40000, 1.20000, -5.92870,  0.00000,   78,        1,
( -6/5 | -6/5 ),-1.20000,-1.20000, -2.96435, -5.13440,   78,        2,
( -6/5 | 12/5 ),-1.20000, 2.40000, -2.96435,  5.13440,   78,        3,
( 12/5 | -6/5 ), 2.40000,-1.20000,  5.92870,  0.00000,   78,        1,
(  6/5 |-12/5 ), 1.20000,-2.40000,  2.96435, -5.13440,   78,        3,
(  6/5 |  6/5 ), 1.20000, 1.20000,  2.96435,  5.13440,   78,        2,
(-12/5 |  4/5 ),-2.40000, 0.80000, -5.92870, -1.14098,   79,        3,
( -4/5 | 12/5 ),-0.80000, 2.40000, -1.97623,  5.70489,   79,        1,
( -8/5 | -4/5 ),-1.60000,-0.80000, -3.95247, -4.56391,   79,        3,
( 12/5 | -8/5 ), 2.40000,-1.60000,  5.92870, -1.14098,   79,        2,
(  4/5 |  8/5 ), 0.80000, 1.60000,  1.97623,  5.70489,   79,        1,
(  8/5 |-12/5 ), 1.60000,-2.40000,  3.95247, -4.56391,   79,        2,
(-12/5 |  8/5 ),-2.40000, 1.60000, -5.92870,  1.14098,   80,        2,
( -4/5 | -8/5 ),-0.80000,-1.60000, -1.97623, -5.70489,   80,        1,
( -8/5 | 12/5 ),-1.60000, 2.40000, -3.95247,  4.56391,   80,        2,
( 12/5 | -4/5 ), 2.40000,-0.80000,  5.92870,  1.14098,   80,        3,
(  4/5 |-12/5 ), 0.80000,-2.40000,  1.97623, -5.70489,   80,        1,
(  8/5 |  4/5 ), 1.60000, 0.80000,  3.95247,  4.56391,   80,        3,
(-12/5 |  7/10),-2.40000, 0.70000, -5.92870, -1.42622,   81,        1,
(-17/10| -7/10),-1.70000,-0.70000, -4.19949, -4.42129,   81,        2,
( -7/10| 12/5 ),-0.70000, 2.40000, -1.72920,  5.84752,   81,        3,
( 12/5 |-17/10), 2.40000,-1.70000,  5.92870, -1.42622,   81,        1,
( 17/10|-12/5 ), 1.70000,-2.40000,  4.19949, -4.42129,   81,        3,
(  7/10| 17/10), 0.70000, 1.70000,  1.72920,  5.84752,   81,        2,
(-12/5 | 17/10),-2.40000, 1.70000, -5.92870,  1.42622,   82,        1,
(-17/10| 12/5 ),-1.70000, 2.40000, -4.19949,  4.42129,   82,        3,
( -7/10|-17/10),-0.70000,-1.70000, -1.72920, -5.84752,   82,        2,
( 12/5 | -7/10), 2.40000,-0.70000,  5.92870,  1.42622,   82,        1,
( 17/10|  7/10), 1.70000, 0.70000,  4.19949,  4.42129,   82,        2,
(  7/10|-12/5 ), 0.70000,-2.40000,  1.72920, -5.84752,   82,        3,
( -1/10|-21/10),-0.10000,-2.10000, -0.24703, -6.13276,   83,        2,
(-11/5 | 21/10),-2.20000, 2.10000, -5.43464,  2.85245,   83,        1,
(-21/10| 11/5 ),-2.10000, 2.20000, -5.18761,  3.28031,   83,        3,
(  1/10|-11/5 ), 0.10000,-2.20000,  0.24703, -6.13276,   83,        3,
( 11/5 | -1/10), 2.20000,-0.10000,  5.43464,  2.85245,   83,        1,
( 21/10|  1/10), 2.10000, 0.10000,  5.18761,  3.28031,   83,        2,
( -1/10| 11/5 ),-0.10000, 2.20000, -0.24703,  6.13276,   84,        3,
(-11/5 |  1/10),-2.20000, 0.10000, -5.43464, -2.85245,   84,        1,
(-21/10| -1/10),-2.10000,-0.10000, -5.18761, -3.28031,   84,        2,
(  1/10| 21/10), 0.10000, 2.10000,  0.24703,  6.13276,   84,        2,
( 11/5 |-21/10), 2.20000,-2.10000,  5.43464, -2.85245,   84,        1,
( 21/10|-11/5 ), 2.10000,-2.20000,  5.18761, -3.28031,   84,        3,
(-12/5 |  3/5 ),-2.40000, 0.60000, -5.92870, -1.71147,   85,        2,
( -3/5 | 12/5 ),-0.60000, 2.40000, -1.48217,  5.99014,   85,        2,
( -9/5 | -3/5 ),-1.80000,-0.60000, -4.44652, -4.27867,   85,        1,
( 12/5 | -9/5 ), 2.40000,-1.80000,  5.92870, -1.71147,   85,        3,
(  3/5 |  9/5 ), 0.60000, 1.80000,  1.48217,  5.99014,   85,        3,
(  9/5 |-12/5 ), 1.80000,-2.40000,  4.44652, -4.27867,   85,        1,
(-12/5 |  9/5 ),-2.40000, 1.80000, -5.92870,  1.71147,   86,        3,
( -3/5 | -9/5 ),-0.60000,-1.80000, -1.48217, -5.99014,   86,        3,
( -9/5 | 12/5 ),-1.80000, 2.40000, -4.44652,  4.27867,   86,        1,
( 12/5 | -3/5 ), 2.40000,-0.60000,  5.92870,  1.71147,   86,        2,
(  3/5 |-12/5 ), 0.60000,-2.40000,  1.48217, -5.99014,   86,        2,
(  9/5 |  3/5 ), 1.80000, 0.60000,  4.44652,  4.27867,   86,        1,
( -1   | -3/2 ),-1.00000,-1.50000, -2.47029, -5.70489,   87,        1,
( -3/2 |  5/2 ),-1.50000, 2.50000, -3.70544,  4.99178,   87,        2,
( -5/2 |  3/2 ),-2.50000, 1.50000, -6.17573,  0.71311,   87,        2,
(  1   | -5/2 ), 1.00000,-2.50000,  2.47029, -5.70489,   87,        1,
(  3/2 |  1   ), 1.50000, 1.00000,  3.70544,  4.99178,   87,        3,
(  5/2 | -1   ), 2.50000,-1.00000,  6.17573,  0.71311,   87,        3,
( -1   |  5/2 ),-1.00000, 2.50000, -2.47029,  5.70489,   88,        1,
( -3/2 | -1   ),-1.50000,-1.00000, -3.70544, -4.99178,   88,        3,
( -5/2 |  1   ),-2.50000, 1.00000, -6.17573, -0.71311,   88,        3,
(  1   |  3/2 ), 1.00000, 1.50000,  2.47029,  5.70489,   88,        1,
(  3/2 | -5/2 ), 1.50000,-2.50000,  3.70544, -4.99178,   88,        2,
(  5/2 | -3/2 ), 2.50000,-1.50000,  6.17573, -0.71311,   88,        2,
(-13/10|-13/10),-1.30000,-1.30000, -3.21138, -5.56227,   89,        2,
(-13/10| 13/5 ),-1.30000, 2.60000, -3.21138,  5.56227,   89,        3,
(-13/5 | 13/10),-2.60000, 1.30000, -6.42276,  0.00000,   89,        1,
( 13/10|-13/5 ), 1.30000,-2.60000,  3.21138, -5.56227,   89,        3,
( 13/10| 13/10), 1.30000, 1.30000,  3.21138,  5.56227,   89,        2,
( 13/5 |-13/10), 2.60000,-1.30000,  6.42276,  0.00000,   89,        1,
(-13/5 |  6/5 ),-2.60000, 1.20000, -6.42276, -0.28524,   90,        3,
( -6/5 | 13/5 ),-1.20000, 2.60000, -2.96435,  5.70489,   90,        1,
( -7/5 | -6/5 ),-1.40000,-1.20000, -3.45841, -5.41965,   90,        3,
( 13/5 | -7/5 ), 2.60000,-1.40000,  6.42276, -0.28524,   90,        2,
(  6/5 |  7/5 ), 1.20000, 1.40000,  2.96435,  5.70489,   90,        1,
(  7/5 |-13/5 ), 1.40000,-2.60000,  3.45841, -5.41965,   90,        2,
