# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/LSMO(110)-(1x1).tlm
#
# Structure: LSMO(110)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 7.8100 AA; b = 5.5225 AA
#        Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
# Surface lattice: Rectangular (pg[1 0]); a = 7.8100 AA; b = 5.5225 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -5| -7), -5.00000, -7.00000, -4.02253, -7.96420,  148,        1,
( -5|  7), -5.00000,  7.00000, -4.02253,  7.96420,  148,        1,
(  5| -7),  5.00000, -7.00000,  4.02253, -7.96420,  149,        1,
(  5|  7),  5.00000,  7.00000,  4.02253,  7.96420,  149,        1,
(  0| -8),  0.00000, -8.00000,  0.00000, -9.10194,  150,        1,
(  0|  8),  0.00000,  8.00000,  0.00000,  9.10194,  150,        1,
(-11| -2),-11.00000, -2.00000, -8.84956, -2.27549,  151,        1,
(-11|  2),-11.00000,  2.00000, -8.84956,  2.27549,  151,        1,
( 11| -2), 11.00000, -2.00000,  8.84956, -2.27549,  152,        1,
( 11|  2), 11.00000,  2.00000,  8.84956,  2.27549,  152,        1,
( -1| -8), -1.00000, -8.00000, -0.80451, -9.10194,  153,        1,
( -1|  8), -1.00000,  8.00000, -0.80451,  9.10194,  153,        1,
(  1| -8),  1.00000, -8.00000,  0.80451, -9.10194,  154,        1,
(  1|  8),  1.00000,  8.00000,  0.80451,  9.10194,  154,        1,
( -9| -5), -9.00000, -5.00000, -7.24055, -5.68871,  155,        1,
( -9|  5), -9.00000,  5.00000, -7.24055,  5.68871,  155,        1,
(  9| -5),  9.00000, -5.00000,  7.24055, -5.68871,  156,        1,
(  9|  5),  9.00000,  5.00000,  7.24055,  5.68871,  156,        1,
(-10| -4),-10.00000, -4.00000, -8.04505, -4.55097,  157,        1,
(-10|  4),-10.00000,  4.00000, -8.04505,  4.55097,  157,        1,
( 10| -4), 10.00000, -4.00000,  8.04505, -4.55097,  158,        1,
( 10|  4), 10.00000,  4.00000,  8.04505,  4.55097,  158,        1,
( -2| -8), -2.00000, -8.00000, -1.60901, -9.10194,  159,        1,
( -2|  8), -2.00000,  8.00000, -1.60901,  9.10194,  159,        1,
(  2| -8),  2.00000, -8.00000,  1.60901, -9.10194,  160,        1,
(  2|  8),  2.00000,  8.00000,  1.60901,  9.10194,  160,        1,
( -6| -7), -6.00000, -7.00000, -4.82703, -7.96420,  161,        1,
( -6|  7), -6.00000,  7.00000, -4.82703,  7.96420,  161,        1,
(  6| -7),  6.00000, -7.00000,  4.82703, -7.96420,  162,        1,
(  6|  7),  6.00000,  7.00000,  4.82703,  7.96420,  162,        1,
( -8| -6), -8.00000, -6.00000, -6.43604, -6.82646,  163,        1,
( -8|  6), -8.00000,  6.00000, -6.43604,  6.82646,  163,        1,
(  8| -6),  8.00000, -6.00000,  6.43604, -6.82646,  164,        1,
(  8|  6),  8.00000,  6.00000,  6.43604,  6.82646,  164,        1,
( -3| -8), -3.00000, -8.00000, -2.41352, -9.10194,  165,        1,
( -3|  8), -3.00000,  8.00000, -2.41352,  9.10194,  165,        1,
(  3| -8),  3.00000, -8.00000,  2.41352, -9.10194,  166,        1,
(  3|  8),  3.00000,  8.00000,  2.41352,  9.10194,  166,        1,
(-11| -3),-11.00000, -3.00000, -8.84956, -3.41323,  167,        1,
(-11|  3),-11.00000,  3.00000, -8.84956,  3.41323,  167,        1,
( 11| -3), 11.00000, -3.00000,  8.84956, -3.41323,  168,        1,
( 11|  3), 11.00000,  3.00000,  8.84956,  3.41323,  168,        1,
(-12|  0),-12.00000,  0.00000, -9.65406,  0.00000,  169,        1,
( 12|  0), 12.00000,  0.00000,  9.65406,  0.00000,  170,        1,
( -4| -8), -4.00000, -8.00000, -3.21802, -9.10194,  171,        1,
( -4|  8), -4.00000,  8.00000, -3.21802,  9.10194,  171,        1,
(  4| -8),  4.00000, -8.00000,  3.21802, -9.10194,  172,        1,
(  4|  8),  4.00000,  8.00000,  3.21802,  9.10194,  172,        1,
(-12| -1),-12.00000, -1.00000, -9.65406, -1.13774,  173,        1,
(-12|  1),-12.00000,  1.00000, -9.65406,  1.13774,  173,        1,
( 12| -1), 12.00000, -1.00000,  9.65406, -1.13774,  174,        1,
( 12|  1), 12.00000,  1.00000,  9.65406,  1.13774,  174,        1,
( -7| -7), -7.00000, -7.00000, -5.63154, -7.96420,  175,        1,
( -7|  7), -7.00000,  7.00000, -5.63154,  7.96420,  175,        1,
(  7| -7),  7.00000, -7.00000,  5.63154, -7.96420,  176,        1,
(  7|  7),  7.00000,  7.00000,  5.63154,  7.96420,  176,        1,
(-10| -5),-10.00000, -5.00000, -8.04505, -5.68871,  177,        1,
(-10|  5),-10.00000,  5.00000, -8.04505,  5.68871,  177,        1,
( 10| -5), 10.00000, -5.00000,  8.04505, -5.68871,  178,        1,
( 10|  5), 10.00000,  5.00000,  8.04505,  5.68871,  178,        1,
(-12| -2),-12.00000, -2.00000, -9.65406, -2.27549,  179,        1,
(-12|  2),-12.00000,  2.00000, -9.65406,  2.27549,  179,        1,
( 12| -2), 12.00000, -2.00000,  9.65406, -2.27549,  180,        1,
( 12|  2), 12.00000,  2.00000,  9.65406,  2.27549,  180,        1,
(-11| -4),-11.00000, -4.00000, -8.84956, -4.55097,  181,        1,
(-11|  4),-11.00000,  4.00000, -8.84956,  4.55097,  181,        1,
( 11| -4), 11.00000, -4.00000,  8.84956, -4.55097,  182,        1,
( 11|  4), 11.00000,  4.00000,  8.84956,  4.55097,  182,        1,
( -9| -6), -9.00000, -6.00000, -7.24055, -6.82646,  183,        1,
( -9|  6), -9.00000,  6.00000, -7.24055,  6.82646,  183,        1,
(  9| -6),  9.00000, -6.00000,  7.24055, -6.82646,  184,        1,
(  9|  6),  9.00000,  6.00000,  7.24055,  6.82646,  184,        1,
( -5| -8), -5.00000, -8.00000, -4.02253, -9.10194,  185,        1,
( -5|  8), -5.00000,  8.00000, -4.02253,  9.10194,  185,        1,
(  5| -8),  5.00000, -8.00000,  4.02253, -9.10194,  186,        1,
(  5|  8),  5.00000,  8.00000,  4.02253,  9.10194,  186,        1,
(-12| -3),-12.00000, -3.00000, -9.65406, -3.41323,  187,        1,
(-12|  3),-12.00000,  3.00000, -9.65406,  3.41323,  187,        1,
( 12| -3), 12.00000, -3.00000,  9.65406, -3.41323,  188,        1,
( 12|  3), 12.00000,  3.00000,  9.65406,  3.41323,  188,        1,
( -8| -7), -8.00000, -7.00000, -6.43604, -7.96420,  189,        1,
( -8|  7), -8.00000,  7.00000, -6.43604,  7.96420,  189,        1,
(  8| -7),  8.00000, -7.00000,  6.43604, -7.96420,  190,        1,
(  8|  7),  8.00000,  7.00000,  6.43604,  7.96420,  190,        1,
(  0| -9),  0.00000, -9.00000,  0.00000,-10.23969,  191,        1,
(  0|  9),  0.00000,  9.00000,  0.00000, 10.23969,  191,        1,
( -1| -9), -1.00000, -9.00000, -0.80451,-10.23969,  192,        1,
( -1|  9), -1.00000,  9.00000, -0.80451, 10.23969,  192,        1,
(  1| -9),  1.00000, -9.00000,  0.80451,-10.23969,  193,        1,
(  1|  9),  1.00000,  9.00000,  0.80451, 10.23969,  193,        1,
( -6| -8), -6.00000, -8.00000, -4.82703, -9.10194,  194,        1,
( -6|  8), -6.00000,  8.00000, -4.82703,  9.10194,  194,        1,
(  6| -8),  6.00000, -8.00000,  4.82703, -9.10194,  195,        1,
(  6|  8),  6.00000,  8.00000,  4.82703,  9.10194,  195,        1,
( -2| -9), -2.00000, -9.00000, -1.60901,-10.23969,  196,        1,
( -2|  9), -2.00000,  9.00000, -1.60901, 10.23969,  196,        1,
(  2| -9),  2.00000, -9.00000,  1.60901,-10.23969,  197,        1,
(  2|  9),  2.00000,  9.00000,  1.60901, 10.23969,  197,        1,
(-13|  0),-13.00000,  0.00000,-10.45857,  0.00000, -198,      (1),
( 13|  0), 13.00000,  0.00000, 10.45857,  0.00000, -199,      (1),
(-13| -1),-13.00000, -1.00000,-10.45857, -1.13774,  200,        1,
(-13|  1),-13.00000,  1.00000,-10.45857,  1.13774,  200,        1,
( 13| -1), 13.00000, -1.00000, 10.45857, -1.13774,  201,        1,
( 13|  1), 13.00000,  1.00000, 10.45857,  1.13774,  201,        1,
(-11| -5),-11.00000, -5.00000, -8.84956, -5.68871,  202,        1,
(-11|  5),-11.00000,  5.00000, -8.84956,  5.68871,  202,        1,
( 11| -5), 11.00000, -5.00000,  8.84956, -5.68871,  203,        1,
( 11|  5), 11.00000,  5.00000,  8.84956,  5.68871,  203,        1,
( -3| -9), -3.00000, -9.00000, -2.41352,-10.23969,  204,        1,
( -3|  9), -3.00000,  9.00000, -2.41352, 10.23969,  204,        1,
(  3| -9),  3.00000, -9.00000,  2.41352,-10.23969,  205,        1,
(  3|  9),  3.00000,  9.00000,  2.41352, 10.23969,  205,        1,
(-10| -6),-10.00000, -6.00000, -8.04505, -6.82646,  206,        1,
(-10|  6),-10.00000,  6.00000, -8.04505,  6.82646,  206,        1,
( 10| -6), 10.00000, -6.00000,  8.04505, -6.82646,  207,        1,
( 10|  6), 10.00000,  6.00000,  8.04505,  6.82646,  207,        1,
(-12| -4),-12.00000, -4.00000, -9.65406, -4.55097,  208,        1,
(-12|  4),-12.00000,  4.00000, -9.65406,  4.55097,  208,        1,
( 12| -4), 12.00000, -4.00000,  9.65406, -4.55097,  209,        1,
( 12|  4), 12.00000,  4.00000,  9.65406,  4.55097,  209,        1,
(-13| -2),-13.00000, -2.00000,-10.45857, -2.27549,  210,        1,
(-13|  2),-13.00000,  2.00000,-10.45857,  2.27549,  210,        1,
( 13| -2), 13.00000, -2.00000, 10.45857, -2.27549,  211,        1,
( 13|  2), 13.00000,  2.00000, 10.45857,  2.27549,  211,        1,
( -7| -8), -7.00000, -8.00000, -5.63154, -9.10194,  212,        1,
( -7|  8), -7.00000,  8.00000, -5.63154,  9.10194,  212,        1,
(  7| -8),  7.00000, -8.00000,  5.63154, -9.10194,  213,        1,
(  7|  8),  7.00000,  8.00000,  5.63154,  9.10194,  213,        1,
( -4| -9), -4.00000, -9.00000, -3.21802,-10.23969,  214,        1,
( -4|  9), -4.00000,  9.00000, -3.21802, 10.23969,  214,        1,
(  4| -9),  4.00000, -9.00000,  3.21802,-10.23969,  215,        1,
(  4|  9),  4.00000,  9.00000,  3.21802, 10.23969,  215,        1,
( -9| -7), -9.00000, -7.00000, -7.24055, -7.96420,  216,        1,
( -9|  7), -9.00000,  7.00000, -7.24055,  7.96420,  216,        1,
(  9| -7),  9.00000, -7.00000,  7.24055, -7.96420,  217,        1,
(  9|  7),  9.00000,  7.00000,  7.24055,  7.96420,  217,        1,
(-13| -3),-13.00000, -3.00000,-10.45857, -3.41323,  218,        1,
(-13|  3),-13.00000,  3.00000,-10.45857,  3.41323,  218,        1,
( 13| -3), 13.00000, -3.00000, 10.45857, -3.41323,  219,        1,
( 13|  3), 13.00000,  3.00000, 10.45857,  3.41323,  219,        1,
( -5| -9), -5.00000, -9.00000, -4.02253,-10.23969,  220,        1,
( -5|  9), -5.00000,  9.00000, -4.02253, 10.23969,  220,        1,
(  5| -9),  5.00000, -9.00000,  4.02253,-10.23969,  221,        1,
(  5|  9),  5.00000,  9.00000,  4.02253, 10.23969,  221,        1,
