# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/LSMO(110)-(1x1).tlm
#
# Structure: LSMO(110)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 7.8100 AA; b = 5.5225 AA
#        Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
# Surface lattice: Rectangular (pg[1 0]); a = 7.8100 AA; b = 5.5225 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  5| -2),  5.00000, -2.00000,  4.02253, -2.27549,   40,        1,
(  5|  2),  5.00000,  2.00000,  4.02253,  2.27549,   40,        1,
( -1| -4), -1.00000, -4.00000, -0.80451, -4.55097,   41,        1,
( -1|  4), -1.00000,  4.00000, -0.80451,  4.55097,   41,        1,
(  1| -4),  1.00000, -4.00000,  0.80451, -4.55097,   42,        1,
(  1|  4),  1.00000,  4.00000,  0.80451,  4.55097,   42,        1,
( -4| -3), -4.00000, -3.00000, -3.21802, -3.41323,   43,        1,
( -4|  3), -4.00000,  3.00000, -3.21802,  3.41323,   43,        1,
(  4| -3),  4.00000, -3.00000,  3.21802, -3.41323,   44,        1,
(  4|  3),  4.00000,  3.00000,  3.21802,  3.41323,   44,        1,
( -6|  0), -6.00000,  0.00000, -4.82703,  0.00000,   45,        1,
(  6|  0),  6.00000,  0.00000,  4.82703,  0.00000,   46,        1,
( -2| -4), -2.00000, -4.00000, -1.60901, -4.55097,   47,        1,
( -2|  4), -2.00000,  4.00000, -1.60901,  4.55097,   47,        1,
(  2| -4),  2.00000, -4.00000,  1.60901, -4.55097,   48,        1,
(  2|  4),  2.00000,  4.00000,  1.60901,  4.55097,   48,        1,
( -6| -1), -6.00000, -1.00000, -4.82703, -1.13774,   49,        1,
( -6|  1), -6.00000,  1.00000, -4.82703,  1.13774,   49,        1,
(  6| -1),  6.00000, -1.00000,  4.82703, -1.13774,   50,        1,
(  6|  1),  6.00000,  1.00000,  4.82703,  1.13774,   50,        1,
( -3| -4), -3.00000, -4.00000, -2.41352, -4.55097,   51,        1,
( -3|  4), -3.00000,  4.00000, -2.41352,  4.55097,   51,        1,
(  3| -4),  3.00000, -4.00000,  2.41352, -4.55097,   52,        1,
(  3|  4),  3.00000,  4.00000,  2.41352,  4.55097,   52,        1,
( -5| -3), -5.00000, -3.00000, -4.02253, -3.41323,   53,        1,
( -5|  3), -5.00000,  3.00000, -4.02253,  3.41323,   53,        1,
(  5| -3),  5.00000, -3.00000,  4.02253, -3.41323,   54,        1,
(  5|  3),  5.00000,  3.00000,  4.02253,  3.41323,   54,        1,
( -6| -2), -6.00000, -2.00000, -4.82703, -2.27549,   55,        1,
( -6|  2), -6.00000,  2.00000, -4.82703,  2.27549,   55,        1,
(  6| -2),  6.00000, -2.00000,  4.82703, -2.27549,   56,        1,
(  6|  2),  6.00000,  2.00000,  4.82703,  2.27549,   56,        1,
( -4| -4), -4.00000, -4.00000, -3.21802, -4.55097,   57,        1,
( -4|  4), -4.00000,  4.00000, -3.21802,  4.55097,   57,        1,
(  4| -4),  4.00000, -4.00000,  3.21802, -4.55097,   58,        1,
(  4|  4),  4.00000,  4.00000,  3.21802,  4.55097,   58,        1,
( -7|  0), -7.00000,  0.00000, -5.63154,  0.00000,  -59,      (1),
(  7|  0),  7.00000,  0.00000,  5.63154,  0.00000,  -60,      (1),
(  0| -5),  0.00000, -5.00000,  0.00000, -5.68871,   61,        1,
(  0|  5),  0.00000,  5.00000,  0.00000,  5.68871,   61,        1,
( -7| -1), -7.00000, -1.00000, -5.63154, -1.13774,   62,        1,
( -7|  1), -7.00000,  1.00000, -5.63154,  1.13774,   62,        1,
(  7| -1),  7.00000, -1.00000,  5.63154, -1.13774,   63,        1,
(  7|  1),  7.00000,  1.00000,  5.63154,  1.13774,   63,        1,
( -1| -5), -1.00000, -5.00000, -0.80451, -5.68871,   64,        1,
( -1|  5), -1.00000,  5.00000, -0.80451,  5.68871,   64,        1,
(  1| -5),  1.00000, -5.00000,  0.80451, -5.68871,   65,        1,
(  1|  5),  1.00000,  5.00000,  0.80451,  5.68871,   65,        1,
