nominal_energy,I0,HV,elapsed_time,Isample,temperature,cold_junction
[0.0],"[-2.8682803531410173e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -2.3902337488834746e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.824373925453983e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.824373925453983e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -2.629257141961716e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -2.8682803531410173e-05]","[2.554485559463501, 2.554485559463501, 2.554485559463501, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.554485559463501, 2.5535049438476562, 2.5525243282318115, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.554485559463501, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.554485559463501, 2.554485559463501, 2.554485559463501, 2.554485559463501, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.5535049438476562, 2.554485559463501, 2.5535049438476562, 2.5535049438476562]",[],"[0.00022946242825128138, 9.082887845579535e-05, 0.0002342428924748674, 0.00010038981417892501, 0.00022946242825128138, 0.00011473121412564069, 0.00022468196402769536, 0.00011473121412564069, 0.00022468196402769536, 0.00010517028567846864, 0.00022468196402769536, 0.00010038981417892501, 0.00023902337125036865, 0.00010517028567846864, 0.0002342428924748674, 0.00010038981417892501, 0.0002342428924748674, 0.00010517028567846864, 0.0002342428924748674, 0.00010995074990205467, 0.0002342428924748674, 0.00010995074990205467, 0.00023902337125036865, 0.00010517028567846864, 0.00023902337125036865, 0.00010995074990205467, 0.0002342428924748674, 0.00010517028567846864, 0.0002342428924748674, 0.00010517028567846864, 0.00022946242825128138, 0.00011473121412564069, 0.00022946242825128138, 0.00010517028567846864, 0.0002342428924748674, 0.00010038981417892501, 0.00023902337125036865, 0.00010517028567846864, 0.00023902337125036865, 0.00010517028567846864, 0.0002342428924748674, 0.00010995074990205467, 0.00023902337125036865, 0.00010517028567846864, 0.00023902337125036865, 0.00010517028567846864, 0.00023902337125036865, 0.00010517028567846864, 0.00023902337125036865, 0.00010995074990205467, 0.00023902337125036865, 0.00010995074990205467, 0.00023902337125036865, 0.00010995074990205467, 0.0002342428924748674, 0.00010995074990205467, 0.0002342428924748674, 0.00010995074990205467, 0.0002342428924748674, 0.00010517028567846864, 0.00024858428514562547, 0.00010995074990205467, 0.0002533647930249572, 0.00010517028567846864, 0.0002533647930249572, 0.00010517028567846864, 0.00023902337125036865, 0.00010995074990205467, 0.00024380383547395468, 0.00010995074990205467, 0.00024380383547395468, 0.00010517028567846864, 0.00023902337125036865, 0.00010038981417892501, 0.00022946242825128138, 0.00010038981417892501, 0.00022946242825128138, 9.560934995533898e-05, 0.00022946242825128138, 0.00010038981417892501, 0.00022946242825128138, 9.560934995533898e-05, 0.0002342428924748674, 9.082887845579535e-05, 0.0002342428924748674, 9.560934995533898e-05, 0.00023902337125036865, 0.00010517028567846864, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 9.560934995533898e-05, 0.00026292569236829877, 0.00010517028567846864]",[],"[25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227]"
[10.0],"[-2.8682803531410173e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -2.629257141961716e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -2.8682803531410173e-05]","[2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.561349868774414, 2.562330484390259, 2.561349868774414, 2.562330484390259, 2.561349868774414, 2.562330484390259, 2.561349868774414, 2.561349868774414, 2.562330484390259, 2.562330484390259, 2.561349868774414, 2.561349868774414, 2.562330484390259, 2.562330484390259, 2.561349868774414, 2.561349868774414, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.561349868774414, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.561349868774414, 2.562330484390259, 2.562330484390259, 2.561349868774414, 2.561349868774414, 2.562330484390259, 2.5633111000061035]",[],"[0.00024858428514562547, 0.00011473121412564069, 0.00024380383547395468, 0.00011473121412564069, 0.0002342428924748674, 0.00010038981417892501, 0.00022946242825128138, 0.00010517028567846864, 0.00022468196402769536, 0.00010995074990205467, 0.00022946242825128138, 0.00010517028567846864, 0.0002342428924748674, 0.00010517028567846864, 0.00024380383547395468, 0.00010517028567846864, 0.00023902337125036865, 0.00010038981417892501, 0.0002342428924748674, 9.082887845579535e-05, 0.00023902337125036865, 9.082887845579535e-05, 0.0002342428924748674, 0.00010995074990205467, 0.0002342428924748674, 0.00010995074990205467, 0.00023902337125036865, 0.00010038981417892501, 0.0002342428924748674, 0.00010517028567846864, 0.00022946242825128138, 0.00010038981417892501, 0.0002342428924748674, 9.082887845579535e-05, 0.00023902337125036865, 8.604841423220932e-05, 0.00024380383547395468, 8.604841423220932e-05, 0.00024858428514562547, 0.00010038981417892501, 0.00024380383547395468, 0.00010038981417892501, 0.00023902337125036865, 9.560934995533898e-05, 0.0002533647930249572, 9.560934995533898e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.0002533647930249572, 0.00010038981417892501, 0.0002581452135927975, 9.560934995533898e-05, 0.00026292569236829877, 0.00010038981417892501, 0.00024380383547395468, 9.560934995533898e-05, 0.00023902337125036865, 9.560934995533898e-05, 0.0002533647930249572, 9.082887845579535e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.0002533647930249572, 9.560934995533898e-05, 0.00024858428514562547, 0.00010517028567846864, 0.00024858428514562547, 9.560934995533898e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 9.560934995533898e-05, 0.00023902337125036865, 9.560934995533898e-05, 0.00023902337125036865, 9.560934995533898e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00023902337125036865, 9.082887845579535e-05, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 0.00010038981417892501, 0.00023902337125036865, 9.082887845579535e-05, 0.0002342428924748674, 9.560934995533898e-05, 0.00023902337125036865, 0.00010038981417892501]",[],"[25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227]"
[20.0],"[-3.1073035643203184e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -2.3902337488834746e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -2.8682803531410173e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.585350714274682e-05, -3.3463271392975e-05, -3.824373925453983e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -3.3463271392975e-05]","[2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.5633111000061035, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035]",[],"[0.0002533647930249572, 9.560934995533898e-05, 0.00026292569236829877, 9.082887845579535e-05, 0.0002533647930249572, 0.00010038981417892501, 0.0002581452135927975, 9.560934995533898e-05, 0.0002581452135927975, 9.082887845579535e-05, 0.0002533647930249572, 9.082887845579535e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.00024858428514562547, 8.604841423220932e-05, 0.00024380383547395468, 9.560934995533898e-05, 0.00023902337125036865, 0.00010038981417892501, 0.00023902337125036865, 9.082887845579535e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00024380383547395468, 9.560934995533898e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.0002533647930249572, 8.604841423220932e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.00024380383547395468, 9.560934995533898e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 9.560934995533898e-05, 0.00024858428514562547, 9.560934995533898e-05, 0.0002533647930249572, 0.00010038981417892501, 0.0002533647930249572, 0.00010038981417892501, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 9.560934995533898e-05, 0.00024380383547395468, 0.00010038981417892501, 0.00023902337125036865, 9.560934995533898e-05, 0.00023902337125036865, 9.560934995533898e-05, 0.00024858428514562547, 9.560934995533898e-05, 0.00024380383547395468, 9.560934995533898e-05, 0.0002533647930249572, 0.00010038981417892501, 0.0002677061711438, 9.560934995533898e-05, 0.0002677061711438, 9.560934995533898e-05, 0.0002677061711438, 9.560934995533898e-05, 0.0002677061711438, 9.082887845579535e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.00026292569236829877, 9.082887845579535e-05, 0.0002533647930249572, 0.00010038981417892501, 0.00024858428514562547, 9.082887845579535e-05, 0.00024858428514562547, 8.126794273266569e-05, 0.00023902337125036865, 9.560934995533898e-05, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 0.00010517028567846864, 0.00024380383547395468, 0.00010517028567846864, 0.00024858428514562547, 0.00010038981417892501, 0.00024858428514562547, 9.560934995533898e-05]",[],"[25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227]"
[30.0],"[-3.1073035643203184e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -2.629257141961716e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.585350714274682e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.824373925453983e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.824373925453983e-05, -3.3463271392975e-05, -2.8682803531410173e-05, -2.8682803531410173e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.585350714274682e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -3.3463271392975e-05, -3.1073035643203184e-05, -3.3463271392975e-05, -4.0633971366332844e-05]","[2.5633111000061035, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.5633111000061035, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.5633111000061035, 2.562330484390259, 2.5633111000061035]",[],"[0.00024858428514562547, 0.00010517028567846864, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 9.560934995533898e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.00024858428514562547, 9.560934995533898e-05, 0.00024858428514562547, 0.00010038981417892501, 0.00024380383547395468, 0.00010517028567846864, 0.00024380383547395468, 0.00010038981417892501, 0.00024858428514562547, 9.082887845579535e-05, 0.00024380383547395468, 8.604841423220932e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00024858428514562547, 9.560934995533898e-05, 0.00024380383547395468, 9.082887845579535e-05, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 9.082887845579535e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.0002533647930249572, 9.082887845579535e-05, 0.0002677061711438, 9.082887845579535e-05, 0.0002677061711438, 8.604841423220932e-05, 0.00026292569236829877, 8.604841423220932e-05, 0.0002581452135927975, 8.604841423220932e-05, 0.0002533647930249572, 9.082887845579535e-05, 0.00024858428514562547, 9.082887845579535e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.00024858428514562547, 9.560934995533898e-05, 0.00024858428514562547, 0.00010038981417892501, 0.0002533647930249572, 0.00010038981417892501, 0.0002533647930249572, 9.560934995533898e-05, 0.0002581452135927975, 9.560934995533898e-05, 0.00026292569236829877, 0.00010038981417892501, 0.00024858428514562547, 0.00010517028567846864, 0.0002533647930249572, 0.00010517028567846864, 0.0002533647930249572, 0.00010038981417892501, 0.00024858428514562547, 0.00010517028567846864, 0.00024858428514562547, 0.00010038981417892501, 0.0002533647930249572, 0.00010038981417892501, 0.00024858428514562547, 0.00010995074990205467, 0.00024380383547395468, 0.00010517028567846864, 0.00024380383547395468, 0.00010517028567846864, 0.00023902337125036865, 0.00010517028567846864, 0.00024380383547395468, 0.00010038981417892501, 0.00024380383547395468, 0.00010517028567846864, 0.00024380383547395468, 0.00010995074990205467, 0.00024380383547395468, 0.00011473121412564069, 0.00024858428514562547, 0.00011951168562518433]",[],"[25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227, 25.024436950683594, 25.775171279907227]"
