# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Fe2O3(012)-(1x1).tlm
#
# Structure: Fe2O3(012)-(1x1)
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  4| -2),  4.00000, -2.00000,  4.99161, -2.31570,   38,        1,
( -4| -2), -4.00000, -2.00000, -4.99161, -2.31570,   38,        1,
(  0| -5),  0.00000, -5.00000,  0.00000, -5.78925,  -39,      (1),
(  0|  5),  0.00000,  5.00000,  0.00000,  5.78925,  -40,      (1),
(  1| -5),  1.00000, -5.00000,  1.24790, -5.78925,   41,        1,
( -1| -5), -1.00000, -5.00000, -1.24790, -5.78925,   41,        1,
(  1|  5),  1.00000,  5.00000,  1.24790,  5.78925,   42,        1,
( -1|  5), -1.00000,  5.00000, -1.24790,  5.78925,   42,        1,
(  3| -4),  3.00000, -4.00000,  3.74371, -4.63140,   43,        1,
( -3| -4), -3.00000, -4.00000, -3.74371, -4.63140,   43,        1,
(  3|  4),  3.00000,  4.00000,  3.74371,  4.63140,   44,        1,
( -3|  4), -3.00000,  4.00000, -3.74371,  4.63140,   44,        1,
(  4|  3),  4.00000,  3.00000,  4.99161,  3.47355,   45,        1,
( -4|  3), -4.00000,  3.00000, -4.99161,  3.47355,   45,        1,
(  4| -3),  4.00000, -3.00000,  4.99161, -3.47355,   46,        1,
( -4| -3), -4.00000, -3.00000, -4.99161, -3.47355,   46,        1,
(  5|  0),  5.00000,  0.00000,  6.23951, -0.00000,   47,        1,
( -5|  0), -5.00000,  0.00000, -6.23951,  0.00000,   47,        1,
(  2| -5),  2.00000, -5.00000,  2.49580, -5.78925,   48,        1,
( -2| -5), -2.00000, -5.00000, -2.49580, -5.78925,   48,        1,
(  2|  5),  2.00000,  5.00000,  2.49580,  5.78925,   49,        1,
( -2|  5), -2.00000,  5.00000, -2.49580,  5.78925,   49,        1,
(  5|  1),  5.00000,  1.00000,  6.23951,  1.15785,   50,        1,
( -5|  1), -5.00000,  1.00000, -6.23951,  1.15785,   50,        1,
(  5| -1),  5.00000, -1.00000,  6.23951, -1.15785,   51,        1,
( -5| -1), -5.00000, -1.00000, -6.23951, -1.15785,   51,        1,
(  5| -2),  5.00000, -2.00000,  6.23951, -2.31570,   52,        1,
( -5| -2), -5.00000, -2.00000, -6.23951, -2.31570,   52,        1,
(  5|  2),  5.00000,  2.00000,  6.23951,  2.31570,   53,        1,
( -5|  2), -5.00000,  2.00000, -6.23951,  2.31570,   53,        1,
(  4| -4),  4.00000, -4.00000,  4.99161, -4.63140,   54,        1,
( -4| -4), -4.00000, -4.00000, -4.99161, -4.63140,   54,        1,
(  4|  4),  4.00000,  4.00000,  4.99161,  4.63140,   55,        1,
( -4|  4), -4.00000,  4.00000, -4.99161,  4.63140,   55,        1,
(  3| -5),  3.00000, -5.00000,  3.74371, -5.78925,   56,        1,
( -3| -5), -3.00000, -5.00000, -3.74371, -5.78925,   56,        1,
(  3|  5),  3.00000,  5.00000,  3.74371,  5.78925,   57,        1,
( -3|  5), -3.00000,  5.00000, -3.74371,  5.78925,   57,        1,
(  0| -6),  0.00000, -6.00000,  0.00000, -6.94710,   58,        1,
