# This file was automatically generated by ViPErLEED v. 0.1a.
# Structure: (r3xr3)R30 p31m on p3m1
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.0000 AA; alpha = 120.00 deg
#        Basis: a = [2.0000 0.0000]; b = [-1.0000  1.7321]
# Surface lattice: Hexagonal (p31m); a = 3.4641 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [3.0000 1.7321]; b = [-3.0000  1.7321]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  7/3| -8/3), 2.33333,-2.66667,  7.33038, -5.44140,   13,        1,
( -8/3|  1/3),-2.66667, 0.33333, -8.37758, -3.62760,   13,        1,
( -7/3| -1/3),-2.33333,-0.33333, -7.33038, -5.44140,   13,        1,
(  7/3|  1/3), 2.33333, 0.33333,  7.33038,  5.44140,   14,        1,
(  8/3| -1/3), 2.66667,-0.33333,  8.37758,  3.62760,   14,        1,
( -7/3|  8/3),-2.33333, 2.66667, -7.33038,  5.44140,   14,        1,
( -8/3|  7/3),-2.66667, 2.33333, -8.37758,  3.62760,   14,        1,
(  1/3| -8/3), 0.33333,-2.66667,  1.04720, -9.06900,   14,        1,
( -1/3| -7/3),-0.33333,-2.33333, -1.04720, -9.06900,   14,        1,
(  2  |  1  ), 2.00000, 1.00000,  6.28319,  7.25520,   15,        1,
(  3  | -1  ), 3.00000,-1.00000,  9.42478,  1.81380,   15,        1,
( -2  |  3  ),-2.00000, 3.00000, -6.28319,  7.25520,   15,        1,
( -3  |  2  ),-3.00000, 2.00000, -9.42478,  1.81380,   15,        1,
(  1  | -3  ), 1.00000,-3.00000,  3.14159, -9.06900,   15,        1,
( -1  | -2  ),-1.00000,-2.00000, -3.14159, -9.06900,   15,        1,
(  1  |  2  ), 1.00000, 2.00000,  3.14159,  9.06900,   16,        1,
( -1  |  3  ),-1.00000, 3.00000, -3.14159,  9.06900,   16,        1,
(  3  | -2  ), 3.00000,-2.00000,  9.42478, -1.81380,   16,        1,
(  2  | -3  ), 2.00000,-3.00000,  6.28319, -7.25520,   16,        1,
( -3  |  1  ),-3.00000, 1.00000, -9.42478, -1.81380,   16,        1,
( -2  | -1  ),-2.00000,-1.00000, -6.28319, -7.25520,   16,        1,
(  5/3|  5/3), 1.66667, 1.66667,  5.23599,  9.06900,   17,        1,
( 10/3| -5/3), 3.33333,-1.66667, 10.47198, -0.00000,   17,        1,
( -5/3| 10/3),-1.66667, 3.33333, -5.23599,  9.06900,   17,        1,
(  5/3|-10/3), 1.66667,-3.33333,  5.23599, -9.06900,   17,        1,
(-10/3|  5/3),-3.33333, 1.66667,-10.47198,  0.00000,   17,        1,
( -5/3| -5/3),-1.66667,-1.66667, -5.23599, -9.06900,   17,        1,
(  3  |  0  ), 3.00000, 0.00000,  9.42478,  5.44140,   18,        1,
( -3  |  3  ),-3.00000, 3.00000, -9.42478,  5.44140,   18,        1,
(  0  | -3  ), 0.00000,-3.00000,  0.00000,-10.88280,   18,        1,
(  0  |  3  ), 0.00000, 3.00000,  0.00000, 10.88280,   19,        1,
(  3  | -3  ), 3.00000,-3.00000,  9.42478, -5.44140,   19,        1,
( -3  |  0  ),-3.00000, 0.00000, -9.42478, -5.44140,   19,        1,
(  2/3|  8/3), 0.66667, 2.66667,  2.09440, 10.88280,   20,        1,
( -2/3| 10/3),-0.66667, 3.33333, -2.09440, 10.88280,   20,        1,
( 10/3| -8/3), 3.33333,-2.66667, 10.47198, -3.62760,   20,        1,
(  8/3|-10/3), 2.66667,-3.33333,  8.37758, -7.25520,   20,        1,
(-10/3|  2/3),-3.33333, 0.66667,-10.47198, -3.62760,   20,        1,
( -8/3| -2/3),-2.66667,-0.66667, -8.37758, -7.25520,   20,        1,
(  8/3|  2/3), 2.66667, 0.66667,  8.37758,  7.25520,   21,        1,
( 10/3| -2/3), 3.33333,-0.66667, 10.47198,  3.62760,   21,        1,
( -8/3| 10/3),-2.66667, 3.33333, -8.37758,  7.25520,   21,        1,
(-10/3|  8/3),-3.33333, 2.66667,-10.47198,  3.62760,   21,        1,
(  2/3|-10/3), 0.66667,-3.33333,  2.09440,-10.88280,   21,        1,
( -2/3| -8/3),-0.66667,-2.66667, -2.09440,-10.88280,   21,        1,
