# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Ag(111)-(r3xr3)R30.tlm
#
# Structure: Ag(111)-(r3xr3)R30
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4422  2.4979]
# Surface lattice: Hexagonal (p3); a = 4.9958 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.3265 2.4979]; b = [-4.3265  2.4979]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -8/3|  1/3),-2.66667, 0.33333, -5.80909, -2.51541,   21,        1,
(  1/3|  7/3), 0.33333, 2.33333,  0.72614,  6.28853,   21,        1,
(  7/3| -8/3), 2.33333,-2.66667,  5.08295, -3.77312,   21,        1,
( -8/3|  7/3),-2.66667, 2.33333, -5.80909,  2.51541,   22,        1,
(  1/3| -8/3), 0.33333,-2.66667,  0.72614, -6.28853,   22,        1,
(  7/3|  1/3), 2.33333, 0.33333,  5.08295,  3.77312,   22,        1,
( -1/3|  8/3),-0.33333, 2.66667, -0.72614,  6.28853,   23,        1,
( -7/3| -1/3),-2.33333,-0.33333, -5.08295, -3.77312,   23,        1,
(  8/3| -7/3), 2.66667,-2.33333,  5.80909, -2.51541,   23,        1,
( -1/3| -7/3),-0.33333,-2.33333, -0.72614, -6.28853,   24,        1,
( -7/3|  8/3),-2.33333, 2.66667, -5.08295,  3.77312,   24,        1,
(  8/3| -1/3), 2.66667,-0.33333,  5.80909,  2.51541,   24,        1,
( -3  |  1  ),-3.00000, 1.00000, -6.53523, -1.25771,   25,        1,
(  1  |  2  ), 1.00000, 2.00000,  2.17841,  6.28853,   25,        1,
(  2  | -3  ), 2.00000,-3.00000,  4.35682, -5.03082,   25,        1,
( -3  |  2  ),-3.00000, 2.00000, -6.53523,  1.25771,   26,        1,
(  1  | -3  ), 1.00000,-3.00000,  2.17841, -6.28853,   26,        1,
(  2  |  1  ), 2.00000, 1.00000,  4.35682,  5.03082,   26,        1,
( -1  |  3  ),-1.00000, 3.00000, -2.17841,  6.28853,   27,        1,
( -2  | -1  ),-2.00000,-1.00000, -4.35682, -5.03082,   27,        1,
(  3  | -2  ), 3.00000,-2.00000,  6.53523, -1.25771,   27,        1,
( -1  | -2  ),-1.00000,-2.00000, -2.17841, -6.28853,   28,        1,
( -2  |  3  ),-2.00000, 3.00000, -4.35682,  5.03082,   28,        1,
(  3  | -1  ), 3.00000,-1.00000,  6.53523,  1.25771,   28,        1,
(-10/3|  5/3),-3.33333, 1.66667, -7.26136,  0.00000,   29,        1,
(  5/3|-10/3), 1.66667,-3.33333,  3.63068, -6.28853,   29,        1,
(  5/3|  5/3), 1.66667, 1.66667,  3.63068,  6.28853,   29,        1,
( -5/3| -5/3),-1.66667,-1.66667, -3.63068, -6.28853,   30,        1,
