# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Cu(111)-(r3x5)rect.tlm
#
# Structure: Cu(111)-(r3x5)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 12.7175 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [12.7175  0.0000]
#            Superlattice: [[1 2] [5 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [ 6.3588 11.0137]
#            Superlattice: [[ 1 -1] [ 5  5]]
# Domain 3 - Basis: a = [-3.8153 -2.2027]; b = [  6.3587 -11.0137]
#            Superlattice: [[-2 -1] [ 0 -5]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -4/5|  3/5),-0.80000, 0.60000, -1.97623,  0.57049,   11,        3,
(  1/5| -4/5), 0.20000,-0.80000,  0.49406, -1.99671,   11,        2,
(  3/5|  1/5), 0.60000, 0.20000,  1.48217,  1.42622,   11,        1,
(  4/5| -1/5), 0.80000,-0.20000,  1.97623,  0.57049,   11,        2,
( -1/5|  4/5),-0.20000, 0.80000, -0.49406,  1.99671,   12,        2,
( -3/5| -1/5),-0.60000,-0.20000, -1.48217, -1.42622,   12,        1,
( -4/5|  1/5),-0.80000, 0.20000, -1.97623, -0.57049,   12,        2,
(  1/5|  3/5), 0.20000, 0.60000,  0.49406,  1.99671,   12,        3,
(  3/5| -4/5), 0.60000,-0.80000,  1.48217, -1.42622,   12,        1,
(  4/5| -3/5), 0.80000,-0.60000,  1.97623, -0.57049,   12,        3,
( -1/9|  8/9),-0.11111, 0.88889, -0.27448,  2.37704,   13,        2,
( -4/5| -1/9),-0.80000,-0.11111, -1.97623, -1.45792,   13,        1,
( -8/9|  1/9),-0.88889, 0.11111, -2.19581, -0.95082,   13,        2,
(  1/9|  4/5), 0.11111, 0.80000,  0.27448,  2.44043,   13,        3,
(  4/5| -8/9), 0.80000,-0.88889,  1.97623, -1.39453,   13,        1,
(  8/9| -4/5), 0.88889,-0.80000,  2.19581, -1.01420,   13,        3,
( -1/9| -4/5),-0.11111,-0.80000, -0.27448, -2.44043,   14,        3,
( -4/5|  8/9),-0.80000, 0.88889, -1.97623,  1.39453,   14,        1,
( -8/9|  4/5),-0.88889, 0.80000, -2.19581,  1.01420,   14,        3,
(  1/9| -8/9), 0.11111,-0.88889,  0.27448, -2.37704,   14,        2,
(  4/5|  1/9), 0.80000, 0.11111,  1.97623,  1.45792,   14,        1,
(  8/9| -1/9), 0.88889,-0.11111,  2.19581,  0.95082,   14,        2,
( -1  |  1/2),-1.00000, 0.50000, -2.47029,  0.00000,   15,        1,
( -1/2| -1/2),-0.50000,-0.50000, -1.23515, -2.13933,   15,        2,
( -1/2|  1  ),-0.50000, 1.00000, -1.23515,  2.13933,   15,        3,
(  1  | -1/2), 1.00000,-0.50000,  2.47029, -0.00000,   15,        1,
(  1/2| -1  ), 0.50000,-1.00000,  1.23515, -2.13933,   15,        3,
(  1/2|  1/2), 0.50000, 0.50000,  1.23515,  2.13933,   15,        2,
( -1  |  0  ),-1.00000, 0.00000, -2.47029, -1.42622,   16,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.85245,   16,    1+2+3,
(  1  | -1  ), 1.00000,-1.00000,  2.47029, -1.42622,   16,    1+2+3,
( -1  |  1  ),-1.00000, 1.00000, -2.47029,  1.42622,   17,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.85245,   17,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.47029,  1.42622,   17,    1+2+3,
( -1/5| -8/9),-0.20000,-0.88889, -0.49406, -2.82075,   18,        1,
(-10/9|  8/9),-1.11111, 0.88889, -2.74477,  0.95082,   18,        2,
( -8/9| 10/9),-0.88889, 1.11111, -2.19581,  1.90163,   18,        2,
(  1/5|-10/9), 0.20000,-1.11111,  0.49406, -2.88414,   18,        1,
( 10/9| -1/5), 1.11111,-0.20000,  2.74477,  1.01420,   18,        3,
(  8/9|  1/5), 0.88889, 0.20000,  2.19581,  1.83824,   18,        3,
( -1/5| 10/9),-0.20000, 1.11111, -0.49406,  2.88414,   19,        1,
(-10/9|  1/5),-1.11111, 0.20000, -2.74477, -1.01420,   19,        3,
( -8/9| -1/5),-0.88889,-0.20000, -2.19581, -1.83824,   19,        3,
(  1/5|  8/9), 0.20000, 0.88889,  0.49406,  2.82075,   19,        1,
( 10/9| -8/9), 1.11111,-0.88889,  2.74477, -0.95082,   19,        2,
(  8/9|-10/9), 0.88889,-1.11111,  2.19581, -1.90163,   19,        2,
( -3/5| -3/5),-0.60000,-0.60000, -1.48217, -2.56720,   20,        2,
( -3/5|  6/5),-0.60000, 1.20000, -1.48217,  2.56720,   20,        3,
( -6/5|  3/5),-1.20000, 0.60000, -2.96435,  0.00000,   20,        1,
(  3/5| -6/5), 0.60000,-1.20000,  1.48217, -2.56720,   20,        3,
(  3/5|  3/5), 0.60000, 0.60000,  1.48217,  2.56720,   20,        2,
(  6/5| -3/5), 1.20000,-0.60000,  2.96435, -0.00000,   20,        1,
( -2/5| -4/5),-0.40000,-0.80000, -0.98812, -2.85245,   21,        1,
( -4/5|  6/5),-0.80000, 1.20000, -1.97623,  2.28196,   21,        2,
( -6/5|  4/5),-1.20000, 0.80000, -2.96435,  0.57049,   21,        2,
(  2/5| -6/5), 0.40000,-1.20000,  0.98812, -2.85245,   21,        1,
(  4/5|  2/5), 0.80000, 0.40000,  1.97623,  2.28196,   21,        3,
(  6/5| -2/5), 1.20000,-0.40000,  2.96435,  0.57049,   21,        3,
( -2/5|  6/5),-0.40000, 1.20000, -0.98812,  2.85245,   22,        1,
( -4/5| -2/5),-0.80000,-0.40000, -1.97623, -2.28196,   22,        3,
( -6/5|  2/5),-1.20000, 0.40000, -2.96435, -0.57049,   22,        3,
(  2/5|  4/5), 0.40000, 0.80000,  0.98812,  2.85245,   22,        1,
(  4/5| -6/5), 0.80000,-1.20000,  1.97623, -2.28196,   22,        2,
(  6/5| -4/5), 1.20000,-0.80000,  2.96435, -0.57049,   22,        2,
( -3/5|  9/7),-0.60000, 1.28571, -1.48217,  2.81170,   23,        1,
( -5/7| -3/5),-0.71429,-0.60000, -1.76449, -2.73020,   23,        3,
( -9/7|  3/5),-1.28571, 0.60000, -3.17609, -0.12225,   23,        3,
(  3/5|  5/7), 0.60000, 0.71429,  1.48217,  2.89320,   23,        1,
(  5/7| -9/7), 0.71429,-1.28571,  1.76449, -2.64870,   23,        2,
(  9/7| -5/7), 1.28571,-0.71429,  3.17609, -0.20375,   23,        2,
( -3/5| -5/7),-0.60000,-0.71429, -1.48217, -2.89320,   24,        1,
( -5/7|  9/7),-0.71429, 1.28571, -1.76449,  2.64870,   24,        2,
( -9/7|  5/7),-1.28571, 0.71429, -3.17609,  0.20375,   24,        2,
(  3/5| -9/7), 0.60000,-1.28571,  1.48217, -2.81170,   24,        1,
(  5/7|  3/5), 0.71429, 0.60000,  1.76449,  2.73020,   24,        3,
(  9/7| -3/5), 1.28571,-0.60000,  3.17609,  0.12225,   24,        3,
( -1/9|  6/5),-0.11111, 1.20000, -0.27448,  3.26447,   25,        3,
(-10/9| -1/9),-1.11111,-0.11111, -2.74477, -1.90163,   25,        2,
( -6/5|  1/9),-1.20000, 0.11111, -2.96435, -1.39453,   25,        1,
(  1/9| 10/9), 0.11111, 1.11111,  0.27448,  3.32785,   25,        2,
( 10/9| -6/5), 1.11111,-1.20000,  2.74477, -1.83824,   25,        3,
(  6/5|-10/9), 1.20000,-1.11111,  2.96435, -1.45792,   25,        1,
( -1/9|-10/9),-0.11111,-1.11111, -0.27448, -3.32785,   26,        2,
(-10/9|  6/5),-1.11111, 1.20000, -2.74477,  1.83824,   26,        3,
( -6/5| 10/9),-1.20000, 1.11111, -2.96435,  1.45792,   26,        1,
(  1/9| -6/5), 0.11111,-1.20000,  0.27448, -3.26447,   26,        3,
( 10/9|  1/9), 1.11111, 0.11111,  2.74477,  1.90163,   26,        2,
(  6/5| -1/9), 1.20000,-0.11111,  2.96435,  1.39453,   26,        1,
( -3/5| -4/5),-0.60000,-0.80000, -1.48217, -3.13769,   27,        3,
( -4/5|  7/5),-0.80000, 1.40000, -1.97623,  2.85245,   27,        1,
( -7/5|  4/5),-1.40000, 0.80000, -3.45841,  0.28524,   27,        3,
(  3/5| -7/5), 0.60000,-1.40000,  1.48217, -3.13769,   27,        2,
(  4/5|  3/5), 0.80000, 0.60000,  1.97623,  2.85245,   27,        1,
(  7/5| -3/5), 1.40000,-0.60000,  3.45841,  0.28524,   27,        2,
( -3/5|  7/5),-0.60000, 1.40000, -1.48217,  3.13769,   28,        2,
( -4/5| -3/5),-0.80000,-0.60000, -1.97623, -2.85245,   28,        1,
( -7/5|  3/5),-1.40000, 0.60000, -3.45841, -0.28524,   28,        2,
(  3/5|  4/5), 0.60000, 0.80000,  1.48217,  3.13769,   28,        3,
(  4/5| -7/5), 0.80000,-1.40000,  1.97623, -2.85245,   28,        1,
(  7/5| -4/5), 1.40000,-0.80000,  3.45841, -0.28524,   28,        3,
( -5/7| -5/7),-0.71429,-0.71429, -1.76449, -3.05619,   29,        2,
( -5/7|  7/5),-0.71429, 1.40000, -1.76449,  2.97469,   29,        3,
( -7/5|  5/7),-1.40000, 0.71429, -3.45841,  0.04075,   29,        1,
(  5/7| -7/5), 0.71429,-1.40000,  1.76449, -2.97469,   29,        3,
(  5/7|  5/7), 0.71429, 0.71429,  1.76449,  3.05619,   29,        2,
(  7/5| -5/7), 1.40000,-0.71429,  3.45841, -0.04075,   29,        1,
( -1/5| -6/5),-0.20000,-1.20000, -0.49406, -3.70818,   30,        2,
( -6/5|  7/5),-1.20000, 1.40000, -2.96435,  2.28196,   30,        3,
( -7/5|  6/5),-1.40000, 1.20000, -3.45841,  1.42622,   30,        1,
(  1/5| -7/5), 0.20000,-1.40000,  0.49406, -3.70818,   30,        3,
(  6/5|  1/5), 1.20000, 0.20000,  2.96435,  2.28196,   30,        2,
(  7/5| -1/5), 1.40000,-0.20000,  3.45841,  1.42622,   30,        1,
( -1/5|  7/5),-0.20000, 1.40000, -0.49406,  3.70818,   31,        3,
( -6/5| -1/5),-1.20000,-0.20000, -2.96435, -2.28196,   31,        2,
( -7/5|  1/5),-1.40000, 0.20000, -3.45841, -1.42622,   31,        1,
(  1/5|  6/5), 0.20000, 1.20000,  0.49406,  3.70818,   31,        2,
(  6/5| -7/5), 1.20000,-1.40000,  2.96435, -2.28196,   31,        3,
(  7/5| -6/5), 1.40000,-1.20000,  3.45841, -1.42622,   31,        1,
( -1  | -1/2),-1.00000,-0.50000, -2.47029, -2.85245,   32,        1,
( -1/2|  3/2),-0.50000, 1.50000, -1.23515,  3.56556,   32,        2,
( -3/2|  1/2),-1.50000, 0.50000, -3.70544, -0.71311,   32,        2,
(  1  | -3/2), 1.00000,-1.50000,  2.47029, -2.85245,   32,        1,
(  1/2|  1  ), 0.50000, 1.00000,  1.23515,  3.56556,   32,        3,
(  3/2| -1  ), 1.50000,-1.00000,  3.70544, -0.71311,   32,        3,
( -1  |  3/2),-1.00000, 1.50000, -2.47029,  2.85245,   33,        1,
( -1/2| -1  ),-0.50000,-1.00000, -1.23515, -3.56556,   33,        3,
( -3/2|  1  ),-1.50000, 1.00000, -3.70544,  0.71311,   33,        3,
(  1  |  1/2), 1.00000, 0.50000,  2.47029,  2.85245,   33,        1,
(  1/2| -3/2), 0.50000,-1.50000,  1.23515, -3.56556,   33,        2,
(  3/2| -1/2), 1.50000,-0.50000,  3.70544,  0.71311,   33,        2,
( -4/5| -4/5),-0.80000,-0.80000, -1.97623, -3.42294,   34,        2,
( -4/5|  8/5),-0.80000, 1.60000, -1.97623,  3.42294,   34,        3,
