# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(111)-(3xr3)rect - pm overlayer.tlm
#
# Structure: Ag(111)-(3xr3)rect - pm overlayer - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4421  2.4979]
# Surface lattice: Rectangular (pm[1 0]); a = 8.6529 AA; b = 4.9958 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.6529 0.0000]; b = [0.0000 4.9958]
#            Superlattice: [[3 0] [1 2]]
# Domain 2 - Basis: a = [4.3265 7.4936]; b = [ 4.3264 -2.4979]
#            Superlattice: [[ 3  3] [ 1 -1]]
# Domain 3 - Basis: a = [ 4.3264 -7.4936]; b = [-4.3265 -2.4979]
#            Superlattice: [[ 0 -3] [-2 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  1/6|  2/3), 0.16667, 0.66667,  0.36307,  1.88656,    7,        3,
( -1/6| -2/3),-0.16667,-0.66667, -0.36307, -1.88656,    8,        3,
( -1/6|  5/6),-0.16667, 0.83333, -0.36307,  1.88656,    8,        2,
(  2/3| -5/6), 0.66667,-0.83333,  1.45227, -1.25771,    8,        1,
(  2/3|  1/6), 0.66667, 0.16667,  1.45227,  1.25771,    8,        1,
(  5/6| -1/6), 0.83333,-0.16667,  1.81534,  0.62885,    8,        2,
(  5/6| -2/3), 0.83333,-0.66667,  1.81534, -0.62885,    8,        3,
( -1  |  1/2),-1.00000, 0.50000, -2.17841,  0.00000,    9,        1,
( -1/2| -1/2),-0.50000,-0.50000, -1.08920, -1.88656,    9,        2,
( -1/2|  1  ),-0.50000, 1.00000, -1.08920,  1.88656,    9,        3,
(  1  | -1/2), 1.00000,-0.50000,  2.17841, -0.00000,   10,        1,
(  1/2| -1  ), 0.50000,-1.00000,  1.08920, -1.88656,   10,        3,
(  1/2|  1/2), 0.50000, 0.50000,  1.08920,  1.88656,   10,        2,
( -1  |  0  ),-1.00000, 0.00000, -2.17841, -1.25771,   11,    1+2+3,
( -1  |  1  ),-1.00000, 1.00000, -2.17841,  1.25771,   11,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.51541,   11,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.51541,   11,    1+2+3,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.51541,   12,    1+2+3,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.51541,   12,    1+2+3,
(  1  | -1  ), 1.00000,-1.00000,  2.17841, -1.25771,   12,    1+2+3,
(  1  |  0  ), 1.00000, 0.00000,  2.17841,  1.25771,   12,    1+2+3,
( -5/6| -1/3),-0.83333,-0.33333, -1.81534, -1.88656,   13,        3,
( -5/6|  7/6),-0.83333, 1.16667, -1.81534,  1.88656,   13,        2,
(  1/3| -7/6), 0.33333,-1.16667,  0.72614, -2.51541,   13,        1,
(  1/3|  5/6), 0.33333, 0.83333,  0.72614,  2.51541,   13,        1,
(  7/6| -1/3), 1.16667,-0.33333,  2.54148,  0.62885,   13,        3,
(  7/6| -5/6), 1.16667,-0.83333,  2.54148, -0.62885,   13,        2,
( -1/3| -5/6),-0.33333,-0.83333, -0.72614, -2.51541,   14,        1,
( -1/3|  7/6),-0.33333, 1.16667, -0.72614,  2.51541,   14,        1,
( -7/6|  1/3),-1.16667, 0.33333, -2.54148, -0.62885,   14,        3,
( -7/6|  5/6),-1.16667, 0.83333, -2.54148,  0.62885,   14,        2,
(  5/6| -7/6), 0.83333,-1.16667,  1.81534, -1.88656,   14,        2,
(  5/6|  1/3), 0.83333, 0.33333,  1.81534,  1.88656,   14,        3,
( -2/3| -2/3),-0.66667,-0.66667, -1.45227, -2.51541,   15,    1+2+3,
( -2/3|  4/3),-0.66667, 1.33333, -1.45227,  2.51541,   15,    1+2+3,
( -4/3|  2/3),-1.33333, 0.66667, -2.90455,  0.00000,   15,    1+2+3,
(  2/3| -4/3), 0.66667,-1.33333,  1.45227, -2.51541,   16,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.45227,  2.51541,   16,    1+2+3,
(  2/3| -4/3), 0.66667,-1.33333,  1.45227, -2.51541,   17,    1+2+3,
(  2/3|  2/3), 0.66667, 0.66667,  1.45227,  2.51541,   17,    1+2+3,
(  4/3| -2/3), 1.33333,-0.66667,  2.90455, -0.00000,   17,    1+2+3,
( -1/6| -7/6),-0.16667,-1.16667, -0.36307, -3.14426,   18,        2,
( -1/6|  4/3),-0.16667, 1.33333, -0.36307,  3.14426,   18,        3,
( -4/3|  1/6),-1.33333, 0.16667, -2.90455, -1.25771,   18,        1,
( -4/3|  7/6),-1.33333, 1.16667, -2.90455,  1.25771,   18,        1,
( -7/6| -1/6),-1.16667,-0.16667, -2.54148, -1.88656,   18,        2,
( -7/6|  4/3),-1.16667, 1.33333, -2.54148,  1.88656,   18,        3,
(  1/6| -4/3), 0.16667,-1.33333,  0.36307, -3.14426,   19,        3,
(  1/6|  7/6), 0.16667, 1.16667,  0.36307,  3.14426,   19,        2,
(  4/3| -1/6), 1.33333,-0.16667,  2.90455,  1.25771,   19,        1,
(  4/3| -7/6), 1.33333,-1.16667,  2.90455, -1.25771,   19,        1,
(  7/6| -4/3), 1.16667,-1.33333,  2.54148, -1.88656,   19,        3,
(  7/6|  1/6), 1.16667, 0.16667,  2.54148,  1.88656,   19,        2,
( -1  | -1/2),-1.00000,-0.50000, -2.17841, -2.51541,   20,        1,
( -1  |  3/2),-1.00000, 1.50000, -2.17841,  2.51541,   20,        1,
( -3/2|  1  ),-1.50000, 1.00000, -3.26761,  0.62885,   20,        3,
( -3/2|  1/2),-1.50000, 0.50000, -3.26761, -0.62885,   20,        2,
(  1/2| -3/2), 0.50000,-1.50000,  1.08920, -3.14426,   20,        2,
(  1/2|  1  ), 0.50000, 1.00000,  1.08920,  3.14426,   20,        3,
( -1/2| -1  ),-0.50000,-1.00000, -1.08920, -3.14426,   21,        3,
( -1/2|  3/2),-0.50000, 1.50000, -1.08920,  3.14426,   21,        2,
(  1  | -3/2), 1.00000,-1.50000,  2.17841, -2.51541,   21,        1,
(  1  |  1/2), 1.00000, 0.50000,  2.17841,  2.51541,   21,        1,
(  3/2| -1  ), 1.50000,-1.00000,  3.26761, -0.62885,   21,        3,
(  3/2| -1/2), 1.50000,-0.50000,  3.26761,  0.62885,   21,        2,
( -5/3|  5/6),-1.66667, 0.83333, -3.63068,  0.00000,   22,        1,
( -5/6| -5/6),-0.83333,-0.83333, -1.81534, -3.14426,   22,        2,
( -5/6|  5/3),-0.83333, 1.66667, -1.81534,  3.14426,   22,        3,
(  5/3| -5/6), 1.66667,-0.83333,  3.63068, -0.00000,   23,        1,
(  5/6| -5/3), 0.83333,-1.66667,  1.81534, -3.14426,   23,        3,
(  5/6|  5/6), 0.83333, 0.83333,  1.81534,  3.14426,   23,        2,
( -3/2|  0  ),-1.50000, 0.00000, -3.26761, -1.88656,   24,        3,
( -3/2|  3/2),-1.50000, 1.50000, -3.26761,  1.88656,   24,        2,
(  0  | -3/2), 0.00000,-1.50000,  0.00000, -3.77312,   24,        1,
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  3.77312,   24,        1,
(  3/2| -3/2), 1.50000,-1.50000,  3.26761, -1.88656,   24,        2,
(  3/2|  0  ), 1.50000, 0.00000,  3.26761,  1.88656,   24,        3,
( -5/3|  1/3),-1.66667, 0.33333, -3.63068, -1.25771,   25,    1+2+3,
( -5/3|  4/3),-1.66667, 1.33333, -3.63068,  1.25771,   25,    1+2+3,
( -4/3| -1/3),-1.33333,-0.33333, -2.90455, -2.51541,   26,    1+2+3,
( -4/3|  5/3),-1.33333, 1.66667, -2.90455,  2.51541,   26,    1+2+3,
( -1/3| -4/3),-0.33333,-1.33333, -0.72614, -3.77312,   27,    1+2+3,
( -1/3|  5/3),-0.33333, 1.66667, -0.72614,  3.77312,   27,    1+2+3,
(  5/3| -1/3), 1.66667,-0.33333,  3.63068,  1.25771,   28,    1+2+3,
(  5/3| -4/3), 1.66667,-1.33333,  3.63068, -1.25771,   28,    1+2+3,
(  1/3| -5/3), 0.33333,-1.66667,  0.72614, -3.77312,   29,    1+2+3,
(  1/3|  4/3), 0.33333, 1.33333,  0.72614,  3.77312,   29,    1+2+3,
(  4/3| -5/3), 1.33333,-1.66667,  2.90455, -2.51541,   30,    1+2+3,
(  4/3|  1/3), 1.33333, 0.33333,  2.90455,  2.51541,   30,    1+2+3,
(-11/6|  2/3),-1.83333, 0.66667, -3.99375, -0.62885,   31,        3,
(-11/6|  7/6),-1.83333, 1.16667, -3.99375,  0.62885,   31,        2,
( -2/3| -7/6),-0.66667,-1.16667, -1.45227, -3.77312,   31,        1,
( -2/3| 11/6),-0.66667, 1.83333, -1.45227,  3.77312,   31,        1,
(  7/6|-11/6), 1.16667,-1.83333,  2.54148, -3.14426,   31,        2,
(  7/6|  2/3), 1.16667, 0.66667,  2.54148,  3.14426,   31,        3,
( -7/6| -2/3),-1.16667,-0.66667, -2.54148, -3.14426,   32,        3,
( -7/6| 11/6),-1.16667, 1.83333, -2.54148,  3.14426,   32,        2,
( 11/6| -2/3), 1.83333,-0.66667,  3.99375,  0.62885,   32,        3,
( 11/6| -7/6), 1.83333,-1.16667,  3.99375, -0.62885,   32,        2,
(  2/3|-11/6), 0.66667,-1.83333,  1.45227, -3.77312,   32,        1,
(  2/3|  7/6), 0.66667, 1.16667,  1.45227,  3.77312,   32,        1,
( -1  | -1  ),-1.00000,-1.00000, -2.17841, -3.77312,   33,    1+2+3,
( -1  |  2  ),-1.00000, 2.00000, -2.17841,  3.77312,   33,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -4.35682,  0.00000,   33,    1+2+3,
